,no_reuse,pair_index1,pair_index2,pair_date1,pair_date2,pair_text1,pair_text2
0,6,46,47,1857-05-21-seq-1.txt,1857-05-21-seq-1.txt,at boarding house have nnd friend put up aro number servant girl nnd idiosyncracy servant,friend put up aro number servant girl nnd idiosyncracy servant girl take share toilet article
1,4,52,117,1859-04-21-seq-3.txt,1859-04-07-seq-3.txt,never order my wife difficulty instruct servant use it I fully persuade iiu invention,1 lin never licen ouj order my wife difficulty instruct servant use it 1 urn fully periuarie invention
2,6,65,66,1857-05-07-seq-4.txt,1857-05-07-seq-4.txt,  j less direct indirect one mind color ani other child act upou child servant    upon fellow servant master,other child act upou child servant    upon fellow servant master   piosc employ parent child
3,3,67,139,1858-05-13-seq-3.txt,1858-05-06-seq-3.txt,  1 also first rate man cook llott   servant I would either sell hire rea suitable term for paitieuhir appl,I also first rate man cook house servant I would either sell hire reasonable term for particular apply
4,3,67,224,1858-05-13-seq-3.txt,1858-04-29-seq-3.txt,  1 also first rate man cook llott   servant I would either sell hire rea suitable term for paitieuhir appl,I also first rate man cook ilnust servant I would either sell hire reasonable term for particular apply
5,4,134,262,1857-03-19-seq-3.txt,1857-03-05-seq-3.txt,soon door open whole ticket 500   1 child servant half price the good order   decorum preserve,hidii door open wliolo ticket   ehildren servant half price the good order decorum preserve
6,9,139,224,1858-05-06-seq-3.txt,1858-04-29-seq-3.txt,I also first rate man cook house servant I would either sell hire reasonable term for particular apply,I also first rate man cook ilnust servant I would either sell hire reasonable term for particular apply
7,7,169,170,1865-10-12-seq-1.txt,1865-10-12-seq-1.txt,combine ha open ax intelligence ottioe servant wish t hire servant oan obtain information whicl,intelligence ottioe servant wish t hire servant oan obtain information whicl wiutaeilitate object desire
8,6,197,198,1856-08-21-seq-1.txt,1856-08-21-seq-1.txt,bonnet somevvhere elsotruste servant set tiling right no matter bow many servant have,servant set tiling right no matter bow many servant have miserable habit source
9,6,286,287,1863-06-05-seq-1.txt,1863-06-05-seq-1.txt,pree right assemble discusa tiie act ol public servant day hasariive public servant,discusa tiie act ol public servant day hasariive public servant gel llior
10,6,298,299,1861-03-22-seq-1.txt,1861-03-22-seq-1.txt,the printerpunch say how nice 1 printer 1 a public servant withal servant devil a good,printer 1 a public servant withal servant devil a good   natured fellowmust always smile aod I
