,no_reuse,pair_index1,pair_index2,pair_date1,pair_date2,pair_text1,pair_text2
0,3,16,2313,1854-06-22-seq-3.txt,1854-11-02-seq-4.txt,notice a pplica tion make legislature south carolina next session vari,notice a pplica tion make legislature of south carolina next session vari
1,6,16,2600,1854-06-22-seq-3.txt,1854-08-17-seq-4.txt,notice a pplica tion make legislature south carolina next session vari,may11   notice a pplica tion make legislature south carolina next session vairi
2,3,16,4466,1854-06-22-seq-3.txt,1854-07-06-seq-3.txt,notice a pplica tion make legislature south carolina next session vari,notice   applica tion make legislature south carolina next session vil
3,4,16,8493,1854-06-22-seq-3.txt,1854-07-27-seq-3.txt,notice a pplica tion make legislature south carolina next session vari,notice a ppltca tion make legislature south carolina next session vari
4,7,16,10038,1854-06-22-seq-3.txt,1854-10-26-seq-3.txt,notice a pplica tion make legislature south carolina next session vari,notice a pplica tion make legislature south carolina next session vari
5,4,16,10282,1854-06-22-seq-3.txt,1854-08-31-seq-3.txt,notice a pplica tion make legislature south carolina next session vari,not ice a ppltca tion make legislature south carolina next session vari
6,6,22,23,1851-05-22-seq-3.txt,1851-05-22-seq-3.txt,would inminently startle one perhaps ii would occur slave state eni ty slavery true secret inveterate,would occur slave state eni ty slavery true secret inveterate hostility perhaps desire settle forever
7,3,26,5101,1851-05-22-seq-3.txt,1851-05-22-seq-2.txt,south carolina may reason count upon moral element all southern slavehold state know feel that proper,south carolina may reason count upon uis moral element all thaesouthern slavehold ag state know feel that proper
8,5,27,5102,1851-05-22-seq-3.txt,1851-05-22-seq-2.txt,negro would little value ex cept whowould slave live upor soil serious disturbance in,negro would little value ex cept whowould slave live upot soil serious disturbance in
9,4,43,52,1854-07-13-seq-2.txt,1854-07-13-seq-2.txt,branch connecticut legislature subject recovery slave it provide extraordinary amount evidence shall,we copy act pass branch connecticut legislature subject recovery slave it provide
10,4,59,60,1851-05-08-seq-4.txt,1851-05-08-seq-4.txt,believe itthe difference lie here cuba slave island   independent add another slave state south,slave island   independent add another slave state south that be chill sympathy
11,3,63,69,1865-12-13-seq-2.txt,1865-12-13-seq-2.txt,the bill preliminary legislation induce emancipation slave receive read third tune pass order,temporarily lay upon thu table the bill preliminary legislation induce emancipation slave
12,7,109,110,1859-03-09-seq-2.txt,1859-03-09-seq-2.txt,dlave territory the law give onethird value slave hat bring back beyond slave,the law give onethird value slave hat bring back beyond slave territory united states person
13,5,113,114,1859-03-09-seq-2.txt,1859-03-09-seq-2.txt,anmericana encyclopedia    pedagogue rlomans greek slave carry childlren master school since slave sad,rloman greek slave carry childlren master school since slave sad freedman often make attainment science
14,7,120,7755,1858-01-06-seq-5.txt,1858-01-06-seq-4.txt,kascas the vnte leceumpton stand 238 constitution slavery 9 it many mis sourians say present cand votedl itumor,kansa the vote lecompton stand 238 constitution slavery 9 it many mis sourians say present vote rumor
15,3,145,5036,1851-06-19-seq-3.txt,1851-06-19-seq-4.txt,southern state but wc conclude say thai though all people submit slavery would south carolinaa still contend,southern state but conclude say though all people submit slavery would south carolina still contend
16,6,146,5037,1851-06-19-seq-3.txt,1851-06-19-seq-4.txt,triumphant continent it virtually tell enemy slavery throughout union ready to,triumphant continent it virtually tell enemy slavery throughout union ready
17,3,160,161,1854-04-13-seq-1.txt,1854-04-13-seq-1.txt,be suchi territorial government pass io statute upon thle subject slavery onec wayv tile other I think con,onec wayv tile other I think con tinuie nenltral territoryneither slave ry poue it nor1 freesoilikm anid faina
18,8,162,169,1854-04-13-seq-1.txt,1854-04-13-seq-1.txt,rial legislature palss law exclude expressly admnit slavery 1 it wvould le suicidal act on tihe part legislature,subject dio suppose tlerrito rial legislature palss law exclude expressly admnit slavery 1 it wvould le
19,9,162,170,1854-04-13-seq-1.txt,1854-04-13-seq-1.txt,rial legislature palss law exclude expressly admnit slavery 1 it wvould le suicidal act on tihe part legislature,expressly admnit slavery 1 it wvould le suicidal act on tihe part legislature and go commit
20,5,166,167,1854-04-13-seq-1.txt,1854-04-13-seq-1.txt,thatn this an act omferi rig upont territorial legislature rightful pow rs legislationm every subject tihat,territorial legislature rightful pow rs legislationm every subject tihat be rji ptower whiich conafer itn
21,3,169,170,1854-04-13-seq-1.txt,1854-04-13-seq-1.txt,subject dio suppose tlerrito rial legislature palss law exclude expressly admnit slavery 1 it wvould le,expressly admnit slavery 1 it wvould le suicidal act on tihe part legislature and go commit
