,no_reuse,pair_index1,pair_index2,pair_date1,pair_date2,pair_text1,pair_text2
0,3,15,136,1856-08-21-seq-4.txt,1856-09-18-seq-4.txt,penetrate it lie political liberal owe 110 slavish sorvilc allegiance party politician it advocate measure man,penetrate it political liberal owe slavish servile allegiance party politician it advocate measure man
1,3,15,283,1856-08-21-seq-4.txt,1856-05-08-seq-4.txt,penetrate it lie political liberal owe 110 slavish sorvilc allegiance party politician it advocate measure man,penetrate it political liberal owe slavish servile allegiance party politician it advocate measure man
2,3,15,618,1856-08-21-seq-4.txt,1856-06-05-seq-4.txt,penetrate it lie political liberal owe 110 slavish sorvilc allegiance party politician it advocate measure man,  penetrate it political liberal owe slavish servile allegiance party politician it advocate measure man
3,3,15,723,1856-08-21-seq-4.txt,1856-02-28-seq-4.txt,penetrate it lie political liberal owe 110 slavish sorvilc allegiance party politician it advocate measure man,penetrate it politioul liberal owe uc slavish servile allegiance party politician it advocate measure man
4,3,15,1024,1856-08-21-seq-4.txt,1856-06-26-seq-4.txt,penetrate it lie political liberal owe 110 slavish sorvilc allegiance party politician it advocate measure man,ponetrate it political liherul owe slavish rervile allegiance party politician it advocate measure man
5,4,15,1285,1856-08-21-seq-4.txt,1856-07-03-seq-4.txt,penetrate it lie political liberal owe 110 slavish sorvilc allegiance party politician it advocate measure man,penetrate it lie political liberal owe 1 slavish ecrvile allegiunce party politician it advocate measure man
6,3,15,1373,1856-08-21-seq-4.txt,1856-05-15-seq-4.txt,penetrate it lie political liberal owe 110 slavish sorvilc allegiance party politician it advocate measure man,penetrate it political hut liberal owing slavish servile allegiance party politician it advocate measure man
7,3,15,1491,1856-08-21-seq-4.txt,1856-07-31-seq-4.txt,penetrate it lie political liberal owe 110 slavish sorvilc allegiance party politician it advocate measure man,penetrate it political liberal owe 110 slavish servile allegiauce party politician it advocate measure man
8,3,15,1666,1856-08-21-seq-4.txt,1856-08-14-seq-4.txt,penetrate it lie political liberal owe 110 slavish sorvilc allegiance party politician it advocate measure man,penetrate it bo political libera owe slavish servile allegiance party politician it advocate measure man
9,3,15,2319,1856-08-21-seq-4.txt,1856-07-10-seq-4.txt,penetrate it lie political liberal owe 110 slavish sorvilc allegiance party politician it advocate measure man,penetrate it political libera owe slavish servile allegiance party politician it advocate measure man
10,5,23,35,1861-01-18-seq-1.txt,1861-01-18-seq-1.txt,abolish inner slave trade thus cut northern slave4 state profit production southern,place cede united states to abolish inner slave trade thus cut northern slave4 state
11,4,25,43,1861-01-18-seq-1.txt,1861-01-18-seq-1.txt,raisa money military eqiripfnents3to appeal nonslavehoweffc detach tliginj btmxliders slave slatesto comwinicata,appeal nonslavehoweffc detach tliginj btmxliders slave slatesto comwinicata wkb the tavdsfgclibourageaiislavery
12,5,33,34,1861-01-18-seq-1.txt,1861-01-18-seq-1.txt,o4 commonfund sanction prohibitionf slavery new mexico it claim to nbolih slavery district,slavery new mexico it claim to nbolih slavery district fort araenal dockyard
13,14,49,50,1858-03-04-seq-2.txt,1858-03-04-seq-2.txt,iilii iii expect tn carry tin1 sttjar plantation licre willi I lie hire lalior I lie free slave iii iree lliij slave mi llial island allow,licre willi I lie hire lalior I lie free slave iii iree lliij slave mi llial island allow ikiii rciuaiii lliefe ivoum   tiaiisform
14,3,53,54,1858-03-04-seq-2.txt,1858-03-04-seq-2.txt,  capitulate tin 1 nitilt tact tilrlsavs lliat    first allitnjit revive ilti alviiiii slave tra timlir new form tnali it wlyltli tl,timlir new form tnali it wlyltli tl iriitii   1 slave port tin 1 ii_r111 isnin iiill liiiwvi liicaiis lli ioiiirait wlnclt tl
15,5,63,64,1861-03-08-seq-2.txt,1861-03-08-seq-2.txt,wvbj   mupci aiwr sua ilia gltco non slavery northwestern empire nonslavery section that might line,non slavery northwestern empire nonslavery section that might line the policy however baa push ao far
16,3,81,119,1856-05-29-seq-3.txt,1856-07-17-seq-3.txt,soda ami tfalaratus enough raise again ami net slavery oxeiteuient cigar enough get way vesuvius they re right,soda sidnrutus enough riise again get slavery excitement lijrnrs enough get way vesuvius they re right
17,4,81,135,1856-05-29-seq-3.txt,1856-09-18-seq-4.txt,soda ami tfalaratus enough raise again ami net slavery oxeiteuient cigar enough get way vesuvius they re right,soda salaratus enough raise agnin jet slavery excitement cigar enough get way vesuvius they re right
18,4,81,235,1856-05-29-seq-3.txt,1856-10-23-seq-4.txt,soda ami tfalaratus enough raise again ami net slavery oxeiteuient cigar enough get way vesuvius they re right,  sodu salaratub enough raise again   1 get u slavery excitement cigar enough   get way vesuvius they re right
19,4,81,711,1856-05-29-seq-3.txt,1856-05-08-seq-3.txt,soda ami tfalaratus enough raise again ami net slavery oxeiteuient cigar enough get way vesuvius they re right,sodi salaratus enoiiith raise again get u slavery excitement cigar enough get way vesuvius they re right
