,no_reuse,pair_index1,pair_index2,pair_date1,pair_date2,pair_text1,pair_text2
0,4,34,86,1851-11-01-seq-2.txt,1855-11-03-seq-3.txt,therehy ponlradictiun tho diviuo hiw   1hoii halt deliver unto master servant escape master unto thee,command express term thiat shall nut deliver unto master servant escape master unto thee llo shall dwell among
1,3,34,388,1851-11-01-seq-2.txt,1850-10-26-seq-4.txt,therehy ponlradictiun tho diviuo hiw   1hoii halt deliver unto master servant escape master unto thee,thou kh ait hot okirvnn unto master servant escape master unto thee shall dwell thoc even among
2,4,34,936,1851-11-01-seq-2.txt,1859-09-10-seq-3.txt,therehy ponlradictiun tho diviuo hiw   1hoii halt deliver unto master servant escape master unto thee,onomy 15th 7th verses   thou shalt deliver unto master servant escape master unto thee
3,8,57,58,1858-02-06-seq-2.txt,1858-02-06-seq-2.txt,luxurious master may travel thorough fare attend bis man servant hie maid servant visit water plocesour fashionable,fare attend bis man servant hie maid servant visit water plocesour fashionable hotela receive obsequious coterie
4,4,61,62,1859-03-26-seq-2.txt,1859-03-26-seq-2.txt,seat waht servant maui v any good house servant,waht servant maui v any good house servant plenty ofthem stand here girl j
5,7,75,76,1860-11-24-seq-1.txt,1860-11-24-seq-1.txt,prison yea take jenerally   and take tbeir male man servant tbeir woman maid servant ooneu,and take tbeir male man servant tbeir woman maid servant ooneu bioe which austral tongue doxy
6,3,86,388,1855-11-03-seq-3.txt,1850-10-26-seq-4.txt,command express term thiat shall nut deliver unto master servant escape master unto thee llo shall dwell among,thou kh ait hot okirvnn unto master servant escape master unto thee shall dwell thoc even among
7,4,86,936,1855-11-03-seq-3.txt,1859-09-10-seq-3.txt,command express term thiat shall nut deliver unto master servant escape master unto thee llo shall dwell among,onomy 15th 7th verses   thou shalt deliver unto master servant escape master unto thee
8,6,136,137,1859-08-06-seq-3.txt,1859-08-06-seq-3.txt,viciuity who say longevity increase least among servant body servant gen washington we bave,increase least among servant body servant gen washington we bave read tomb wherein repose the last
9,8,169,367,1858-01-30-seq-4.txt,1858-02-20-seq-4.txt,mo agent holt county make 8 20 per day humble servant mnde since seventh day last january,mo agent holt county make 8 20 per day humble servant mude since seventh day last january
10,3,169,1134,1858-01-30-seq-4.txt,1858-04-17-seq-4.txt,mo agent holt county make 8 20 per day humble servant mnde since seventh day last january,mo agent holt county make 8 25 per day humble servant mde since seventh day last january
11,4,214,363,1858-06-05-seq-4.txt,1858-01-23-seq-4.txt,mo agente holt counij make 8 25 per day bumble servant make since seventh day last january,mo apcnt holt county make 8 25 per day bumble servant nude since seventh day last january
12,4,214,851,1858-06-05-seq-4.txt,1858-06-26-seq-4.txt,mo agente holt counij make 8 25 per day bumble servant make since seventh day last january,mo agent holt county aro make 8 25 per day humble servant make since seventh day last january
13,5,214,1272,1858-06-05-seq-4.txt,1858-05-29-seq-4.txt,mo agente holt counij make 8 25 per day bumble servant make since seventh day last january,mo agent holt county make 8 25 per day bumble servant make since tho seventh day inst january
14,3,229,363,1858-07-03-seq-4.txt,1858-01-23-seq-4.txt,mo agent holt county make 8 25 per day nnd bumble servant hns make since seventh day nf inst january,mo apcnt holt county make 8 25 per day bumble servant nude since seventh day last january
15,5,229,487,1858-07-03-seq-4.txt,1858-02-13-seq-4.txt,mo agent holt county make 8 25 per day nnd bumble servant hns make since seventh day nf inst january,mo agent holt county make 8 25 per day humble servant make since tho seventh day last january
16,5,229,1134,1858-07-03-seq-4.txt,1858-04-17-seq-4.txt,mo agent holt county make 8 25 per day nnd bumble servant hns make since seventh day nf inst january,mo agent holt county make 8 25 per day humble servant mde since seventh day last january
17,5,229,1272,1858-07-03-seq-4.txt,1858-05-29-seq-4.txt,mo agent holt county make 8 25 per day nnd bumble servant hns make since seventh day nf inst january,mo agent holt county make 8 25 per day bumble servant make since tho seventh day inst january
