,no_reuse,pair_index1,pair_index2,pair_date1,pair_date2,pair_text1,pair_text2
0,5,5,283,1854-07-14-seq-3.txt,1854-07-21-seq-3.txt,lous tumor swelling throat long stand two servant remove short time I con,lous tumor swelling throat long stand two tny servant remove short time I con
1,6,6,84,1854-07-14-seq-3.txt,1854-06-02-seq-3.txt,charge roard per day 125 per week 7 per month 25 child nnd servant half price asa watson,ciiahok hoard per day 125 per week 7 per month 25 i hildivn servant half price asa watson
2,3,6,117,1854-07-14-seq-3.txt,1854-07-28-seq-3.txt,charge roard per day 125 per week 7 per month 25 child nnd servant half price asa watson,oianok hoard per day 125 per week tl per month f 25 I hildren nnd servant half price asa watson
3,4,6,163,1854-07-14-seq-3.txt,1854-08-11-seq-4.txt,charge roard per day 125 per week 7 per month 25 child nnd servant half price asa watson,charuks board per day f 126 per week 7 per month 25 child servant half price asa watson
4,7,6,175,1854-07-14-seq-3.txt,1854-06-23-seq-3.txt,charge roard per day 125 per week 7 per month 25 child nnd servant half price asa watson,ciiahok bonrd per day 125 per week 7 per month 25 ihildron nnd servant half price asa watson
5,6,6,284,1854-07-14-seq-3.txt,1854-07-21-seq-3.txt,charge roard per day 125 per week 7 per month 25 child nnd servant half price asa watson,cfunora bonrd per day 125 per week 7 per month 25 I hildren servant half price asa watson
6,6,6,404,1854-07-14-seq-3.txt,1854-08-04-seq-3.txt,charge roard per day 125 per week 7 per month 25 child nnd servant half price asa watson,ciiarum board per day 125 per week 7 per month 25 I hildren servant half price asa watson
7,5,6,433,1854-07-14-seq-3.txt,1854-05-26-seq-3.txt,charge roard per day 125 per week 7 per month 25 child nnd servant half price asa watson,ciiauoks board per day 125 per week 7 per mouth i3 hildren nnd servant half price asa watson
8,3,46,117,1854-06-09-seq-3.txt,1854-07-28-seq-3.txt,ciiarqrs board per day t25f per week 7 per month f 25 I hildren servant half price asa watson,oianok hoard per day 125 per week tl per month f 25 I hildren nnd servant half price asa watson
9,5,46,284,1854-06-09-seq-3.txt,1854-07-21-seq-3.txt,ciiarqrs board per day t25f per week 7 per month f 25 I hildren servant half price asa watson,cfunora bonrd per day 125 per week 7 per month 25 I hildren servant half price asa watson
