,no_reuse,pair_index1,pair_index2,pair_date1,pair_date2,pair_text1,pair_text2
0,3,8,10,1862-12-12-seq-1.txt,1862-12-12-seq-1.txt,slave representation rendition fugitive slave feature consti tution condemn abhor,embrace state the ratio slave representation rendition fugitive slave feature consti
1,7,15,16,1854-02-17-seq-1.txt,1854-02-17-seq-1.txt,louisiana lo full force new public under ode tho soil slave woman bom louisiana make slave,public under ode tho soil slave woman bom louisiana make slave n person hold slave iu another state
2,8,16,17,1854-02-17-seq-1.txt,1854-02-17-seq-1.txt,public under ode tho soil slave woman bom louisiana make slave n person hold slave iu another state,woman bom louisiana make slave n person hold slave iu another state take louisiana remain n slave by
3,3,16,18,1854-02-17-seq-1.txt,1854-02-17-seq-1.txt,public under ode tho soil slave woman bom louisiana make slave n person hold slave iu another state,n person hold slave iu another state take louisiana remain n slave by walker decree slntcrr hindu quite law
4,9,17,18,1854-02-17-seq-1.txt,1854-02-17-seq-1.txt,woman bom louisiana make slave n person hold slave iu another state take louisiana remain n slave by,n person hold slave iu another state take louisiana remain n slave by walker decree slntcrr hindu quite law
5,6,20,26,1856-02-22-seq-2.txt,1856-02-22-seq-2.txt,first right citizen slave hold state carry slave non slave oldiug state fur temporary sojourn,burt tim point particularly issue lira first right citizen slave hold state carry slave non slave
6,3,69,70,1856-10-17-seq-2.txt,1856-10-17-seq-2.txt,democrat paper suid they coll proslavery mnn but I nm like you oppose slnvery nnd rejoice,nm like you oppose slnvery nnd rejoice policy make slaveholde state seveuty year ngo free state
7,4,98,452,1854-06-02-seq-4.txt,1854-05-19-seq-4.txt,foot 8 9 inch high the owner snid slave hereby notify come ward prove property pay charge tnko,fect 8 9 inch inch the owner say slave hereby notify come ward prove property pay enarge ano mare
8,3,98,1413,1854-06-02-seq-4.txt,1854-07-28-seq-4.txt,foot 8 9 inch high the owner snid slave hereby notify come ward prove property pay charge tnko,foot sort inch lush 1 lie owner say slave herehy notify come ward prove property pay charge aim take
9,5,98,1890,1854-06-02-seq-4.txt,1854-08-11-seq-4.txt,foot 8 9 inch high the owner snid slave hereby notify come ward prove property pay charge tnko,foot 8 9 inch liieh the owner say slave hereby notify come ward prove property pay charge take
10,5,98,2108,1854-06-02-seq-4.txt,1854-08-18-seq-4.txt,foot 8 9 inch high the owner snid slave hereby notify come ward prove property pay charge tnko,foot 8 tf inch hiuh the owner say slave hereby notify come ward prove property pay charge take
11,4,98,2573,1854-06-02-seq-4.txt,1854-08-25-seq-4.txt,foot 8 9 inch high the owner snid slave hereby notify come ward prove property pay charge tnko,font sfru innliaa link tl say slave hereby notify come ward prove property pay chnrtre take
12,8,98,2706,1854-06-02-seq-4.txt,1854-06-23-seq-4.txt,foot 8 9 inch high the owner snid slave hereby notify come ward prove property pay charge tnko,foot 8 9 inch high the owner say slave hereby notify come ward prove property pay charge take
13,5,98,3567,1854-06-02-seq-4.txt,1854-06-09-seq-4.txt,foot 8 9 inch high the owner snid slave hereby notify come ward prove property pay charge tnko,foot 8 tf inch hiiili the owner say slave hereby notify come ward prove property pay charge take
14,5,98,4109,1854-06-02-seq-4.txt,1854-04-21-seq-3.txt,foot 8 9 inch high the owner snid slave hereby notify come ward prove property pay charge tnko,foot 8   inch high the owner say slave hereby notify come ward prove property pay charge lake
15,8,98,4224,1854-06-02-seq-4.txt,1854-07-07-seq-4.txt,foot 8 9 inch high the owner snid slave hereby notify come ward prove property pay charge tnko,foot 8 9 inch high the owner say slave hereby notify come ward prove property pay charge take
16,3,98,4959,1854-06-02-seq-4.txt,1854-07-21-seq-4.txt,foot 8 9 inch high the owner snid slave hereby notify come ward prove property pay charge tnko,foot 8 9 inch hiirh tho owner say slave hereby notify come ward prove property pav charge take
17,5,98,5034,1854-06-02-seq-4.txt,1854-08-04-seq-4.txt,foot 8 9 inch high the owner snid slave hereby notify come ward prove property pay charge tnko,foot 8 9 inch hitrh the owner say slave hereby notify come ward prove property pay charge take
18,5,130,131,1860-08-17-seq-1.txt,1860-08-17-seq-1.txt,defend tho institution shivery right   good slave slave holder see speech gth july,right   good slave slave holder see speech gth july 1830
19,4,133,134,1860-08-17-seq-1.txt,1860-08-17-seq-1.txt,sion union state whether free slave fairly form constitu tion   if ft free state ho would admit,tion   if ft free state ho would admit promptly   recognize slavery ho would insist upon admission see
20,3,145,146,1861-07-26-seq-3.txt,1861-07-26-seq-3.txt,senator pomeroy bill suppress tho slaveholder rebellion   set forth preamble slavery cul,slaveholder rebellion   set forth preamble slavery cul minate rebellion nnd tho pre
21,3,210,1005,1861-02-22-seq-2.txt,1861-04-05-seq-1.txt,illegality place upon institution slavery fundamental law ngainst slare trade in opin,illegality place upon institution slavery fundamental law ugiiiist tho slave tradd ill opin
22,5,213,214,1851-09-19-seq-2.txt,1851-09-19-seq-2.txt,groe tlky endeavor ar rest fugitive slave edward gorsuch owner slave son name,rest fugitive slave edward gorsuch owner slave son name two give there
23,5,227,229,1861-02-15-seq-1.txt,1861-02-15-seq-1.txt,would never become slave territory fact thatitisnotuefnpte toslave labor it produce neii cqtton orenne north,hundred ami ten thousand square mile would never become slave territory fact thatitisnotuefnpte toslave labor
24,5,234,243,1859-05-06-seq-2.txt,1859-05-06-seq-2.txt,matter right south hold slave why fact be that several southern state slaveholder,slave why fact be that several southern state slaveholder tho uncontrolle right
25,5,236,253,1859-05-06-seq-2.txt,1859-05-06-seq-2.txt,tho imminent risk rebellion insurrection among tho slave will soy south slavery ought,insurrection among tho slave will soy south slavery ought bo mado question all question
26,7,263,266,1854-09-01-seq-2.txt,1854-09-01-seq-2.txt,society say thut not slaveholder mis souri yet move slave kan sas columbia south carolinian,sort general auent thj emigration aid society say thut not slaveholder mis souri yet move slave kan
27,4,297,300,1858-06-18-seq-1.txt,1858-06-18-seq-1.txt,la sprat t slave trade garnie la english la kansas slsve trade dish manner style one likely,upon slave trade slave trade la yanoey slave trade la prj or slave trade la sprat t slave trade garnie la english
28,9,297,301,1858-06-18-seq-1.txt,1858-06-18-seq-1.txt,la sprat t slave trade garnie la english la kansas slsve trade dish manner style one likely,yanoey slave trade la prj or slave trade la sprat t slave trade garnie la english la kansas slsve trade dish
29,10,299,300,1858-06-18-seq-1.txt,1858-06-18-seq-1.txt,gomery I find order day feast upon slave trade slave trade la yanoey slave trade la prj or slave trade,upon slave trade slave trade la yanoey slave trade la prj or slave trade la sprat t slave trade garnie la english
30,4,299,301,1858-06-18-seq-1.txt,1858-06-18-seq-1.txt,gomery I find order day feast upon slave trade slave trade la yanoey slave trade la prj or slave trade,yanoey slave trade la prj or slave trade la sprat t slave trade garnie la english la kansas slsve trade dish
31,12,300,301,1858-06-18-seq-1.txt,1858-06-18-seq-1.txt,upon slave trade slave trade la yanoey slave trade la prj or slave trade la sprat t slave trade garnie la english,yanoey slave trade la prj or slave trade la sprat t slave trade garnie la english la kansas slsve trade dish
32,5,309,310,1862-04-04-seq-2.txt,1862-04-04-seq-2.txt,different standing tend direemy anti slavery rosalt million itee dom one cent slavery,anti slavery rosalt million itee dom one cent slavery   such speech need comment
33,5,335,337,1858-12-17-seq-3.txt,1858-12-17-seq-3.txt,announce copture another slaver fresh coast africa the alavea land neighborhood savannah,another slaver the savannah paper announce copture another slaver fresh coast africa the alavea
34,7,345,346,1858-06-25-seq-3.txt,1858-06-25-seq-3.txt,token party land murk future ws may safely conclude m slavery slave oligarchy mdre scott su,ws may safely conclude m slavery slave oligarchy mdre scott su preme court constitute tho lead
35,9,361,362,1854-06-23-seq-2.txt,1854-06-23-seq-2.txt,liberty aro often nllowcd slave bv thoso few this slave nnd two small freo negro boy hire,slave bv thoso few this slave nnd two small freo negro boy hire moore work crop farm
36,9,370,371,1858-11-05-seq-1.txt,1858-11-05-seq-1.txt,tluit tki slave wuwiiutdlie lliereby elf wally slop thi barjer slaca sltle maje fret slate inst nut leasl n rnure ex,peacefpt aiinisition iifcubu tiii ground tluit tki slave wuwiiutdlie lliereby elf wally slop thi barjer slaca sltle maje
37,8,380,381,1861-09-06-seq-3.txt,1861-09-06-seq-3.txt,hire return ac say slavos they slave belong minor hnlrs it mcuhee decease,quire give bund wilh ample security lhe hire return ac say slavos they slave belong minor hnlrs it mcuhee
38,5,401,402,1858-10-15-seq-2.txt,1858-10-15-seq-2.txt,to southern fireeater w ho preaches ihe protection slavery lest question democracy extension ot slavery,ihe protection slavery lest question democracy extension ot slavery paramount duty government
39,4,431,434,1859-12-09-seq-1.txt,1859-12-09-seq-1.txt,tho supreme court tho right carry slave tho territory und slavery protect   first territorial,slave tho territory und slavery protect   first territorial legislature fail congress
40,5,437,452,1854-04-28-seq-3.txt,1854-05-19-seq-4.txt,arsa feet s inch high the owner say slave hereby notify come ward prove proper v pav chnrire take,fect 8 9 inch inch the owner say slave hereby notify come ward prove property pay enarge ano mare
41,5,437,1890,1854-04-28-seq-3.txt,1854-08-11-seq-4.txt,arsa feet s inch high the owner say slave hereby notify come ward prove proper v pav chnrire take,foot 8 9 inch liieh the owner say slave hereby notify come ward prove property pay charge take
42,5,437,2107,1854-04-28-seq-3.txt,1854-04-14-seq-3.txt,arsa feet s inch high the owner say slave hereby notify come ward prove proper v pav chnrire take,foot 8 l inch high the owner say slave hereby notify come for ward prove property pay charge aud tako
43,5,437,2108,1854-04-28-seq-3.txt,1854-08-18-seq-4.txt,arsa feet s inch high the owner say slave hereby notify come ward prove proper v pav chnrire take,foot 8 tf inch hiuh the owner say slave hereby notify come ward prove property pay charge take
44,3,437,2573,1854-04-28-seq-3.txt,1854-08-25-seq-4.txt,arsa feet s inch high the owner say slave hereby notify come ward prove proper v pav chnrire take,font sfru innliaa link tl say slave hereby notify come ward prove property pay chnrtre take
45,7,437,2706,1854-04-28-seq-3.txt,1854-06-23-seq-4.txt,arsa feet s inch high the owner say slave hereby notify come ward prove proper v pav chnrire take,foot 8 9 inch high the owner say slave hereby notify come ward prove property pay charge take
46,5,437,3567,1854-04-28-seq-3.txt,1854-06-09-seq-4.txt,arsa feet s inch high the owner say slave hereby notify come ward prove proper v pav chnrire take,foot 8 tf inch hiiili the owner say slave hereby notify come ward prove property pay charge take
47,4,437,4054,1854-04-28-seq-3.txt,1854-04-07-seq-3.txt,arsa feet s inch high the owner say slave hereby notify come ward prove proper v pav chnrire take,foot   inch high the owner say slave hereby notify conic tor ward prove properly pay charge take
