,no_reuse,pair_index1,pair_index2,pair_date1,pair_date2,pair_text1,pair_text2
0,3,7,2822,1862-07-24-seq-1.txt,1862-10-02-seq-1.txt,war shall forever tree servitude hold slave sec 10 and enact,shall forever free servitude hold slave sec 10 and enact
1,3,9,2825,1862-07-24-seq-1.txt,1862-10-02-seq-1.txt,sec 10 and enact that slave escape state territory district columbia,sec 10 and enact that slave escape stsxe territory district columbia
2,4,31,32,1859-04-07-seq-2.txt,1859-04-07-seq-2.txt,spain   when proslavery party fail establish slavery oregon mr,when proslavery party fail establish slavery oregon mr buchanan make leader unite
3,4,36,306,1858-06-03-seq-4.txt,1858-05-27-seq-3.txt,abstract merely united btates regard less fact slave powerless caste belong loathe downtrodden race,abstract merely united states regard less fact slave powerless caste belong loathe and downtrodden race
4,4,47,423,1864-04-07-seq-2.txt,1862-12-11-seq-2.txt,the new poller war in give frttdom slave ensure free dom free honorable alike give,the new pol lev war give freedom slave ensure free dom free honorable alike give
5,4,47,429,1864-04-07-seq-2.txt,1862-12-11-seq-2.txt,the new poller war in give frttdom slave ensure free dom free honorable alike give,honest righteous patriotic chiefmagistrate   in give freedom slave ensure free dom free honorable alike give
6,3,47,528,1864-04-07-seq-2.txt,1863-06-04-seq-2.txt,the new poller war in give frttdom slave ensure free dom free honorable alike give,the new policy war in give frttdom slave ensure free rnm free honorable alike gin
7,5,47,551,1864-04-07-seq-2.txt,1863-05-07-seq-2.txt,the new poller war in give frttdom slave ensure free dom free honorable alike give,  the new poller war in girij freedom slave ensure free dom free honorable alike give
8,3,47,1162,1864-04-07-seq-2.txt,1863-10-15-seq-2.txt,the new poller war in give frttdom slave ensure free dom free honorable alike give,the new policy war in give freedom slave ensure free dom free honorable alike tee give
9,3,47,1255,1864-04-07-seq-2.txt,1863-10-01-seq-2.txt,the new poller war in give frttdom slave ensure free dom free honorable alike give,the mew policy war in give freedom slave wt ensure free dom free honorable alike give
10,4,47,2123,1864-04-07-seq-2.txt,1863-12-17-seq-2.txt,the new poller war in give frttdom slave ensure free dom free honorable alike give,the new pollcv war give freedom slave ensure free dom free honorable alike give
11,3,47,2623,1864-04-07-seq-2.txt,1863-05-14-seq-2.txt,the new poller war in give frttdom slave ensure free dom free honorable alike give,the new policy war in give freedom slave ensure free dom free honorable alike tee give
12,5,47,2827,1864-04-07-seq-2.txt,1864-01-14-seq-2.txt,the new poller war in give frttdom slave ensure free dom free honorable alike give,the new poller war in fire freedom slave ensure free dom free honorable alike give
13,3,47,4104,1864-04-07-seq-2.txt,1863-04-16-seq-2.txt,the new poller war in give frttdom slave ensure free dom free honorable alike give,the new hartley war in give fretdtm slave ut ensure free dom free honorable alike give
14,3,47,4263,1864-04-07-seq-2.txt,1863-04-09-seq-2.txt,the new poller war in give frttdom slave ensure free dom free honorable alike give,the new poller wr in fire freedom slave ensure free dom free honorable alike giee
15,3,47,4343,1864-04-07-seq-2.txt,1863-06-18-seq-2.txt,the new poller war in give frttdom slave ensure free dom free honorable alike give,the new policy war in give freedom slave ensure free dom free honorable alike hat cm give
16,4,50,51,1860-06-21-seq-1.txt,1860-06-21-seq-1.txt,specie property prohibit ed carry slave foreign country utterly condemn slave,ed carry slave foreign country utterly condemn slave slavery article commerce
17,3,51,75,1860-06-21-seq-1.txt,1860-06-21-seq-1.txt,ed carry slave foreign country utterly condemn slave slavery article commerce,country utterly condemn slave slavery article commerce in 1798 ten year netore congress
18,4,60,97,1860-06-21-seq-1.txt,1860-06-21-seq-1.txt,slavery texas all scheme slave power carry slave texe mexican law en,influence procure abolition slavery texas all scheme slave power carry slave
19,6,83,84,1860-06-21-seq-1.txt,1860-06-21-seq-1.txt,establish perpetuate institution slavery this influence I shall de nominate   slave power perhaps,slavery this influence I shall de nominate   slave power perhaps first attempt control demo
