,no_reuse,pair_index1,pair_index2,pair_date1,pair_date2,pair_text1,pair_text2
0,3,0,4574,1859-10-15-seq-3.txt,1859-10-13-seq-3.txt,tkrfor personal propertyexcept slave cash require sum 20 cash amount 6 month,tik mfor personal property except slave cash lie require sum 20 cash amount 6 month
1,4,0,11786,1859-10-15-seq-3.txt,1859-10-12-seq-3.txt,tkrfor personal propertyexcept slave cash require sum 20 cash amount 6 month,tkkmfor personal propertyexcept slave lor cash require sum 20 cash amount 6 month
2,7,0,25006,1859-10-15-seq-3.txt,1859-10-10-seq-3.txt,tkrfor personal propertyexcept slave cash require sum 20 cash amount 6 month,termfor personal propertyexcept slave cash require sum 20 cash amount 6 month
3,9,2,3,1854-04-28-seq-2.txt,1854-04-28-seq-2.txt,tod hot little say the charge counselling end aid joshua slave wm oraeor robert slave geo iv gilliam alexander slave,end aid joshua slave wm oraeor robert slave geo iv gilliam alexander slave mrs n metterd escape owner
4,6,7,585,1854-10-28-seq-4.txt,1855-01-06-seq-1.txt,burg potouiac railroad company 2d october slave name george gaine he 5 foot 6 inch height brown skin,burg potomac railroad company 2d october slave name george gaine be I 5 foot 6 inch height brown kin
5,3,7,1195,1854-10-28-seq-4.txt,1854-11-25-seq-1.txt,burg potouiac railroad company 2d october slave name george gaine he 5 foot 6 inch height brown skin,burg potomac railroad company 2d october clave name george gaine he ii 5 foot 6 inch height brown skin
6,4,7,1318,1854-10-28-seq-4.txt,1854-12-18-seq-4.txt,burg potouiac railroad company 2d october slave name george gaine he 5 foot 6 inch height brown skin,burg potomac railroad company 2d october slave name george gaineb he 5 foot 6 inch in height brown akin
7,12,7,1915,1854-10-28-seq-4.txt,1854-10-25-seq-4.txt,burg potouiac railroad company 2d october slave name george gaine he 5 foot 6 inch height brown skin,burg potomac railroad company 2d october slave name george gaine he 5 foot 6 inch height brown skin
8,4,7,2920,1854-10-28-seq-4.txt,1854-12-15-seq-4.txt,burg potouiac railroad company 2d october slave name george gaine he 5 foot 6 inch height brown skin,burg potomac railroad company 2d october alave name george gaineb he 5 foot 6 inch height brown skin
9,8,7,3024,1854-10-28-seq-4.txt,1854-11-16-seq-4.txt,burg potouiac railroad company 2d october slave name george gaine he 5 foot 6 inch height brown skin,burg potomac railroad company 2d october slave name george gaine he abont 5 foot 6 inch height brown skin
10,12,7,4234,1854-10-28-seq-4.txt,1854-11-09-seq-4.txt,burg potouiac railroad company 2d october slave name george gaine he 5 foot 6 inch height brown skin,burg potomac railroad company 2d october slave name george gaine he 5 foot 6 inch height brown skin
11,5,7,6367,1854-10-28-seq-4.txt,1854-10-23-seq-4.txt,burg potouiac railroad company 2d october slave name george gaine he 5 foot 6 inch height brown skin,burg potomac railroad company 2d october slave name george gaine he foot ti inch height browa skin
12,4,7,7901,1854-10-28-seq-4.txt,1854-11-30-seq-1.txt,burg potouiac railroad company 2d october slave name george gaine he 5 foot 6 inch height brown skin,burg potomac railroad company 2d ot october slave name george gaine he 5 foot   inch height brown shin
13,5,7,8421,1854-10-28-seq-4.txt,1854-11-24-seq-1.txt,burg potouiac railroad company 2d october slave name george gaine he 5 foot 6 inch height brown skin,burg potomac railroad company 2d october slave name george gaine he abour 5 foot t inch height brown skin
14,7,7,8474,1854-10-28-seq-4.txt,1854-12-19-seq-4.txt,burg potouiac railroad company 2d october slave name george gaine he 5 foot 6 inch height brown skin,burg potomac railroad company 2d october slave name george gaine he 1 5 foot 6 inch height brown ikin
15,12,7,8851,1854-10-28-seq-4.txt,1854-10-30-seq-4.txt,burg potouiac railroad company 2d october slave name george gaine he 5 foot 6 inch height brown skin,burg potomac railroad company 2d october slave name george gaine he 5 foot 6 inch height brown skin
16,8,7,9052,1854-10-28-seq-4.txt,1854-10-24-seq-4.txt,burg potouiac railroad company 2d october slave name george gaine he 5 foot 6 inch height brown skin,burg potomac railroad company 2d october slave name george gaine he 5 foot 6 inchee height brown skin
17,5,7,9675,1854-10-28-seq-4.txt,1855-01-01-seq-4.txt,burg potouiac railroad company 2d october slave name george gaine he 5 foot 6 inch height brown skin,burg potomao railroad companyon llie 2d october slave name george gaine lie ia 5 foot 6 inch height brown skin
18,8,7,9999,1854-10-28-seq-4.txt,1854-12-14-seq-4.txt,burg potouiac railroad company 2d october slave name george gaine he 5 foot 6 inch height brown skin,burg potomac railroad company 2d october slave name george gaine he 5 foot 6 incbea height brown tkin
19,5,7,10047,1854-10-28-seq-4.txt,1854-11-29-seq-1.txt,burg potouiac railroad company 2d october slave name george gaine he 5 foot 6 inch height brown skin,burg potomac railroad company 2d october slave name george gaine he f foot tj inch height brown skin
20,5,7,10578,1854-10-28-seq-4.txt,1854-11-22-seq-1.txt,burg potouiac railroad company 2d october slave name george gaine he 5 foot 6 inch height brown skin,hir potomac railroad company 2d october slave name george gaine he I nrjout r   foot j inchep heipht brown skin
21,3,7,11955,1854-10-28-seq-4.txt,1854-11-17-seq-1.txt,burg potouiac railroad company 2d october slave name george gaine he 5 foot 6 inch height brown skin,burg aud potomac railroad company 2d october slave name george gainfb pie 5 foot ti inch height brown skin
22,12,7,12546,1854-10-28-seq-4.txt,1854-10-17-seq-4.txt,burg potouiac railroad company 2d october slave name george gaine he 5 foot 6 inch height brown skin,burg potomae railroad company 2d october slave name george gaine he 5 foot 6 inch height brown skin
