,no_reuse,pair_index1,pair_index2,pair_date1,pair_date2,pair_text1,pair_text2
0,5,6,79,1855-01-03-seq-3.txt,1855-02-14-seq-3.txt,thoroughly renovate repaired   good I faithful servant shall always attendance guest house shall want,thoroughly renovate repaired   good faithful servant shall always attendance guest house shall want
1,4,6,440,1855-01-03-seq-3.txt,1855-01-17-seq-4.txt,thoroughly renovate repaired   good I faithful servant shall always attendance guest house shall want,thoroughly renovate repaired   good fathful servant shall always attendance guest house shall want
2,5,6,443,1855-01-03-seq-3.txt,1855-03-07-seq-3.txt,thoroughly renovate repaired   good I faithful servant shall always attendance guest house shall want,thoroughly renovate repaired good faithful servant shall always attendance guest house shall want
3,5,6,756,1855-01-03-seq-3.txt,1855-01-03-seq-4.txt,thoroughly renovate repaired   good I faithful servant shall always attendance guest house shall want,thoroughly renovate repaired   good faithful servant shall always attendance guest house shall want
4,8,14,102,1857-08-26-seq-4.txt,1857-07-29-seq-3.txt,gratify taste epicurean supply abundance the servant carolina hotel note polite attentivechar,gratify taste epicurean supply abundance the servant carolina hotel note polite attentivechar
5,6,14,186,1857-08-26-seq-4.txt,1857-09-02-seq-3.txt,gratify taste epicurean supply abundance the servant carolina hotel note polite attentivechar,gratify taste epicurean supply abundance the servant carolina hotel note tk ir polite ana attentive char
6,3,14,458,1857-08-26-seq-4.txt,1858-12-08-seq-4.txt,gratify taste epicurean supply abundance the servant carolina hotel note polite attentivechar,requisite gratify taste epicurean supply abundance the servant carol ina hotel note polite
7,7,14,569,1857-08-26-seq-4.txt,1857-06-10-seq-3.txt,gratify taste epicurean supply abundance the servant carolina hotel note polite attentivechar,gratify taste epicurean supply abundance the servant carolina hotel note polite attentive char
8,6,14,653,1857-08-26-seq-4.txt,1858-05-05-seq-3.txt,gratify taste epicurean supply abundance the servant carolina hotel note polite attentivechar,requisite gratify the taste epicurean supply abundance the servant carolina hotel note polite
9,6,14,698,1857-08-26-seq-4.txt,1858-09-01-seq-4.txt,gratify taste epicurean supply abundance the servant carolina hotel note polite attentivechar,requisite gratify taste epicurean supply abundance the servant carolina hotel note theirpolite
10,3,14,723,1857-08-26-seq-4.txt,1858-12-01-seq-4.txt,gratify taste epicurean supply abundance the servant carolina hotel note polite attentivechar,reqgite gratify taste epicurean supply abundance the servant c a rolina hotel note polite
11,3,14,766,1857-08-26-seq-4.txt,1858-08-25-seq-4.txt,gratify taste epicurean supply abundance the servant carolina hotel note polite attentivechar,requisite gratify taste epicurean supply abundance the servant the c a rolina iiotel note polite
12,7,14,770,1857-08-26-seq-4.txt,1857-07-15-seq-3.txt,gratify taste epicurean supply abundance the servant carolina hotel note polite attentivechar,gratify taste epicurean supply abundance the servant carolina hotel note polite attentiveohar
13,3,14,971,1857-08-26-seq-4.txt,1858-09-15-seq-4.txt,gratify taste epicurean supply abundance the servant carolina hotel note polite attentivechar,requisite gratify taste epicurean supply abundance the servant ofthe carotina hotel note politepnd
14,3,14,1116,1857-08-26-seq-4.txt,1857-09-09-seq-3.txt,gratify taste epicurean supply abundance the servant carolina hotel note polite attentivechar,gratiry taste epicurean supply abundance the servant carolina otl note polite attentiveechar
15,7,14,1157,1857-08-26-seq-4.txt,1857-08-05-seq-3.txt,gratify taste epicurean supply abundance the servant carolina hotel note polite attentivechar,gratify taste epicurean supply abundance the servant carolina hotel note polite attentiveebar
16,3,14,1247,1857-08-26-seq-4.txt,1857-07-22-seq-3.txt,gratify taste epicurean supply abundance the servant carolina hotel note polite attentivechar,gratify taste epicurean suplie in abundance the servant carolina hotel note polite attentive char
17,3,15,150,1858-05-05-seq-4.txt,1858-07-07-seq-4.txt,a variety good man boy wear plaid stripe servant french english american print,a variety good man boy wear pla ids striple servant   french english american print
18,3,15,268,1858-05-05-seq-4.txt,1858-05-26-seq-4.txt,a variety good man boy wear plaid stripe servant french english american print,a variety good man boy wear plaid stripes servant french englishiand american print
19,4,15,433,1858-05-05-seq-4.txt,1858-05-12-seq-4.txt,a variety good man boy wear plaid stripe servant french english american print,a variety good man boy wear plaid stripes servant   french english american print
20,3,15,490,1858-05-05-seq-4.txt,1858-07-14-seq-4.txt,a variety good man boy wear plaid stripe servant french english american print,a variety good man boy wear piid stripe servant   french english american pilnt
21,3,15,567,1858-05-05-seq-4.txt,1858-06-30-seq-5.txt,a variety good man boy wear plaid stripe servant french english american print,a variety good man boy wear   pla ids stripes servant french english american print
22,3,15,742,1858-05-05-seq-4.txt,1858-07-28-seq-4.txt,a variety good man boy wear plaid stripe servant french english american print,a variety good man boy wear plaid stripes fir servanta   french english american print
23,3,15,768,1858-05-05-seq-4.txt,1858-07-21-seq-4.txt,a variety good man boy wear plaid stripe servant french english american print,a variety good man boy wear   il ids stripes servant   french english american print
24,7,15,1132,1858-05-05-seq-4.txt,1858-06-30-seq-6.txt,a variety good man boy wear plaid stripe servant french english american print,a variety good man boy wear plaid stripe servant french english america print ii
25,7,15,1138,1858-05-05-seq-4.txt,1858-05-19-seq-4.txt,a variety good man boy wear plaid stripe servant french english american print,a variety good man boy wear plaid stripe servant french english dad american print
26,5,15,1153,1858-05-05-seq-4.txt,1858-06-02-seq-4.txt,a variety good man boy wear plaid stripe servant french english american print,a variety geod man boy wear plaid stripe servant french english american pint
27,3,15,1234,1858-05-05-seq-4.txt,1858-04-14-seq-2.txt,a variety good man boy wear plaid stripe servant french english american print,a variety good man boy trear plaid stripe servant   french english american pint
28,3,19,101,1858-11-24-seq-3.txt,1858-07-21-seq-3.txt,tolerably quick speak he raise in tlh kumse be valuable diningroom servant good ostler,tolerably quick speak he raise house be valuable diningroom servant good ostler
29,3,21,22,1851-12-25-seq-2.txt,1851-12-25-seq-2.txt,self frielndly   mlistress sceurinlg al tachmnent lher servant hlonest enokavor I obey thle requlirm1ent thle gospel ill   giv,obey thle requlirm1ent thle gospel ill   giv ing unto servant wthich equal know thlat shle also master ill
30,3,37,169,1858-11-17-seq-4.txt,1858-12-15-seq-4.txt,quisite gratify taste epicurean e supply abundance the servant   rolina liotel arc note polite,equisito gratify thu taste epicurean e supply abundance the servant iarolina 110tel note polite
31,3,38,101,1858-11-17-seq-4.txt,1858-07-21-seq-3.txt,tolerably quick speak he raise house valuable diningroom servant good ostler,tolerably quick speak he raise house be valuable diningroom servant good ostler
32,3,38,210,1858-11-17-seq-4.txt,1858-10-20-seq-4.txt,tolerably quick speak he raise house valuable diningroom servant good ostler,tolerably quick speak he raise house valuable diningraoom servant coe ostler
33,3,38,325,1858-11-17-seq-4.txt,1858-10-27-seq-4.txt,tolerably quick speak he raise house valuable diningroom servant good ostler,tolerably quick speak he raise house valuable diningrom servant good ostler
34,5,38,346,1858-11-17-seq-4.txt,1858-12-08-seq-3.txt,tolerably quick speak he raise house valuable diningroom servant good ostler,tolerably quick speak he raise house valuable diningroom servant ad good ostler
35,4,38,502,1858-11-17-seq-4.txt,1858-06-30-seq-3.txt,tolerably quick speak he raise house valuable diningroom servant good ostler,tolerably quick spokenl he raise house valuable diningroom servant good ostler
36,5,38,849,1858-11-17-seq-4.txt,1858-07-14-seq-3.txt,tolerably quick speak he raise house valuable diningroom servant good ostler,tolerably quick speak he raise house valuable diningroom servant stand ostler
37,7,38,1033,1858-11-17-seq-4.txt,1858-09-08-seq-4.txt,tolerably quick speak he raise house valuable diningroom servant good ostler,tolerably quick speak he raise house valuable diningroom servant good ostler
