,no_reuse,pair_index1,pair_index2,pair_date1,pair_date2,pair_text1,pair_text2
0,7,0,27,1855-05-24-seq-4.txt,1855-11-29-seq-4.txt,furnish good country af fords room neat good order servant obedient readv wait friend,furnish good country af fords room neat good order servant obedient ready wait friend
1,10,0,39,1855-05-24-seq-4.txt,1855-10-11-seq-4.txt,furnish good country af fords room neat good order servant obedient readv wait friend,furnish good country af fords room neat good order servant obedient readv wait friend
2,6,0,40,1855-05-24-seq-4.txt,1855-05-17-seq-4.txt,furnish good country af fords room neat good order servant obedient readv wait friend,furnish good country af fords room neat good order servant lliw    tt
3,3,0,53,1855-05-24-seq-4.txt,1855-06-07-seq-4.txt,furnish good country af fords room neat good order servant obedient readv wait friend,furnish good country afr fords room neat good order servant obedient ready wait friend
4,7,0,69,1855-05-24-seq-4.txt,1855-05-10-seq-4.txt,furnish good country af fords room neat good order servant obedient readv wait friend,furnish good country af fords room neat good order servant obedient feadv wait friend
5,4,0,72,1855-05-24-seq-4.txt,1855-11-01-seq-4.txt,furnish good country af fords room neat good order servant obedient readv wait friend,furnish good as conntry af fords room neat good order servant obedient ready wait friend
6,7,0,179,1855-05-24-seq-4.txt,1856-01-24-seq-4.txt,furnish good country af fords room neat good order servant obedient readv wait friend,furnish good country af fords room neat good order servant obedient ready wait pur friend
7,6,0,189,1855-05-24-seq-4.txt,1855-09-13-seq-4.txt,furnish good country af fords room neat good order servant obedient readv wait friend,ba furnish good country ai fords room neat good order servant obedient readv wait friend
8,7,0,214,1855-05-24-seq-4.txt,1856-01-17-seq-4.txt,furnish good country af fords room neat good order servant obedient readv wait friend,bo furnish good country af fords room neat good order servant obedient ready wait friend
9,5,0,223,1855-05-24-seq-4.txt,1855-10-25-seq-4.txt,furnish good country af fords room neat good order servant obedient readv wait friend,furnish good countrval ford room neat good order servant obedient readv wait friend
10,3,0,455,1855-05-24-seq-4.txt,1855-03-08-seq-4.txt,furnish good country af fords room neat good order servant obedient readv wait friend,furnish good asthe country afc fords room neat good order servant obedient ready wait friend
11,6,0,483,1855-05-24-seq-4.txt,1855-12-27-seq-4.txt,furnish good country af fords room neat good order servant obedient readv wait friend,furnish wih good country af fords room neat good order servant obedient ready wait frieud
12,7,0,519,1855-05-24-seq-4.txt,1855-08-23-seq-4.txt,furnish good country af fords room neat good order servant obedient readv wait friend,furnish good country af fords room neat good order servant obedient ready wait friend
13,7,0,538,1855-05-24-seq-4.txt,1855-04-19-seq-4.txt,furnish good country af fords room neat good order servant obedient readv wait friend,furnish good country af fords room neat good order servant obedient readr wait ffienda
