,no_reuse,pair_index1,pair_index2,pair_date1,pair_date2,pair_text1,pair_text2
0,4,7,8,1860-02-02-seq-2.txt,1860-02-02-seq-2.txt,take lead position que tion slavery v7e objec lion church discuss slave,tion slavery v7e objec lion church discuss slave ry moral christian relation
1,3,75,76,1860-08-09-seq-2.txt,1860-08-09-seq-2.txt,doctrine fquatter sovereignty klavery territory e6tabjbjltr lishe doctrine slavery therein,klavery territory e6tabjbjltr lishe doctrine slavery therein federal aod local authority
2,3,84,2912,1856-12-11-seq-3.txt,1856-12-18-seq-4.txt,tho purchaser liciv retain on say slave tillthe purchase money pay r 8 woodard clerk,purchaser lien retain say slave till purchase money pay r 8 woodard clerk
3,3,87,88,1856-12-11-seq-3.txt,1856-12-11-seq-3.txt,rds account hatred slavery man goabout   charge democrats proslavery man,slavery man goabout   charge democrats proslavery man present season hnve se
4,5,102,106,1852-02-19-seq-3.txt,1852-01-13-seq-3.txt,clove copaiba cubebs jessamine juniper lavender lemon neioli origanum pepper mint rhodium rise pure rosemary sassalra,clove copaiba cubebs jessamine juniper lavender lemon neioli origanum pepptri mini rhodium rise piire rosemarysassalrs
5,3,102,600,1852-02-19-seq-3.txt,1851-11-25-seq-3.txt,clove copaiba cubebs jessamine juniper lavender lemon neioli origanum pepper mint rhodium rise pure rosemary sassalra,clove copaiba cubebs jessamin iunirur lavender lemon ceroli origanum pepper mint rhodium rise pure rosemary sassalraa
6,5,102,832,1852-02-19-seq-3.txt,1851-11-04-seq-3.txt,clove copaiba cubebs jessamine juniper lavender lemon neioli origanum pepper mint rhodium rise pure rosemary sassalra,clove cpaiba cubebs jessamine jumper lavender lemon neioli origanum pepper mint rhodium rise pure rusemarysassatra
7,5,102,2264,1852-02-19-seq-3.txt,1852-01-20-seq-3.txt,clove copaiba cubebs jessamine juniper lavender lemon neioli origanum pepper mint rhodium rise pure rosemary sassalra,clove copaiba cubebs jessamine juniper lavender lemon neioli origanum peppea loiot4 rhodium rise pure rosemary sassafra
8,3,102,3670,1852-02-19-seq-3.txt,1851-12-23-seq-3.txt,clove copaiba cubebs jessamine juniper lavender lemon neioli origanum pepper mint rhodium rise pure rosemary sassalra,clove copaiba cubebs jessamine jumper lavender lemon neioli origanum pepper mint rhodium ruse pure ruemarytsasatra
9,5,106,2264,1852-01-13-seq-3.txt,1852-01-20-seq-3.txt,clove copaiba cubebs jessamine juniper lavender lemon neioli origanum pepptri mini rhodium rise piire rosemarysassalrs,clove copaiba cubebs jessamine juniper lavender lemon neioli origanum peppea loiot4 rhodium rise pure rosemary sassafra
10,3,133,1106,1859-09-22-seq-4.txt,1859-09-29-seq-4.txt,bond approve security lien taine upon slave purchase money pay,bond approve securitv aiid lien   taine upon slave purchase money pay
11,5,133,1251,1859-09-22-seq-4.txt,1858-09-02-seq-3.txt,bond approve security lien taine upon slave purchase money pay,loud approve security lien taine upon slave purchase money pay
12,4,133,4864,1859-09-22-seq-4.txt,1858-08-19-seq-3.txt,bond approve security lien taine upon slave purchase money pay,bond approve security lien taine upon slave purchase mon ey pay
13,3,143,146,1856-09-18-seq-4.txt,1856-09-18-seq-4.txt,1356 matter john and william old other petition sale slave I offer sale high bidder credit,i8ob case john s campbell f edmitonguardians8ic bill sale slave I offer sale high bidder
14,3,143,838,1856-09-18-seq-4.txt,1857-12-03-seq-3.txt,1356 matter john and william old other petition sale slave I offer sale high bidder credit,matter theophilus harris adrar jtc bill sale slave I offer sale high bidder two likely ne
15,7,143,1625,1856-09-18-seq-4.txt,1856-09-04-seq-3.txt,1356 matter john and william old other petition sale slave I offer sale high bidder credit,185 g the matter ajobn v ilium old other petition sale slave I offer sale high bidder credit
16,5,143,2393,1856-09-18-seq-4.txt,1856-09-11-seq-3.txt,1356 matter john and william old other petition sale slave I offer sale high bidder credit,i8o6 hx matter john william old other petition sale slave I offer sale tha high bidder credit
17,3,143,3413,1856-09-18-seq-4.txt,1856-08-28-seq-3.txt,1356 matter john and william old other petition sale slave I offer sale high bidder credit,1856 case john s campbell f edmiston guardianscc bill sale slave I offer sale high bidder
18,8,143,4521,1856-09-18-seq-4.txt,1856-08-21-seq-3.txt,1356 matter john and william old other petition sale slave I offer sale high bidder credit,1856 matter john william old other petition sale slave I offer sale high bidder credit
19,3,143,4524,1856-09-18-seq-4.txt,1856-08-21-seq-3.txt,1356 matter john and william old other petition sale slave I offer sale high bidder credit,1856 case john s campbell f edraiston guardians c bin sale slave I offer sale high bidder
20,3,144,683,1856-09-18-seq-4.txt,1858-11-18-seq-4.txt,purchaser lien retain slave purchase money pay r s woodard clerk,require purchaser lien retain slave purchase money pay
21,3,144,1837,1856-09-18-seq-4.txt,1856-11-27-seq-3.txt,purchaser lien retain slave purchase money pay r s woodard clerk,cf purchaser ard slave till purchase money pay r s woodard clerk
22,3,144,2394,1856-09-18-seq-4.txt,1856-09-11-seq-3.txt,purchaser lien retain slave purchase money pay r s woodard clerk,purchaser a lien retain the slave untjl purchase money pay       r s woodard clerk
23,4,146,838,1856-09-18-seq-4.txt,1857-12-03-seq-3.txt,i8ob case john s campbell f edmitonguardians8ic bill sale slave I offer sale high bidder,matter theophilus harris adrar jtc bill sale slave I offer sale high bidder two likely ne
24,3,146,1625,1856-09-18-seq-4.txt,1856-09-04-seq-3.txt,i8ob case john s campbell f edmitonguardians8ic bill sale slave I offer sale high bidder,185 g the matter ajobn v ilium old other petition sale slave I offer sale high bidder credit
25,5,146,3413,1856-09-18-seq-4.txt,1856-08-28-seq-3.txt,i8ob case john s campbell f edmitonguardians8ic bill sale slave I offer sale high bidder,1856 case john s campbell f edmiston guardianscc bill sale slave I offer sale high bidder
26,3,146,4521,1856-09-18-seq-4.txt,1856-08-21-seq-3.txt,i8ob case john s campbell f edmitonguardians8ic bill sale slave I offer sale high bidder,1856 matter john william old other petition sale slave I offer sale high bidder credit
27,4,146,4524,1856-09-18-seq-4.txt,1856-08-21-seq-3.txt,i8ob case john s campbell f edmitonguardians8ic bill sale slave I offer sale high bidder,1856 case john s campbell f edraiston guardians c bin sale slave I offer sale high bidder
28,3,176,177,1851-02-11-seq-2.txt,1851-02-11-seq-2.txt,whenever congress impose addi tional restriction upon slavery slave trade state,tional restriction upon slavery slave trade state these resolution indefinite
29,7,195,198,1857-04-16-seq-4.txt,1857-04-16-seq-4.txt,bill sale slave belong es tate robert erwin dec 11 slave credit 12 month,tn matter jeff m stono other bill sale slave belong es tate robert erwin dec 11 slave
30,4,195,4174,1857-04-16-seq-4.txt,1857-04-09-seq-4.txt,bill sale slave belong es tate robert erwin dec 11 slave credit 12 month,bill sale slave belonae es tate robert erwin dec 11 slave credit cf 12 month
31,3,195,4176,1857-04-16-seq-4.txt,1857-04-09-seq-4.txt,bill sale slave belong es tate robert erwin dec 11 slave credit 12 month,in matter jeff m stono other bill sale slave belonae es tate robert erwin dec 11 slave
32,3,198,4174,1857-04-16-seq-4.txt,1857-04-09-seq-4.txt,tn matter jeff m stono other bill sale slave belong es tate robert erwin dec 11 slave,bill sale slave belonae es tate robert erwin dec 11 slave credit cf 12 month
33,7,198,4176,1857-04-16-seq-4.txt,1857-04-09-seq-4.txt,tn matter jeff m stono other bill sale slave belong es tate robert erwin dec 11 slave,in matter jeff m stono other bill sale slave belonae es tate robert erwin dec 11 slave
34,3,201,4179,1857-04-16-seq-4.txt,1857-04-09-seq-4.txt,  and matter tbeophelus harris   a lieu retain say laud admr c bill sale slave 7 slave   slave secure bond good security belong estate william harris dec require pajmcnt purchase,andin matter tbeophelus harris   p penolla assort pen holderspockw admr c bill sale slave 7 slave et inkstand asad marble gun flinu fry belongirg estate william harris de ar8 cotton rop pow lme trout linea bridle
35,3,203,366,1857-04-16-seq-4.txt,1863-06-25-seq-2.txt,require purchaser lien retain upon say slave purchase money pay,curitic ba require purchaser lien retain upon say slave cutil purchase monev a pay  
36,3,203,482,1857-04-16-seq-4.txt,1859-04-21-seq-4.txt,require purchaser lien retain upon say slave purchase money pay,require toe purchaser lien retain upon say slave   purchase mon pay dj wi1ittingt0n co
37,5,203,650,1857-04-16-seq-4.txt,1862-03-13-seq-3.txt,require purchaser lien retain upon say slave purchase money pay,quire purchaser lien retain upon say slave purchase money pay   
38,4,203,1114,1857-04-16-seq-4.txt,1858-04-15-seq-3.txt,require purchaser lien retain upon say slave purchase money pay,credit lien retain upon say slave purchase money pay r fa rqui1 arson
39,3,203,2301,1857-04-16-seq-4.txt,1863-05-14-seq-2.txt,require purchaser lien retain upon say slave purchase money pay,curuiea require purchaser lien retain upon say slave thw purchase monev pay
40,3,203,2733,1857-04-16-seq-4.txt,1863-06-18-seq-2.txt,require purchaser lien retain upon say slave purchase money pay,security willf require purchaser   lien retain upon say slave purchaso money pay
41,6,203,2736,1857-04-16-seq-4.txt,1863-06-18-seq-2.txt,require purchaser lien retain upon say slave purchase money pay,curitie require purchaser lien retain upon say slave purchase money pay  
42,3,203,2996,1857-04-16-seq-4.txt,1859-03-24-seq-4.txt,require purchaser lien retain upon say slave purchase money pay,require purchaser lien retain upon say slave nntil purchase money pay   dt wllittington cil
43,3,203,3592,1857-04-16-seq-4.txt,1859-04-07-seq-4.txt,require purchaser lien retain upon say slave purchase money pay,require purchaser snd lien retain upon say slave purchase money I pay d j wl1ittington clk
44,3,203,3767,1857-04-16-seq-4.txt,1863-04-23-seq-2.txt,require purchaser lien retain upon say slave purchase money pay,anprovc lieo retain upon say slave purchase money pay
45,5,203,4181,1857-04-16-seq-4.txt,1857-04-09-seq-4.txt,require purchaser lien retain upon say slave purchase money pay,require purchaser lien retain upon say slave purchase money ia pay
46,6,203,4312,1857-04-16-seq-4.txt,1859-04-14-seq-4.txt,require purchaser lien retain upon say slave purchase money pay,require purchaser lien retain upon say slave purchase money pay p j wuittixgton co
47,10,234,235,1852-03-04-seq-2.txt,1852-03-04-seq-2.txt,I exjeemmg miuimus ouu smmuiut uiu iuum uuu l ty lv   xir cinltv ten lei I hippe slave ordir and anewjtnal ftauj tae cost   j coiirtnir justice pay   jaireaay amount fcouu htih sv 1 e e rf rs nj,coiirtnir justice pay   jaireaay amount fcouu htih sv 1 e e rf rs nj master slave 100   a m   u altbnma   jui cjroifght near meimidsj legislature erection state
48,4,243,244,1855-06-14-seq-1.txt,1855-06-14-seq-1.txt,vote doubtless will repeal tho viviritiva slave law acainst admission slave stale,tho viviritiva slave law acainst admission slave stale union shield
49,5,251,3435,1860-05-17-seq-2.txt,1860-08-16-seq-1.txt,state legislature defeat faith   ful execution fugitive slave law   hostile character ruaver,state legislature defeat faith ful execution fugitive slave law pre hostile character subver
50,3,281,282,1856-09-04-seq-1.txt,1856-09-04-seq-1.txt,would effectually protect separation of the slave he qnslaveholdingv statesand,separation of the slave he qnslaveholdingv statesand therefore rather promote inter
51,3,313,316,1861-01-24-seq-4.txt,1861-01-24-seq-4.txt,ascertain less 3000 african slave take slaver fit new york,african slave take slaver fit new york man equip   northern
52,3,323,4877,1857-11-12-seq-4.txt,1857-11-05-seq-4.txt,fayetteville april 111 s3 execotor sale slave in pursuance last   will testa,october 13 1857 n2574wp executor sale slave in pursuance last will testa
53,5,325,326,1856-11-20-seq-2.txt,1856-11-20-seq-2.txt,  there insurrection ro man slave spartacus lead er robber thief runaway slave,man slave spartacus lead er robber thief runaway slave pirate banditti kind
