,no_reuse,pair_index1,pair_index2,pair_date1,pair_date2,pair_text1,pair_text2
0,7,21,22,1862-10-14-seq-1.txt,1862-10-14-seq-1.txt,cause abominable rebellion I ju believe slavery mark 1 um slave holder uobodys business a p,believe slavery mark 1 um slave holder uobodys business a p pluuse I biilicvu andrew jiokson
1,5,40,41,1850-02-14-seq-2.txt,1850-02-14-seq-2.txt,irom evil rt wns njjht jint and sir hubjecf uf slavery silom supine slavery subvert interest conii,hubjecf uf slavery silom supine slavery subvert interest conii tutional right if therefore lever nf freedom wre
2,4,54,55,1850-02-14-seq-2.txt,1850-02-14-seq-2.txt,assume ground uncompromise opposition tho extension slavery admission new state slaveholde,opposition tho extension slavery admission new state slaveholde constitution previous nomination
3,3,61,62,1850-02-14-seq-2.txt,1850-02-14-seq-2.txt,tliey free territories free state slave territory slave states power influ,state slave territory slave states power influ ence class afford
4,3,73,74,1850-12-05-seq-3.txt,1850-12-05-seq-3.txt,institution victim hall offer up let bis slave min ion order arm force ohio new york,ion order arm force ohio new york massachusetts day slavery continent doom the people
5,6,116,117,1860-03-08-seq-3.txt,1860-03-08-seq-3.txt,fedoral government even la bor state recognize slave though outside slave state within ter,bor state recognize slave though outside slave state within ter ritorie united states property
6,7,127,128,1860-08-02-seq-4.txt,1860-08-02-seq-4.txt,what thu democrats for some revive foreign slave trade   sonic aro congressional slave code 0 ter,revive foreign slave trade   sonic aro congressional slave code 0 ter ritorie forbid territory pro
7,4,129,130,1860-08-02-seq-4.txt,1860-08-02-seq-4.txt,ritorie forbid territory pro hibit slavery within limit   maintain slavery iu territory,hibit slavery within limit   maintain slavery iu territory judiciary    gurreat pur rinci
8,7,145,146,1859-10-20-seq-2.txt,1859-10-20-seq-2.txt,ation progressive grasping power slavery be make the past year not tho relation master slave,slavery be make the past year not tho relation master slave advocate tho south tho well
9,7,162,166,1862-07-22-seq-6.txt,1862-07-22-seq-6.txt,oyil citizen proper it start je tj say congress cm tree slavfs mate rebel forfeit slave,je tj say congress cm tree slavfs mate rebel forfeit slave ioveriiinetit tne question whether
10,4,182,183,1850-01-03-seq-2.txt,1850-01-03-seq-2.txt,mot proviso it whether orugsinst slave trade   whether lor coast wise slave trade,slave trade   whether lor coast wise slave trade mr rockwell understand mr gidding say
11,5,227,228,1852-09-02-seq-1.txt,1852-09-02-seq-1.txt,declare emphasis   we iiiore slave territory tow ard abolish slaver exist yes,iiiore slave territory tow ard abolish slaver exist yes slavvry shall die   I say ii e iiri many mind
12,10,228,229,1852-09-02-seq-1.txt,1852-09-02-seq-1.txt,iiiore slave territory tow ard abolish slaver exist yes slavvry shall die   I say ii e iiri many mind,ards abolish slaver exist yes slavvry shall die   I say ii e iiri many mind thus exercise present time upon sub
13,7,231,232,1852-09-02-seq-1.txt,1852-09-02-seq-1.txt,hap present havo not yet see duly vote slavery they pro fess antislavety man yearly pass anti,duly vote slavery they pro fess antislavety man yearly pass anti sluvery resolution not thir convention
14,5,238,239,1852-09-02-seq-1.txt,1852-09-02-seq-1.txt,so thse profess oppose oslavery political world tin power exterminate evil bin slave,oslavery political world tin power exterminate evil bin slave free yet   whig democrats
15,3,246,247,1852-09-02-seq-1.txt,1852-09-02-seq-1.txt,shout   hurrah freedom good true ami slavery party friend slave,good true ami slavery party friend slave   now intellect obtuse I can not
16,6,248,249,1852-09-02-seq-1.txt,1852-09-02-seq-1.txt,now intellect obtuse I can not life see man anti slavery man vote slaveholder should man,life see man anti slavery man vote slaveholder should man vote horse thief naturally con
