,no_reuse,pair_index1,pair_index2,pair_date1,pair_date2,pair_text1,pair_text2
0,10,12,13,1859-02-19-seq-4.txt,1859-02-19-seq-4.txt,1 pay pocket ho must pay   1u f I cook table servant female ha j 1 servant coachman groom tse pi,f I cook table servant female ha j 1 servant coachman groom tse pi I sio person rmmlovx sneh
1,3,19,23,1860-08-18-seq-3.txt,1861-07-20-seq-3.txt,elioico wine8 liquor cigar ho good servant every attention bo pay guest render sojourn agreeable,choice wine liquor cigar ile lia gund servant evcrv attention bo pay guest render sojourn agreeable
2,5,19,138,1860-08-18-seq-3.txt,1860-09-22-seq-3.txt,elioico wine8 liquor cigar ho good servant every attention bo pay guest render sojourn agreeable,hoice wine liquor nod cigar mo ood servant every attention bo pay guest render sojourn agreeable
3,3,19,165,1860-08-18-seq-3.txt,1860-12-22-seq-3.txt,elioico wine8 liquor cigar ho good servant every attention bo pay guest render sojourn agreeable,choice wine liquor cigar ho good servant every attention pay j guest render sojourn agreeable
4,6,19,168,1860-08-18-seq-3.txt,1861-05-25-seq-3.txt,elioico wine8 liquor cigar ho good servant every attention bo pay guest render sojourn agreeable,choice wine liquor aud cigar he good servant every attention bo pay guest render sojourn agreeable
5,6,19,212,1860-08-18-seq-3.txt,1860-11-17-seq-3.txt,elioico wine8 liquor cigar ho good servant every attention bo pay guest render sojourn agreeable,choice wine liquor cigar lie good servant every attention bo pay guest render sojourn agreeable
6,4,19,260,1860-08-18-seq-3.txt,1861-02-02-seq-3.txt,elioico wine8 liquor cigar ho good servant every attention bo pay guest render sojourn agreeable,choice wine liquor cigar ke 1ms good servant nnd every attention bo pay guest render sojourn agreeable
7,6,19,358,1860-08-18-seq-3.txt,1860-10-27-seq-3.txt,elioico wine8 liquor cigar ho good servant every attention bo pay guest render sojourn agreeable,choice wine liquor cigar ho good servant every attention bo pay guest renti sojourn agreeable
8,4,19,409,1860-08-18-seq-3.txt,1861-01-12-seq-3.txt,elioico wine8 liquor cigar ho good servant every attention bo pay guest render sojourn agreeable,choice wine liquor cigar he hns good servant every attention bo pay guest render soiourn airreeahle
9,6,19,414,1860-08-18-seq-3.txt,1861-06-22-seq-3.txt,elioico wine8 liquor cigar ho good servant every attention bo pay guest render sojourn agreeable,choice wine liquor cigar ho lin good servant every attention bo pay guest render sojourn agreeable
10,6,21,22,1857-10-10-seq-1.txt,1857-10-10-seq-1.txt,way home again the tribune add place look servant rirl foi time past soon servant pirl,place look servant rirl foi time past soon servant pirl look earnestly place glai
11,3,23,138,1861-07-20-seq-3.txt,1860-09-22-seq-3.txt,choice wine liquor cigar ile lia gund servant evcrv attention bo pay guest render sojourn agreeable,hoice wine liquor nod cigar mo ood servant every attention bo pay guest render sojourn agreeable
12,3,23,168,1861-07-20-seq-3.txt,1861-05-25-seq-3.txt,choice wine liquor cigar ile lia gund servant evcrv attention bo pay guest render sojourn agreeable,choice wine liquor aud cigar he good servant every attention bo pay guest render sojourn agreeable
13,3,23,212,1861-07-20-seq-3.txt,1860-11-17-seq-3.txt,choice wine liquor cigar ile lia gund servant evcrv attention bo pay guest render sojourn agreeable,choice wine liquor cigar lie good servant every attention bo pay guest render sojourn agreeable
14,3,23,260,1861-07-20-seq-3.txt,1861-02-02-seq-3.txt,choice wine liquor cigar ile lia gund servant evcrv attention bo pay guest render sojourn agreeable,choice wine liquor cigar ke 1ms good servant nnd every attention bo pay guest render sojourn agreeable
15,3,23,414,1861-07-20-seq-3.txt,1861-06-22-seq-3.txt,choice wine liquor cigar ile lia gund servant evcrv attention bo pay guest render sojourn agreeable,choice wine liquor cigar ho lin good servant every attention bo pay guest render sojourn agreeable
16,5,27,28,1860-12-22-seq-1.txt,1860-12-22-seq-1.txt,ftsrnnrl tliivos   be boiii liic twincn buy witli 111011 eyl man servant maidservant vfis ease,buy witli 111011 eyl man servant maidservant vfis ease 1 patriarchs da among
17,4,37,38,1850-03-22-seq-2.txt,1850-03-22-seq-2.txt,lie see propriety one set public servant instruct another set public servant alike responsible,servant instruct another set public servant alike responsible constituent lie would
18,5,39,119,1861-03-02-seq-3.txt,1860-11-10-seq-4.txt,choice wine liquor cigar iio good servant every attention wjll pay bis guest render sojourn agreeable,choice wine liquor cigar iio good servant every attention pay guest render sojourn agreeable
19,3,93,419,1857-06-06-seq-3.txt,1857-06-06-seq-2.txt,alive pound food fellow servant purpose induce love herbut alas univailingiv,alive pound food fellow servant purpose induce lo ve herbut ala unnvailingly
20,3,112,165,1860-11-03-seq-3.txt,1860-12-22-seq-3.txt,choice wine liquor cigar ho good servant ovory attention pay u iim guoi 10 rentier tnoir soinurn agreeable,choice wine liquor cigar ho good servant every attention pay j guest render sojourn agreeable
21,3,112,358,1860-11-03-seq-3.txt,1860-10-27-seq-3.txt,choice wine liquor cigar ho good servant ovory attention pay u iim guoi 10 rentier tnoir soinurn agreeable,choice wine liquor cigar ho good servant every attention bo pay guest renti sojourn agreeable
22,3,112,385,1860-11-03-seq-3.txt,1861-05-18-seq-3.txt,choice wine liquor cigar ho good servant ovory attention pay u iim guoi 10 rentier tnoir soinurn agreeable,choice wine liquor cigar ho good servant nnd every attention pay guest render sojourn agrcenlde
23,4,119,285,1860-11-10-seq-4.txt,1860-09-01-seq-3.txt,choice wine liquor cigar iio good servant every attention pay guest render sojourn agreeable,choice wine liquor cigar ho g 1 servant every attention pay guest render sojourn agreeable
24,3,119,297,1860-11-10-seq-4.txt,1860-06-09-seq-3.txt,choice wine liquor cigar iio good servant every attention pay guest render sojourn agreeable,ohoioo winw lienor cigar lie lia good servant every attention pay guest render mijomrn agreoublc
25,5,119,343,1860-11-10-seq-4.txt,1861-01-26-seq-3.txt,choice wine liquor cigar iio good servant every attention pay guest render sojourn agreeable,choice wine liquor cigar 11o good servant every attention pay guest render sojourn agreeable
26,5,119,383,1860-11-10-seq-4.txt,1861-07-13-seq-3.txt,choice wine liquor cigar iio good servant every attention pay guest render sojourn agreeable,chuica wine liquor cigar ile ha good servant every attention pay guest render sojourn agreeable
