,no_reuse,pair_index1,pair_index2,pair_date1,pair_date2,pair_text1,pair_text2
0,4,0,918,1851-05-10-seq-4.txt,1850-11-30-seq-3.txt,gentleman near   ly thousand slave worth   several hundred thonsnud dollar,j ciation gentleman near ly thousand slave worth    several hundred thousand dollar
1,4,13,19,1859-04-02-seq-2.txt,1859-04-02-seq-2.txt,united 8ttcs 4he celebrate 6ae   dre scott right slaveholder statute slavery iu territory,  dre scott right slaveholder statute slavery iu territory nd willing tri ubide principle
2,8,20,21,1850-02-02-seq-1.txt,1850-02-02-seq-1.txt,calculate cujsity northern agitator abuse slavery not tho south aetu wy carry tho slave trade,agitator abuse slavery not tho south aetu wy carry tho slave trade w ta anet fkt a fiin1 l
3,5,32,33,1857-12-26-seq-2.txt,1857-12-26-seq-2.txt,distress prevail tho hire systoin oi slavery wrongwrong frecauso system master may discharge slave,oi slavery wrongwrong frecauso system master may discharge slave will starve ho friend
4,3,73,79,1860-12-22-seq-1.txt,1860-12-22-seq-1.txt,other state institution slinnm littnffium amend bill affect slavon waffi shall bo act upon without consent amljkp,shall bo act upon without consent amljkp   concnrrcnee slavebolde 6cctin   other provide among thing y
5,6,124,136,1850-03-22-seq-2.txt,1850-03-22-seq-2.txt,portion winch slavery would naturally go bo fill slaveholue population destroy artificial line though perhaps,description f population   leave portion winch slavery would naturally go bo fill slaveholue population
6,6,141,142,1857-08-22-seq-3.txt,1857-08-22-seq-3.txt,determination make kansas slave state in consent itecotue n democratic party proslavery man,slave state in consent itecotue n democratic party proslavery man mean abandon policy
7,4,144,145,1857-09-19-seq-2.txt,1857-09-19-seq-2.txt,we throv little delaware question belong properly neither slavery autislavery side mason dixon,belong properly neither slavery autislavery side mason dixon line shall see commenced
8,7,152,153,1859-06-18-seq-1.txt,1859-06-18-seq-1.txt,votuinod mr w   slavery soon cease exist missouri tho number slave fs fnot deurcn nfc I mysclt bang,work go bravely on   with aid votuinod mr w   slavery soon cease exist missouri tho number slave f
9,6,188,189,1861-03-23-seq-1.txt,1861-03-23-seq-1.txt,state confederacy slave mm property right property say slave shall nyt heroy,slave mm property right property say slave shall nyt heroy impaird
10,3,195,196,1850-06-28-seq-1.txt,1850-06-28-seq-1.txt,mo conquer evil afrostcd in fifty year wenty new nonslaveholde state may bo add tbo union whilst hoiiio,may bo add tbo union whilst hoiiio nro nov slavohohle may become nonslaveholde state there then
11,7,201,213,1850-06-28-seq-1.txt,1850-06-28-seq-1.txt,internal slave tradethat be transmission of slave ono southern state another tfrinscious tho fatal tendency lf tho njjitation,1 erritorie whnt call tliu internal slave tradethat be transmission of slave ono southern state another
12,3,201,214,1850-06-28-seq-1.txt,1850-06-28-seq-1.txt,internal slave tradethat be transmission of slave ono southern state another tfrinscious tho fatal tendency lf tho njjitation,tfrinscious tho fatal tendency lf tho njjitation I oi slavery iongrew oesiroy penru stability union nn effort wat mndo
13,5,251,659,1851-02-01-seq-5.txt,1850-12-28-seq-2.txt,gentleman nearly thousand slave worth several hundred thousand dollar,ciation gentleman nearly thousand slave worth several hundred thousand dollar
14,3,251,825,1851-02-01-seq-5.txt,1850-11-23-seq-2.txt,gentleman nearly thousand slave worth several hundred thousand dollar,gentleman neatly thousand slave worth several hundred thousand dollar
15,3,251,918,1851-02-01-seq-5.txt,1850-11-30-seq-3.txt,gentleman nearly thousand slave worth several hundred thousand dollar,j ciation gentleman near ly thousand slave worth    several hundred thousand dollar
16,3,251,931,1851-02-01-seq-5.txt,1851-03-08-seq-3.txt,gentleman nearly thousand slave worth several hundred thousand dollar,viuiiuu vi uiiuiiuuii near1y thousand slave worth several hundred thousand dollar
17,5,251,1457,1851-02-01-seq-5.txt,1851-03-15-seq-3.txt,gentleman nearly thousand slave worth several hundred thousand dollar,ol gentleman nearly thousand slave worth several hundred thousand dollar
