,no_reuse,pair_index1,pair_index2,pair_date1,pair_date2,pair_text1,pair_text2
0,3,2,193,1860-01-19-seq-3.txt,1860-01-26-seq-3.txt,please accept assurance high eonsilera tion believe oblige humble servant chicago april 10 59 jana b lsnsoa,please accept assurance high considera tion believe oblige humble servant chicago april i0ö9 john 3 law ox
1,6,7,146,1861-06-13-seq-1.txt,1861-06-06-seq-3.txt,perous ant wealthy ia useful servant it eat nothing cost keep nothing yet work,perous wealthy useful servant it eat nothing cost keep nothing yet work
2,4,20,263,1864-07-28-seq-3.txt,1864-03-17-seq-3.txt,can not fail purchase pet brand 1 am doctor much respect servant g w a k drew superintendent,1 am doctor much respect servant g w d anrfws superintendent
3,3,48,73,1861-05-02-seq-4.txt,1861-03-28-seq-3.txt,send pill mail oblige your obedient servant james kennedy,send thc pill hy mail oblige your obedient servant james kennedy
4,5,49,50,1858-05-06-seq-1.txt,1858-05-06-seq-1.txt,  country associate intimately   servant whisper companion   miss stout uot acomuion servant I,  servant whisper companion   miss stout uot acomuion servant I j say excuse
5,3,108,263,1863-11-19-seq-3.txt,1864-03-17-seq-3.txt,I be doctor much respect servant g w d a virwt superintendent,1 am doctor much respect servant g w d anrfws superintendent
6,5,108,266,1863-11-19-seq-3.txt,1864-03-03-seq-3.txt,I be doctor much respect servant g w d a virwt superintendent,I be doctor much respect servant g w d an if ws superintendent
7,3,108,345,1863-11-19-seq-3.txt,1863-09-17-seq-3.txt,I be doctor much respect servant g w d a virwt superintendent,I be doctor much respect servant g v d airakws superintendent
8,5,123,129,1859-06-30-seq-4.txt,1859-08-18-seq-4.txt,tack great facility ev en servant take put carpet without possibility mistake render invaluable,tack great facility even servant take put carpet without possibility mistake render invaluable
9,5,123,160,1859-06-30-seq-4.txt,1859-04-14-seq-3.txt,tack great facility ev en servant take put carpet without possibility mistake render invaluable,tack great ficility even servant take put carpet without possibility mistake render invaluable
10,6,129,160,1859-08-18-seq-4.txt,1859-04-14-seq-3.txt,tack great facility even servant take put carpet without possibility mistake render invaluable,tack great ficility even servant take put carpet without possibility mistake render invaluable
11,4,159,193,1859-08-18-seq-3.txt,1860-01-26-seq-3.txt,please accept assurance mv high considera tion believe oblige humble servant chicago hi aprilloth lv j ii ltwmb,please accept assurance high considera tion believe oblige humble servant chicago april i0ö9 john 3 law ox
12,6,161,162,1863-05-21-seq-1.txt,1863-05-21-seq-1.txt,fugitive one man ride servant river bank see himself the servant seize upjn op,servant river bank see himself the servant seize upjn op portunity ride line he
13,8,183,194,1860-02-23-seq-4.txt,1860-01-26-seq-3.txt,carpet one person machine work many servant for church hotel steamboat saloon every carpet dwel,carpet one person will machine work many servant for church hotel steamboat saloon every carpet dwel
14,6,183,237,1860-02-23-seq-4.txt,1860-03-01-seq-4.txt,carpet one person machine work many servant for church hotel steamboat saloon every carpet dwel,cirpet one person witb machine ean work many servant for church hotel steamboat saloon every carpet dwelin
15,3,183,346,1860-02-23-seq-4.txt,1859-12-01-seq-2.txt,carpet one person machine work many servant for church hotel steamboat saloon every carpet dwel,eirpet one person will machine run work mmy servant for church hotel steamboat saloon every cirpetfd dwel
16,4,183,354,1860-02-23-seq-4.txt,1860-04-12-seq-4.txt,carpet one person machine work many servant for church hotel steamboat saloon every carpet dwel,carpet one person machine enu work many servant for church hotel steamboat saloon everv eamot dwrl
17,6,194,237,1860-01-26-seq-3.txt,1860-03-01-seq-4.txt,carpet one person will machine work many servant for church hotel steamboat saloon every carpet dwel,cirpet one person witb machine ean work many servant for church hotel steamboat saloon every carpet dwelin
18,3,194,346,1860-01-26-seq-3.txt,1859-12-01-seq-2.txt,carpet one person will machine work many servant for church hotel steamboat saloon every carpet dwel,eirpet one person will machine run work mmy servant for church hotel steamboat saloon every cirpetfd dwel
19,4,194,354,1860-01-26-seq-3.txt,1860-04-12-seq-4.txt,carpet one person will machine work many servant for church hotel steamboat saloon every carpet dwel,carpet one person machine enu work many servant for church hotel steamboat saloon everv eamot dwrl
20,6,208,209,1865-08-17-seq-1.txt,1865-08-17-seq-1.txt,hd blacksmith carpenter establishment nnd live two old color servant mention h make servant,nnd live two old color servant mention h make servant  
21,6,223,224,1862-10-16-seq-1.txt,1862-10-16-seq-1.txt,after four five oclock afternoon I horse bring servant I servant 1 tell you I,I horse bring servant I servant 1 tell you I t a    j j
22,3,229,246,1859-11-24-seq-2.txt,1860-03-15-seq-4.txt,carpet one person thin machine work many servant for churehe hotel steamboat saloon every carp lead dwel,carpet one person machine an work ol man servant for churehe hotel steamboat saloon every carpet dwel
23,4,234,235,1864-03-24-seq-1.txt,1864-03-24-seq-1.txt,1 be sir respectfully your obedient servant james b fby,I be sir respectfully your obedient servant james b frt
24,3,237,346,1860-03-01-seq-4.txt,1859-12-01-seq-2.txt,cirpet one person witb machine ean work many servant for church hotel steamboat saloon every carpet dwelin,eirpet one person will machine run work mmy servant for church hotel steamboat saloon every cirpetfd dwel
25,4,237,354,1860-03-01-seq-4.txt,1860-04-12-seq-4.txt,cirpet one person witb machine ean work many servant for church hotel steamboat saloon every carpet dwelin,carpet one person machine enu work many servant for church hotel steamboat saloon everv eamot dwrl
26,3,249,265,1859-02-24-seq-3.txt,1859-03-03-seq-3.txt,we solicit patronage merchant every section united states servant f vor we trade patronaee,we solicit tha patronage merchant every section united states servant faror we tradefltnd patronage
27,3,263,266,1864-03-17-seq-3.txt,1864-03-03-seq-3.txt,1 am doctor much respect servant g w d anrfws superintendent,I be doctor much respect servant g w d an if ws superintendent
28,3,266,345,1864-03-03-seq-3.txt,1863-09-17-seq-3.txt,I be doctor much respect servant g w d an if ws superintendent,I be doctor much respect servant g v d airakws superintendent
