,no_reuse,pair_index1,pair_index2,pair_date1,pair_date2,pair_text1,pair_text2
0,5,14,15,1862-12-11-seq-1.txt,1862-12-11-seq-1.txt,pose ai ticle ot length without slavery rebellion never ex iste without slavery could contin,slavery rebellion never ex iste without slavery could contin ue among friend f union tlxte
1,4,37,38,1859-04-07-seq-2.txt,1859-04-07-seq-2.txt,real if onnose amalgamation the would favor spread slavery do whereever slavery exist,would favor spread slavery do whereever slavery exist amalgamation abound winch
2,5,55,56,1856-12-04-seq-1.txt,1856-12-04-seq-1.txt,peipetuity depend upon permit slave oligarchy northern al lie lo extend slavery coun,slave oligarchy northern al lie lo extend slavery coun try they may fluster aud threaten
3,8,87,88,1860-06-21-seq-1.txt,1860-06-21-seq-1.txt,I i 1     o    mainiy coniuieu tno lave btatas lue iscs fragment tha proslavery party hold,mainiy coniuieu tno lave btatas lue iscs fragment tha proslavery party hold neonoof thc large gathering ever
4,7,111,112,1864-06-16-seq-2.txt,1864-06-16-seq-2.txt,son compel lead whüj mea new or lean fight aide aide negro slave free tbe slave tae w4l,lean fight aide aide negro slave free tbe slave tae w4l master without eomnenfiawion
5,5,113,114,1864-06-16-seq-2.txt,1864-06-16-seq-2.txt,prirgtounejb freedom ami wrong lavery place mm in lie kuew both slavery deprive,lavery place mm in lie kuew both slavery deprive hiti youth advantage launch
6,19,194,195,1857-03-19-seq-2.txt,1857-03-19-seq-2.txt,weaken th bond washcl th b3 republican court j r latek wound slavery territory within   oroan hc c mum subject verily c ifiastcr yesterday occur   yea russia within yeari proper organ proslavery j lätäää,wound slavery territory within   oroan hc c mum subject verily c ifiastcr yesterday occur   yea russia within yeari proper organ proslavery j lätäää uceforth noble chorus land thc    1     v lvutm lt uu wiwe
7,3,224,225,1860-04-05-seq-1.txt,1860-04-05-seq-1.txt,raise questton acain but evil hour uli pandora oox ot slavery open I conceive pi lie uinisti liable attempt,I conceive pi lie uinisti liable attempt force slaver itokmsis repeal mis souri compromise   fljod evil
8,21,272,273,1858-05-06-seq-2.txt,1858-05-06-seq-2.txt,n power ami lucu use o o I   ol nr lin I tirt ii stiiii   I mii ii          lii t r    I v   a a    I I   ii     t l n opposition inter arc jikc thcir army proslaverv efficer togeth anticpate thc benefit slaven 1 triljune hcanily antagnutiai t0 j d j wncnbthev,    t l n opposition inter arc jikc thcir army proslaverv efficer togeth anticpate thc benefit slaven 1 triljune hcanily antagnutiai t0 j d j wncnbthev southern democracy beginn ng    kansas policy mr uuchanau ailcj prumote object effectdl
9,6,282,283,1858-05-06-seq-2.txt,1858-05-06-seq-2.txt,    a      vote admit kansas slave btatc il induce submit slave j,vote admit kansas slave btatc il induce submit slave j constitution congress because
