,no_reuse,pair_index1,pair_index2,pair_date1,pair_date2,pair_text1,pair_text2
0,6,17,925,1851-03-20-seq-4.txt,1853-11-03-seq-4.txt,letter deut xxiii 15 16    thou shalt deliver unto master servant escape master unto thee,ed deut xxiii 15 thou shalt deliver unto master servant escape master unto thee ho shall dwell
1,6,17,1723,1851-03-20-seq-4.txt,1852-10-21-seq-3.txt,letter deut xxiii 15 16    thou shalt deliver unto master servant escape master unto thee,  thou shalt deliver unto master servant escape master unto thee he shall dwell thee among you
2,3,17,1954,1851-03-20-seq-4.txt,1850-10-24-seq-4.txt,letter deut xxiii 15 16    thou shalt deliver unto master servant escape master unto thee,jehovah thu shalt deliver unto master servant escape master   uno theedtut xxiii 16 j
3,4,29,1780,1850-10-31-seq-3.txt,1850-11-14-seq-4.txt,4 the ktnploycr ii the debtor I I the state 5 the servant iii the teacher ib the neighborhood mr hine haa peeimiary tneana puhlixh anything,I the km piny er b the del dor 14 the state 5 the servant iii the teacher 15 the neighborhood mr hine pecuniary mean publish anything
4,5,33,34,1858-03-04-seq-2.txt,1858-03-04-seq-2.txt,u menial office service render servant particularly domestic servant servant two kind free slave,servant particularly domestic servant servant two kind free slave servitude word define service general
5,8,64,65,1854-03-30-seq-4.txt,1854-03-30-seq-4.txt,u policy constitution allow receive a 4   watchful guardianhip thoir public servant yea patlie servant they require,a 4   watchful guardianhip thoir public servant yea patlie servant they require understand business luliy
6,5,67,2093,1850-10-31-seq-4.txt,1850-08-01-seq-5.txt,hie I beat ia laundry hydrant door two occupy aervant the hydrant water ia introduce theaecottagea,one ia laundry witb hy draut door two occupy aervant the hydrant water ia introduce theae eottegee u
7,4,76,1130,1856-05-01-seq-4.txt,1856-04-24-seq-4.txt,give rsill 9150 more 1 am truly oblige obedient servant c m ckay,give iny mil 150 1 am truly oblige obedient servant c m can
8,5,76,2010,1856-05-01-seq-4.txt,1856-02-07-seq-4.txt,give rsill 9150 more 1 am truly oblige obedient servant c m ckay,give nitl 100 more 1 am truly oblige obedient servant   c m clay
9,4,78,154,1850-01-31-seq-4.txt,1850-02-14-seq-5.txt,supply fr in exclusive spring cold water the servant bath attendant select great care accustomed economy,supply fr un exclusive spring cold water the servant bath attendant havs iwen select great care ami accustomed ecouomy
10,4,78,215,1850-01-31-seq-4.txt,1851-06-05-seq-6.txt,supply fr in exclusive spring cold water the servant bath attendant select great care accustomed economy,themselves tbs servant bath attendant select great care accustomed economy
11,5,78,221,1850-01-31-seq-4.txt,1851-04-24-seq-4.txt,supply fr in exclusive spring cold water the servant bath attendant select great care accustomed economy,themselves the servant bath attendant select great care accustomed economy
12,5,78,245,1850-01-31-seq-4.txt,1850-05-16-seq-4.txt,supply fr in exclusive spring cold water the servant bath attendant select great care accustomed economy,ie supply exclusive spring cold water the servant bath attendant select nitb greatest care accustomed economy au
13,7,78,554,1850-01-31-seq-4.txt,1850-02-14-seq-4.txt,supply fr in exclusive spring cold water the servant bath attendant select great care accustomed economy,supply fr in exclusive spring cold water the servant bath attendant beeu select great care ami accustomed ecouomy
14,9,78,673,1850-01-31-seq-4.txt,1850-02-07-seq-4.txt,supply fr in exclusive spring cold water the servant bath attendant select great care accustomed economy,supply front exclusive spring cold water the servant bath attendant select great care accustomed economy
15,4,78,813,1850-01-31-seq-4.txt,1851-05-22-seq-4.txt,supply fr in exclusive spring cold water the servant bath attendant select great care accustomed economy,themselves ths servant bath attendant select great care accustomed economy
16,9,78,1026,1850-01-31-seq-4.txt,1850-04-18-seq-4.txt,supply fr in exclusive spring cold water the servant bath attendant select great care accustomed economy,supply exclusive spring cold water the servant bath attendant select great care accustomed economy
17,5,78,1170,1850-01-31-seq-4.txt,1850-05-23-seq-4.txt,supply fr in exclusive spring cold water the servant bath attendant select great care accustomed economy,supply exclusive spring cold water the servant bath attendant select greatest care ancustomod economy
18,3,78,1285,1850-01-31-seq-4.txt,1850-02-28-seq-4.txt,supply fr in exclusive spring cold water the servant bath attendant select great care accustomed economy,supply exclusive spring cold water the servant hath attendant select great care accustomed eovuomy
19,4,78,1363,1850-01-31-seq-4.txt,1850-01-17-seq-4.txt,supply fr in exclusive spring cold water the servant bath attendant select great care accustomed economy,supply exclusive spring cold water the servant bath attendant hav select great care aeeuatoaesd che eeonovny
20,9,78,1402,1850-01-31-seq-4.txt,1850-03-28-seq-4.txt,supply fr in exclusive spring cold water the servant bath attendant select great care accustomed economy,ia supply exclusive spring cold water the servant bath attendant select great care accustomed economy
21,5,78,1567,1850-01-31-seq-4.txt,1851-03-06-seq-3.txt,supply fr in exclusive spring cold water the servant bath attendant select great care accustomed economy,themselves j the servant bath attendant select great care accustomed economy
22,3,94,1031,1850-12-19-seq-4.txt,1850-10-17-seq-5.txt,one laundry hydrant door two occuptad bv servant the hydrant water introduce cottage,one laundry hydrant door two occupy hy servant the hydrant water introduce cottage ae
23,3,94,1114,1850-12-19-seq-4.txt,1850-12-12-seq-4.txt,one laundry hydrant door two occuptad bv servant the hydrant water introduce cottage,one laundry hydrant door two occupy servant the hydrant water introduce cottage
24,3,94,1781,1850-12-19-seq-4.txt,1850-11-14-seq-4.txt,one laundry hydrant door two occuptad bv servant the hydrant water introduce cottage,one laundry hydrant door two occupy servant the hydrant water introduce cottage
25,4,104,214,1851-05-01-seq-4.txt,1851-06-05-seq-6.txt,one laundry hydrant thedoor two occupy servant the hydrant water introduce cottage,on ofthese be laundry hydrant thedoor ether two occupy servant the hydrant water introduce cottage
26,3,104,220,1851-05-01-seq-4.txt,1851-04-24-seq-4.txt,one laundry hydrant thedoor two occupy servant the hydrant water introduce cottage,one laundry hydrant door two occupy servant the hydrant water introduce theeeoottage ai
27,4,104,713,1851-05-01-seq-4.txt,1851-03-27-seq-5.txt,one laundry hydrant thedoor two occupy servant the hydrant water introduce cottage,ulsi tne tbem tht laundry hydrant thedoor flit two occupy servant the hydrant water introduce cottage
28,8,104,812,1851-05-01-seq-4.txt,1851-05-22-seq-4.txt,one laundry hydrant thedoor two occupy servant the hydrant water introduce cottage,one laundry hydrant thedoor two occupy servant the hydrant water introduce cottage
29,4,104,973,1851-05-01-seq-4.txt,1851-04-17-seq-4.txt,one laundry hydrant thedoor two occupy servant the hydrant water introduce cottage,one I laundry hydrant door two occupy servant the hydrant water introduce cottage
30,4,104,1114,1851-05-01-seq-4.txt,1850-12-12-seq-4.txt,one laundry hydrant thedoor two occupy servant the hydrant water introduce cottage,one laundry hydrant door two occupy servant the hydrant water introduce cottage
31,5,104,1229,1851-05-01-seq-4.txt,1851-01-30-seq-4.txt,one laundry hydrant thedoor two occupy servant the hydrant water introduce cottage,hie laundry hydrant thedoor two occupy servant the hydrant water be introduce oottage ee
32,3,104,1562,1851-05-01-seq-4.txt,1851-04-10-seq-4.txt,one laundry hydrant thedoor two occupy servant the hydrant water introduce cottage,one cf be laundry wih hydrant tbedoor two occupy servant the hydrant water introduce into thesecottage
33,4,104,1781,1851-05-01-seq-4.txt,1850-11-14-seq-4.txt,one laundry hydrant thedoor two occupy servant the hydrant water introduce cottage,one laundry hydrant door two occupy servant the hydrant water introduce cottage
34,3,104,1811,1851-05-01-seq-4.txt,1850-11-28-seq-4.txt,one laundry hydrant thedoor two occupy servant the hydrant water introduce cottage,one laundry hydrant door two occupy servant the hydrant water introduce into cottage
