,no_reuse,pair_index1,pair_index2,pair_date1,pair_date2,pair_text1,pair_text2
0,3,4,5,1854-06-22-seq-3.txt,1854-06-22-seq-3.txt,behalf   utside slave state then must isiavery there must slaveselle slavecatche slaveholde national,isiavery there must slaveselle slavecatche slaveholde national legislation the slave power must overthrown
1,4,44,45,1860-02-02-seq-2.txt,1860-02-02-seq-2.txt,dissuade body ultra policy 81 regard slavery   sir civilized world we when slaveholder,regard slavery   sir civilized world we when slaveholder south learn truth   when learn
2,5,49,50,1860-02-02-seq-2.txt,1860-02-02-seq-2.txt,liberty speech curtail but slave country in language jefferson m if slave country,slave country in language jefferson m if slave country world must preference
3,8,57,58,1860-02-02-seq-2.txt,1860-02-02-seq-2.txt,ome in the growth ffee element e exact proportion decline slavery 1 nd free labor supersede slave labor,e exact proportion decline slavery 1 nd free labor supersede slave labor the virginians onlv study census
4,3,94,95,1858-02-25-seq-4.txt,1858-02-25-seq-4.txt,tat provision constitution whether ansa slave state slave ade whether kansas slave,ansas slave state slave ade whether kansas slave tate without blave trade that
5,7,96,97,1858-02-25-seq-4.txt,1858-02-25-seq-4.txt,tate without blave trade that hole it kansa slave state nyhow in order make slave state,hole it kansa slave state nyhow in order make slave state ithout slave trade voter vote
6,7,97,98,1858-02-25-seq-4.txt,1858-02-25-seq-4.txt,hole it kansa slave state nyhow in order make slave state ithout slave trade voter vote,nyhow in order make slave state ithout slave trade voter vote r constitution no one could vote
7,4,108,109,1855-05-24-seq-4.txt,1855-05-24-seq-4.txt,state law as assuredly none create oligarchy slaveholder act congress liberate slave,none create oligarchy slaveholder act congress liberate slave state would infraction   state
8,8,108,29569,1855-05-24-seq-4.txt,1855-06-14-seq-4.txt,state law as assuredly none create oligarchy slaveholder act congress liberate slave,state law as assuredly none create oligarchy slaveholder act congress liberate slave
9,4,108,29570,1855-05-24-seq-4.txt,1855-06-14-seq-4.txt,state law as assuredly none create oligarchy slaveholder act congress liberate slave,none create oligarchy slaveholder act congress liberate slave state would infraction   state
10,4,109,29569,1855-05-24-seq-4.txt,1855-06-14-seq-4.txt,none create oligarchy slaveholder act congress liberate slave state would infraction   state,state law as assuredly none create oligarchy slaveholder act congress liberate slave
11,8,109,29570,1855-05-24-seq-4.txt,1855-06-14-seq-4.txt,none create oligarchy slaveholder act congress liberate slave state would infraction   state,none create oligarchy slaveholder act congress liberate slave state would infraction   state
