,no_reuse,pair_index1,pair_index2,pair_date1,pair_date2,pair_text1,pair_text2
0,8,30,31,1850-11-14-seq-4.txt,1850-11-14-seq-4.txt,va fupende talary ot mayor recently lie sanction slave lestivitl i ne mayor protcstf state every slave present,lie sanction slave lestivitl i ne mayor protcstf state every slave present trriiten permissiuii ofhis master ap
1,6,40,41,1850-07-11-seq-2.txt,1850-07-11-seq-2.txt,s district court indiana judge mclean preside if present law slavehol der take slavo find he,preside if present law slavehol der take slavo find he make pay theslavo ventuie aid
2,6,41,42,1850-07-11-seq-2.txt,1850-07-11-seq-2.txt,preside if present law slavehol der take slavo find he make pay theslavo ventuie aid,der take slavo find he make pay theslavo ventuie aid escape strike we south need
3,8,91,92,1857-07-03-seq-1.txt,1857-07-03-seq-1.txt,boad iiotivithstnnde I tolcrably largo slavoowner hut look tho fruit slavcry gencral point viow will havo,largo slavoowner hut look tho fruit slavcry gencral point viow will havo grcat doal land county
4,5,97,101,1863-02-13-seq-1.txt,1863-02-13-seq-1.txt,prtker treaoa finally   aa slavery thcro aro 1708 alavea dclaware populatton,finally   aa slavery thcro aro 1708 alavea dclaware populatton 00580 whitea 10580 free blacka yct
5,7,98,103,1863-02-13-seq-1.txt,1863-02-13-seq-1.txt,alavea uereaiter bear leave tbe lija slavoa die outor rnanumitte voluntari ly thc maatera caae compen,r 1 alavea uereaiter bear leave tbe lija slavoa die outor rnanumitte voluntari
6,5,127,128,1850-02-14-seq-2.txt,1850-02-14-seq-2.txt,that require I understand correctly positive provision uia admission slave souui 01 tuai iniu ntiu now air coiiiilir irom,souui 01 tuai iniu ntiu now air coiiiilir irom slave state I do I owe myself 1 owe truth I owe subject say
7,5,146,147,1856-11-07-seq-1.txt,1856-11-07-seq-1.txt,slave act may lake ground also nf judgc kanenf icnnsylvnnia llial slaveholder right convoy hold hls slave,kanenf icnnsylvnnia llial slaveholder right convoy hold hls slave slate umnn yos cry
8,9,203,206,1858-12-17-seq-2.txt,1858-12-17-seq-2.txt,hal ieialaturo exclude alavery rhua thol j south claima slavory can not prohibit    cd aftor tho territorv ahall beon,I 1rvl iii   I e   hal ieialaturo exclude alavery rhua thol j south claima slavory can not prohibit
9,4,215,216,1852-09-02-seq-1.txt,1852-09-02-seq-1.txt,I christianity exert energy up ininib slaveholder tbus bring   iciii sense guilt slavery,ininib slaveholder tbus bring   iciii sense guilt slavery     ih abolish it relort violent
10,4,222,223,1852-09-02-seq-1.txt,1852-09-02-seq-1.txt,er lapse many battle slavery fight 11 manner   nnojtiv coun hope ot succor ana renei 10 uio    nf,hope ot succor ana renei 10 uio    nf   slave must oul   ue    a   magazine connentns preat mrtie 1 vvhich vv hoi 1 unwn   j j h j u
11,20,232,233,1860-08-10-seq-3.txt,1860-08-10-seq-3.txt,himaelf bondman aa lo roalize term tho loart 10 b heldat hutland amlionce tho awful condition alave aa   1 will 50un man ate brcake open in ihe alave himaelf haa make hiaa leuer plead rull conttderation,amlionce tho awful condition alave aa   1 will 50un man ate brcake open in ihe alave himaelf haa make hiaa leuer plead rull conttderation ay bondagc dovolope thoae
12,9,265,266,1856-09-19-seq-1.txt,1856-09-19-seq-1.txt,nnlhe slato equaltty mcnus ihe nght nf slavo owucrs tn lake slave toniiy nf llio free tufii,ihe nght nf slavo owucrs tn lake slave toniiy nf llio free tufii tory llio liilion und lliera liold
13,3,293,294,1850-02-21-seq-2.txt,1850-02-21-seq-2.txt,litory ountry   let ask sir power tbolish slavery dilrici let nie sunpim lnndditian lo I suggest ihe,nie sunpim lnndditian lo I suggest ihe oilier dry slavery abolidie marvlanu virginia let add sup
14,8,295,296,1850-02-21-seq-2.txt,1850-02-21-seq-2.txt,llie uniati h power ihen abolish slavery within ihe district i d columbia slavery pi intodjieru eternity without,slavery within ihe district i d columbia slavery pi intodjieru eternity without possibility tlo cxcrcse legislative
15,4,308,320,1860-07-06-seq-1.txt,1860-07-06-seq-1.txt,1 mrn rcady man be even thete cham   hern tt dovhatevcr slavery rcuire they the senator thc day roportcd favor,  readinost mcn tnean wiche   doedt alavery the senatnr haa oftcn 1 mrn rcady man be even thete cham
16,4,314,315,1860-07-06-seq-1.txt,1860-07-06-seq-1.txt,pat aix jcara immena preiaure extension alavery intu torritoriei atiprcmaey alavery tlio coun,extension alavery intu torritoriei atiprcmaey alavery tlio coun ciu tho governmont to extenil alavcty
17,7,335,336,1865-08-18-seq-2.txt,1865-08-18-seq-2.txt,2 qeo 11 yenmai omancipation cleclcd 3 henry qrider proalavery reelect 1 aaron harding proalavery reelect,cleclcd 3 henry qrider proalavery reelect 1 aaron harding proalavery reelect 5 lovell 11 lioueseau emancipation2000
18,3,345,361,1850-11-21-seq-4.txt,1851-11-20-seq-2.txt,claim imprison arrest claim imprison fugitive slave shall sufficient authority authorize issu ing writ habeas corpus provide say chapter,claim imprison arrest claim imprison fugitive slave leave doubt case
19,3,351,352,1860-02-03-seq-1.txt,1860-02-03-seq-1.txt,tho lllack llcpublicana abolitioniata thoy dcnounce alavery moral wrong aocial evil n political curao now air theae,evil n political curao now air theae thinga boao bclieve if alavery ia morally wrong aocially diamoralize
20,3,371,372,1854-07-07-seq-1.txt,1854-07-07-seq-1.txt,pronpsclaw iutrodnc1 fornia form constitution intuba tion slavery region 1 ing slavery apply admis know kansas nebraska sum union violent oppo,know kansas nebraska sum union violent oppo forever prohibit lia repeal sition make slave state ed that law which 1820 qui1 nnd congress threaten
21,4,373,374,1854-07-07-seq-1.txt,1854-07-07-seq-1.txt,vou need bo tell slavery question lie tit bottom it ah slaveholde,slavery question lie tit bottom it ah slaveholde power demand enactment
22,5,378,379,1854-07-07-seq-1.txt,1854-07-07-seq-1.txt,lation propose measure till tsos the foreign slave trade prohibit thus source slave,tsos the foreign slave trade prohibit thus source slave ry wui understand dry up
23,4,429,430,1854-08-11-seq-2.txt,1854-08-11-seq-2.txt,platform tho present adminis tration slavocrat nnd tho extension slavery in short,tration slavocrat nnd tho extension slavery in short union ticket upon n common consistent
24,4,432,433,1854-08-11-seq-2.txt,1854-08-11-seq-2.txt,  in art iv sec 2 thero clause rcg ulste rendition fugitive slave fumtlvo slavo law 18o0,ulste rendition fugitive slave fumtlvo slavo law 18o0 base this clause con
25,9,438,439,1854-08-11-seq-2.txt,1854-08-11-seq-2.txt,could tho constitution moro eneo irro uxlcnd slnverv admit tho slave   I m extend slavery tnan aamt ino slave,uxlcnd slnverv admit tho slave   I m extend slavery tnan aamt ino slave     der right aril establish justice   if
26,6,451,452,1854-08-11-seq-2.txt,1854-08-11-seq-2.txt,      11   hold nun slave also right   1 make slave argument winch,hold nun slave also right   1 make slave argument winch   iilllilifm thn imlillni nf ie ill mllv
27,7,463,464,1853-02-10-seq-2.txt,1853-02-10-seq-2.txt,thing aro worthy notice firtt freo northern man aro liable mado slave   sccoud tho law ofslavo state,northern man aro liable mado slave   sccoud tho law ofslavo state even iu district columbia white man
28,5,482,483,1855-09-28-seq-1.txt,1855-09-28-seq-1.txt,pcr cent fit fenil pias   rinu0 kti loiviim nvtuis mr y with this one pint salt give   suitablo cooking utensil slave ibis entire monthly i d mix tfiuir uiual lilllo water,ibi entire monthly i d mix tfiuir uiual lilllo water luwuncu fullgrown slave woikjsuch thickness n spoon would iug constantly open field stand ureel il j wood
29,14,484,485,1855-09-28-seq-1.txt,1855-09-28-seq-1.txt,food prevent physical exhaustion teenlh part uf inch und ashe lhu field work slave socenainly make grate much slave allowance of ful lo lhu teeth rentier il palatu,lhu field work slave socenainly make grate much slave allowance of ful lo lhu teeth rentier il palatu lood   raiment tho ble tho bran coarsu part tho
30,4,506,507,1853-01-13-seq-2.txt,1853-01-13-seq-2.txt,treaty make king dahomy whereby renounce slavetrade powerful effect check slave trade,whereby renounce slavetrade powerful effect check slave trade llraril nnd cuba the number slave
31,7,507,508,1853-01-13-seq-2.txt,1853-01-13-seq-2.txt,whereby renounce slavetrade powerful effect check slave trade llraril nnd cuba the number slave,powerful effect check slave trade llraril nnd cuba the number slave import hri7il ltm kbout r0lt
32,5,520,521,1858-06-11-seq-2.txt,1858-06-11-seq-2.txt,ln 1819 thc thcn democratic party statc passod refolution slavcry tx tension opposition slavcry whcr,statc passod refolution slavcry tx tension opposition slavcry whcr congicss powcr wc give foi
33,10,566,567,1854-11-10-seq-2.txt,1854-11-10-seq-2.txt,sindnsky charge wttl aid escape not inur lugilive slave 1 ho action wn brmight tho fugitive slave law,escape not inur lugilive slave 1 ho action wn brmight tho fugitive slave law lrcio ihe penlly si0o0
34,5,572,573,1865-06-30-seq-1.txt,1865-06-30-seq-1.txt,auapicea young lowell waa tratne alave community waa tho cuatom defend inatitution alave,tratne alave community waa tho cuatom defend inatitution alave ry meet houae uolilical gatheringe
35,10,581,582,1863-01-23-seq-4.txt,1863-01-23-seq-4.txt,ttate lle haa announce hn tiaramountobjeel lobo lavr union interfere wiih alavery it br ould aave union withnut interfetiug uith alavery,lavr union interfere wiih alavery it br ould aave union withnut interfetiug uith alavery e haa avovie hla rradlneie lo au
36,16,587,588,1857-11-06-seq-4.txt,1857-11-06-seq-4.txt,oferdlng iirrangcmoiit make holland tribe fnught ovcr akain thc battus ihicli I pay overy slavoholder fair oquivalont triho wnge witli tho iroipiois cvcn   slavo thc furtlui shorth ol tlu lake thc iluob,pay overy slavoholder fair oquivalont triho wnge witli tho iroipiois cvcn   slavo thc furtlui shorth ol tlu lake thc iluob moun kanhas fnaiiisthe follow rcfl tindition sottle tli    atter
37,3,608,609,1850-02-14-seq-1.txt,1850-02-14-seq-1.txt,constitution restrain federal gov position   progress times su ernuicrit interference slavery ouilerior light present day I might ly state exist say perhaps superior knowledge,ly state exist say perhaps superior knowledge interference slave trade present day may haie dispel illusion limit time long since   l11 congress right legislate
38,5,615,616,1850-02-14-seq-1.txt,1850-02-14-seq-1.txt,posterity may rightfully use las lo prevent extension slavery tcrritory free abolish slavery,las lo prevent extension slavery tcrritory free abolish slavery slave trade ivherever either exist
39,5,616,617,1850-02-14-seq-1.txt,1850-02-14-seq-1.txt,las lo prevent extension slavery tcrritory free abolish slavery slave trade ivherever either exist,tcrritory free abolish slavery slave trade ivherever either exist jurisdiction congress
40,4,679,680,1854-03-31-seq-2.txt,1854-03-31-seq-2.txt,subject tho settler aro merely slaveholder slave stealer slavetrader pirate act congress,merely slaveholder slave stealer slavetrader pirate act congress cuba then come tho union slave
41,6,680,681,1854-03-31-seq-2.txt,1854-03-31-seq-2.txt,merely slaveholder slave stealer slavetrader pirate act congress cuba then come tho union slave,slavetrader pirate act congress cuba then come tho union slave statu once witnout condition
42,5,688,689,1854-03-31-seq-2.txt,1854-03-31-seq-2.txt,mediately exercise in prohibit tho intro duction slavery now mexico cal ifornia abolish slavery slave,duction slavery now mexico cal ifornia abolish slavery slave trade district columbia high
43,4,693,694,1854-03-31-seq-2.txt,1854-03-31-seq-2.txt,whig   free state 00 good democrats   slave slate 57 whig   slave states 10,democrats   slave slate 57 whig   slave states 10 total
44,8,700,701,1854-03-31-seq-2.txt,1854-03-31-seq-2.txt,wiihstandmg previous admission new slave state almost without question un less add yet another slaveholding stato,slave state almost without question un less add yet another slaveholding stato could come tho siino tune tsir
45,5,710,711,1854-03-31-seq-2.txt,1854-03-31-seq-2.txt,themselves it would po tincnt inquiry mhny negro slaveholder must tako slave state order place,mhny negro slaveholder must tako slave state order place cqiiaity northern man
46,9,737,738,1852-09-02-seq-2.txt,1852-09-02-seq-2.txt,p sv    isc uu uuut   ana ii iohjt uiiure u uouuiy nil slavery party I arwwer bland os pro slavery parly,uiiure u uouuiy nil slavery party I arwwer bland os pro slavery parly look whig local convention I I
47,4,765,766,1854-09-22-seq-1.txt,1854-09-22-seq-1.txt,laborcr whoso mother brother   withstand iho great float eu cousin slave ropcan population ami thu name ought one himself and laborer degrade n compar,ought one himself and laborer degrade n compar truth must tell make ison slave snmho rather n goodfornothe j 3 less onethird iho
