,Unnamed: 0,date,context
0,0,1854-02-17-seq-1.txt,"devote my whole attention to the cultivation of my farm, clothe mid feed my servants well, take care of my stock, mend tho holes in my "
1,1,1861-09-20-seq-2.txt,"1 hnvo the honor to bo your obedient servant. Hospectfullv, LF.oXlIiAS POLK, "
2,2,1851-04-04-seq-2.txt,"ficient 10 pay the fine and all costs. The law is not to affect seafaring men, servants. or persons entering the State temporarily "
3,3,1857-11-27-seq-3.txt,"most disgraceful, spectacle to' see a public servant repudiated and condemned because he had set forth In"" defence of the purity of "
4,4,1856-09-05-seq-3.txt,"dential chair amid the plaudits of all parlies, of well done, thou good and faithful servant He then proceeded to' defend Americanism in "
5,5,1854-07-14-seq-3.txt,"lous tumors or Swellings, in the throat, of long standing, on two of my servants, and it removed them both in a short time. I con "
6,6,1854-07-14-seq-3.txt,"Charges: Roard per day $1,25; per week $7; per month $25. children nnd servants half price. ASA WATSON. "
7,7,1859-11-11-seq-1.txt,ent position of the Democratic party in its relations with the treacherous servants who now assume to be its miv-ters. There 
8,8,1859-11-11-seq-1.txt,"stopping at a small place, and hud occa sion to send a letter by his servant to the village post otlice. It was franked; "
9,9,1854-09-15-seq-1.txt,""" In conversation with a fatnicr in this county and nn observant gentleman of Clarke county, Indiana, the former informed us that "
10,10,1861-09-06-seq-2.txt,ing (as it is forced upon the attention of all observant citisens) the widespread and growing want of confidence in the integ 
11,11,1861-09-06-seq-2.txt,"I nave the honor tn be, sir, your obedi ent servant. Ben'. Jlc-ii.ij) n, Brigadier General Commanding. "
12,12,1854-02-03-seq-2.txt,any of their attention. When they send their servants and work-hands to the field or to the shop they aru very apt to inquire not only 
13,13,1859-04-01-seq-1.txt,"depths of individual distress and national bankruptcy at their publio servant re ceiving forty dollars per day, besides their "
14,14,1858-06-11-seq-1.txt,"Faithful to the teaching- and example of the apostles, she has always taught servants to obey their mas'.ers, not serving to the eye "
15,15,1858-06-11-seq-1.txt,"merely, but as to Christ, and in His name she commands masters to treat their servants with humanity nnd justice, reminding them "
16,16,1861-02-22-seq-2.txt,"1 am, very rcspectsullv, your obedient servant, JU11N A. DIX, Secretary of the Treasury. "
17,17,1859-04-15-seq-2.txt,"into gaming houses, where timid and bashful public servants might stealthily be enticed togiimbleuway their conscience "
18,18,1858-06-18-seq-1.txt,"letters. I am, respectfully, vnur ob't servant, HORATIO KING, "
19,19,1851-07-04-seq-1.txt,presented himself it the gale. Themis tress or ino house snt the servant forward with a feed of a loaf of bread. The 'help' 
