,Unnamed: 0,date,context
0,0,1850-10-25-seq-3.txt,"tiful Creole, the wife of a Mr. Evans, and who they say is a runaway slave. If she is discovered, it will hardly be "
1,1,1857-12-18-seq-1.txt,"to Warren eounty, in that State, and has brought with him five or six slaves, whom he claim a right to keep and work on the free "
2,2,1857-12-18-seq-1.txt,"J. nu note will Hardly pass. I'Hil. Jour. A Tomb Head. The Calaveras (Cal.) Chronicle states that two ""colored gemmen' "
3,3,1857-12-18-seq-1.txt,"(Iowa) Ledger ia informed, on good authori ty, that a Missouri slaveholder ha removed to Warren eounty, in that State, and has "
4,5,1862-07-18-seq-3.txt,"Appeal bt ii- r1 , Oerl. Gfaiit's. (jrgan, says Bu'tl-r hi. """"-ati'd '.'',000. slaves and puttberii t. . ..it., op the. canal op- "
5,7,1857-10-02-seq-2.txt,"lave commit! inf a burglary. informed them that, the penalty n.'ainst n slave fur such nn otfeuse wis hnnginif, under the act "
6,8,1857-10-02-seq-2.txt,"tion of I he high crime of burglary charged ngninst the slave, I was passing ike street, in company with "
7,9,1857-10-02-seq-2.txt,"when they disagreed ss to their judgment, snd iherdierilf was ordered lo bold the slave in custody, "
8,10,1862-12-12-seq-1.txt,"slave representation, and the rendition of fugitive slaves, are features of the Consti tution which they condemn and abhor. "
9,11,1862-12-12-seq-1.txt,"tbe understanding that if a majority of slave States and a 'majority of free States accept the' proposition, its - conditions "
11,14,1858-08-27-seq-2.txt,"that threat, or obeys that edict, is to that extent a slave, lie does not own himself. His party irt tho proprietor of him, soul and "
12,15,1854-02-17-seq-1.txt,"the territory of Arezoniu (! ?) boing largo enough for two slave States, and that it con tains ""rich placers,"" which will bo explored "
13,16,1854-02-17-seq-1.txt,New Hampshire President from fastening the blight of slavery upon territory now free. 
14,17,1854-02-17-seq-1.txt,"ample evidence to establish that the character of tho letter was anti-slavery. Tho Evening Post of July 19, 1848 tho "
15,18,1854-02-17-seq-1.txt,"Louisiana lo be in full force in that new re public. Under that ode, tho soil of a slave woman bom in Louisiana is made a slave, "
19,22,1854-02-17-seq-1.txt,"code of Louisiana, mi I thu legalization of slavery ill such a vast tenitoiy could bo no secondary purpose. "
20,23,1856-02-22-seq-2.txt,"first, the rights of citizens of slave holding States to carry their slaves into non slave- oldiug States fur a temporary sojourn there "
21,24,1856-02-22-seq-2.txt,"without the loss of the right of properly in such slaves; and next, the constitutionality of the Missouri compromise, as involved iu "
22,25,1856-02-22-seq-2.txt,given it to the society lor aiding fugitive slaves to migrate to Canada. A New Subjixt or Taxation. In order 
23,26,1856-02-22-seq-2.txt,"tion to iifimre the 13th' Section nf the Phila delphia l'latlorm. on thanai'iliiecl of slavery. In every view of the case, -that section is the "
24,27,1856-02-22-seq-2.txt,"is millions for new free Slates not a cent for slave constitutional supremacy."" Bvildino on a Rotten Cornerstone. "
25,28,1856-02-22-seq-2.txt,vent and flourishing State. fcif All imporluiit slave ease from M soui i is now before the United Slides Supreme 
27,32,1856-02-22-seq-2.txt,the question of the right of Congress to leg islate with reference to slavery in the United States territories. The Union says thut the 
28,33,1856-02-22-seq-2.txt,"Funny, ip Trce. It is reported that the committee on slavery lectures, who were re- quested by Hon. Robert Toombs to hund "
29,35,1856-03-07-seq-2.txt,"very coldest weather we have had for the flight. Tho enthusiasm among the slaves must be high, it it roaches persons of her "
30,36,1856-03-07-seq-2.txt,nominate Presidential candidates who ar anuudonth slavery question it I proper for th peopl of theStele.irrespeetiv ofparty.lo 
31,38,1856-08-08-seq-3.txt,Martin stood pledged agninst the admission of any more slave States. John evidently thinks he is engaged in the same service now 
32,39,1856-07-04-seq-2.txt,"the United Staler, and that tn all case xnvoiv ing title to slaves, writs of, error and appeals shall be allowed, from the decisions of the "
33,40,1856-07-04-seq-2.txt,"of that, vastly. XW Since Mr. Buchanan's anti-slavery ' record commenced developing so beautiful "
34,41,1856-07-04-seq-2.txt,"to sentiments adverse to the extension of slavery, and alill be a pretty safe aort of man for the South. Indeed, we saw it intimated "
35,42,1856-07-04-seq-2.txt,"and many even here In the South were op. posed to slavery In the abstract. Astonish, ing what a change has already been effected "
36,43,1856-07-04-seq-2.txt,ing what a change has already been effected by putting the anti-slavery saddle on the other horael And so about Federalism. A 
37,44,1856-07-04-seq-2.txt,"must see, that the prevailing sentiment North ia opposition to the extension of slavery, and the tendency and effort is to the formation "
38,45,1856-07-04-seq-2.txt,"""Shall be received into the Uuion, with or without slavery, aa their Constitutions may prescribe at the time of their admission."" "
39,47,1856-07-04-seq-2.txt,"framed of Texas, as provided in the Act of Annexation and admitted, uwA slavery, into the Union. "
40,48,1857-01-02-seq-2.txt,"1th. Ths passage by Congress prohibiting slavsry in any of tbs'Territories. etn. Hi repeal or the Fugitive Slave Law, "
41,49,1857-01-02-seq-2.txt,provisions for the reelemstion of fugitive slaves. Hs recommend Ui Lteislatur to send ta 
42,50,1857-01-02-seq-2.txt,1st Th interference bv Conaretaional las-U. lation With the institution of alaverv in th States. 
43,51,1857-01-02-seq-2.txt,"although elothed in the utmost bravery, what ishs but s serf out upon a 'holiday, a slsvs to be reelsimsd at any inrtant by bis owasr, "
44,52,1857-01-02-seq-2.txt,States. Id. Interference in the trsds in slsvss be tween ths States. ' 
45,53,1857-01-02-seq-2.txt,"guerrilla party of free Stat men sre commit, ting outragea on the pro slsvery men in Missouri, for their past interference in Kan "
46,54,1857-01-02-seq-2.txt,"Fillmore 887.848 Total vote in Statea having slsves 1,137.723 nr hi.h n.k... Ci . . n "
47,55,1857-01-02-seq-2.txt,meant than tliM the people of Kmisii should berre to decide upon the subject of slavery for tlieniM'lves. What was meant is not th 
48,56,1857-01-02-seq-2.txt,"that fre Slute men are committing outrages on pro-slavery men, and offer to help sup port them : "
49,57,1857-01-02-seq-2.txt,"8d. Any action of Conereas on tbs subieet of slavery in tbe District of Columbia, or in tho place subject to the jurisdiction of "
50,58,1857-01-02-seq-2.txt,new State into the Union on the ground of her tolerating slavery within her limits. 1th. Ths passage by Congress prohibiting 
51,60,1863-02-06-seq-1.txt,"such as ar inJ.!a.yti; no? such i"" v'ii-ve in Cuba, or bad miii the old slavsj .abor system of the South. "
52,61,1863-02-06-seq-1.txt,"in and preparing for the field. The slaves of the South will supply us with food, if every man capable of bearing "
53,62,1863-02-06-seq-1.txt,proclamation is twofold: 1st. Tho destruction of all the slave H'sleni of labor South. 
54,64,1863-02-06-seq-1.txt,"jneverce. se and the life ol tho i.i.tion'! notrong.r than ttue, thfMMittmcnta we 0, if)0g4.t . w-mi.., u.;.:vuC tl'. boepi. j be preserved until slavery be abolished, j believe of thousands, whoe voices, ere j taliucs of Toy ti ien,. ' the planter, the i Lis led to a tleiiui lure li'oin I he original 1 !., ...1. I .;u l. 1......1 r.. -1 - ,:.:. ...l-i'.,!' I;..,,. ..,. , !.. "
55,65,1863-02-06-seq-1.txt,' .. . .. . emir 01 tne emaneiprtiioiiMs. .-slavery i no inoiv the ruuse oi llie v.ar than col 1 
56,66,1863-02-06-seq-1.txt,"the pawn t of secession. To those who regarded slavery as 11 sin, and were im pelled by a law which they esteemed "
57,67,1863-02-06-seq-1.txt,were no more responsible for the evils in cident to slavery in tho Southern States than they were responsible (or serfdom 
58,68,1851-04-04-seq-2.txt,for the purpose of holding a mass meeting of those opposed 10 the fugitiue slave law. The Slate of Massachusetts has passed 
59,69,1861-10-25-seq-2.txt,"whole army fouls that we must conquer, or else we are a ruco of slaves mora ubject than those who wear the Moslem chains. "
60,71,1857-11-27-seq-3.txt,"snd weigha about 175 or 180 lbs., snd dark eolor. The owners of said alavea sre request ed to come forwsrd, prove property, pay "
61,72,1857-11-27-seq-3.txt,"with eachofjier, .., The prospect or making Ksiisas a slave State is hopeless. There is not Southern man who believes euch a "
62,73,1853-09-09-seq-3.txt,"ltiitaill.th.it it H but the natural result of their zeal ill behalf of the abolition of slave- ry. The. (,'oiirrier holds that the two r: s "
63,74,1856-05-30-seq-2.txt,"IVrce, in his snxiety to conciliate the pro slsvery parte, hsa determined , ta have Col. Lane, of Kansas, who n aow in Indiana, "
64,75,1857-02-27-seq-1.txt,"reporters, there was never s human creature who taveled it through. A slave, convicted of murder, wo offered the alternative of ei "
65,76,1856-10-17-seq-2.txt,"church snd Stale, by studiously withholding place and power from the slaves of the Pope, and to silence all sections by denying "
66,77,1856-10-17-seq-2.txt,two thousand miles to fortify and garrison secondly wt havt a alave population of three millions to keep in subjection a long line of 
67,78,1856-10-17-seq-2.txt,"in a speech of great power and effect. He took op the subject of slavery agitation, go ing back to its earliest inception, and traced "
68,79,1856-10-17-seq-2.txt,"believe in any party which does not believe in slavery. The Deinooratie nartv are on our side in this contest, therefore I shall go "
69,81,1856-10-17-seq-2.txt,"by a Democrat paper to have suid: ""They coll me a pro-slavery mnn. But I nm like you, opposed to slnvery, nnd rejoice "
71,83,1856-10-17-seq-2.txt,"remain so. All the Northern Democrats are opposed to slavery."" taST""?. don't enre so much nbout bugs, "
72,84,1862-03-14-seq-2.txt,tees to the latter for tho protection and expansion of tho institution of slavery. We have no idea there is a particle of 
73,85,1853-06-03-seq-2.txt,"liko most of his cloth, is understood to bo poor. Then he has long worked like i slavo"" for his party, and tho little grent men whom "
74,86,1853-06-03-seq-2.txt,tional organization in any of the Churches; but unwise agitation of the slavery question lias gone a great way to drivo the South into 
75,87,1862-03-28-seq-2.txt,eral Congress makes the issue fair and square Uie emancipation of the slaves coincident with the success -of the Fede 
76,88,1862-03-28-seq-2.txt,"ral arms. It makea no discrimination the slaves escaping, whether of rebels or union men, are not to be restored. "
77,89,1862-03-28-seq-2.txt,"would purchase, at fair valuation, all the slaves in any named State. -. -r- - Such a proposition .on the part of the "
78,90,1862-03-28-seq-2.txt,"eoroe.'.' The English of all which abolh slavery hutantiy, and you may do o yolunUrily; but if you heaitate and de "
79,91,1862-03-28-seq-2.txt,"the Federal Ones. This is a repeal of the fugitive slave law and a plain, ' dUtinct avowrf of the policy of the federal gov- "
80,92,1862-03-28-seq-2.txt,an inducement and a bribe heW out to the slave population to leave 'their own-' era and flee to th Federal lines.. In oth- 
81,95,1862-03-28-seq-2.txt,"to oo operate with any State which . may adopt gradual abolishment of slavery, giving to such State pecuniary aid to be "
82,96,1862-03-28-seq-2.txt,"lhe independence of some part of the msaaTecttd region, knd that all the slave Stntee North of seen parte will' then any "
83,97,1862-03-28-seq-2.txt,"tiaiinmL TVlA nnlnt t. tk.t alt II.. Stales tolerating slavery would very soon, f -t-.ll r 'la, . ' a. a' "
84,99,1862-03-28-seq-2.txt,"a right, by Federal authority, to inter fere with slavery within State' limits, re ferring, as it does, the absolute control "
85,100,1861-03-08-seq-2.txt,"made it for the reclaiming of what we call fugitive slaves, and the intention of the law governs the law. All members of "
86,101,1861-03-08-seq-2.txt,"other. To this proposition, then, that slaves whose cases come within the terms ot that clause shall be delivered up, their "
87,102,1861-03-08-seq-2.txt,"revived without restriction in one section, while fugitive slaves now only partially surrendered, would not b surrendered "
88,103,1861-03-08-seq-2.txt,", lrVa'N,Ma'roh 1. Th act for Jit rendition of fugitive slaves, . passed by a vote of 93 against 2. : . "
89,104,1861-03-08-seq-2.txt,have no purpose directly or indirectly to interfere with th institution of slavery in the States where it exists I believe 
90,107,1861-03-08-seq-2.txt,surely that difference is not a very mate rial one. If the slave is to be surrender ed it can be but of little consequence to 
91,108,1861-03-08-seq-2.txt,that a freeman be not in any case sur rendered as a slave? And might it not bo well at the same time to provide by 
92,109,1861-03-08-seq-2.txt,ty ? The Constitution does not expressly say. May Congress prohibit slavery in the territories? The Constitution does 
93,110,1861-03-08-seq-2.txt,not expressly sny. Must Concress protect slavery in the territories? The Constitu tion does not oxprsssly say. From ques 
94,111,1861-03-08-seq-2.txt,"On (action of our country believe slavery is right, apd ought to be extend ed, while the other believes U is wrong, "
95,112,1861-03-08-seq-2.txt,"the separation of th sections, than be fore. The foreign slave trade now im perfectly suppressed, would be ultimately "
96,115,1861-03-08-seq-2.txt,"majorities against Lincoln, to form a pro slavery State and join the Southern Qoq. federacy. '' ,- . . "
97,116,1861-03-08-seq-2.txt,"Mason and Dixion's line. Lei the border slave States stand firm in the Union, and demand justice in the "
98,117,1854-06-02-seq-4.txt,"feet 8 or 9 inches' high. The owner of snid slave, is hereby notified to come for ward, prove property, pay charges, and tnko "
99,118,1859-06-10-seq-1.txt,"South has not, as yet, suffered any serious injury by the agitation of the slavery question at the North, no matter what "
100,119,1859-06-10-seq-1.txt,"or demanding that Congress should pro tect slavery in the territories, or should not or declaring that no Black Republi "
101,120,1859-06-10-seq-1.txt,she would declare that it was beneath her dignity to discuss the question of slavery hereafter with the Northern people if 
102,121,1859-06-10-seq-1.txt,"me fiorin. ana lias sold itself to the ""slave power;"" while the Southern fire eaters have as bitterly denounced the "
103,122,1859-06-10-seq-1.txt,sons for this opinion. But we do not sur render the field to the anti-slavery Republican party. It is manifest that there eon be no coa- 
104,123,1859-06-10-seq-1.txt,by the opposition party of that State as a conservative pro-slavery party; and 'in Kentucky and Tennessee they occupy 
105,124,1859-06-10-seq-1.txt,"shall have at once in those important conservative slave States, and in Dele- ware, Maryland, Virginia, North Carolina "
106,125,1861-12-20-seq-3.txt,exaggerated accounts of the coming in of slaves at Fori Boyalv From several gen llemea wbo bav rooeiitly returned from 
107,126,1861-12-20-seq-3.txt,"musket, ia to tho - Lands of such men as the slaves of Jtort Hoyal ia considered ri diculous as a military proposition, and "
108,129,1861-12-20-seq-3.txt,"gentleman, of former abolition inclina tions, to sojjie new facts in slavery. ' Old Lincoln, Ahead as Usual! "
109,130,1861-12-20-seq-3.txt,"eery Court st Athens, declaring his intention tog into slavery with Raleigh Chesnutt, a eilliea of McMtnn soaaty. "
110,131,1855-05-04-seq-2.txt,"Nothings, and denounced the order. Ho as serts that they aro opposed to the anti slave- ro sentiment of the North, and as he is an "
111,132,1855-05-04-seq-2.txt,"that the American movement is a crusade against slavery: ""Gen. Wilson gave the elosmg lecture of "
112,133,1855-05-04-seq-2.txt,"""Gen. Wilson gave the elosmg lecture of the anti-slavery course, Inst evening, at the Temple. He explained for himself the posi "
113,134,1855-05-04-seq-2.txt,"Temple. He explained for himself the posi tion with regard to slavery trial he had oceu pind for twenty years, and called upon all to "
114,135,1855-05-04-seq-2.txt,"oppose any party that ahould try to smother the anti slavery sentiment, lie assumed thai this course had been the death of two great "
115,136,1855-05-04-seq-2.txt,"the antt-statery sentiment, ana caned upon the anti-slavery party to kill off ths 'American doughfaces, as they had the others. "
116,137,1855-05-04-seq-2.txt,sugar the growth of which is nearly de stroyed in all the islands where slavery has been abolished. The destruction of the au 
117,138,1855-05-04-seq-2.txt,"almost a monopoly of the augur trade. Abolish slavery in Cuba, and Louisiana aud Texas will take her place. Coffee can be "
118,139,1862-05-09-seq-2.txt,"new bill providing for confiscating the slaves and property of all persons actual ly in arms against our Government, or "
119,140,1862-05-09-seq-2.txt,"cide whether we are to be freemen or vile slaves to those who are free only in name, and who but yesterday were vanquished, "
