,Unnamed: 0,date,context
0,0,1858-06-24-seq-2.txt,"menial offices to perform is the slave or servant,'! care not whether he is white or black. f Servitude or slavery grows "
1,1,1864-02-18-seq-1.txt,tenances betraying mingled pity and fury. The servants of the house were crowding about the doors of the room. 
2,2,1864-02-18-seq-1.txt,"ing so ?"" ""She is my servant, and I suppose I may do what I like with her. I "
3,4,1862-11-06-seq-1.txt,r-i t. never arose. ooon atter a servant started in haste for the familv nhvs- 
4,5,1863-02-26-seq-1.txt,"not a green thing was visible in the street, sstve a few Irish servants, who were washing off the doorsteps and "
5,7,1860-11-29-seq-2.txt,"tial mansions, rich dresses, liveried servants.costly viands, splendid conser vatories and bank bills are not indices "
6,9,1859-06-23-seq-2.txt,"I remain, very respectfully, your obe dient servant, J. Foexky, Superintendent of Indian Affairs. "
7,10,1860-12-27-seq-1.txt,I am respectfully. Your obedient servant and friend; rf J. M. BOTTS: 
8,11,1859-07-28-seq-1.txt,"and nnking a new finger for the same. 5. W ashing the servant of Caiphas he high priest, and putting rouge on "
9,12,1860-06-14-seq-1.txt,"wife whining all the evening about her troublesome servants, and her head ache and all sorts of bothers. She's "
10,14,1862-07-24-seq-2.txt,"being "" well done good and faithful servants."" Startling News. "
11,16,1862-07-24-seq-2.txt,"respect, Your obedient servant, N. P. BANKS, Maj. Gen. Comm'g. "
12,17,1862-03-06-seq-3.txt,"that we have learned with utter amaze ment that some of our public servants i;igh in official rank, have neglected "
13,19,1859-04-07-seq-1.txt,nothing short of the banishment from their favor of. the faithless servants . who starting out with a violation of po 
14,21,1861-09-05-seq-1.txt,not look as there Were many wounded.; Negro servants on . led horses dashed frantically past ; men in uniform. Whom 
15,22,1861-09-05-seq-1.txt,"their teams,1 and ran by the side ot-tn road mounted ? men, servants, -an men in' uniform, ' vehicles of all sorts "
16,25,1861-09-05-seq-1.txt,". At one house I stopped to ask for water for my horse ; the owner sent his servant for it cheerfully, the very house where- we had in vain asked for "
17,26,1861-09-05-seq-1.txt,"fax, the horses -Mr. R.'s and our own were watered by a servant : but the re ported conversation did not take place. "
18,27,1863-06-25-seq-3.txt,"can be. I am, gentlemen, your abedieut servant. JOHN HOU.G. "
19,28,1859-06-16-seq-1.txt,"great affectation, in dressing out the same class of servants there irom top to toe."" "
20,30,1860-03-29-seq-1.txt,"'. O utside and Inside. "" T wo things a master commits to his servant's care,"" saith one ""the child and the child's "
21,31,1860-03-29-seq-1.txt,"clothes."" It will be a poor excuse-for the servant to say, at his master s re turn ' , "
22,32,1860-03-29-seq-1.txt,hinges of doors will prevent their creak ing. So wiil a servant girl who has a be:yi. 
23,33,1861-08-22-seq-1.txt,"I have the honor to be, very respect fully your most obedient servant.' ' ; f , : Irwin Mcdowell. "
24,34,1861-08-22-seq-1.txt,"of Alexandria, driven of course by his ""servant."" Zoo-zoo stepped into the road, holding . his bayonet in such a "
25,35,1858-05-06-seq-1.txt,"my. investigations, I could not tell. I was afraid fuat the servant would tell Jane of our conversation; but, as she "
26,36,1862-11-27-seq-2.txt,"I am very respectfully your obedient servant. E. V. SUMNER Brevet Maj.-Gen., TJ. S. A., "
27,37,1863-11-26-seq-4.txt,"ease that singe s her out to the least oh- l',e eye or taste. The long continued servant eye as a woman endowed with jbfe and happiness of the newly married a nobility of heart, fitting her for anyjuouple is the noblest epithalamium we "
28,38,1862-09-18-seq-2.txt,"I am, dear sir, most respectfully, Your obedient servant, J. W. TILLMAN. "
29,39,1859-07-28-seq-2.txt,"words, ""Well done, good and faithful servants ;"" and another represented the scales of justice, the Fugitive Slave "
30,41,1861-10-10-seq-2.txt,riot has departed ; a wise and useful public servant has been taken from us at a moment when we most need his 
31,42,1861-10-10-seq-2.txt,"will cry shame. Respectfully, your obedient servant, Z. CHANDLER. "
32,43,1860-06-14-seq-2.txt,the State of Michigan will continue to require of all its public servants an un flinching integrity and strict individual 
33,45,1861-08-29-seq-1.txt,"him for hauling the goods to the auction Bcrvant's experience ; "" now, Sara, my servant Sam. who exclaimed with trinmnhant air "
34,46,1861-06-20-seq-1.txt,"ST'In Russia, many of . the domes tic servants' are married. ;;In - China, thcowners of female, slaves v who 4o "
35,48,1860-07-19-seq-2.txt,"this .scrawl,', arid believe"" rrie, with es teem, your humble servant, i: ' "" - ? Patrick Henry, Jr. "
36,49,1858-07-22-seq-4.txt,"ry of one of his domestics : ""Having employed a new female servant, he sat down in the parlor, the evening after, "
37,50,1858-05-27-seq-4.txt,-CoysEo: ci:5.-AciTtleniaii liav ing advcrtigclIfor3 servant a black man applied for a situation. 
38,51,1863-10-01-seq-1.txt,"1ENDF.ZV)IS h .ve been oim iu a by Li ptaiii Jt J II. Mn.1,1 and servant u.s. t. rercuut ; . . . . 1 - 1 ! ,.U "
