,Unnamed: 0,date,context
0,0,1854-07-18-seq-4.txt,Do. do. per week 10 00 Do. do. do. (white servants.) 7 00 Do. do. do. (colored do ) 500 
1,1,1854-07-18-seq-4.txt,"Do. do. day 1.50 Children, under 12 years of age, and Servants, haif Drice. "
2,2,1854-07-18-seq-4.txt,"Do. do. month 30 Of Children and servants under 12 years of age, half price. "
3,3,1854-07-18-seq-4.txt,"age, half price. Servants, through 150 Do way 100 "
4,4,1854-07-18-seq-4.txt,"Do way 100 Servants travelling by themselves must be fur nished with two passes, one to be retaiued at the "
5,5,1854-07-18-seq-4.txt,"price. Bervant*travelling by the.m*elve*aiu*t be furnl»hed with two paace*, to that one «au be retained in the "
6,12,1859-05-20-seq-3.txt,]<*0R BALE—One of the moat »«ccm -4 r H*h*d dining room servant« in the clty.bavleg iiredexf'n'ivelyin a private fkrolly. Hel* perfectly 
7,13,1859-05-20-seq-3.txt,""" you tiff women —one plain co>k, Washer and Jpinerhe other » RiX>d H< use Servant. Atply to WM 8 PHILLIPS, "
8,14,1859-05-20-seq-3.txt,"24 Main street; or on the corner cf Frsnklin and l«tb streets. Also—servants Hearse and Coffins of all sizes. Mi M A LKA, "
9,15,1859-05-20-seq-3.txt,"yard, and another near the Granary, Stable, and servant Houses. Tnere are very comfortable Houses. with goo J cliimueys and windows, fur "
10,16,1859-05-20-seq-3.txt,"Houses. with goo J cliimueys and windows, fur thirty-five servants All out buildings needel for farming and planting parpeses, and for domestic "
11,27,1859-10-15-seq-3.txt,"RUNAWAYS. J. St> It K VVAIi !>.—Mj servant woman, 1 MAKIA. left her home en Saturday last.— "
12,28,1859-10-15-seq-3.txt,"WOMAN ag«d» )ears. who is a rood cook. A« I prefer that these servants shall procure home* her, they will he told for less than their market "
13,34,1852-05-22-seq-3.txt,"hall pi i* - to h'iy points except the two tirs!- named. Servant* trave.lin.- by thecu#elve6 musi be furnished v.'itii two passes, so that one cm. I* "
14,35,1854-09-05-seq-4.txt,"slaves—and most especia'lv tbe boy Gilbert, who was a favorite body servant. The punishment was Jn«t and prompt, and calculated to check tbe known evils "
