,Unnamed: 0,date,context
0,0,1852-05-27-seq-1.txt,"of the constitution-and then require from all their public servants, fro'm the highest to the lowest, a strict nnfiinch "
1,2,1851-05-22-seq-3.txt,"proofs of your claims toth'atligkppellistion,if your servants are the only beings en -earth fromas whom you can resent an injury. -Every -cow "
2,4,1854-07-13-seq-2.txt,"endorse every word of it: 'a In it we meet with well trained servants, comfortable beds, ventilated rooms, fine water, "
3,6,1851-05-08-seq-4.txt,"never k nowvn to speak a harsh or unkintd word t a servant, it may well be said hers was a trul; lovely spirit ; nmor wvas site wanting in firtmnes "
4,7,1857-12-16-seq-2.txt,"render the due ineed of applause at once, to the aged and devoted public servant who now guides the helm of State. "
5,8,1853-03-30-seq-2.txt,"more wvarmly devoted thtan wias his management-and treatment, of the servants Ihe held, kind and humane. And to this point in his chiarcacter we would call the "
6,10,1855-01-03-seq-3.txt,"just been thoroughly renovated and repaired ; good I and faithful servants shall always be in attendance, t and the guests of the House shall not want for any "
7,12,1857-10-14-seq-4.txt,"Heavy White Dome'stic Flannels, at low price.: Superior Red Flannels, for servantLe, at very low priots. "
8,13,1859-03-09-seq-2.txt,"him I didgn~kow, 14that the. Ameripcans would like the younger ones or- servants. Hie said that' would be very kind. lie asked me bow many were "
9,15,1864-08-03-seq-1.txt,"much like that in which she would reprove a servant for breaking a china plate, "" Elizi, ?o in there and see what's damaged this "
10,16,1851-03-20-seq-4.txt,"sufflered amputation with the greatest courage, he saw his servant crying, or pretending to cry, in one corner of the "
11,17,1852-10-27-seq-3.txt,"Cottaon llOSEj eavy Worsted and Cotied JlQSE, for servants ; 10.4, l2.4 and 14-.4 sup. Marseilles Q UILTS; "
12,19,1861-02-06-seq-2.txt,"chiefest joy; Che sister's pride, the servants' hope, the sons who we believe "
13,21,1859-02-09-seq-1.txt,"I have tho honor to be, most respecfully, your. obedient servant, .. H. HA MMOND. PF.Y.FR HAWVEyr, Esq., Boston. "
14,22,1857-08-26-seq-4.txt,to gratify the taste of the epicurean will be supplied in abundance. The servants of the CAROLINA HOTEL are noted for their polite and attentivechar 
15,24,1858-05-05-seq-4.txt,"A variety of Goods for MEN and BOYS wear; PLAIDS and STRIPES for servants; French, English and American PRINTS, in "
16,26,1857-01-07-seq-7.txt,"New Orleans'between Jackson' and Packenham. th~ 87 A gentlenia1 observing a servant girl, who th as left handed, placinig ths kqivss and forks ona "
17,27,1857-01-07-seq-5.txt,"f New Orleans'between Jackson and Paekenhlam 87 A gentlenlar observitng a servant girl, who ra left hiandled, placing thy krgiv'es and forks on "
18,28,1858-11-24-seq-3.txt,"at Gj o'clock. ADMISSION 50 Ceuts; Children and servants, half price. V/ a "
19,30,1858-11-24-seq-3.txt,"tolerably quick spoken. He has been raIsed In tlh kumse, and Is a valuable dining-room servant and good ostler. "
20,31,1861-06-05-seq-2.txt,"ing A Present in Parting. tot, The servant sof friend lsaneseni i;rz, brought to the our offnce Monda~y mirning a bn.-ket of very fine "
21,32,1851-12-25-seq-2.txt,"self frielndly ; and as a mlistress, sceurinlg the al tachmn~ent of lher servants by an hlonest enok-avor I to obey thle requlirm1ent of thle Gospel, ill "" giv "
23,34,1851-12-25-seq-2.txt,"univerral jubilee, when Ihe high and the low, the old and the young, the master and the servant, men and wonien should see in each others' faces "
24,35,1851-12-25-seq-2.txt,"in accents of love and tenderness--let the pture servant of Godl preach the mercies of christianity, and not the terrors of the law-let the statesman "
25,38,1865-11-15-seq-1.txt,"on services of gold anet. - sjlver^re- presented by ttveriiri servants to Cor? Journab- .. ' v. ; !:""--; -'..-*'.' * "
26,40,1858-08-18-seq-1.txt,""" Well, Miss Mariani, who arc you bringing here now ?"" asked the servant womian. "" A poor boy, who is almnnst perished ; you "
27,41,1865-05-17-seq-2.txt,"Why, the nr-.v' tiring will be to associale with j o.;c's servant iiiaidv' ""iiut, linumtj it is merit that g?vos tm*! "
28,42,1865-05-17-seq-2.txt,"ti this hour of your, of our, nation's calamity, i'our obedient servant, ' J. IL JO.VKS. ? ""ARREST br G H LAMAR.-Mr. G. II. Lamar "
29,43,1854-06-08-seq-4.txt,"is. d So saying, lie followedl the servant intoan the kitchen ; to the great surprise of her a e "
30,44,1854-06-08-seq-4.txt,",, Street, arid ough itrnowv,"" as thre maid servant 2~epots ur she knocked thle bottom out of' those ty ti "
31,45,1857-04-08-seq-4.txt,"giving the bell-knob a cautious pull, was soon admitted by the servant girl. The following dialogze then and there took place: "
32,46,1857-04-08-seq-4.txt,"be over in the course of the day,"" he took his leave without subjecting the servant maid to a cross-examination. The joke got "
33,47,1858-06-16-seq-1.txt,"""Faithful to the teachings and example of the apostles, she has always taught servants to obey their masters, not serving to the eye merely, "
