,Unnamed: 0,date,context
0,0,1865-10-04-seq-1.txt,Tho-vote on the-resolution for th? abolition of slavery was nlnety.-.cight to.eight ! Would if our ' Northern brethren and l'rionds-dosire more ? 
1,1,1865-10-04-seq-1.txt,"seiubly may. by requiring a registry of voters, or other snitable legislation, ? uaid ngjtirst frauda in elections, nod usurpationavof tho"" right of "
2,2,1865-10-04-seq-1.txt,"' ?ST Tho Friends of Dr, N. MERRIWETnEP.' hominato Kim as n candidate for tho Legislature at th ernest election.. "
3,3,1865-10-04-seq-1.txt,"of Co). B. M. TALBERT to announce bim a eau-' didttc for tho Legislature at the ensiling electing Oct. 2, te * .' 40 "
4,5,1852-05-27-seq-1.txt,"Louisiana! Old States and new Statei slave States and free States, Norther States and Southern States, are all hier< "
5,6,1852-05-27-seq-1.txt,"slight measure of conservatism on the sub ject of slavery, or rather of the fugitive slave law."" "
6,7,1852-05-27-seq-1.txt,"ject of slavery, or rather of the fugitive slave law."" We exposed the fadlacy of this state "
7,8,1852-05-27-seq-1.txt,stable to take the person of a fugitive slave under arrest out of the custody of the United States Marshal. This is a 
8,9,1852-05-27-seq-1.txt,"says that if the democrats at Baltimore make the fugitive slave law a stick of timber in their platform, they may look "
9,10,1852-05-27-seq-1.txt,"authority for constructing railroads clear ing rivers, legislating for or against par. ticular classes of industry, granting do "
10,11,1852-05-27-seq-1.txt,"A more startling proof has just been given by the Massachusetts legislature, which passed the act effectually nullifying "
11,12,1852-05-27-seq-1.txt,MASSACIsETTS NULLIFICATIoN.-A majority of three in the legislature have actually succeeded in passing the law 
12,13,1852-05-27-seq-1.txt,tice of the peace. We deeply regret this act of legislation. It strikes a direct blow at the Union. 
13,14,1852-05-27-seq-1.txt,"roes has been reported in the Virginia Legislature, the enforcement of' which wil drive them out of the State. "
14,15,1852-05-27-seq-1.txt,"the company. This charter was granted by our last Legislature, The route the road is contemplated to run is from this "
15,16,1852-05-27-seq-1.txt,upon the House bill at this sessioni buE Washington legislation is very uncertaing and it may be pushed through. Weqnote 
16,22,1854-06-22-seq-3.txt,"Notice. A PPLICA TION will be made to the Legislature of South Carolina, at its next Session, by vari "
17,23,1857-05-13-seq-2.txt,"egion, we suppose. 'The'lectioni lies, with the tate Legislature.-Char-leston C'ourier, XaI~y 9. Tax Cnors.-An intelligent pilanitor in the "
18,24,1857-05-13-seq-2.txt,"word that was not found in the faulty text from which King Jamps's translators revised, "" I have ndeavored to spt this matter in a clear light, as it "
19,25,1857-05-13-seq-2.txt,"ertain passages of scripture, hare arisen from an inaccurate or false translation of the termse of the owiginal, and an appeal to this has genmeally si "
20,26,1857-05-13-seq-2.txt,"the existence of the very faulty condition of the text used by King James's translators, and in many other instances show the bad 'use made of "
21,27,1857-05-13-seq-2.txt,"many other instances show the bad 'use made of the text that was in the hands of those translators. Thus, for an example, in 2d Corinthians xi. 25, "
22,28,1851-05-22-seq-3.txt,would be an inminently startling one. Perhaps ii would at once occur to the slave States that eni ty to slavery was the true secret of this inveterate 
24,30,1851-05-22-seq-3.txt,"miles ; 135,000 eitizens ad alien residents ; and, 305,000 slaves (white,) th an aggregate wealth of about $40,000,000. Sma-rA liad a small area, "
25,31,1851-05-22-seq-3.txt,"of about $40,000,000. Sma-rA liad a small area, with only 150,000 eitizensi and 220,000 slaves. til Its wealth, in the palmy inys of the State, was "
26,32,1851-05-22-seq-3.txt,"South Carolina may, with reason, count upon is moral element. All the Southern slave-hold States know and feel, that, on the proper "
27,33,1851-05-22-seq-3.txt,"and negroes, it would be of little value to any ex cept those whowould own slaves and live .upor the soil, while any serious disturbance of our In. "
28,34,1851-05-22-seq-3.txt,whom you can resent an injury. -Every -cow ardly little monster een tyrannize over-i.s slave.-. It is very unbecoming in -you to expend yournc 
29,38,1851-05-22-seq-3.txt,"sied, come up and be discussed in the Federal Legislature, and that too at an early period of the contest. What then is the-naked and only issue, "
30,39,1851-05-22-seq-3.txt,"be to their interest to break down, by inimical leg islation, the institutions of South Carolina, which are identical with their own! 'Will there be a "
31,40,1851-05-22-seq-3.txt,"reconcile my approbation of the appropriation of 9300,000 made by the L~egislaturo, and my ivowed opposition to separate State action, and "
32,41,1851-05-22-seq-3.txt,"gates did -not sere you with felit* 4 Session of the Legslature ""6. vo -o call of a Convention-ofthi "
33,42,1851-05-22-seq-3.txt,"would, at any time, receive the sanegen~ikhe National Legislature.. On the contrarygwead good grounds to hope that they..would nggo "
34,50,1854-09-07-seq-3.txt,"T . .IE City Council of Atiusta. Gecrpia, will mI.iake applieatiin to the Legislature of South Carlinai ,. at its itext sittinm, for a iharter to the "
35,51,1854-09-07-seq-3.txt,"IS 1ierehy riven that application will be mtde' to I the next Ligislature for the Charter for a Public iad fro:n1 thue Aikn-it Roiad, at Or nar. Posoy's "
36,52,1854-09-07-seq-3.txt,"Notice. yPP.IC.\TION will be fmade to the Lecgislaturc iof SiuthI Cari uhiia, at its next Sessin, to in "
37,53,1854-09-07-seq-3.txt,"N~ot ice. ,PPLICA'TION wiill bei imade to the Legislatuire oLi. f $outh Carolina. at its next $ession,. by vat "
38,54,1854-09-07-seq-3.txt,"A.PPLICATION will be madle at the next Ses ?.siosa of the. Legislatture fur at Charter fir a Itail load f riom sonie poinut oin the llltue Ulie Riail lRoad, "
39,55,1854-09-07-seq-3.txt,", PPLICATION will tie made at the next Ses 1. sioni of the Legislature otf ihis State, for an aimihnent to the Charter of thme Town of Aiken, "
40,56,1854-09-07-seq-3.txt,"S hereby givetn thamt application will be made at Ithe itext sitting~ of thme Legislature, to re-e'chr lorse Creu~k as a niavigable stream, amid for oilier "
41,57,1854-09-07-seq-3.txt,". lie has been publish by J. H. CoLTox, udder the paitronage of the Legislature of the State of South-Carolina, and is the only )(Iap of the State, "
42,58,1854-09-07-seq-3.txt,"Notice. A. PPLICATION will be made to the Legislature LXof th is State, at its next session, for a Road "
43,59,1854-07-13-seq-2.txt,"both branches of the Connecticut Legislature, on the subject of the recovery of slaves. It provides that an extraordinary amount of evidence shall "
44,60,1854-07-13-seq-2.txt,"States Courts will not admit its new rules.of evidence. If the claimant of a slave isbrought un der the penalties of the act, the United States "
45,61,1854-07-13-seq-2.txt,"maliciously declare, represent, or pretend that any free person entitled to freedom is a slave, or t owes service or labor to any person or persons, r "
46,62,1854-07-13-seq-2.txt,"curing, the forcible removal of such free person from this State as a slave shall pay a fine of $5,000, and be imprisoned five years in the "
47,63,1854-07-13-seq-2.txt,"tense that any person, being or hatving been in this State as a slave, or owes or did owe service or labor to any other person, shall not be deem "
48,64,1854-07-13-seq-2.txt,"testifying, represent or pretend that any person is or ever was a slave, or does or ever did owe I service or lbhor to any person or persons, suche "
49,65,1854-07-13-seq-2.txt,"in Africa-has recently issued a circular stating the number of blacks held in slavery in differenti countries is seven an a half millions, of which "
50,66,1854-07-13-seq-2.txt,orders. Ojiposituan theeta her at avery step after rossing the dividing line of the slave anad anti-shave tates ; oinueqettly.she it driven tm the necesitV of 
51,67,1854-07-13-seq-2.txt,"creepo se'd to rae'ra Itaha' net alloingai teatmpoerarmy eor'idets itt Conetactienet tat reanain theiar slave's.j )aaate -m anity'~ the~ lontse raI-wo rejectead, bi' ni "
53,70,1854-07-13-seq-2.txt,"judgesin several States, have seen the law before it came before either branch of the Legislature, and have unanimously pronounced it constitu "
54,71,1854-07-13-seq-2.txt,is one of the grossest pieces of stupidity that ever emanated from a Legislature. The United States Courts will not admit its new rules.of 
55,72,1854-07-13-seq-2.txt,unjnst. But we submit this precious piece of abolition legislation without further comment: An Act for the Djfence of Liberty. 
56,73,1854-07-13-seq-2.txt,"r existing Militia Laws by the ntext sessi-sn of the gislature. To be instrumental its re-leiving the 'dear people"" from the present agtgravating and use "
57,74,1854-07-13-seq-2.txt,te system would be a feather in the cap of any one f our Legislators. We may speak for onrself at any ate-Ite should receive our warmest gratitude. 
58,75,1854-07-13-seq-2.txt,"S hereby given that appliention will he made to the next mieting of the Legislature to alter this artir of the Town of Edgeiald, so as to release "
59,85,1851-05-08-seq-4.txt,believes it.-The difference lies here: Cuba is a slave Island ; and when independent will add another to the slave States of the South. 
61,87,1851-05-08-seq-4.txt,""" The money appropriated at the last ses sion of the LA-gislature, would enable us, if properly expended, to bring twenty thousand "
62,88,1851-05-08-seq-4.txt,"ought to be able to report to the next ses.sion of the Legislature-"" We hare twenty thou sand muskets and small arms, one hundred "
63,91,1865-12-13-seq-2.txt,"The Bill preliminary to the legislation induced by the 'emancipation of slaves"" was received, read a third tune, passed and order "
64,92,1865-12-13-seq-2.txt,tb? debt bas been jncurr?d for tho purchase of slaves n?w se>fnieby the United States Gov-rnmeut as well as by^the action of our 
65,95,1865-12-13-seq-2.txt,"Special Correspondence of.tho Charleston Cow The Legislature. COLUMPIA, December 4V1305 "
66,96,1865-12-13-seq-2.txt,"lieges incidental to corporations, and capa ty to holli ireal .eslate, lo purchase. ve*s? to employ, uge ats and .to do such other' m "
67,97,1865-12-13-seq-2.txt,"of its slow length past, the criticism of houseful of hungry legislator?, and the Hou adjourned much to the apparent ?aii>factio "
68,98,1865-12-13-seq-2.txt,fixed at $10 per diem whilst in attendauee upon th? si-ftaioas of tho Legislature: and also provides for the appointment of a R*i 
70,100,1865-12-13-seq-2.txt,Dixon offered a series of resolutions passed by the Connecticut Legislature in favor of equality before the law. 
71,101,1865-12-13-seq-2.txt,aud this will most probably bo dono during the present session of the Legislature. So that if we should be quick onongh in raising and offering 
72,102,1865-12-13-seq-2.txt,"dressed.; and ropair to Augusta immediately ai be translated. 238, Broad Street. "
73,105,1857-12-16-seq-2.txt,"bill to amend tho law in relatian to trading slaves, so as to add corporeal punishment i rtain cases, was taken up for a second read- ' "
74,106,1857-12-16-seq-2.txt,"lection upon that part of the Constitution which appertains to slavery, will be held under legitimate authority, and it any portion of the "
75,107,1857-12-16-seq-2.txt,"so late action of the Kansas Convention as to sub. do fitting the slavery Article of the new Constitution, ve ad no other, to the test of a popular vote. Senator in "
76,108,1857-12-16-seq-2.txt,hile he has in no sense interfered with the constitu Zonal rigits of Pro-slavery men. He was bound by j every consideration of justice to recognize the authori- i 
77,109,1857-12-16-seq-2.txt,"ho action of that Convention. The refusal of Free ioilers to vote upon the slavery question as presented o them by the Convention, is their own fault,-cer "
78,110,1857-12-16-seq-2.txt,"tion on her teeth. pm Eleven runaway slaves were recently captured near Nebraska city. Their leader was shot down, "
79,113,1857-12-16-seq-2.txt,he course of the debate he was afraid we were 1 a the midst of a legislative panic upon this tl uestion. He had heard members denounce the a 
80,114,1857-12-16-seq-2.txt,"le supported his resolution to appoint acomn mission, and urged the Legislature not to be alarmed, by these banks, while we had a crop "
81,115,1857-12-16-seq-2.txt,"ct this guarantee of neutrality, and also simi- a tr legislation for the security of-any other c )utes across the Isthmus in which we may ac- b "
82,116,1857-12-16-seq-2.txt,"ovreignty as embodied in the Kansas-Nebraska leg- b slation of Congress. He has acted with especial fair- t eess towards the Free-soilers of Kansas territory, "
83,117,1857-12-16-seq-2.txt,"gress. The Society was organised two years ago was incorporated last year by the Legislature, and an appropriation of $500 annually, granted to enable it "
84,124,1853-03-30-seq-2.txt,"Califoria Ihe divirded w-ithI a view to tire trhmntscion of slave-rperty inito its SouithIern hlfl, whlo cani esti mate Sou.thern wealthi and Soruithern pirosperiry ? Int "
85,125,1853-03-30-seq-2.txt,ttentions of every master who may chance to read hese remarks.) le- maanaged his slaves by regular liscipinte hut without severity. In this way lie not 
86,127,1853-03-30-seq-2.txt,"id:s hcavinig served his District with credit jn the lower lhmve of our Lecgislatureahe had been, at the tie of hcis death, for seven gunsecuttive years in the "
87,128,1853-03-30-seq-2.txt,his sec-on-1 term. it this latter body lie had acqcuired so hhi~h a repuitation for efiriency and legislative ablitiy as: to draw from one of his nmost canidid and 
88,129,1853-03-30-seq-2.txt,"offence, or offences, wh reof they were fotund guilty, is translatted for he Tribune from the Universe, a leading Ca 4holie journal isstued in "
89,130,1853-03-30-seq-2.txt,"understand the~ books which theyv gave her, such as thte Bible translated by Diodati, tnd ie Bo~ok of Prayer, prinited in Lotndon by the Society for "
90,131,1853-03-30-seq-2.txt,State-between whom not a few Whigs will bi run in the Legislature. For if Foote succeed in bringing out candidates pledged to his sup 
91,132,1853-03-30-seq-2.txt,"about his election. if a true Democrat, It should be content to wait until the Legislatur is chosen and assembled, and then submit hi "
92,133,1853-03-30-seq-2.txt,"WVho cats batte Ia:gainsst niecessity ? llaving domne, brother slaivehiolders ! thse best we could. unider the t~ircumnstances, let its resign onrselves "
93,136,1854-06-22-seq-2.txt,"law, as a nember of the porse comilaus, or in stip pressing a sudden insur-dtion among the slaves, ain this oiject cotid nt e. secured, without re "
94,137,1854-06-22-seq-2.txt,"iight hast, anid took patssauge by the ttndergrouind railroad f'or Cantada. Ninte slaves~ fromz Boonte Str'tNF.ss IN At.AnAM'A.-lt appears from the "
95,138,1854-06-22-seq-2.txt,"morti Carolina, has madie a presentment in re aMion to lhe Bostiom fugitive slave riot. The trict and willinz obmservance of tie U. States "
96,141,1854-06-22-seq-2.txt,"itizen of' Massnchit-et 1s, or any other State, it is itated. has binen insiited. or delaved in the asser ion of his rights, or recovery of' his property in "
97,142,1854-06-22-seq-2.txt,"and elfieienefor Auditor Burt. ""In virtue of atn tict of the Legislature of the Territory of Florida, passed in itarcb, 1839. "
98,143,1854-06-22-seq-2.txt,peopali oan easier anda cheaper termas. This awill ao its more good thantt Nebraska legislation or Pacific Rail roas. 
99,144,1854-06-22-seq-2.txt,"ing the Di.trict, and are before the people flor elue. ton to the next Legislature, aid as we feel a deep interest in the freedom( of trad.: without too high a "
100,145,1854-06-22-seq-2.txt,"tax Upon us, we respectfully would ask the Ciali dates for the L--islature to let as hear from them. througih the Advertiser, Whether or not they are "
101,146,1854-06-22-seq-2.txt,"of abolishing. or remodelling our militia system. As an aspiratnt to a sett in tho Legislature, and as a he liever in the right of the people, r.ither to oiutestitn "
102,147,1854-06-22-seq-2.txt,"I cannot think that it it; advisable to abolish the system enirely, and if the Le*gislature desired to do so, it tould Itot, as Congress has a cotneurreit, "
103,148,1854-06-22-seq-2.txt,"of our citizen sihiers in timenif peace, if elected to time Legislature, I .shall advocte a relirn to the ex tent above indicatel. The plin that I propose for "
104,149,1854-06-22-seq-2.txt,"that positn, either inl the preEiupon the bu lst ings, or in thte Legislatur. Yours veryJa s "
105,153,1857-10-14-seq-4.txt,"S lereby given, that application will be made to .the Legislature at its rnext sessiop, for a release T of all the righnt and itnterest of thme State in thme Es "
106,154,1857-10-14-seq-4.txt,"IS UEREBY GiV EN, that at the next Session of the Legislature application will be made for a Carter to incorpeorate Unnk to he established at q "
107,155,1859-03-09-seq-2.txt,"the last few mounths, has beena condemned as a slaver, and is advertised by the United States marshal to be sold at public outcry, in this city, "
108,156,1859-03-09-seq-2.txt,"lion, the following expedientis adopted for therecovery )f fugitive slaves who escape beyond the limits of dlave territory: "
109,157,1859-03-09-seq-2.txt,dlave territory: The law gives one-third of the value of the slave hat has been brought back from beyond the slave 
111,159,1859-03-09-seq-2.txt,"be is brought back. Such person may either deliver the slave to the owner, who shall pay him the third of his value; or if the owner is unknown, or in case he "
112,160,1859-03-09-seq-2.txt,"his value; or if the owner is unknown, or in case he prefers to do so, ho may deliver the slave to the Sheriff of Travis county, and the third of his value "
113,161,1859-03-09-seq-2.txt,"of it in his Anmericana Encyclopedia : "" Pedagogue with the Rlomans and Greeks, a slave who carried the childlren of his master to school. Since slaves sad "
115,163,1859-03-09-seq-2.txt,"wo Doy tell folks we is slaves, but bucra made us free. For we's all go fass sleepee while buera lie awake, "
116,164,1859-03-09-seq-2.txt,"Island, Edgetleld District, South Carolina, in relation to an importation of African slaves alleged to have been made into that District. "
117,169,1859-03-09-seq-2.txt,"remembored that the State of Texas, by act of the Legislature, set apart twelve leagues (55 728 acres) of land upon which the Texa"" ndians were to he settled "
118,170,1859-03-09-seq-2.txt,munities were highly Incensed and would call for Legislative action in the matter. Why not send them further West at onceo? The Red man cannot abide in 
119,171,1859-03-09-seq-2.txt,"hat lie around Corpus Christi. 10. By an act of the Texas Legislature at its last ses. lion, the following expedientis adopted for therecovery "
