,Unnamed: 0,date,context
0,0,1855-05-24-seq-4.txt,be furnished with as good as the country af fords rooms neat and in good order; servants obedient and readv to wait on our friends and 
1,2,1855-05-24-seq-4.txt,".advance in the price of pro- Amifi; visions, servant hire, and house !l2c:LM- rent, etc.. I am ccmr elled to h.'' "
2,3,1854-09-07-seq-3.txt,"JL' advance in the price of pro ' visions, servant hire, and house 'rent, etc.. I am compelled to advauco on mr, our "
3,4,1862-02-20-seq-4.txt,"companies ol thejjitceiitlii liassn negio servant named; Jini,vho bii the ?honing pf-the battleSvaf: "
4,5,1855-03-29-seq-2.txt,"nee of saiJ Convention; and Wherea?,oor faithful public servant the lion. GEo. V..JoEVhas de "
5,6,1860-04-26-seq-1.txt,"hiok quite ' sufficient to rouse cp -' cfsS Ml Kitg iropcrly ur public servants to a sense of 1 ielJuId ini:""t- mos "
6,8,1860-09-13-seq-4.txt,". 1 j., .come ana pay mo "" v. pencil with which Bnttiinia ruled tnejj yonrVBrabia servant, , - ware.- . ; .. . .. , j Aug. iu. acpv. rvrr r. "
7,9,1861-07-18-seq-2.txt,"declined. . worthless until we examined a few 1 am, very truly, your ob't servant, of- them at the mayor's office yes S R. Cockrill. jterday. The material is poor be- "
8,10,1856-12-04-seq-1.txt,"Eighth made a law that all men, ex cept servants, miht read the Scrip tures; but no women, except ladies "
9,12,1857-09-17-seq-1.txt,j statesman. Ho has made the most j faithful pubiio servant the State of J Tennessee has evpr had ia the na- 
10,13,1863-03-19-seq-1.txt,"npgroes, of both sexes and all ag-8: At the head of his servants, wbo;fol loxved in siog'e file; he walfeed to "
11,14,1863-03-19-seq-1.txt,"become of them."" . '- . At the head of bii old servants j left, and the free pecp.e followed him "
12,17,1854-12-07-seq-4.txt,"advancein the price of pro- Atr. visions, servant hirand h-.use ' rent, etc. "
13,18,1861-08-01-seq-1.txt,e uoiiot Know iue num-: u ov shall be his servant. . to say the coffee 
14,19,1852-01-06-seq-2.txt,"edndubtcd liis, family, he can say with one"" of old: ""IXowlettest thy servant deparf; in peace; (for i have seen thy "
15,20,1855-08-09-seq-4.txt,be furnished tfith a? good as the country af fords room neat and In good order; servants obedient and ready to wait prr our friends and 
16,22,1857-06-04-seq-4.txt,"horse'a mouth, tin the thimble over bis tongue, and he is your servant. He will follow you like a pet dog. "
17,23,1855-01-25-seq-2.txt,"might bike a rise I concluded to change my diet., Calling a servant 1 told him I had concluded to take "
18,24,1855-01-25-seq-2.txt,perhaps it was an unfavorable time to eat Oyster-soup. The servant soon returned my plate with some 
19,25,1851-11-25-seq-2.txt,"anybody1 can do .without it ! Little children; infants, servants, all drink i peace."" Concurred iof tHe'citv :ofl!Nashville: as have'en-i tion jof sccessiQn from the - Union. "
20,27,1852-06-03-seq-4.txt,"the, corn is unmerchantable,, conse quently your servants are less tempt ed to be :cine thieves and drunkards. "
21,29,1858-10-07-seq-3.txt,"fact of navigation being closed,- and:', the de-j She then in turn bade farewell to companion, pressiofl of Breadstnffs in the Northern and j parents, relatives and servants, then peace Southern Kealxard-niarkets, has bad the effect fully and calmly pasiied away like orio going "
22,31,1856-02-21-seq-1.txt,"With great respect,- Your obedient servant. -James B. Clay. "
23,32,1853-08-04-seq-3.txt,i j Those having servants affiieted wkh fyrrftSn. t ;-- r j . i r - ? ....... j - 
24,34,1860-09-20-seq-4.txt,"come and pay roe bet ween this and' UiSent I am yonr bnmble servant, . . pt Aug. 16, 1860. "
25,35,1855-03-01-seq-4.txt,be furnished with as good as the country af- rorasj rooms Tieat and in good order; servants obedient and ready to wait on our friends and 
26,37,1855-03-01-seq-4.txt,"L advance in the price of rro- visiocs, servant hire, and house rent, etc I an comeIled to auvce on nu "
28,40,1853-11-03-seq-3.txt,"vants is pnrticalarly invited) 1r the above. Those having servants affiled wiih Sttu.i, Grave!, stiffness or soreness bf the limbs nnd "
29,42,1856-12-25-seq-3.txt,"Favetteville. nTty-four likely Negroes, consisting of house servants and field hands. - I will, also, at the same time and place, offer "
30,44,1853-12-01-seq-2.txt,"vants is particularly, iuvited to the aK've. i Those having servants afflicted w ith Srofulti, Gravel, stifiness or soreness t'f the limla andj "
31,45,1853-12-01-seq-2.txt,"II - t 1 by them or their agents or servants on any road id this State, was passed. "
32,48,1858-06-24-seq-2.txt,their independent thinkers that they are toiling servants to those who tax them -that they labor to support in 
33,50,1861-04-11-seq-2.txt,"passage to rntmphis for himself and negro servant, and airived just as the steiimer was about sailing the "
