,Unnamed: 0,date,context
0,0,1852-05-27-seq-1.txt,"get, and that they will acquiesce in a final settlement of the slavery question. Surely our neighbor des "
1,2,1851-06-24-seq-2.txt,"slate reprcschta lion' . be obliterated, or if the transpo lation of slaves from onq skve-holdii g State to another "
2,3,1851-06-24-seq-2.txt,"from passing any law for the eman cipation of slaves, ! Governor Dinsmore. of New "
3,4,1851-06-24-seq-2.txt,to obstruct and prevent the execu lion of the l'utri iye Slave bill: or if Congress. shall atl any time repeal or 
4,6,1851-06-24-seq-2.txt,"be rejected bccaiis'e jthey-may ioler atd slavery in their constitutions, in any or all these cases,, this Conven "
5,7,1851-06-24-seq-2.txt,"' "" i Emancipation of Slaves. A provision has been adopted by the "
6,12,1860-02-02-seq-2.txt,"Thursday Morning, Ftfcruar j 2,ISC0 TLc ; Baptists and Slavery. AYe have long noticed that the "
7,13,1860-02-02-seq-2.txt,take a leading position on the ques tion of slavery. V7e have no objec- lion to the churches discussing slave 
9,15,1860-02-02-seq-2.txt,". conscientiously avoid the issue. Slavery is cither right or wrong. We of the South say it is right, "
10,16,1860-02-02-seq-2.txt,"cess the true doctrine upon the Eub jtct of slavery. As a people we have been extremely forbearing, and "
11,17,1860-02-02-seq-2.txt,itllegiance to Southern principles. No man ho admits slavery to be a moral evil is a fit man for the South; 
12,18,1860-02-02-seq-2.txt,considered.. No man toko believes slavery to be an evil can honestly defend it; he is a 
13,19,1860-02-02-seq-2.txt,"facie, evidence of his own corruption. We dsfend slavery because of our lionest conviction that it is socially, "
14,20,1860-02-02-seq-2.txt,"and it is as Scriptural as Southern. Many anti-slavery men defend our rights nnder toe uonsuiuwoD, vin "
15,21,1860-02-02-seq-2.txt,"political stand point, tbey defend the Constitution not slavery; this, how- ever, does not meet tno wnoie ques "
16,22,1860-02-02-seq-2.txt,". . F. T. '""Estill;-' Slaves without Masters. The constitution of Illinois' asserts that "
17,31,1861-10-10-seq-2.txt,"t lmnnsAtimpni npv m it.: aisu in-: slavery ahall be aooitmea, 11 ncces- nouncingahke the South for its of shippers and owners of su "
18,33,1851-11-11-seq-1.txt,make ho issue with any party at the Norh upon the Slavery; Question. They will (unite in the election of aj 
19,34,1857-07-02-seq-2.txt,"from the various territorial laws, so 1 -t .. - - - - far as they relate to the right ofsufT- . Another Currcn SrLiTCH ""Slave -ran-e, from which it will be seen that -Rt. On Monday. night of last week, "
20,35,1857-07-02-seq-2.txt,"who slnll hiv-j bpn a resident of s .id es pf t solutions condemning the'-agi- Territory at the titneOf the passage of jtntion"" of the slavery question in the this act and sbnll possess tin qunl- tburch, and by .distinct implication "
21,36,1857-07-02-seq-2.txt,"j , m en, women with an intention to enslave them.' "
22,39,1855-03-29-seq-2.txt,ritories the policy of pun-inter-.' vention overihrown: flaverv abol ished in th States or the Union 
23,41,1851-09-02-seq-1.txt,"'iSliiveryf in 177G. While the.. ""subject ""of slavery js commanding the attention oi peo "
24,42,1851-09-02-seq-1.txt,"From an mi then- tie source, we learn that slavery, at the period when the different States "
25,43,1851-09-02-seq-1.txt,"colonies.'; The! following table ex hibits, in an accurate light, the slave t - 1 i i "
26,44,1851-09-02-seq-1.txt,"ecf to serve those vne barbarians Total number ot Slaves, 502,102 Kki:p Warm This is queer ad- "
27,45,1851-09-02-seq-1.txt,"peuuenee, nc is in i ican name. We llave no business in maintaining rovattv! We believe "
28,46,1851-09-02-seq-1.txt,".inhjisjer. held to labor as a slave the, w eek follow- "
29,51,1857-05-28-seq-2.txt,"tion of President Pierce for conniv ing at the pro-slavery usurpations fsr'V'Ais in"" Kansas. But Presi- "
30,52,1857-05-28-seq-2.txt,"letter of acceptance at great length up- on the slavery question; and then gave nnt t.h, fnllrtivino- tn hU know iinthincr "
31,55,1856-09-18-seq-2.txt,"Montgomery county. A- ' - -r. Five slaves ran off from Middleba ry, Loudon county, Va., last week. "
32,56,1856-09-18-seq-2.txt,"UpSOO, lor Selling incenaiary pUDll- cations to slaves. The action of the Mobile Committee fa denounced, with "
33,57,1856-09-18-seq-2.txt,"for admission into the Union with or - without slavery, as- they should determine? "" You know that if "
34,58,1856-09-18-seq-2.txt,"t th Missouri compromiser . ""No more slave States or slave Territo ries shall bo allowed to the. Union 1"" "
35,59,1856-09-18-seq-2.txt,"on our lips. ! Non-intenention admits "" States free or slave, as thepeople may determine. If, hereafter, we ; are to "
36,60,1856-09-18-seq-2.txt,"ries the power to form their own con ititution, with or without slavery, efTectuallyrepeals all former restric "
37,61,1856-09-18-seq-2.txt,"""violated compacts,"" ""audacious en- croachments of the slave power."" And now, sir, I dare these lordly "
38,62,1856-09-18-seq-2.txt,"compromise - upon the question ot slavery. At the subS3qtieiit Congi ess, Messrs 'Jackson and Ilillyer each "
39,63,1856-09-18-seq-2.txt,"compromise, of 1850 as a final set tlement of the slavery Agitation. Ten Whigs, and tbirtyrsix Democrats, was "
40,64,1856-09-18-seq-2.txt,"""In tho South there wcro fifteen slave States, which were growing poorer under the bl'urhtiDfr curse of "
41,65,1856-09-18-seq-2.txt,"thoBuchanicrs in the Sucker State, and quiet the slavery Agitation, i3 to unite ou Fremont. One other, rea "
42,67,1856-09-18-seq-2.txt,"cenary knaves home, and tbey will be disturbed by no proslaveryitcs, unless by the ghost of those they "
43,81,1861-03-21-seq-2.txt,"subjects are tributaries, colocists, slaves. And yet, whilst it is thus c!carth il "
44,82,1861-03-21-seq-2.txt,"being Tested in Congress to abol ish or interfere with slaves t Stales, j was adopted by a two-thirds vote "
45,84,1861-03-21-seq-2.txt,"crease of population ""in free and slave Statt8, over tho population of 1850; - "
46,86,1861-03-21-seq-2.txt,"j was adopted by a two-thirds vote laves 133. nays, 65. The Senate did not act upon it Has Congress any "
47,87,1861-03-21-seq-2.txt,power now to abolish or interfere with slavery in Stales? Tbe Washington correspondent ofj 
48,92,1860-10-04-seq-1.txt,"i .ri.. 1 1 iaMte on the question of slavery, m;1y delegate the exercise of that "
49,93,1860-10-04-seq-1.txt,"people of a territory, rtmaiuing jte on the subject of -slavery in tht territories, and then to' admit or ex "
50,96,1851-05-27-seq-4.txt,"en clocks are also made in Connjcticut, and soliljbecomd a jiigger slave by pedlars througl "
51,98,1860-04-26-seq-1.txt,"betyramzed over; and sue got-8 to, I Know cow tbat 1. nevtr Ehall. work to make os ""drudge and slave, j With two othtr. scenes it will be we must fcbow her whether she isn't; painted in nevfr-faditig colors be "
