,Unnamed: 0,date,context
0,0,1851-12-25-seq-4.txt,"ii. in i.-i; iiiis, ami wan all Ins crew, cast i to i h iins and slavery, where he died at an ad vanced age, au ignominious death, wild his "
1,2,1851-07-10-seq-4.txt,"are coming up with them ; but they have a heavy burden to hear, for the slaves and the women look to them for protection. "
2,5,1855-11-22-seq-1.txt,"Slavery. The select sommittoe on ee muV ef the Governor's message as relate to slavery and th outrage in Kansas, reported a preauala "
3,6,1855-11-22-seq-1.txt,"iting the use thereof by the United Ststei under ; the fugitive slave law,) when' Mr. Btigham , moved an amendment ceding land to the U 3, "
4,9,1864-04-26-seq-3.txt,"1 ""37. "" If 1 eould be instrumental in eradicating this deepest slain, slavery, from th character of 0 ir country, and removing all cause of reproach "
5,11,1853-09-08-seq-3.txt,"as exemplified by seven figures, lieinir actual likenesses of 1 aUve-uwner, a slave-driver, and their victims. MEltDEK OF MISS McCUEA, "
6,13,1855-08-02-seq-2.txt,"present National Administrati gandists of slavery of wbate out the Union ; a""n'iTwhoare "
7,14,1855-08-02-seq-2.txt,"are there sow engaged, it is said in perfecting their code Mr tho pruteetion of slavery in Run gas, byew hills, one requiring the voters to "
8,15,1855-08-02-seq-2.txt,though often reiiieite4 so to do 'Alr this and nioir4odiat3 'that tho days ol slavery are ninu bSjel that the hand writing on the wall has 
9,16,1855-08-02-seq-2.txt,"This seems to be a grave matter, and onoH whieh, independent of tho slavery question, loudly demands the attention of all those who "
10,17,1855-08-02-seq-2.txt,"been formed what was called an Anti- slavery Society in the Ciiy of New York; and being few in numbers, ana of resectable stand "
11,18,1855-08-02-seq-2.txt,"The "" last argument lu, which kingrtti?$otfr',iS' LiitftJhaTfhTTurlfs had evacuated Karg and the only argument tohjih tho slave power-a.falteh bockjon Erzonise. Schamyl, the Cir eon make u wjce.suapwl. Sffiitek1 cassifln chief, is again reported dead. "
12,19,1855-08-02-seq-2.txt,"- -I.I . .. H.l . i',e euiuneipation ot the slaves was no p-art m. THil HjCXT PBKSIDEST. "
13,20,1855-08-02-seq-2.txt,"tivesUrom whom laoor or sene iraii . xiiia supposes a party concern, put the slave is no party to any contract ; he has got nothing, and "
14,21,1855-08-02-seq-2.txt,"in the aiSriuativa, wliejH lie is 'at the same timo a member of another party not anti-slavery, -taut even by profession ; Anti-Slavery,- according to "
