,Unnamed: 0,date,context
0,0,1861-01-05-seq-3.txt,"choice Wines, Liquors and Cigars. He has good servants, ami evorv attention will he paid to his guests to render their sojourn agreeable, "
1,2,1859-12-17-seq-4.txt,"like a coflin. f<.Mod into a portmanteau in the (lay, ami was laid out at niyht by his servants. No >nmicr hail 1 arrive (1 than I was summoned "
2,3,1859-12-17-seq-4.txt,"of his Lord and Master. The appearance of this aged servant of Clod, in the pulpit, with ? ! his furrowed cheeks and siivnrv lucks in cm "
3,4,1859-12-17-seq-4.txt,"and loving husband, a tender and affectionate father, the Church a useful and honored servant, , ' v a valuable and esteemed citizen. "
4,6,1857-12-26-seq-2.txt,"of slavery is doing there, llark ! tho voico of the hired servants cry for broad ! While their masters say ; "" Howl, O gate ; cry, 0 "
5,7,1857-12-26-seq-2.txt,"thoreforo, we can say with St. Paul of old ; ""servants bo olxKlient to thorn that aro your masters acoording to the flosh."" Kj)h. 0, 5. "
6,8,1857-12-26-seq-2.txt,"masters acoording to the flosh."" Kj)h. 0, 5. Aud tho servants of tho North may thus truly complain ; "" masters, git? unto your "
7,9,1857-12-26-seq-2.txt,"on the 12th, by tho accidental discharge of a gun in the hands of his servant. Til e Florida War MostEnded.?Wo learn "
8,13,1859-03-12-seq-2.txt,"of Col. Ohr as a public loss. But he has beon a faithful public servant, and wo wcl"" come him to our midst. "
9,14,1860-03-31-seq-2.txt,"iielj/'^Hii-'s note for interfering, cutting oft"" a j dog's tail, and throwing a servant girl into a : v i^ivi (i* "
10,15,1859-02-19-seq-4.txt,". tv, and a (ireman, and no other domestic . servants. The Kxeeutivo oflice is in tlie liXeeutive mansion, and for the former, "
11,16,1859-02-19-seq-4.txt,"two messengers and a porter. Kor ' s all domestic servants, however, except o steward and hreiuan, the President must ()l) "
12,17,1859-02-19-seq-4.txt,",1 pay out of his own pocket. Ho must pay , 1U. f I for his cooks, his table servants, his female ha J 1 servants, his coachman and grooms, tS:e.. pi "
