,Unnamed: 0,date,context
0,0,1854-07-18-seq-4.txt,"OUR 8tocC of Bleached and Uro. Muslins, Cottooades Servants' Stripes and Plaids, Ac, e is unusually large, and buyers wanting any thing in our line cf business, "
1,1,1854-09-05-seq-4.txt,Women's Plantation Sloos; House Servants' Shoes; Youths' and children a coarse and fine shoes; . 
2,2,1854-09-05-seq-4.txt,"der the shade of trees, or in a retired apartment, thus sav ing great injury to the health of valuable servants, and the heavy expense and inconvenience of large tires. We hare "
3,4,1854-10-28-seq-4.txt,"1 v vouched for. Also n No. 1 Mau, 19 years old, good body and dining-room servant. Call soon. 6 DABBS 4 PORTER. "
4,5,1854-10-28-seq-4.txt,Negro women's Plantation Shoes; House Servants Shoes; Youths' and Children's coarse and fine Shoes: 
5,7,1857-02-06-seq-1.txt,"Ancie i les; Servants' Calf and Goal Bootees, a large assortment; Genu fin Calf Single and Donkle Sale BU; "
6,8,1854-08-30-seq-2.txt,"ing all their expenses, tavern bill, carriage hire, servants, ice Forty thousand dollars are deposi ted with the Bating. as the security money; they "
7,10,1854-05-23-seq-1.txt,". two story Frame House, five Rooms, good Cellars, Kitch I Hi. SmoUe 1 louse, and Servants"" Room; also, a good Buggy I House. Two excellent and never-failing Springs. If de- "
8,11,1854-05-23-seq-1.txt,"spectacle citizens ol riasuvute- ineau verier is perumieu lo refer to Mr. Samuel Watkins, whose servant was cured nfo. most inveterate Scrofula. Also, the servant "
10,15,1857-01-08-seq-2.txt,"the estab'ishment of an Academie de Cuisine, school to educate women servants for the kitchen and teach lh9 female members of the enrrimunity "
11,16,1857-01-08-seq-2.txt,"feet deep, wHh a geod two ""lory Brick Heose containing 8 er 10 rooms, servants' rooms, kitchen, &e ,a goed well, smoke house, ew. nota amis Beey se( witn snrueeery, shade and "
12,17,1857-01-08-seq-2.txt,"eligibly located lets in BdgeleM, having a new brick dwel ling house with fear rooms, kitchen, servants house, stable. carries Ho ise, Ac. roesesstea weuld be given to lae pur "
13,18,1857-01-08-seq-2.txt,"South Nashville, Bear Dr. C. K. Winston's: containing six good roeoHi eiclusive f kitchen, servants' room and smoke hease, also stance and carriage house. Apply te "
14,23,1854-07-26-seq-1.txt,Buarp at the Springs per week ?6; children and servants halt price. . . WILLIAM B. EASLEY A Co. 
15,24,1854-07-26-seq-1.txt,"story Frame llouse, s uooms.goou thenars, rvueuen, onioke Houie, and Servants' Room""; also, good Bucgy Houe. Two exeellent and never-failing Springs. It des:rcd, ihe "
18,30,1854-12-13-seq-1.txt,"lorv brick building, containing 1 Urge rooms, dining niaai, pa.?-, porches, dosets, kitehen, servants room, stookc Ihi-, Ac, aad lias bao utiful sJiade trees iu the "
19,31,1854-12-13-seq-1.txt,"on hand Collins of every description, from the plainest servants to the fine Metalic air-tight and air-exhausted Cof fins, the best now in use for preserving the Corps; together "
20,32,1854-12-13-seq-1.txt,""" English Swansdown, very heavy for invalids: Mens, Boys, and all kinds of servants wear; Blankets, Ta ble Linens, Sheeting, etc, etc. "
21,33,1854-12-13-seq-1.txt,"No Goods taken back or exchanged wkea feeaght. No Goods bought by Servants, or upon Trbal order, will be taken bock. k C. AleN'AMtY A CO. "
22,37,1860-02-08-seq-4.txt,"have good girls, suitable for house purposes: a No. I boy, W years old, well trained as a dining-room servant; 3 good fatal Bet, with a let of single negroes suitable tor the firm. "
23,38,1860-02-08-seq-4.txt,"The honae is very lanrt aad onsnmadbrs. containing over twen ty ro was, with servants' rooms, otUata, tesd and wood sheds, &c The house la In gond orotr, nasi tt ti fiemg recenuy reeunt ana "
24,39,1860-02-08-seq-4.txt,El Sill tan; Cervantes; Ingenuidad; 
25,42,1855-06-12-seq-1.txt,"No Gojds taken back or exchanged when bought. No Goods bought by Servants, or upon verbal orders will be taken back. H.. o. McNAIRY A CO. "
26,43,1858-03-06-seq-4.txt,"goods. Bleached and Brown Cottons, wool, union aad cot. ton PlaBBeis, striped cottons for (ervanta. In great tarUty Heavy goods for house and field servants: I'riaK, Ging "
28,46,1856-01-09-seq-4.txt,"RED BLANKETS; Flannels; Irish Lmens, Bleach'd Shirt icga, Hamilton sheetings; Servants f ear. Hoys Clothing; yuineu BK.rts; (a new article very desirable) - ana an "
29,47,1855-11-22-seq-1.txt,"ble, ft levulr.- no mechanical aid or bill ol expense to I' n stp-.tutt i.m nxaa or servant can pat up ana set one MHfegta bsif na bcurs lime. Tfco convenience tiith "
30,49,1855-04-17-seq-1.txt,"Double Sole Negro Erogans; House Servants' Shoes, heavy and light ; Youths' and Children's coarseand fine Shoes; "
31,50,1855-04-17-seq-1.txt,"No Goods taken back or exchanged when bone-ht No Goods bought by Servants, or opon verbal orders will h Uton twri- B I! M.M115V l-nil "
32,51,1858-01-03-seq-4.txt,"good., bleached and Brown Cotwn.; wool, J anion -"" cot. Ton Hanna... alriped colion. tor aervanta. In great -art ty ilvt good, for houee and Held .ervant.: Frrat., Gi-ft-haml. "
34,53,1858-01-03-seq-4.txt,"Campbell, Esq The b.use contuns f ur room, beside, kitchen, aervantiro-nSc.,8nd ha. thirty arrej ofgrouno attached. Sultah'e furniture can heprocared by the tenant "
