,Unnamed: 0,date,context
0,0,1854-04-28-seq-2.txt,"cuit judge is to be 4,000. In the adjustment of circuits, slave and free States arc mingled as much et possible. "
1,2,1857-02-06-seq-1.txt,"txanRaai Mi;xr,at i&a late residancc ut Aeam Llruje. dte'd. cell to the highest bidder tho following named slave., to wit: bob, jane, .nary, violet. Philip, Can lino ai.d Mat, on a "
2,3,1857-02-06-seq-1.txt,"curities will be r- quired JVorn purchasers- Nail laud aud slaves to be ""old f.r distribution among Itio heir at law of Adam Elrn-Ie. d. c'd. -Tins the 7th day of January. 1W7. "
3,4,1857-02-06-seq-1.txt,"the old stand, tataeaew heate reteatly beeXhy Dr Yong. whrw. ara ready, ataal, le girt eat- aateaslavsi wiaa -weia. . a. najesvavMgeJ. "
4,9,1860-09-02-seq-3.txt,It is reported that the Unitcu States steamer Cru sader captured a slave steamer -which had landed part of her cargo. It is also reported that CaDt. 
5,11,1857-01-08-seq-2.txt,"proposed insurrection extended to but few, of the large slave population, anl would not, probably, have been attempted when the time arr.ved. Bui "
6,12,1857-01-08-seq-2.txt,"But in this lies oec ot the great infelicities of the coadiibn of slavery, that the cammuoitiee in which it exists are subject to alarms, oken groundless, "
7,13,1857-01-08-seq-2.txt,"In reflecting upon the condition of tho States suffering under this calamity of slavery, we are tempted to ask: Who are thevo people that talk "
8,14,1857-01-08-seq-2.txt,"taw Virginia, tremLling at the mjsteri jus move -meet ot slave oonspiiajy lu itstKteoin, and absorb ed m the uskot providing fir the tat'e.y i.f one "
9,15,1857-01-08-seq-2.txt,"yankees, who, while they deprecite the political agitation of the question of slavery, only do so from an impression that more can be accomplished "
10,16,1857-01-08-seq-2.txt,"with us in their churches on account of the ' sin of slavery,"" they have c'.aimed the christian privil ege of sending, by associated action, spiritual guides "
11,17,1857-01-08-seq-2.txt,"cret emissaries sent here for tho purpose of diffu sing a spirit of hostility to slavery into the minds of a portion of our own people, with a view to "
12,18,1857-01-08-seq-2.txt,"of the Union to a new fangled dogma, and adopt ""an anti-slavery constitution, an anti-slavery Bi ble, and an anti-slavery God."" The South, partic "
14,20,1857-01-08-seq-2.txt,these result; and I sgents for ssducing and giviog facilities to absconding slaves. Let them look to it in time. 
15,21,1857-01-08-seq-2.txt,"All the judges but two hold that Congress has n'j power over the question of slavery in tho Terri tories, end that the Missouri Compromise is un "
16,22,1857-01-08-seq-2.txt,"McLane and Curtis dissenting from the majority, hold that Congress has power to prohibit slavery in the Territories. The decision will be pronoun "
17,23,1857-01-08-seq-2.txt,"'and sale in that State, by execution or attachment, or other process, one slave."" .Monument. A monument is about to be erca "
18,38,1859-01-02-seq-2.txt,"the latter event, the Administration to be ""pledged io do all in its power to confine slavery within the . . limits of the existing slave States"" To this tho "
20,40,1859-01-02-seq-2.txt,"j The Richmond Whig, on the contrary, arguing """" that the slavery question is settled, says: There is now, therefore, no rcaEon under Heaven "
