,Unnamed: 0,date,context
0,0,1860-07-07-seq-1.txt,"ciding that Congress had not the r ight t ■ pi »hiliit slavery in the Territories ; aU i declaring that the dec , <.f the "
1,1,1860-07-07-seq-1.txt,"aU i declaring that the dec , <.f the Supreme Co .i! on tin- si/< )<■«•( ■. .slavery were t in ling upon all The resolutions "
2,4,1861-01-05-seq-3.txt,"sion, almost unmiiiwormly refused to ap point commissioners to visit sister slave holding States, itixl determining lo act "
3,6,1851-05-03-seq-1.txt,"cease to encourage and aid robbing the South of their slaves; but would, on the contrary, assist in restoring those thirty "
4,7,1851-05-03-seq-1.txt,"contrary, assist in restoring those thirty thousand slaves who, by their encourage men I, had been »o loin; losLto their owners. "
5,8,1851-05-03-seq-1.txt,"Compromise in good faith--that they would have ceased to rob us of our slaves, and would restore those taken in previous "
6,9,1851-05-03-seq-1.txt,"reli^ion?«. and other a.--ocialions for the I'onc alment of' runawa\ slaves, line i. l -'diled their exertion-, and increased in "
7,13,1851-05-03-seq-1.txt,"venrs - that they would, henceforward, cease to agitate the question of slavery, and in sult the representatives of the South on the "
8,15,1851-05-03-seq-1.txt,"our Southern brethren, that we do not !n» lieie that the lugitite slave law can he car ried out. We do not, and never have "
9,16,1851-05-03-seq-1.txt,alesceiico on our pail while the domestic institutions ol the slavcl.olding States re mfiin in present nucymv 
10,17,1851-05-03-seq-1.txt,"in itself, and desirable tor other km - ""i* tie !»ides the slavery . citation. M m! it been c.'iriud out by the North in a lin-mlly spir "
11,18,1851-05-03-seq-1.txt,"O;'course i)»«*i r addn-.-H is Mill ol ""threat ening* and slaughter."" It was made iip'bv siomehodv from the absurd statements pub "
12,26,1852-01-31-seq-2.txt,"to tihoxx that an armt <l moh in ■- n -t tin the I ugitiui slave law, ex en to murder. A Inter fame In I In* |»mhI oil • • l i»»• <>tli»' "
13,28,1850-08-17-seq-1.txt,"labor. I'hars is no doubi in my judjenu nt, that almost any number of slaves might ha hi-ed out in Cali ornia were tlie white* "
14,29,1850-08-17-seq-1.txt,"of annexation, which tied.ires lier whole territory to fx* tslave territory, until she form* a State north of iJO. IK) It i< a "
15,30,1850-08-17-seq-1.txt,"imi( itl' Mild territory nor'h ol said eompro nice Ii'to (Jilt, HO) slavery or involuntary lervitude, except lor crime, -hall he prohih "
16,32,1850-08-17-seq-1.txt,that line. 3d. It i« a violation of that pro. vision which authorizes her to f«>rm slave States of all that territory tooth of that line 
17,33,1850-08-17-seq-1.txt,a portion of the teniiory so well «uit«'d for the p < fitai !•• employment of slave labor. The question is » mere political absf'-ae. 
18,34,1850-08-17-seq-1.txt,"t«>r entertaining if, ol the probnbilitv or i*n probabilitv of the introduction of slave I »• bor into anv pi t of tb•• te.'ito'V recent I \ "
19,35,1850-08-17-seq-1.txt,"tempt has been mad* , to lead tin* public to lielieve that no form ol slave hbor will ever be introduced there, b'-cause. pojis.jl.lv "
20,36,1850-08-17-seq-1.txt,"point u settled h'» 'ar \% Or«i n con cerned; and that slave laho*, it it had heen le'> free to se»-k pro|;t.ilih* (•i..p|«iV»r>ent. "
21,37,1850-08-17-seq-1.txt,"to pay for whit* labor. The result will h# a profit alike to the hirer and seller of slave labor. I'hars is no doubi in my judjenu nt, "
