,Unnamed: 0,date,context
0,0,1851-05-15-seq-4.txt,"ance with tho wi3hca ot every honest man in tlie , coinmumty, some pilelul,dvaienled slaves ot Uie i bottle have wantonly outragod tne common la ( "
1,1,1851-05-15-seq-4.txt,"Smith Herald, a leward ol two hundred dollars for tho recovery of a slave, and ssys, ""If he can not ho taken alive, he py u reword of twen-ty-flve "
2,2,1851-05-15-seq-4.txt,"Emancipati n in Knilucky. Tin I'aris tKy ) Cil 2n sid that U1I1IV two slaves havo been e- le.iiii ijiated in Uuuibou county from Juno it50, "
3,8,1854-04-28-seq-2.txt,"sis,"" in that case, will not be met. If tho op ponents of slavery propagandisui do not make all their strength available by united action, "
4,9,1854-04-28-seq-2.txt,"extension, establishment and perpetuation of Slavery wherever slaveholders choose to take tho control. "
5,10,1854-04-28-seq-2.txt,"Let us look at this "" crisis :"" Tho field for the cxtonsion of slavery is broad, ex tending from Texas to tho Pacific, and cm "
6,11,1854-04-28-seq-2.txt,"pical region of South America, until we tench the line whern slavery is already ca tiblishcd, looms darkly up in the future. "
7,12,1854-04-28-seq-2.txt,"Confederacy."" Let us not forget that tho slavery propagandists are at this moment de manding four things which aro essential to "
8,13,1854-04-28-seq-2.txt,"same purpose lies at the bottom of all the u'.Iier slavocratic movements, i ho Enquir cr aajs: "
9,14,1854-04-28-seq-2.txt,"Tho intrigues of Great Dritainur fie a&od ion of slavery in that bland, are pursued with a zeal and an energy which cannot fail "
10,15,1854-04-28-seq-2.txt,"gtnt. With Cuba in possession of an hos tile interest, Southern slavery would be; ex posed to an assault which it could neither "
11,16,1854-04-28-seq-2.txt,the public domain they may annex whatev er slave territory they can get within their gratpi and the North it given plainly to 
12,17,1854-04-28-seq-2.txt,"country. If one of those parties throws it self into tho embrace of the slavery interest of tho country, as tho democratic party has "
13,18,1854-04-28-seq-2.txt,"desirous of making )IHcicnt opposition to this pro-slavery administration, and who, out of a mistaken zeauor a party name, or iroin pre "
14,19,1854-04-28-seq-2.txt,"""frco soil'' in tho ordioanco of '87, and on thinking of slavery, trembled nt tho thought that God is just I Now if the free soilers "
15,20,1854-04-28-seq-2.txt,1 i to to a particular set of party leaders is on ly lit lor slaves. Let us bo men and act liko freemen. Let us vote for or against 
16,21,1854-04-28-seq-2.txt,"ies. Inch the administration at v ashing- ton is now laboring to legislate slavery into, in violation ot tho nations plighted laitli. "
