,date,context
0,1854-10-28-seq-4.txt,"gry. If he is in good humor, every one frisks about, and is happy I II. iw the servants jump at his bell, and run to wait upon him I II iw they "
1,1854-10-28-seq-4.txt,"because they know wo tire good-natured: and our servants go out whenever they like, and openly have their friends to supper iu the kitchen. The "
6,1861-03-02-seq-1.txt,"law of any State."" It embraocd every kind of. servitude. It comprehend tut servants oi Vir ginia, of North Carolina, of South Carolina, of "
7,1861-03-02-seq-1.txt,"ty instead of the whole gospel ever saying thi, and only this, ""Servants, obey your masters."" Such is what passes' for tho Church iu the slave "
8,1861-03-02-seq-1.txt,"to servitude under the laws of irginia and Mary land; tbat a negro servant, escaping from bis matter, was not uoh a ilave at the Constitution "
12,1858-07-17-seq-3.txt,"during that poriod. Another slave for stabbing a fellow servant, was soutenced to weir nn irou collar three uiouths mid to receive twonty five "
14,1851-01-04-seq-3.txt,"j oung Southern planter, and hearting as a ivcry attentive body servant. lJut what has Ellen ....... , t i , ;i "
16,1859-07-09-seq-1.txt,"cabelleros, leaving their horses in chargo tfsome of their servants, wero following tho dogs on foot. The march became moro difficult for these nicely "
17,1859-07-09-seq-1.txt,"night would have been madness. Some of the servants wero ordored, therefore, to light a largo fire, whilst others wero sont back for the ro-juisite "
18,1859-07-09-seq-1.txt,"be feeding upon up there . At last, one of the negro servants offered him self as a spy, advising his master, for appearance "
19,1859-07-09-seq-1.txt,"very welli They ore not wild, but oil (tie doiitrn. ry, very docile and good servants. They l.avo been in America some four or 8vd ' "
22,1859-07-09-seq-1.txt,"discovered which offered, indood, some means of descending ; and as to the rock, a negro servant pointed out a way by which it was admitted that "
30,1851-02-15-seq-4.txt,"day to the fieb man's house ubout the time he was to dine, and tells the. servant that ho must speak with his master immediately, for "
31,1851-02-15-seq-4.txt,"he could save him a thousand pounds. "" Sir,"" said tlio servant to his master, "" here is n man iu a great hurry, who says ho "
34,1860-08-25-seq-2.txt,tained tbe. papers above referred to. Io tbe mean time I remain truly your obedient servant. AIME PERNARD. 
36,1855-03-17-seq-1.txt,"jxohange for the poor privilege of becoming u.cni pers of a party, and servants of a party, it is, on the contrary, an association of persons, who pre "
37,1855-03-17-seq-1.txt,"fer to remain thcmsolvos and who, therefore, re fuse to become the members and servants of party. In a word, Buch nn association is a no-party. I "
42,1853-09-24-seq-1.txt,"(ho Supreme Court; or any other Iwdy of men, the H.wor to prohibit ihfl humblest block servant within tho limits of tho Republic, the right of private "
44,1859-03-26-seq-3.txt,"It was calculated to do away tho very common, but erroneous impression that Joan was a servant at nu inn ; and also tin acknowledgment of sor- "
46,1852-06-19-seq-1.txt,"tho charge of nn overseer or driver. Tho planter bad among his house servants, one bright boy about seventeen, who was a spe "
49,1854-08-05-seq-3.txt,"Oovcrnment from tho contagion of Slavery. ) our obedient servant, c,.' "
51,1858-11-27-seq-4.txt,"To look ihe cabins down. And servants dodging at uu call, Aud shaking al our frown. "
54,1860-03-24-seq-1.txt,"be seized and imprisoned iu defiance of law. There was an attempt to indenture servants in the State ol Illinois under the old Territorial laws, "
55,1860-03-24-seq-1.txt,"ol 17f7. all attempts lo hold negroes in slavery or hold them us indentured servants were illegal It was liewr n, slaves that ihev u-pi-a tittnuiuif,! "
56,1860-03-24-seq-1.txt,"music myself. Liughter We have t oth bad the same negro servants to bluck our boots and wait upon us, nnd they were held ns slaves. Wo know "
57,1860-03-24-seq-1.txt,"progres uf the bidding. Amanda brought $1,350. Sue was rated as a first class house servant. Not a tear was shed by cny of the slaves during "
58,1860-03-24-seq-1.txt,"resident onl, IIAIUIY; a valuable Coachman, u House Servant uf intelligence and character. 'Apply at our office south side Adder's wharf. "
59,1860-03-24-seq-1.txt,"most unexceptionable ehnrnctor. They would nl so make capable House Servants. The best of references given ns to capacity, bonosty nnd sobri-j "
63,1860-03-24-seq-1.txt,"the settlers were from the slave States. They curried the old family servant, with them nnd kept them. They were told, 'Hero is an "
69,1851-03-15-seq-3.txt,"iled, and beyond all question, amrriw ami faithful servant of Christ is, that nark rainy night, I know not. Ono thing is certain, the "
71,1855-05-05-seq-1.txt,"sick baby inarms, and two or three little ones in the nursery, and not a singlo servant in tho whole hotiso to do a singlo turn. And then, if they "
73,1855-08-25-seq-4.txt,"The allowanco is 5 per cent, of drandy. The vat ting is ejitirely done by the oompany's servants. Alter three days the wine wns drawn oil into "
74,1855-08-25-seq-4.txt,thry wore housed in tho L.iit wharl. All tins done by tho dock servants. At my request thaso .fines wero afterwards transferred to my name. 
79,1858-02-27-seq-2.txt,"under thi humane (t) low of Moses. ""If a man smite his servant, or bis maid, with a rod, and he die under his band, he shall be surely punished. "
81,1851-11-01-seq-2.txt,"therehy ponlradictiun tho Diviuo hiw, "" 1'hoii halt not deliver unto his master, the servant who has escaped from his master unto thee,"" "
83,1857-09-26-seq-2.txt,"ty, and allegiance to Jesus Christ, can censura any man lor being a master, and owning servants or slaves, any more than for hiring a day laborer."" "
86,1855-02-24-seq-1.txt,"to in Washington, nnd prob ibly also in Baltimore, it i sii j to be n practice to run off servants from their employers, free ones ns well as slave, whether "
87,1855-02-24-seq-1.txt,"ington, for instnrre, a bond and scenrity nre requi re! at the depot from the traveler thnt the servant is law lolly carried away; mid oftentimes considora-, "
91,1858-06-05-seq-2.txt,betrayed not tho wauderers. lie delivered not unto the master the servants w hich had escaped from tho master unto him. llo took thcia to his 
92,1858-06-05-seq-2.txt,"to the iunovations; the latter, especially, is fate of the sged public servants, who, it is true, always receive tokens oi the Imperial grace "
97,1856-09-27-seq-4.txt,"The whole amount of the bill, including glasses, bowls and plates broke or missing, servants, &c, is in our present currency $37. of which only fifty "
98,1856-09-27-seq-4.txt,"tigh ground and maintain it unflinvhingly and inflexibly. Whoever lias been observant of the facts in our history, knows that this is true uf the "
102,1858-07-03-seq-2.txt,"We have rccoully conversed with nn intelligent and observant gentleman, who has spout many year in Texas, and has traveled all over "
104,1855-01-27-seq-1.txt,"spnre to g-ent nnnie which stands between us nrn. 'Shivery. Our public men nre our servants ; tin l.,.i,V I l.nc T Ii'ivr n r'nrbt to criticise. I i"" tonn "
107,1851-03-15-seq-2.txt,"now delivering a course on tho Iifo and Ocnius of . Cervantes, the immortal author of Don Quixote, as illustrated by tha incidents of that "
108,1859-11-26-seq-3.txt,"from the South the commendation of ""Well dene, good and faithful servant."" ' Such i picture of Republicanism a recently "
109,1859-11-26-seq-3.txt,"founded on fact, seeing it is written that Abra- ham armed bis eervanta to resist invasion, or fur some other purpose. Be that as it may, wo should "
111,1857-08-01-seq-3.txt,attempt was recently mado to liborttto a cul pred servant' from a Tonnossocan who was stopping ftt the Stearns House in that place. The 
113,1851-04-26-seq-4.txt,"Soil Partt; but it will be truly A Free Pai'er, und not the bondservant of nny cause, or party, except thut of Freedom, Truth, and "
116,1856-10-18-seq-3.txt,"bukod nnd exposed. Andrew T. Foss, Henry C. Wright and your Ilumblo Servant were tho speak ers who principally occupied the timo of tlie moot "
117,1850-10-19-seq-1.txt,"the picket schooner Adrian. It appears that the negro, who had been the body servant of a Ibrmer master, the father of the present "
118,1850-10-19-seq-1.txt,"professes to believe binding ns a rule of faith and manners. ""The servant w ho has escap ed from hia master unto thee, thou shall not "
121,1855-07-21-seq-1.txt,"One moro case : An old goulleman in Spartan burg District; a few days ugo tied up a servant girl for the purpose of Hogging her, when her "
123,1855-11-17-seq-1.txt,"ur '1(dden, within the territories of this common- j wealth, as slaves or servants for life, but as free nlPn n,d free women, except the domestic siavct "
124,1855-11-17-seq-1.txt,"and did not let me go to dinner, and sent by the servants some dinner to me, but I did not desire any ; after dinner be asked mo if I had dinner ; I "
125,1855-11-17-seq-1.txt,"judge, explicitly asserted ""that when Col. Wheeler his servants crossed tho border of Pennsylva-j nia, Jane Johnson and her two sons became au free: "
132,1858-02-06-seq-2.txt,"refused to acquiesce and were shamefully deserted by tho man whose willing servant they bad been, and dismissed in disgraoe, fur defending his own "
133,1858-02-06-seq-2.txt,"and luxurious master may travel on our thorough fares attended by bis ""man servant"" or hie ""maid servant,"" visit our watering ploces.our fashionable "
134,1858-02-06-seq-2.txt,"fares attended by bis ""man servant"" or hie ""maid servant,"" visit our watering ploces.our fashionable hotela and receive the obsequious Coteries of our "
138,1854-08-05-seq-2.txt,"contemplated by tho God-like, and will just say, in conclusion, that I am the humble servant of any one who will inform me who the fellow really is. "
139,1854-08-05-seq-2.txt,"found false witnesses of Christ, but that it may be said, well done, thou good and faithfal servant, enter thou into the joys of thy Lord ; for I was a "
142,1859-03-26-seq-2.txt,"to her seat, ""Waht servants, ma'ui V ""Any good house servants?"" "
143,1859-03-26-seq-2.txt,"""Waht servants, ma'ui V ""Any good house servants?"" ""Plenty ofthem stand up here, girls j"" and up "
148,1861-03-23-seq-1.txt,"constitutions, compacts, law or magistrates. Mag istrates are only the bfred. servants of the sover eign people, which they may discharge at will. "
151,1860-08-25-seq-3.txt,"press, toll us no more of tbe comparative happiness of the poorest free servant and the happiest slave. Tbe former, at least, is never called to part with "
153,1857-03-21-seq-1.txt,"streets south side, the following goods sad chattels in part, to wit t One servant woman, a 'slave for lire, 2 bedsteads, bed and bedding, 1 wardrobe, 4 "
155,1857-08-15-seq-3.txt,"State call for tbo greatest scrutiny of the people in reference to' the character of the publio servants to bo elected this Full, and for the enactment of "
158,1851-01-25-seq-3.txt,", ,. , , . , holidays, severnl of Ins servants, (0 in mnn- , tH-r.innd niuonir lliem somo of Billv'a fiuni "
160,1851-01-25-seq-3.txt,"young man 2o years of ago. He is nn cx- perienced tavern servant, having graduated at one of the piinciiml hotel iu New York."" "
163,1858-01-30-seq-3.txt,"mond, pronounced himselt in favor or a Southern Republic, ""where negroes could be servants and white men ""geutlenien."" "
164,1858-01-30-seq-3.txt,"arranged to moot his case. I shall take with me a servant, noting here in the capacity of a barber, and known as Alf. Anderson. He is a large, fine "
168,1850-01-05-seq-4.txt,"""what was thu matter it"" His reply to the servant wus: ""I beg your paidon, I uiadu a mistake. he'.ptt you out of thf OotrMng "
170,1858-07-24-seq-4.txt,"all to keep their distance-so assures their obedient, humble servant, SOPHIA TANKARD. "
172,1858-12-11-seq-4.txt,"copying manuscript, and a I was on my way here a servant met me, who was to fetch me to raise the horoscope of two ludio who were passing "
174,1861-02-09-seq-3.txt,"command, ''Thou shult not deliver unto his master the servant which has escaped from his master un- 'to thee,"" unwittingly assorts that ''the duly is from "
176,1860-11-24-seq-1.txt,"prisons, yea, they took them in jenerally. . And they took tbeir males for men servants, and tbeir women for maid servants and ooneu "
177,1860-11-24-seq-1.txt,"And they took tbeir males for men servants, and tbeir women for maid servants and ooneu bioes, (which in the Austral tongue is doxy,) and "
178,1860-11-24-seq-1.txt,"1 man is prstty successful. ""As body-servants, waiters, and in other men ial occupations, tho colored men continued to "
