,date,context
0,1850-10-25-seq-3.txt,"tiful Creole, the wife of a Mr. Evans, and who they say is a runaway slave. If she is discovered, it will hardly be "
1,1857-12-18-seq-1.txt,"to Warren eounty, in that State, and has brought with him five or six slaves, whom he claim a right to keep and work on the free "
2,1857-12-18-seq-1.txt,"J. nu note will Hardly pass. I'Hil. Jour. A Tomb Head. The Calaveras (Cal.) Chronicle states that two ""colored gemmen' "
3,1857-12-18-seq-1.txt,"(Iowa) Ledger ia informed, on good authori ty, that a Missouri slaveholder ha removed to Warren eounty, in that State, and has "
5,1862-07-18-seq-3.txt,"Appeal bt ii- r1 , Oerl. Gfaiit's. (jrgan, says Bu'tl-r hi. """"-ati'd '.'',000. slaves and puttberii t. . ..it., op the. canal op- "
7,1857-10-02-seq-2.txt,"lave commit! inf a burglary. informed them that, the penalty n.'ainst n slave fur such nn otfeuse wis hnnginif, under the act "
8,1857-10-02-seq-2.txt,"tion of I he high crime of burglary charged ngninst the slave, I was passing ike street, in company with "
9,1857-10-02-seq-2.txt,"when they disagreed ss to their judgment, snd iherdierilf was ordered lo bold the slave in custody, "
10,1862-12-12-seq-1.txt,"slave representation, and the rendition of fugitive slaves, are features of the Consti tution which they condemn and abhor. "
11,1862-12-12-seq-1.txt,"tbe understanding that if a majority of slave States and a 'majority of free States accept the' proposition, its - conditions "
12,1862-12-12-seq-1.txt,"to embrace all the States. The ratio of slave representation, and the rendition of fugitive slaves, are features of the Consti "
14,1858-08-27-seq-2.txt,"that threat, or obeys that edict, is to that extent a slave, lie does not own himself. His party irt tho proprietor of him, soul and "
15,1854-02-17-seq-1.txt,"the territory of Arezoniu (! ?) boing largo enough for two slave States, and that it con tains ""rich placers,"" which will bo explored "
16,1854-02-17-seq-1.txt,New Hampshire President from fastening the blight of slavery upon territory now free. 
17,1854-02-17-seq-1.txt,"ample evidence to establish that the character of tho letter was anti-slavery. Tho Evening Post of July 19, 1848 tho "
18,1854-02-17-seq-1.txt,"Louisiana lo be in full force in that new re public. Under that ode, tho soil of a slave woman bom in Louisiana is made a slave, "
19,1854-02-17-seq-1.txt,"public. Under that ode, tho soil of a slave woman bom in Louisiana is made a slave, and n person held as a slave iu another State, "
20,1854-02-17-seq-1.txt,"woman bom in Louisiana is made a slave, and n person held as a slave iu another State, taken to Louisiana, remains n slave. By "
21,1854-02-17-seq-1.txt,"and n person held as a slave iu another State, taken to Louisiana, remains n slave. By Walker's decree, slntcrr is Hindu quite as law "
22,1854-02-17-seq-1.txt,"code of Louisiana, mi I thu legalization of slavery ill such a vast tenitoiy could bo no secondary purpose. "
23,1856-02-22-seq-2.txt,"first, the rights of citizens of slave holding States to carry their slaves into non slave- oldiug States fur a temporary sojourn there "
24,1856-02-22-seq-2.txt,"without the loss of the right of properly in such slaves; and next, the constitutionality of the Missouri compromise, as involved iu "
25,1856-02-22-seq-2.txt,given it to the society lor aiding fugitive slaves to migrate to Canada. A New Subjixt or Taxation. In order 
26,1856-02-22-seq-2.txt,"tion to iifimre the 13th' Section nf the Phila delphia l'latlorm. on thanai'iliiecl of slavery. In every view of the case, -that section is the "
27,1856-02-22-seq-2.txt,"is millions for new free Slates not a cent for slave constitutional supremacy."" Bvildino on a Rotten Cornerstone. "
28,1856-02-22-seq-2.txt,vent and flourishing State. fcif All imporluiit slave ease from M soui i is now before the United Slides Supreme 
29,1856-02-22-seq-2.txt,"burt. Tim points particularly in issue lire first, the rights of citizens of slave holding States to carry their slaves into non slave- "
32,1856-02-22-seq-2.txt,the question of the right of Congress to leg islate with reference to slavery in the United States territories. The Union says thut the 
