,date,context
0,1863-07-16-seq-1.txt,"Is heard the clanking of the chains That bind in bond the alave. Weep not, fond mother, for thy son. "
1,1862-07-24-seq-1.txt,"pose to a charm. t nv mis vast army should remain here idle, under such libtiiig slaves, sf which the said per circumstaiiees, is not only a mystery, ' on cnvieted wa"" the owin-r at the "
2,1862-07-24-seq-1.txt,"a.lj.ol ! guilty thereof, shall suffer im .lut-atli. and all his slaves, it auv, shall lnificaiit I, j i i i , ,, "
3,1862-07-24-seq-1.txt,"ceeding 10,000, and by Ihe liberation of all his slaves, if any he have. Sec. 3. And be it further enacted. "
4,1862-07-24-seq-1.txt,"Sec. P. And be it furlier enacted, Thai all slaves of persons who shall hereafter be engaged in rebellion "
5,1862-07-24-seq-1.txt,"such persons, and taking refuge within the lines of the army ; ami till slaves captured from such persons, or desert "
6,1862-07-24-seq-1.txt,trol of the Government of the United States ; and al) the slaves of such per sous found or being within any place 
7,1862-07-24-seq-1.txt,"war, and shall be forever tree of their servitude, and not again held as slaves. Sec. 10. And be it further enacted, "
8,1862-07-24-seq-1.txt,"a show, and scare us off, or, to say the years and fined not less than $10,000, ,.8' properly, and become the proper least, deter us from a forward move- :d all his nlavea, if any, shall he de-j,v t,f JJile)j States and may be ment, and they are effecting their pur - "
16,1862-07-24-seq-1.txt,"Sec. 10. And be it further enacted, That no slave escaping into any State, Territory, or the District of Columbia, "
25,1859-06-02-seq-2.txt,"since"", to devise ways and means for giving additioal vigor to the slave trade, and to thwart any attempt the Govern "
26,1859-06-02-seq-2.txt,"known as "" hangman Foote,"" astonish ed the piratical conclave, by an exhi bition ; of boldness - and honesty, for "
27,1859-06-02-seq-2.txt,"make to prevent the prosecution of the slave trade, and set forth the right of the South to kidnap negroes from Afn "
28,1859-06-02-seq-2.txt,"May 28th, says that Capt Townsend, of the Slaver Echo, has been acquit ted. It is reported that an'attempt will be "
29,1859-06-02-seq-2.txt,"the matter pertaining to the late trials under the Fugitive Slave law, met at Cleveland on the 24th. "
30,1859-06-02-seq-2.txt,"which must have convinced the spies of the slave power that Ohio was about to snap forever on her soil, the chain "
31,1859-06-02-seq-2.txt,forged for her sons and her sympathies in the infamous fugitive slave law. Af ter the organization of the convention 
32,1859-06-02-seq-2.txt,"ican Tract Society, to take ground against the revival of the slave traffic was a mere empty agitation, we ask "
33,1859-06-02-seq-2.txt,the Society did not need to declare it self opposed to the African slave trade. Dr. J. P. Thompson arose and stated 
34,1859-06-02-seq-2.txt,"vails in the hearts of all, where had been the African Slave Trade ?"" This society, in its edition of this book, had "
35,1859-06-02-seq-2.txt,"worth Tinges, has fallen under the dis pleasure of the Fugitive Slave Law, being sued for the recovery of $1,000, "
36,1859-06-02-seq-2.txt,"the sum provided by that law as the penalty for the loss of a slave, which Champion is accused of aiding to pro "
37,1859-06-02-seq-2.txt,"tect from recapture by his claimed own ers. The slave is gone, which is all right, and the Millwaukce Free Demo "
38,1859-06-02-seq-2.txt,in the Constitution a provision that slavery and involuntary servitude shall exist in Kansas only as punishments of 
48,1860-11-08-seq-2.txt,"sentence most effectually! whilst the Slave States, so far as ""heard from, unite in awarding and inflicting the "
49,1860-11-08-seq-2.txt,"way to his political grave by the cat-.o'-nine tails of the Slave Power. Next to this, the most gratifying fea "
50,1860-11-08-seq-2.txt,Congress by 100 majority. . ' A Yonng Lady Murdered - by a Slave Womam!Thi JUnrderess' Cauzht and 
51,1860-11-08-seq-2.txt,"teen yeirs of ago. Saturday morning the slave Tenny was gent to work in a corn field, and the family set off to at: "
52,1860-11-08-seq-2.txt,"in gore. The slave women wa3 called, and found to have changed her dress since "
55,1859-04-07-seq-2.txt,"Barnett, of Lincoln county, freed eighteen slaves at one time, in Cincin nati last week. "
56,1859-04-07-seq-2.txt,"Holt. - 1 - ' Pierce Butler, whose slaves were lately sold at auction at Savannah, Ga., "
57,1859-04-07-seq-2.txt,"Spain. . When the pro-slavery party failed to establish Slavery in Oregon, Mr. "
58,1859-04-07-seq-2.txt,"When the pro-slavery party failed to establish Slavery in Oregon, Mr. Buchanan made its leader the United "
60,1859-04-07-seq-2.txt,"bill, which was designed to affect the opening of the Slave trade to that State. Mr. L. Mansfield, a pioneer of Alle "
61,1859-04-07-seq-2.txt,richly bound Bible to Mr. Giddings as a testimonial for his anti-slavery ser vices. The Montour Iron Company of Dan 
63,1859-04-07-seq-2.txt,"from that pulpit and supplying his place with a slaveholder '. from South Carolina, "
69,1858-06-03-seq-4.txt,"abstract merely, but in the United btates, ""regard less of the fact that the slaves are a powerless caste and belong to a loathed and down-trodden race, "
70,1858-06-03-seq-4.txt,"duties, which grow out of the existence of Slavery, as well as those moral evils and vices, which it is known to pro "
71,1858-06-03-seq-4.txt,"compliance with the dictation of the Slaveholding interest, have refused to publish anything, however temperate "
72,1858-06-03-seq-4.txt,"ana juaicious, on tne moral aspects and bearings of Slavery ; ; .-. ; . And THtereas, At its late Annual "
73,1858-06-03-seq-4.txt,"against the moral evils fostered by Slavery. ' Therefore : . '., Resolved, That this. General Associ "
74,1858-06-03-seq-4.txt,"the day is guided by principles which will stand the test of ages. It wars upon Slavery, "" not in the abstract merely, but in the United btates, ""regard "
77,1862-03-27-seq-1.txt,"nation, determine to be the rulers of a new nation of white serfs and slaves of all colors. It is said that of sixty rebel "
