,date,context
0,1854-07-18-seq-4.txt,Do. do. per week 10 00 Do. do. do. (white servants.) 7 00 Do. do. do. (colored do ) 500 
1,1854-07-18-seq-4.txt,"Do. do. day 1.50 Children, under 12 years of age, and Servants, haif Drice. "
2,1854-07-18-seq-4.txt,"Do. do. month 30 Of Children and servants under 12 years of age, half price. "
3,1854-07-18-seq-4.txt,"age, half price. Servants, through 150 Do way 100 "
4,1854-07-18-seq-4.txt,"Do way 100 Servants travelling by themselves must be fur nished with two passes, one to be retaiued at the "
5,1854-07-18-seq-4.txt,"price. Bervant*travelling by the.m*elve*aiu*t be furnl»hed with two paace*, to that one «au be retained in the "
12,1859-05-20-seq-3.txt,]<*0R BALE—One of the moat »«ccm -4 r H*h*d dining room servant« in the clty.bavleg iiredexf'n'ivelyin a private fkrolly. Hel* perfectly 
13,1859-05-20-seq-3.txt,""" you tiff women —one plain co>k, Washer and Jpinerhe other » RiX>d H< use Servant. Atply to WM 8 PHILLIPS, "
14,1859-05-20-seq-3.txt,"24 Main street; or on the corner cf Frsnklin and l«tb streets. Also—servants Hearse and Coffins of all sizes. Mi M A LKA, "
15,1859-05-20-seq-3.txt,"yard, and another near the Granary, Stable, and servant Houses. Tnere are very comfortable Houses. with goo J cliimueys and windows, fur "
16,1859-05-20-seq-3.txt,"Houses. with goo J cliimueys and windows, fur thirty-five servants All out buildings needel for farming and planting parpeses, and for domestic "
27,1859-10-15-seq-3.txt,"RUNAWAYS. J. St> It K VVAIi !>.—Mj servant woman, 1 MAKIA. left her home en Saturday last.— "
28,1859-10-15-seq-3.txt,"WOMAN ag«d» )ears. who is a rood cook. A« I prefer that these servants shall procure home* her, they will he told for less than their market "
34,1852-05-22-seq-3.txt,"hall pi i* - to h'iy points except the two tirs!- named. Servant* trave.lin.- by thecu#elve6 musi be furnished v.'itii two passes, so that one cm. I* "
35,1854-09-05-seq-4.txt,"slaves—and most especia'lv tbe boy Gilbert, who was a favorite body servant. The punishment was Jn«t and prompt, and calculated to check tbe known evils "
36,1854-09-05-seq-4.txt,"lice* and Carp«t Bag*, suitable for ladie*'. mitaea', gentlemen'* and eervante* wear, to which he invitee attention. Having employed Mr. Jamee Bo.'un to "
40,1852-07-27-seq-3.txt,Ariel* (jiirls with situations aa Chamber uiaida a lid Hcuse servants. Apply to IV O A sTKECSEK * 
44,1859-12-10-seq-3.txt,"«nd SHOES, lor ladie*, gentlemen, misses, l>o\s and servants, under the superintendence of Mr. Hisnky Karb. well known to the citizens «f Rieti "
45,1859-12-10-seq-3.txt,boys and girls. Anion; them are two excellent Bricklrtjers «nd several ralaable faintly servants. And on TUFjSDAY. December 27th. commenting 
52,1854-08-30-seq-2.txt,"dale were fined $3 and costs for the violation ef an ordinance against rapid drying by their servant George, who ma detected by officer Seal while "
53,1854-08-30-seq-2.txt,"premises ol Mr. F. A. Jeter. and aeeaulUng and bew Ug Racltael, Mr J.'s servant been ordered to keep sway rrom Mr. J'« lot, seve "
58,1863-12-23-seq-1.txt,"The Ifh'ivtf txmmm is at h;mil, when fami lies must employ servant:*, for tho incoming; year, and farmers and others needing labor "
59,1863-12-23-seq-1.txt,"be deprived of assUtant* during the holidays. Servants rarely ever desire to retain the earn home more than one year, and for that rea "
60,1863-12-23-seq-1.txt,"Goitiff at _>«•_■«*.—Owners of slaves who have heretofore permitted their servants to hire their own time, or to get irresponsible "
61,1863-12-23-seq-1.txt,"families are believed to have been perpe- j trated by servants, who reaiily find storage for their plunder in the abodes of their fel "
62,1863-12-23-seq-1.txt,"• number* of servants next year as waiters, cooks, nurses, etc., and as slave labor will be "
74,1859-03-07-seq-2.txt,"Blent we hare ever hud. Aiao, Mourninjt Goo l» in great variety; iu Domeatic Goods for servants »e can <ff r great ioducementa to purchasers. bav tig "
75,1859-03-07-seq-2.txt,"\^l t ANTED—To purchase or hire, a su ** perior Dining Room Servant.of middle age. K<rstieh,a liberal price will be p\id. Apply at "
79,1854-10-16-seq-1.txt,"GF~ ADMISSION —Diess Circle, 30 cts ; Colored Boxes. 26 ct* Children and Servants, half price, to Dress Circle only. oc 14—13t "
80,1854-10-16-seq-1.txt,"riety. Heavy Woollen goods for servants, such a* Satlnatts, Kerseys, Linseys. he. "
84,1865-01-30-seq-2.txt,"federate Government, express or implied, for di viding either Unpeople e» the public servants into rleasee nneauslly burtbened with portal charges! "
85,1865-01-30-seq-2.txt,"cared tor, and why not this dean Of pub lic servants? ThWseroorawemvalua ble and could not he dispenisd with.— "
92,1854-05-23-seq-1.txt,"V.XCHANGE HOTEL.—\V S Shepherd, (Jeorgir; Mrs Richard*, daughter and child and servant, Bos ton: O Hollinf*worth, Mass; I .1 Good son. PMtnk'lt; "
93,1854-05-23-seq-1.txt,"Ms* Snttpn, King Wm: D Van Fritzen. Citv Point; H Webb, ladv and servant. New Kent; ,i W Smith K H Chan.berlaine. Norfolk: W Cohen. Mr Hoyt Dr "
94,1854-05-23-seq-1.txt,"Miss Belling, Miss Boiling. 11 Master Boilings and servant. Va; A l> Allen, Washington, S P Wade, Louisa; J Cuudifl, Va: R C Trigg, Montgomery. "
101,1857-01-08-seq-2.txt,"There are some tribulation in this latitude, con nected with servants, but they are mostly confined to the Christmas holidays. Ia the city of New "
102,1857-01-08-seq-2.txt,"York however, domestic troubles of this kind ap pear to be perennial The servants ia that city sea® to be the masters, and the masters servant?. "
103,1857-01-08-seq-2.txt,"pear to be perennial The servants ia that city sea® to be the masters, and the masters servant?. Xii 6 Express, in its that if son e "
104,1857-01-08-seq-2.txt,"a largo number of girls and young women, for Heusd Servant* and Nurses: one goad Dining-room man Servant"" and several Bcvs for House. "
105,1857-01-08-seq-2.txt,"Servant* and Nurses: one goad Dining-room man Servant"" and several Bcvs for House. EDGAR MACON, "
114,1860-02-08-seq-4.txt,"eet*C»rpeta; Runs, Drugget Cocoa and Cantor, Mattiai:. Also—Servant's Woollen tioods and Blankets: heavy colored and white Cotton (roods, "
115,1860-02-08-seq-4.txt,keep* a lame stock of LaeW. Ger.-C w * ' El Servant*' woar on aaad as? __ ? 1 V body in Richmond to compete w.t.i'u . „ '« Hi 
116,1863-10-26-seq-1.txt,"n<lether efl'ect it might at lead have rflflßaM amrp**. (io servant) tvt to /urgtt thtrnziiet put no-e. But aa we.stated so long since, ihey had already applied "
117,1863-10-26-seq-1.txt,ing the greatest distinctness and thu i*ost general observance of maritime low—rue prer-oni condi tion of the world forces the whole cl*s* ata»b 
120,1855-06-12-seq-1.txt,"day wages ; others get $30 to $50 per month and are found. Servant women can get $30 to $50 per month, according to capacity and worth. $3 "
121,1855-06-12-seq-1.txt,"Personal Property; Bent ont Hoosee and hire oat Servants drawn Dead * ° f eTer,de,cri P tiu "" wlll he accurately "
122,1864-02-01-seq-2.txt,"NEGROES FOR SALE AND HIRE. F*OR Uire— For the present year, two Servant Girls, wbo have been accustomed to nursing "
123,1856-01-09-seq-4.txt,of age half price. Servants to any point on the river not below the Grove J 00 
124,1856-01-09-seq-4.txt,Meals 50 Meals for servants and children 25 • Stages connect with the Boat regularly for Wil 
125,1856-01-09-seq-4.txt,"Children over 4 and under 12 years of age, and ser vants. half price. Servants travelling bv themselves must be furnished with two passes, so that one may "
129,1853-03-04-seq-4.txt,"aeat is not occupied by them ; from 10 and under 15 years of ape half price. Servants travelling by themselves, must be furnished with two passes, so "
130,1853-03-04-seq-4.txt,"P Boiling, Teun; J L Thomas, lady and daughter, Mr*T W VVi sou, two Misses Wil.on and servant, K )*toc; C LPhelpr, J W Carter and T H Barrett, "
131,1853-03-04-seq-4.txt,"leaves Frederisksburg baa sent me a first rate House Servant and Nuraefor sale, to remain In the city. Any one wishing to purchase, csn see, at my "
134,1862-11-12-seq-1.txt,"I have tbe booor to be, Toar obedbmt ssrvant, Wtluam GL hiwaiu. "
135,1853-01-01-seq-4.txt,"Fooler and Lady, NC; Mrs McCal'y Va; E H Mou tero, Cclumbia; W P Dabney and servant, Savan nah; Judge Taiiaferro, Franklio; R B Tschudi, Nor "
136,1853-01-01-seq-4.txt,"seat is not occupied or daimed by them ; from 10 and under 15 years ot ate, hall price. Servants travelling by themselves must be furnished » :;h "
139,1855-11-22-seq-1.txt,"• «.ble is well supplied with whatever the market af . , . d servants polite and accommodating. Noth • SVi T* n u n? to D "" llle one of the most, desirable "
143,1861-02-09-seq-2.txt,"I HIHE-Three MEN 'of good charaftei le as diuiujf room servant iv a small family, it on a gcutlt-man, or a* porter. Oue to wait "
144,1861-02-09-seq-2.txt,•ry handy in the diuiug room. He would ho i useful diniuK-rooin or house servant to a -man. Apply at PHILLIPS' 
149,1855-04-17-seq-1.txt,"and gylll probably deprive him of hia poaltion as a servant of the public, whose confidence he ha* abused. "
152,1855-07-19-seq-2.txt,"from (it is stated) the falling of the chande! lier, entered it, followed by a little servant girl with a lamp. We learn from a gentle "
153,1855-07-19-seq-2.txt,"ignite upon the introduction of the lamp; the servant being so young and low of stature,the lamp in her hand did not reach the gas. "
158,1858-06-11-seq-3.txt,"unneeeosarir to mention. The undersigned keep attentive auJ servants, and his tables sup plied with ail the luxuries ol' tile season and country "
162,1855-09-04-seq-2.txt,"her husband, her niece, and brother-in.law two servants, and one was dying in Norfolk on Satur. day night. "
163,1855-09-04-seq-2.txt,"the fever at the Afton House (Tabbsj on Thursday there were four blacks, servants who had come to the county sick on yesterday, but not one amsos "
