,date,context
0,1851-05-15-seq-4.txt,"ry ol Kcbccca, 111 liicsis, 24th chapter, 57th verse : When Abraham'sservant had concluded ;bn pHiiT.-imry contract with "
2,1855-11-22-seq-1.txt,"sion of the money, through such channel as may be advised. Your obdient servants. Smith k Grerm, "
4,1855-11-22-seq-1.txt,"pelled by force, but'at a gesture from the nota ry, who bad been silontly observant ot what was passing, he desisted, drew near the table, "
7,1862-07-29-seq-2.txt,"Statos aud will furnish sufticieat security lor it observance, sball be permitted U remain at their home and pursue in good faith their ac "
8,1855-08-02-seq-2.txt,"ment to which Kings resort?' Wby not, by force of arms compel an observance of our rights and interests ? : Delays have danger "
9,1862-10-14-seq-1.txt,".North.-r-' J'r-'sid .'iit-i ; but, as a general thing, ihoy were ui'.-vely servants to do the bidding nl' the radicals at the Sjuth. ' Doughlaces.'' "
10,1862-10-14-seq-1.txt,"were put m a largo, cool arid pleasant room, and were attended by the 111 aids and servants wiili marked kindness. Ritions were served "
15,1854-08-03-seq-4.txt,"man leave the usual supply of ice at the door, which not being observed by the servant, lay melting away upon the area boards. Watch "
16,1854-08-03-seq-4.txt,"with a piece-of old oarpot, which he threw over it as he had seen the servant do. I). tro t Inquirer. "
19,1852-09-16-seq-1.txt,"retitriied towards the oak, from which the d(p;s, though anxiously observant of his every move ment, 'had never once removed their eyes. "
21,1859-04-07-seq-2.txt,"would have happened if, by acting otherwise, he had rejected with distrust the servants of a former dynasty, and if, instead of establishing "
24,1858-06-03-seq-4.txt,"abatement of interest. God sometimes finds it necessary to try tho faith of his servants, and bo often works in secret and without ob "
27,1850-02-14-seq-2.txt,"committee as recreant to freedom ; hut regards h hi repre mutative as a faithful public servant. Sir, he i nol I aware that his representative deceives h.m: that e "
29,1853-01-13-seq-3.txt,"fectioner, whs burnt on the niglil of December 'M, mid Mr. King, two childrsn, and a servant were burnt to death. "
31,1856-07-31-seq-1.txt,"ly comfortable and well fitted, and with a head i S"" -"" u""g servant who never bothered her mistress !,y I baste, in a very desolate-looking calo infinite asking instructions, which wero comprehended j wreiched that tl,e teur3 C1,nle int0 her "
32,1856-07-31-seq-1.txt,"That night tho young lady, accompanied by a female servant, left for Philadelphia. Arri ving at her uncle's house, she complained of "
33,1856-07-31-seq-1.txt,"pain, only soothed by narcoctics, she sent ber faithful but unsuspecting servant and friend to a drug store for laudanum, received it, ex "
37,1853-02-10-seq-3.txt,"administration, is Major Eistuiuii, who, now be ing in favor of a strict observance of the laws of the United States, will, of course, give the "
38,1858-12-30-seq-4.txt,"Many might live on what thy mastiff eats, Or feast on fragments which thy servants squander. Thy limbs are muffled from the piercing blast, "
41,1860-06-21-seq-1.txt,"with tho Kentucky and Tennessee Legislatures, he was accompanied by his "" body servant,"" a sprightly, saddle colored "" boy"" jf about thir "
43,1858-10-21-seq-4.txt,direct or indirect ; one mind colors another ; a child acts on children ; servants on their fellow servants ; masters on those they em 
44,1858-10-21-seq-4.txt,a child acts on children ; servants on their fellow servants ; masters on those they em ploy ; parents on their children ; friends on 
45,1858-10-21-seq-4.txt,"i ho v in his emotions, to whom knowledge is ! a servant and research a pastime, to whom j one is not a task-master and the other a task "
46,1858-10-21-seq-4.txt,wears the flesh from her hones and color from her cheeks. She never can get a servant to stay long with her. We never hoard of 
53,1858-06-24-seq-2.txt,"manfully. "" Well dono, good and faithful servant,"" you have entered into the joy of the people. "
