,date,context
0,1861-01-05-seq-3.txt,"choice Wines, Liquors and Cigars. He has good servants, ami evorv attention will he paid to his guests to render their sojourn agreeable, "
2,1859-12-17-seq-4.txt,"like a coflin. f<.Mod into a portmanteau in the (lay, ami was laid out at niyht by his servants. No >nmicr hail 1 arrive (1 than I was summoned "
3,1859-12-17-seq-4.txt,"of his Lord and Master. The appearance of this aged servant of Clod, in the pulpit, with ? ! his furrowed cheeks and siivnrv lucks in cm "
4,1859-12-17-seq-4.txt,"and loving husband, a tender and affectionate father, the Church a useful and honored servant, , ' v a valuable and esteemed citizen. "
6,1857-12-26-seq-2.txt,"of slavery is doing there, llark ! tho voico of the hired servants cry for broad ! While their masters say ; "" Howl, O gate ; cry, 0 "
7,1857-12-26-seq-2.txt,"thoreforo, we can say with St. Paul of old ; ""servants bo olxKlient to thorn that aro your masters acoording to the flosh."" Kj)h. 0, 5. "
8,1857-12-26-seq-2.txt,"masters acoording to the flosh."" Kj)h. 0, 5. Aud tho servants of tho North may thus truly complain ; "" masters, git? unto your "
9,1857-12-26-seq-2.txt,"on the 12th, by tho accidental discharge of a gun in the hands of his servant. Til e Florida War MostEnded.?Wo learn "
13,1859-03-12-seq-2.txt,"of Col. Ohr as a public loss. But he has beon a faithful public servant, and wo wcl"" come him to our midst. "
14,1860-03-31-seq-2.txt,"iielj/'^Hii-'s note for interfering, cutting oft"" a j dog's tail, and throwing a servant girl into a : v i^ivi (i* "
15,1859-02-19-seq-4.txt,". tv, and a (ireman, and no other domestic . servants. The Kxeeutivo oflice is in tlie liXeeutive mansion, and for the former, "
16,1859-02-19-seq-4.txt,"two messengers and a porter. Kor ' s all domestic servants, however, except o steward and hreiuan, the President must ()l) "
17,1859-02-19-seq-4.txt,",1 pay out of his own pocket. Ho must pay , 1U. f I for his cooks, his table servants, his female ha J 1 servants, his coachman and grooms, tS:e.. pi "
18,1859-02-19-seq-4.txt,"f I for his cooks, his table servants, his female ha J 1 servants, his coachman and grooms, tS:e.. pi !i Sio., as any person does who rmmlovx sneh he "
19,1859-02-19-seq-4.txt,"- . 1? : "" i ja retinue of servants, lie supplier l i V"" 1 ' table, with the exception of garden veir<^- |,t. "
20,1859-02-19-seq-4.txt,"o ' any gentleman who keeps eighteen or more b'., v i servants of both sexes, who keeps a stable wl 1 nil...i i. ... - - ' ? "" "
27,1859-02-19-seq-4.txt,"senti.il to the very existence of plants ami imals, a few facts derived from observant mill i liin<f Imiii ?.f * i "
28,1859-08-20-seq-4.txt,") An Irish servant having crttered (he drawing room, with the mistress's favorite "
29,1859-04-23-seq-2.txt,"that success is sure, 1 do not doubt. Very respectfully, your obedient servant, J. II. Hammond. "
30,1860-08-18-seq-3.txt,"elioico Wine8, Liquors and Cigars. Ho has good servants, and every attention will bo paid to his guest* to render their .sojourn agreeable. "
32,1858-09-25-seq-2.txt,"fulness ami usefulness as men, Judges and I philanthopists, and servants oft he Lord Jesus, i Other occupants 01'the Bench may be equal- , "
34,1857-10-10-seq-1.txt,way home again. The Tribune adds that places have looked for servant <rirls foi some time past; soon servant pirls will 
35,1857-10-10-seq-1.txt,"places have looked for servant <rirls foi some time past; soon servant pirls will look earnestly for places, and be very glai "
36,1861-07-20-seq-3.txt,"choice Wines, Liquors and Cigars. Ile lias gund servants, and evcrv attention will bo paid to his guests to render their sojourn agreeable. "
37,1861-07-20-seq-3.txt,"Itu.twx lo your Hxcelleiicy. I have tho honor to bo, very respect fully, your obedient servant. WAUK HAMPTON. "
39,1860-12-22-seq-1.txt,"and to hear that galleries wore provided fo the servants in our churches, where they couh hear the offer of salvation every Sunday; am "
40,1860-12-22-seq-1.txt,"demncd in either the oliVor new Testament, to Vcc my servants and w\^c war with it ever afterwards to the extent ot my ability. Ho "
41,1860-12-22-seq-1.txt,"f\tsrnnrl tliivos "" Were boiii in liic twincn and bought witli his 111011 eyl*^ men servants and maidservants; and this vfi.-s the ease with "
42,1860-12-22-seq-1.txt,and bought witli his 111011 eyl*^ men servants and maidservants; and this vfi.-s the ease with 1 all the patriarchs of those da^s. Among the 
43,1860-12-22-seq-1.txt,I toSd them) I went to tho wedding of my own I % maidservant nt her npecinl and earnest request; the ceremony was performed at her 
