,date,context
0,1851-05-10-seq-4.txt,"of gentlemen, who own near- , ly a thousand slaves, and are worth | several hundred thonsnud dollars.? "
2,1851-05-03-seq-1.txt,"him, of what use is such law? All Southern slaveholders cannot afford the same expensive luxuries "
3,1851-05-03-seq-1.txt,sued for the arrest of other fugitive slaves in that city. ( ti r uvu 1 
4,1851-05-03-seq-1.txt,"conclusions: Firstly, that the delivery oH'ugitive slaves is repugnant to the moral sentiment of the great masses "
5,1851-05-03-seq-1.txt,discourage? the owners of fugitive slaves from repeating so costly an experiment. The result has verified 
6,1851-05-03-seq-1.txt,"of buying Georgian and Circasian slaves, which he educates for civil and military posts. Indeed the court "
8,1851-05-03-seq-1.txt,"Sumner, and to express the public ' sentiment upon the fugitive slave law. The cost of the extradition of the i \ "
9,1851-05-03-seq-1.txt,"The cost of the extradition of the i \ fugitiva slave, Sims, is estimated at about five thousand dollars. A large . "
11,1851-05-03-seq-1.txt,"efforts were made to facilitate the proceedings, and secure the slave, at the least expense, to the owner?and "
12,1851-05-03-seq-1.txt,"cheapness of its execut ion. 11 a man loses his slave, and is to be taxed four times his value for the chance of recovering "
15,1851-05-03-seq-1.txt,"conuect.ed with the life of Selim Pasha, a Circassian slave, who like Joseph of old, was 'sold into Egypt,' "
17,1851-05-03-seq-1.txt,"as late as 181(5 composed almost entirely of slave thus educated, and Dr. Olin, while journeying through the "
18,1851-05-03-seq-1.txt,"promoted to some high office, andSeiim, although at first a slave, became eventually a Governor of Upper Egypt. "
19,1859-04-02-seq-2.txt,"the United 8t?tcs in 4he celebrated 6a*e of ; Dred Scott,"" on the right of slaveholders and the statute of slavery iu the Territories, "
20,1859-04-02-seq-2.txt,"In other words, that Congress has not. tin) power to iogisiato slavery in or out of a i territory"", which is the common property of j "
21,1859-04-02-seq-2.txt,"vailing to Auch nn extent. The nssun p lion of authority to exelude slavery, which had been nsserted i:nd practice^ under the "
22,1859-04-02-seq-2.txt,"a? they were before, to act in reference to slavery. It conferred no more power uuoir the people than thoy possessed previ oiw "
23,1859-04-02-seq-2.txt,"the Echo cnsc. If the puoplc in the Territory were ndvej-se to slavery, they would qttfetty throw out the bill. What next? "
24,1859-04-02-seq-2.txt,by grand jurieSDoth North and South; and if it attempted to <^i;tnV>li?h slavery in a Territory wliero the popular sentiment was 
26,1859-04-02-seq-2.txt,"; Dred Scott,"" on the right of slaveholders and the statute of slavery iu the Territories, ?nd are willing tri ubide by the principles "
27,1850-02-02-seq-1.txt,"the calculating cuj&Sity of the Northern agitator#: abusing slavery nt tho. South, and aetu ?Wy carrying on tho slave trade "
28,1850-02-02-seq-1.txt,"agitator#: abusing slavery nt tho. South, and aetu ?Wy carrying on tho slave trade />w )t<a (.Anet fkt A fi.In.1 ?l? ' "
29,1857-12-26-seq-2.txt,"' tempt to make its own kin and notchb 1 children slaves, hirod servitude; for, ifhc I ! it is likely, he would have written thus: "
30,1857-12-26-seq-2.txt,11. An Act to amend the law in relai to trading with slaves. 12. An Act to authorize the Un 
31,1857-12-26-seq-2.txt,Tlio roports and resolutions on the revival of the slave trade were indefinitely postponed in both houses. 
32,1857-12-26-seq-2.txt,"Ci.atton's Mills, S. 0., Doc. 20, 1857. Editor Courier: Tho subject of slavery, is one that has agitated tho minds of men in all "
33,1857-12-26-seq-2.txt,"one that has agitated tho minds of men in all ages, particularly when any system of slavery has provod itself to tho oxnerienco and "
34,1857-12-26-seq-2.txt,us look among ourselves and sec if thorc be a specica of slavery among us that does not work well. We look around and wo discover 
35,1857-12-26-seq-2.txt,that all is peaco and happiness. Tho master and his slave in the South are enjoying themsolvcc in pcaco and plenty. Weseeno 
36,1857-12-26-seq-2.txt,"themsolvcc in pcaco and plenty. Weseeno ovil growing out of our system of slavery, | and never have wo seen a native of tho South "
37,1857-12-26-seq-2.txt,"to the North and see what the hired system of slavery is doing there, llark ! tho voico of the hired servants cry for broad ! While "
38,1857-12-26-seq-2.txt,"mnncipnted to a muster."" A slave then, is a person bound to a master, whether white or black, hired or sold.? "
39,1857-12-26-seq-2.txt,"distress prevails, for tho hired systoin oi slavery is wrong?wrong, frecauso in this system the master may discharge his slave at "
40,1857-12-26-seq-2.txt,"oi slavery is wrong?wrong, frecauso in this system the master may discharge his slave at will, to starve if ho have no friends, or he "
41,1857-12-26-seq-2.txt,"I thoir labor profitable, and, in as much as thoy have no interost in tho porson of tho slave, have turned them off to no the best thoy can, "
42,1857-12-26-seq-2.txt,"of all, to bind the lower racoe of man to the-higher <w slave* for their progression, m in their lowcUstagos they cannot w.oll taVo "
43,1857-12-26-seq-2.txt,in their lowcUstagos they cannot w.oll taVo car* of themselves. Hence wo rcq slavery sanctioned aUhrough the Bible. But when 
46,1850-10-26-seq-2.txt,has published an opinion that the fugiti ve slave law \t> perfectly cot? atit utional. 
47,1859-03-12-seq-2.txt,",tt(l shot and killed ij&it, wWwW a^Vtiiting lis trial on tho charjjo of alxlucting slaves. Pahricide.?Stephen 1'. Ikmlham, of On "
48,1859-03-12-seq-2.txt,"ico hail missed stringent luwa for tho protco- j tion of slavo property. Accounts in a mccccding column will in- j, "
49,1859-03-12-seq-2.txt,"claved that the code of instructions, for the sup- o prcssion of the slave trade, agreed to by Eng'* land and France, has been submitted to the Uni- j "
51,1858-06-26-seq-2.txt,"Kxchanyt cays, referring to the capture of slavers by the British : Not ono negro who is captured by a British cruiser ever gets "
52,1858-07-10-seq-2.txt,party is doing all in its power to destroy the institution of slavery; but this should not prevent us from doing justice to those 
53,1860-03-31-seq-2.txt,"hill to eniihlo citizens of the hlavo States to carry thoir slaves to Kansas. , A resolution wiih offered to instruct the Judiciary "
54,1860-03-31-seq-2.txt,"country?llio whig and democratic,:; J'iither woro Considered sale <111 (lie'slavery <|tiestii>n? And lor peculiar \cusuiis of his own, Mr. t'.w.n?<fN, "
56,1860-03-31-seq-2.txt,"Cpunuitteo to report a hill interdicting slavery where C'pugruM has power over tho territory. The resolution wu? negatived, by "
57,1850-04-05-seq-2.txt,"-V""r. Buchanan had said, that the natural ? vllies of slavery were the Northern dem-S Mr. King rejoined, and the matter was j "
