,date,context
0,1857-01-08-seq-2.txt,"ol it or is into il, and the most confideu liai house servants are the ones mot ac tive in the destruction of their owu fam "
1,1861-02-28-seq-3.txt,teitlmonisl in its favor. I am respectfully. v..nr h. Jient servant. f.hut WTS L. MAI RT S 
2,1860-01-19-seq-3.txt,"Please accept assurances of my high eonsilera tion. and believe me your obliged, humble servant. Chicago, April 10, '59. Jana B. Lsn-soa . "
3,1860-08-02-seq-4.txt,"mar his enjoyment. - The monarch dis- j rue4 in servant auu every! o ly aont mm, naiurauy enougii supposing tuai ev- himself; the mother knew his inventive ge "
4,1860-08-02-seq-4.txt,"terwards, in order to get rid of some four or five hundred servants (usually called Mameli.kes) who had become objects of "
5,1860-08-02-seq-4.txt,"matter was that the pilferer mnst be one I Rhemphis proclaimed that if the woader of his own servants; and having arrived at fui t. f Would come forward, he should this conclusion the next question was, how j not OMlv i,e pardoned bnt rewarded hand "
6,1858-10-21-seq-4.txt,"were admitted without an order, except noDiemen s servants. eoster Demg ig norant of the rule, requested admittance. "
7,1861-06-13-seq-1.txt,"perous ant. wealthy it ia a most useful servant. It eats nothing, and the cost to keep it is nothing, yet the work it will do "
8,1861-06-13-seq-1.txt,"thought, the ineradicable instincts af our ! cannot. If she t wise, she till not. world-wide humanity with the atrocious Your obedicri servant, dogma that negro slavery ia tha only basis I C. M. Clay, "
9,1859-06-16-seq-2.txt,Thev h ive my cordial amrobatiao). Very rotp'ctPji Your ub't servant. s j ; vN 
10,1863-08-06-seq-4.txt,Jt-ylt is generally cheaper to wait on yourself than to pay servants to wart on yon. But it is cheaper to keep doz 
11,1862-08-07-seq-2.txt,"could he more gratifying to the heart of a I public servant than the wtdcooie he had itiat il,v I.- ,.iv. 1 from hit constituents. "
12,1863-07-09-seq-4.txt,"rashnns, till they gradoo8, includio two white servants each.) Sinekv 93,000 "
13,1862-09-18-seq-1.txt,"was nine prized than my dollars, and my li tin Ii Tai a 1 1 an servant, with his broken Englitsh jets and his sweet old Provencal "
14,1859-04-07-seq-3.txt,"some time last May, and nearly cverv hair in mr head came out. Now my hair hascouie in a reat (section of the United Sute, and are the servants Import and ""Job' "
15,1859-06-23-seq-2.txt,"4 "" Vc '""i 1'prooauoil Vcr resp'ctPr, Your ob't servant. S. J. Biowit. "
16,1860-05-17-seq-1.txt,"and Wm. Lavote, of Louisiana, and the firemen, porter and three servants are known to be lost . The officers and th remainder of the cabin passen - "
17,1860-12-27-seq-1.txt,"States, a? much as any one of you owns a slavery. Is that anything new? Di 1 you servant on y nir own plantation. What not know this before? Is it anything do southern men complain of then? You new that thc whole civilized world dislikes "
18,1858-10-14-seq-4.txt,"liMuiIuLili' in. patient to be let loose, ba-1 er mother aided by the servant man, who pd soconuwuevl tbern, had already cross- "
19,1864-07-28-seq-1.txt,"watching him one morning, discovered him kissing the servant girl. Broadbrim 6aw the face of his wife through the half "
20,1864-07-28-seq-3.txt,"cannot fail in their purchase if they pet your brand. 1 am, Doctor, with much respect your servant, G. W. A k DREW?. Superintendent. "
21,1862-07-24-seq-2.txt,"on the other hand, tells us that Moen. the servant of thc lord. abdn. ted over ti.OOO . 000 clavc ftotn an nhduiate and btiif-ncck- "
22,1860-11-08-seq-1.txt,""" With the highest respect, Your obedient servant, ""WILLIAM BELL."" "
23,1860-11-08-seq-1.txt,"ing, tears and death. Pay your servants before you sleep. a . a aT a a a a "" "
24,1859-06-02-seq-1.txt,"wealthy and hi'.di!y respect a' lh planter, with hi- motJ)eVs' mai l servant, a slave, so near white as to have been taken, at times, "
25,1861-05-09-seq-1.txt,"n sm.h t (.risjs ,i,is ,,,, ho(, U0 fcfrjct CCOniit their public servants, I wither council or in camp. Hence I "
26,1856-11-20-seq-4.txt,"every kind; let him bring up his children. to be waited upon by troops of servants the end will come sooovthan he expects, "
27,1856-11-20-seq-4.txt,"A monkey which was permitted to run free, bad frequently seen tbe man servant in the great country kitchen with its "
28,1861-04-25-seq-4.txt,"Send the Pill.-iby mail and oblige Your obedienr servant, JAMES KENNEDY. "
29,1864-06-16-seq-1.txt,"change our experienced ami well-tried public servants for others devoid of :!at training, whi h only public service can "
30,1862-02-06-seq-4.txt,"As the gentleman was following, she heard the servant say something to him in a low tone, wherein the word ""luncheon"" "
31,1862-02-06-seq-4.txt,had met with in her difficulty. 'Will yon allow my servant to get you a cab?' said Mr. Hazlett. 
32,1861-09-05-seq-1.txt,"Lutted States army m command among, lJeIMIll wilh biin for u ig to u Wd with fo otTicers, and Mr. Davis i as efficiently the general orders recently issued from the a oLh,r officerj( to R s,jict account. But represented by his northern servants aa ha headquarters of the army. W e hope it r i ' u ,j .v.. .u 1 ia hv his Kontham "
33,1861-05-23-seq-4.txt,"itln.it. bit In I satvor. 1 ata respeetf illy, ynnr obedient servant , Liaut. WM L. MAI -RY mm "
34,1857-12-03-seq-3.txt,"the public interest, .s this nnaOQIltS to, on the jnrt of public servants. It the publie jrint inj, like other pnblio "
35,1863-10-01-seq-4.txt,"in the care of merely a steward and h ue keeper. She took mot of her servant- with her, inten-lin to make it her prin i "
36,1863-10-01-seq-4.txt,view. The servants f-om town were half fright ened on! of their wies at the i lea of living 
37,1863-10-01-seq-4.txt,"Bhe hastened down stairs, ordered tbe servants ti arm themselves with the weap ons first at hand, placed herself at their "
38,1863-10-01-seq-4.txt,"tbe perty. The waiting maid, who dread ad toatav alone in the'servante hall, bro't up tbe rear, emailing a broken bottle ofk "
39,1863-10-01-seq-4.txt,the chattering of teeth iaxued from the or trait. The servants hntnk hack; the maid uttered a taint abriek. and clung to 
40,1863-10-01-seq-4.txt,"a loose, idle fellow of the neighborhood. who had once been a servant in the house, and had beeu empl ye l to assise in arrang "
41,1862-06-05-seq-4.txt,"well. The little I could do waa done; and leaving an old colored servant to watch with the sufferer, I left, promising to come "
42,1862-11-06-seq-2.txt,hotel. The oolv contahan la bromrht to Ottowa. were one brought as a servant by Colonel Dtckeif. Dcmo rutic anialale fur 
43,1857-02-12-seq-2.txt,"Vernon, were poisoned by eating bread into which the servant girl had put some poisoned substance in mistake for cream "
44,1860-03-29-seq-1.txt,"Men nay be seized and imprisoned in defiance of law. There wa an attempt to indenture servants in the State of Illinois, under thc old Territorial "
45,1860-03-29-seq-1.txt,"hold negroes iu slavery, or to hold them as inden j u,4 l ite 10 iutei iere with tlie affairs of another. turcd servants, were illegal. It was never as slaves VVe aJa""lt il. every bo ly agrees to it ; there is not they were attempted to be held; it was by a species 1 a m ui in th ,and that 0C!i not h'torsc lhc idw: "
46,1861-08-22-seq-1.txt,"... . and who preferred starting early in the man s body servant. It you want a hn- mnr-,r 'a ,i - u m I morning, and making bnt one move. "
47,1861-08-22-seq-1.txt,"I have the honor to be, very respect fully, your most obedient servant, irwin Mcdowell, "
48,1861-05-02-seq-4.txt,"Send the Pills by mail and oblige Your obedient servant, JAMES KENNEDY. "
49,1858-05-06-seq-1.txt,"' the country to associate so intimately with , their servants!"" whispered my companion, ' ""Miss Stout is uot acomuion servant, ""I "
50,1858-05-06-seq-1.txt,", their servants!"" whispered my companion, ' ""Miss Stout is uot acomuion servant, ""I j said, in excuse. "
51,1859-06-09-seq-4.txt,"tana ticks and the great ficility with which even a servant e in take up and put dow n e irpt-, w ithout the possibility of a nrst ike, renders it iuvaluablc "
52,1860-03-22-seq-4.txt,": t. .rl tho t. Communicated by his servant tO the cook, m - . , . . , . "
53,1860-03-22-seq-4.txt,bis kin. His servant came on board of the hulk - - . 1 . 1 I - - u .. 
54,1860-03-22-seq-4.txt,"of the carpet; one person will- thie machine ran de the work of many servant. For Churchc?, Hotel Steamboats, .Saloons, and for every carpeted dwel "
55,1861-05-16-seq-4.txt,"testimonial in its iavo. I am rvspcet fully, yowr obedient servant. Lieut. WM. L MAIRY. mm "
56,1861-05-16-seq-4.txt,"oenu me i in 'jv man ana oblige Your obedient servant, JAMES KENNEDY. "
57,1860-06-14-seq-2.txt,"it prohibiti-d tlie Courtsfrom taking cognixancc of any complaint made by a servant or a shepheid, whatever his color, against his master lor any cor "
58,1863-12-10-seq-1.txt,"i lion with the greataat coorage, he saw j hia servant crying, in the corner of the room. 'None of yon r hipocritical tear, "
59,1861-05-09-seq-4.txt,";. tinv.niai n us t.iv..r. I i iii r rpi-tfully, our ol-lient servant. ..t.-iit. WM. L. MAI KY. "
60,1861-05-09-seq-4.txt,tiend the Pill-ly nail ami eilige Your obedient servant. ! i JAMES KENNEDY. 
61,1861-04-25-seq-1.txt,"companied. ""I am with great respect, ""Your obedient servant, ""A. LtvcoLx. "
62,1861-06-20-seq-1.txt,"1 have the honor to he, Year obedient servant, E. DrjaosT, "
