,date,context
0,1857-01-08-seq-2.txt,"to say about the Governor s salary. l(UU Jefferson, was not sound on the il is not sufficient let these see to it who .slavery question? Or. is it on account seduced it for party advantage. AU rs- ! of ths opinion he eipresssd about Buch "
1,1857-01-08-seq-2.txt,and magnified his crimes into virtues Had he remained true to the Slaveocracy the world never would have heard of hie 
2,1857-01-08-seq-2.txt,"have been serious troubles among the slaves in Louisiana, and that as many as twenty negroes have been hung; but the "
3,1857-01-08-seq-2.txt,in reference to a rumored rising among the negro slaves. The corporation met and pasird an Ordinance requeuing the 
4,1857-01-08-seq-2.txt,"Iu York District. S C , to day the slave excitement continues. Powder and muskets have been found in posses "
5,1857-01-08-seq-2.txt,and muskets have been found in posses sion of the slaves. A dispatch from C dumbia savs fifteen 
6,1857-01-08-seq-2.txt,negroes have been killed by their ownere iu Perry. Esca pes of slaves are numer ous. The whiles in all directions are arm 
23,1862-12-11-seq-1.txt,"sH m FAIRBANKS' into option with, god pro.,ect of exhbitiuc such evidence of Drosneritv ' rapmwi .or rr.u.- destruction of property. The people of tree and slave country, and tve shall find fST rAX"" u:p S I complete success, hi exiasioü of U t ftea in rxiictat ion tUat aome of nts.aD;J vlT,JE St.tejn.nifeet mu,h anxiety for the S a little more than one-third of its length ! "
24,1862-12-11-seq-1.txt,"were just, would cettainly be unwise. strrpiiEsstos' of the slave trade. Tlie treaty with Great B. itain for the "
25,1862-12-11-seq-1.txt,"931.789.64 driven frojr .the country. The clue of the lhe .epamtioo of the sectiona than before. P! optatives of the Ln.ted States of A- 525.692.360.50 Cherokees has vurfted this city for the pur- ThJ ( . .lave trade, now imperfectly c0 assembled, two-thirds MVIi i llli."" .ill I'voc vi caiui mi, iiic i ' t 1 1 1 i icriaiivfiio im "
26,1862-12-11-seq-1.txt,"Tuu Wf -s A nutüheix. Onf section of onr conntry believe slave ry is right and ought to be extended, while "
27,1862-12-11-seq-1.txt,0 0MPE XS A TCO f. M A N C I P ATtO. Article . Every State wherein slave ry now exists which shall abolish the 
28,1862-12-11-seq-1.txt,i the rate of for each slave shown to have been therein by tlie eighth census of 
29,1862-12-11-seq-1.txt,"sai !, and alterwar Is int'odueing or toler ating slavery therein, shall refund to the United States he b :i Is so receivd or the "
30,1862-12-11-seq-1.txt,posed ai ticles ot some length. Without slavery the rebellion should never have ex isted; without slavery it could not contin 
31,1862-12-11-seq-1.txt,slavery the rebellion should never have ex isted; without slavery it could not contin ue. Among the friends ;f the Union tlxTe 
32,1862-12-11-seq-1.txt,"The emancipation will be anfatifattory to the advocates of perpetual slavery, but ' the length of time should gr "
33,1862-12-11-seq-1.txt,"They will feel that it goes tar little to the now living slaves, bot it real ly gives them miuh. It eaveu ihem from "
34,1862-12-11-seq-1.txt,"dissatisfaction of those who favor perpst u.I slavery, especially those who ate to re ceive compensation. "
37,1862-12-11-seq-1.txt,"r-w-o f SU apsnlMua 'fcbo it -on of K dls h Jen earned P ,Q ,hftl ,,,,wc,, e ten- the report of the Secretary of the lWury I submit for your special consideration Lde any more difficult to pass by wiitinir the same :ates as is mM into lull effect nude the act n CooTre. I l ? .,h .""."""" ?f 0 wh9se statements and views 1 inviteyonr -he -er our Indian system shall not be re- j, Jown Jn .npcj, Qr parcLentas a S ! a lording aholishtnent of slav, THE F RESIDENT'S MESSAGE. "
59,1862-07-24-seq-1.txt,"votine man whose annearancn was wretch slaves, toiling day after day cheerfully and , 1 "" inie inat uau ue- uncomplainingly for the support of their j f,,cn 'u,n who ftle had ina-1 earth hap "
63,1857-11-19-seq-3.txt,"IMm( the Baltimore Conference ""insinuate anti slavery doctrines"" in their sermons and conversa tion, and says they should be expelled Crom the "
64,1857-11-19-seq-3.txt,Re-Purch ise of Poieer- Greek Slave! The m inagement have greit satisfaetion in an 
67,1860-12-06-seq-1.txt,"a population of 40.190, of whom 23.327 covery was resisted on the ground that it are whites, 13,606 slaves, and 3,257 free was aot the action of the Bauk. colored. Compared with the census of m , .. "
68,1860-12-06-seq-1.txt,"lS-)0, this is an increase 3,315, and a de- Republicanism Among the Germans, crease in the slave population of 5.92;. There are five Wards in Cincinnati main and a decrease of 184 in the free colored, ly ocenpied by Germans. The VolksNaU "
69,1860-12-06-seq-1.txt,Maryland from which we have received re turns in which the act for the enslavement of free negroes was submitted to the peo 
70,1860-12-06-seq-1.txt,"ion in the extradition cane of tho fugitive slave and murderer. Jones, has been still . further postponed, for a few days, Tho "
74,1860-12-06-seq-1.txt,"w vw,i.ivu in .uiim.iii i the question of enslavinjr the ncrrro nonu- '""uu ointo was 8ll0mitlel to tie "
81,1859-06-02-seq-2.txt,"In dependent, has a majority of TU0. Acinital of Slave Trsdara. Tv i . i . ii .i .r. . m "
82,1859-06-02-seq-2.txt,vann ah. Tiiis is exactly what we excret ed. No slave trader will ever b convict ed in anv of thc extreme Sonthem S:ates- 
83,1859-06-02-seq-2.txt,"mill tlim.io liao n( -ml. tit n -i t i ir f.fli.ir Cn, m. if a fugitive slave abettor, or of a father who dia-ii. uion. Ueneraliv iusUuUneoo in OVct. it r. ! O ...L . lo.l "
84,1859-06-02-seq-2.txt,"d mitte! to the revival of the slave tiade, mm Tni "
85,1859-06-02-seq-2.txt,"most recent phase of the doet.ine of ""11011- PATENT MEDICINES, CAMPIIENE, intervention"" with slavery in the Tcrrito- j riea thua strongly: ""The Washington BURNING FLUID, "
94,1859-04-07-seq-2.txt,lnA. for the Landless. Can any one lon ger doubt that the pro-slavery principles af tbe DgMMUXt arc at war with the best 
95,1859-04-07-seq-2.txt,"jority of 2,800! Every where in the Free North pro-slavery Shamocracy is rapidly running down at "
96,1859-04-07-seq-2.txt,rouscd . The pro-slavery Shamocratic papery are bnsv inst now in ventins accounts of cases 
97,1859-04-07-seq-2.txt,of those papers would travel a short time in any Slave State there would be no ne cessity for their resorting to their imagin 
98,1859-04-07-seq-2.txt,"real If onnosed to amalgamation the? would not favor the spread of slavery as they do, because whereever slavery exists "
99,1859-04-07-seq-2.txt,"would not favor the spread of slavery as they do, because whereever slavery exists there amalgamation abounds. Winch, "
100,1859-04-07-seq-2.txt,"It is said Gov. Medary of Kansas, ve toed the bill abolishing slavery in Kansas, j and that the Governor of Xew Mexico ap "
101,1859-04-07-seq-2.txt,and that the Governor of Xew Mexico ap nroved the bill establUhim? klaverv in that . 
102,1859-04-07-seq-2.txt,' 9 I ooiisnin slavery wuo uoutus mat .leoarv would havo approved it? Had he done 
117,1861-05-09-seq-2.txt,"now tor the firct time there ia no act of Congress prohibiting Slavery arty where If it be tbo non enforcement o the laws, "
118,1861-05-09-seq-2.txt,Jhave tan of the too vigorous and faithful fal&lhjMBt of the Fugitive Slave Law. Than what reason have they ? 
119,1861-05-09-seq-2.txt,Than what reason have they ? 'The slavery qucstton is a mere cxcijae. 'lbe ilectwn oi Luwoin a mere pretext. 
120,1861-05-09-seq-2.txt,"twve months ago. ""They use the Slavery question as a'tona, guns, not seaworthy. Columbia, aid tha acoomp.ishment ot their "
121,1861-05-09-seq-2.txt,"sonri Convention and by that body elected a delegate to the border Slave State Con j vention which is to meet at Frankfort, Ky., "
122,1861-05-09-seq-2.txt,"fchage: ""Orr interest and sympathies are iden tical with thoc of theslaveholding States, and neves-serrtv unite our destiny with "
127,1856-12-04-seq-1.txt,". precar.ou, a .,lu.:on as it is .1 the pre ! gppf, time, when, north and south, slave i "
128,1856-12-04-seq-1.txt,". , . . that slavery is right aud necessary to the ..... -, . . "
129,1856-12-04-seq-1.txt,"never deg,gncd one race of men, because lh'r ""mpUxion, to become slaves 'Or tne rest. "
130,1856-12-04-seq-1.txt,"ing been driven into tbe slough of pro slavery ism, are willing, it seems, to de- i cpnit tn atitl lnir llantkk r ,1 ..r. I. "
131,1856-12-04-seq-1.txt,wrest ourselves from under the dominion of a bnteful slave oligarchy; who are seeking the degradation and enslavement 
132,1856-12-04-seq-1.txt,of a bnteful slave oligarchy; who are seeking the degradation and enslavement of the poor laboring white man as well 
