,date,context
0,1854-07-18-seq-4.txt,"OUR 8tocC of Bleached and Uro. Muslins, Cottooades Servants' Stripes and Plaids, Ac, e is unusually large, and buyers wanting any thing in our line cf business, "
1,1854-09-05-seq-4.txt,Women's Plantation Sloos; House Servants' Shoes; Youths' and children a coarse and fine shoes; . 
2,1854-09-05-seq-4.txt,"der the shade of trees, or in a retired apartment, thus sav ing great injury to the health of valuable servants, and the heavy expense and inconvenience of large tires. We hare "
4,1854-10-28-seq-4.txt,"1 v vouched for. Also n No. 1 Mau, 19 years old, good body and dining-room servant. Call soon. 6 DABBS 4 PORTER. "
5,1854-10-28-seq-4.txt,Negro women's Plantation Shoes; House Servants Shoes; Youths' and Children's coarse and fine Shoes: 
7,1857-02-06-seq-1.txt,"Ancie i les; Servants' Calf and Goal Bootees, a large assortment; Genu fin Calf Single and Donkle Sale BU; "
8,1854-08-30-seq-2.txt,"ing all their expenses, tavern bill, carriage hire, servants, ice Forty thousand dollars are deposi ted with the Bating. as the security money; they "
10,1854-05-23-seq-1.txt,". two story Frame House, five Rooms, good Cellars, Kitch I Hi. SmoUe 1 louse, and Servants"" Room; also, a good Buggy I House. Two excellent and never-failing Springs. If de- "
11,1854-05-23-seq-1.txt,"spectacle citizens ol riasuvute- ineau verier is perumieu lo refer to Mr. Samuel Watkins, whose servant was cured nfo. most inveterate Scrofula. Also, the servant "
12,1854-05-23-seq-1.txt,"lo refer to Mr. Samuel Watkins, whose servant was cured nfo. most inveterate Scrofula. Also, the servant : ot .Mr. .1. "
15,1857-01-08-seq-2.txt,"the estab'ishment of an Academie de Cuisine, school to educate women servants for the kitchen and teach lh9 female members of the enrrimunity "
16,1857-01-08-seq-2.txt,"feet deep, wHh a geod two ""lory Brick Heose containing 8 er 10 rooms, servants' rooms, kitchen, &e ,a goed well, smoke house, ew. nota amis Beey se( witn snrueeery, shade and "
17,1857-01-08-seq-2.txt,"eligibly located lets in BdgeleM, having a new brick dwel ling house with fear rooms, kitchen, servants house, stable. carries Ho ise, Ac. roesesstea weuld be given to lae pur "
18,1857-01-08-seq-2.txt,"South Nashville, Bear Dr. C. K. Winston's: containing six good roeoHi eiclusive f kitchen, servants' room and smoke hease, also stance and carriage house. Apply te "
23,1854-07-26-seq-1.txt,Buarp at the Springs per week ?6; children and servants halt price. . . WILLIAM B. EASLEY A Co. 
24,1854-07-26-seq-1.txt,"story Frame llouse, s uooms.goou thenars, rvueuen, onioke Houie, and Servants' Room""; also, good Bucgy Houe. Two exeellent and never-failing Springs. It des:rcd, ihe "
25,1854-07-26-seq-1.txt,"spectable citizens ot Nashville The advertiser is permitted to refer to Mr. Samuel Watkins, whose servant was cured of a most inveterate Scrofula. Also, the servant of Mr. J. "
26,1854-07-26-seq-1.txt,"to refer to Mr. Samuel Watkins, whose servant was cured of a most inveterate Scrofula. Also, the servant of Mr. J. Collins of the same disease. Five cases of Cancer have "
30,1854-12-13-seq-1.txt,"lorv brick building, containing 1 Urge rooms, dining niaai, pa.?-, porches, dosets, kitehen, servants room, stookc Ihi-, Ac, aad lias bao utiful sJiade trees iu the "
31,1854-12-13-seq-1.txt,"on hand Collins of every description, from the plainest servants to the fine Metalic air-tight and air-exhausted Cof fins, the best now in use for preserving the Corps; together "
32,1854-12-13-seq-1.txt,""" English Swansdown, very heavy for invalids: Mens, Boys, and all kinds of servants wear; Blankets, Ta ble Linens, Sheeting, etc, etc. "
33,1854-12-13-seq-1.txt,"No Goods taken back or exchanged wkea feeaght. No Goods bought by Servants, or upon Trbal order, will be taken bock. k C. AleN'AMtY A CO. "
37,1860-02-08-seq-4.txt,"have good girls, suitable for house purposes: a No. I boy, W years old, well trained as a dining-room servant; 3 good fatal Bet, with a let of single negroes suitable tor the firm. "
38,1860-02-08-seq-4.txt,"The honae is very lanrt aad onsnmadbrs. containing over twen ty ro was, with servants' rooms, otUata, tesd and wood sheds, &c The house la In gond orotr, nasi tt ti fiemg recenuy reeunt ana "
39,1860-02-08-seq-4.txt,El Sill tan; Cervantes; Ingenuidad; 
42,1855-06-12-seq-1.txt,"No Gojds taken back or exchanged when bought. No Goods bought by Servants, or upon verbal orders will be taken back. H.. o. McNAIRY A CO. "
43,1858-03-06-seq-4.txt,"goods. Bleached and Brown Cottons, wool, union aad cot. ton PlaBBeis, striped cottons for (ervanta. In great tarUty Heavy goods for house and field servants: I'riaK, Ging "
44,1858-03-06-seq-4.txt,"ton PlaBBeis, striped cottons for (ervanta. In great tarUty Heavy goods for house and field servants: I'riaK, Ging hams, II Jtiery, Gloves, in .hen every thioK ia our liae, ad "
46,1856-01-09-seq-4.txt,"RED BLANKETS; Flannels; Irish Lmens, Bleach'd Shirt icga, Hamilton sheetings; Servants f ear. Hoys Clothing; yuineu BK.rts; (a new article very desirable) - ana an "
47,1855-11-22-seq-1.txt,"ble, ft levulr.- no mechanical aid or bill ol expense to I' n stp-.tutt i.m nxaa or servant can pat up ana set one MHfegta bsif na bcurs lime. Tfco convenience tiith "
49,1855-04-17-seq-1.txt,"Double Sole Negro Erogans; House Servants' Shoes, heavy and light ; Youths' and Children's coarseand fine Shoes; "
50,1855-04-17-seq-1.txt,"No Goods taken back or exchanged when bone-ht No Goods bought by Servants, or opon verbal orders will h Uton twri- B I! M.M115V l-nil "
51,1858-01-03-seq-4.txt,"good., bleached and Brown Cotwn.; wool, J anion -"" cot. Ton Hanna... alriped colion. tor aervanta. In great -art ty ilvt good, for houee and Held .ervant.: Frrat., Gi-ft-haml. "
52,1858-01-03-seq-4.txt,"Ton Hanna... alriped colion. tor aervanta. In great -art ty ilvt good, for houee and Held .ervant.: Frrat., Gi-ft-haml. lfalery, Glove., in .hortevsry thing in our line, aLd "
53,1858-01-03-seq-4.txt,"Campbell, Esq The b.use contuns f ur room, beside, kitchen, aervantiro-nSc.,8nd ha. thirty arrej ofgrouno attached. Sultah'e furniture can heprocared by the tenant "
54,1858-01-03-seq-4.txt,"Uing in romp'e e repair. In addition ta the dwelling, there Is a servant's house, sta blo, carrl.ge and cow biusa there is a'se a large cl tern "
55,1858-01-03-seq-4.txt,"nov. 14 .MOllO.tS, PLUM MRU, COOKE di CO Family Servants. WE have on hand several No. 1 House Servant, for rale "
56,1858-01-03-seq-4.txt,"Family Servants. WE have on hand several No. 1 House Servant, for rale We will not sell them 10 any one living out of lb. "
57,1858-01-03-seq-4.txt,"For ssalc A No 1 Servant, well qualified house woman, good wash- erana troaei,anu agooa roua. "
58,1858-01-03-seq-4.txt,"ANUMBERose woman, w.ll qualified as a Cook, Washer anl lroner.and a good House Servant generally, with out any lncumberanct. whatever. Apply to "
59,1858-01-03-seq-4.txt,""" "" Kip do; Fcr Plantation and House Servants'. Men's, Boy'., and Youth'i Brogaas, "
60,1858-01-03-seq-4.txt,"Womin'a extra Mie Calf and Goat Booeas ; ' Servant's "" "" Kip and Dutch bootee; 1 "" ' CalfaadGoatwiih Heel. , "
61,1858-01-03-seq-4.txt,"feet deep, with a jood two story Brick Hoae cast 10 rooms servant.' moans, klunen, 4..i good well, iMraee.Ae. Both Lot. laely ' viOt shrsbrv. aka "
66,1855-09-04-seq-2.txt,"not, will be achieved. I am, sir, respectfully, your obedient servant, Lewis Cass. "
68,1855-04-29-seq-4.txt,"I also hare 10 nezroes consisting of two Families, that 1 can saiialy any gentleman are as good servants as there is - ... i-i . "" J i. .... 1 . . :, : . e .- i "
69,1855-04-29-seq-4.txt,"on hand Collins of every descrintfon. from the plainest servants to the fine Metahc air-tigut and air-exhausted Cof fins, the best now in use lor preserving me iorps; iceuier "
72,1856-08-06-seq-3.txt,"E offer for sale a deirble and commodious Dwel- licz. with a cood Kitchen, Servants Roams. Stable ana Uarnsge nouae, aii 01 uric. "
73,1855-08-31-seq-4.txt,"oa band Collins of every def criutiou, from the plainest servants to thelloe Metalic air-tiglit and air-exhausted Cof fins, the best now tn use for preserving the Corps; together "
75,1861-03-02-seq-1.txt,"foreign market can afford, and having in my employ good and expsrienced cooks and table lervants, everything shall be pre pared and served in the best manner. "
76,1861-03-02-seq-1.txt,"blue grass. The bouse, with 8 rooms, porches, excellant cellars, ervants homes, stable, well, tc. are all new and comfortable To the Gardener, the Dairyman, er Gentleman, seeking a cool, "
77,1861-03-02-seq-1.txt,"order."" Respectfully, your obd-t servant, f John Bc-rrW.-Cnlle.tm. "
78,1861-03-02-seq-1.txt,"hope law, obey the authority of my State. Yery respectfully, your obd'6 servant, ' ' juim xHiorviY, "
81,1858-12-22-seq-3.txt,"earnest supporter. With sen-.iments of high regard, I remain your obedieBt servant, JOKL T. 1'ABBISH. "
83,1853-07-15-seq-3.txt,"Commisoioii Merchants, of this city. 1 Your servants , aprilSil PERKINS. CAMPBELL, A CO. j "
85,1856-05-18-seq-3.txt,"widths, bleached, unbleached, plaid and striped. Also a very lares etoUc of Extra Heavy Goods for Servants. Men and Women, with Prints. Ginghams. Hosiery. Ac. Ac . all "
86,1856-05-18-seq-3.txt,1 00. Servants half price; and Children of 10 years old and under half price unless parents shall prefer to hart them 
87,1853-12-20-seq-3.txt,"the style modern aud in good taste it has nine rooms, most of them large, besides hells, kitchen, servant's rooms, smoke house, stable, and a hydrant. It has this year been "
88,1853-12-20-seq-3.txt,"and Girls, among whom are several superior house . v servants. Persons wishing to purchase wilL do well tu call and examine, as we are determined to sell low for cash. "
89,1853-12-20-seq-3.txt,"1 .l 'si years oiu, ana tiiuu o monuis oiu wen recowi mended as a snirior Hourc servant low for cash. An. piy ui uic cvquujaii num. mni "
93,1858-07-17-seq-3.txt,"Tr- t v ronn IMnrSir: I hereby certify that ia the Sum ner of they oar 1C63 a servant of mine, a boy about 19 years of age,whobadalways before thattlme been steutaad of a vigorous "
94,1858-07-17-seq-3.txt,"had no symptoms of said disease, and to all appearance is as healthy as any servant on my plantation. I therefore recom mend it to all persons suffering under a like disease, as one of "
95,1858-07-17-seq-3.txt,"pleasant. Price of Beard SI SO per day: 97 00 per week; Servants aad Children under IB years of age, half price. "
98,1856-12-28-seq-3.txt,about 10 years 01a. we only nire saw servants at tbe bo it places 
100,1858-10-27-seq-3.txt,"oeuntry, with all necessary out houses, barns, cow houses, servants' houses, poultry yard, fish pond, and studded over a creU portion with tho most "
102,1855-07-14-seq-1.txt,"No Goods taken back or exchanged when boaghu No Goods bought by Servants, or upon verbal i orders "
103,1855-12-21-seq-1.txt,ble. It requires no mechanical aid or bill of expense to put it up; uny farm hind or servant can put up ana ret one running in half an hours time. The convenience with 
104,1855-12-21-seq-1.txt,"Ivip .ind Thick Itoots aud Sl.oe!--, Vegro Urogans, double livime Servants Sho-s, IjJmsand Misses Calf Mo. r . , u! Kid Roots and Shoe;, all made from good stock "
106,1855-09-09-seq-1.txt,"AXD SIHIPES TTCKIXOS, STRIP"" D OXXJJBVRGS for eervanta, TWIXE c A large and lad line of the above Goods can always be "
