,date,context
0,1851-05-22-seq-3.txt,"I the honor to be, fellow-citiscns, with jinoere regard, your faithful friend and servant, Charles Simnkr. "
1,1851-05-22-seq-3.txt,"I have the honor to i>e, very respectfully, your obedient servant, Edward Riddle. Hon. J C. G. Kennedy. "
4,1855-05-24-seq-4.txt,"1,657 on the previous year; 5,652 were farmers and farm servants; domestic servants, 117; clerks, 159; and unskilled laborers, 10,488. A "
7,1855-01-11-seq-4.txt,"take in addressing you. Respectfully, your obedieut servant, Schcylkk F. Jinn. "
8,1855-01-11-seq-4.txt,"there may be no misunderstanding between us, I am, respectfully, your obedieut servant, F. E. Srix.\kr. "
11,1851-05-08-seq-4.txt,"the Jewish Theocracy. *' Thou shalt not deliver unto bis master the servant which is escaped from bis master unto thee; he shall dwell with thee, "
12,1851-05-08-seq-4.txt,"laws gave the master the power of life and death over the servant,"" he asks?"" Did the Saviour and his apostles on this account reject their authority, "
15,1856-09-18-seq-2.txt,"itat Vm intiiafji tliat it mir rpt'cr tn annrentirea and indented servants, and that it should not be so construed as to work injustice. But he "
18,1854-06-22-seq-2.txt,we acknowledge the debt of gratitude due to faithful public servants and honorable men. 
21,1856-12-04-seq-1.txt,"and where the farmer stopped at the door with his armfull of wood, cnriously observant of ihe stranger, and where the young woman neglected "
22,1856-12-04-seq-1.txt,"appear to have been acquainted with the ex- wj pensive habits of their servant, and to have h< been aware that ?300 a year could not have th "
25,1851-11-06-seq-1.txt,do Tnpsy was at tirst despised and contemned at by the upjier servants. They noon found reaihe win to alter their opinion. It was very Boon 
26,1851-11-06-seq-1.txt,on both sides?the owner growing more and more eruel. as the servant more and more callous. Whipping and abuse are like laudsnum 
27,1851-11-06-seq-1.txt,r moral nature. The consequence is. that my servants act like spoiled children ; but I think that better than for us both to )>c brutalized 
33,1857-09-17-seq-1.txt,"hours, leaning forwards, and supported by two servants, who were relieved every two hours In this attitude he was attended to the last bj "
34,1857-09-17-seq-1.txt,"his family and various friends, while the nu merous servants in his hotel gathered in the adjacent room. It was in miniature the scene "
35,1857-09-17-seq-1.txt,"separated by a jyortiere, or certain, was con stantly filled with servants and dependants Frequently, one of them would draw back the "
42,1851-03-20-seq-4.txt,"which we have the letter in Deut. xxiii, 15, 16? < "" Thou shalt not deliver unto his master the servant which is escaped from his master unto thee ; "
43,1851-03-20-seq-4.txt,"nance of God, is the only consistent position that can be occupied by the servant* and voluntary \ subjects of "" Messiah the Prince."" "
44,1851-03-20-seq-4.txt,"One of theee le the ianndry, with a hydrant at tbe door; the other two are oecupied by the servants. The hydrant water is introduced into theee oottages at "
45,1851-03-20-seq-4.txt,"for tkemselves. ... . , . . ... The servants and bath attendants have been selected with the greatest ear*, and are all accustomed to the economy of "
52,1852-02-05-seq-1.txt,"Some of the fellow-slaves of the latter were hired as domestic servants in the family of the former, and the two boys were known to each "
53,1852-02-05-seq-1.txt,"between the white children and the domestic servants of the households in slave States. When both were well grown, the former "
58,1854-12-07-seq-4.txt,"pockets at the same time. g A faithful old servant, who had been the dupe of sonic of these human negro hounds, and fi "
59,1854-12-07-seq-4.txt,"r a short time in the family of l'ritchard, as ^ servant. Oil Friday morning, Pritehard ask- j I her for a small sum of monev, which she | "
62,1851-06-19-seq-3.txt,"at any time. Very respectfully, sir, your obedient servant, John S. Cunningham, "
64,1854-04-13-seq-1.txt,"my peculiar horror?days of imprisonment, adventure, accidents, aud cross servants; but the washing-days at my grandfather's were altogether "
67,1850-10-31-seq-3.txt,"young mall's mother and father. Fain to linger : 1 at the door, are two or three old hla'-k servants of ] the fitmily. The mother and the old '76er are , "
68,1850-10-31-seq-3.txt,"penal law, of the line soldiery, of the National Guards, and of the cleverest public servants of the nge. as well as by his cherished system of bribery "
