,date,context
0,1857-02-06-seq-1.txt,"frrinntes tho inhabitants wero autof thsir bcds, and a crowd of farmors vith their servants, hastoncd to the mausion. The llaronoss wait "
2,1855-05-11-seq-1.txt,"Sabbath, in cold climates without fire or light, the Jewish families who keep servants ruako it a point to havo a Gentile in their "
4,1855-05-11-seq-1.txt,"ded to check the controlling power of Slave- rv in our government. No one observant of the ""signs of tho limes,"" can fail lo see "
5,1860-03-30-seq-1.txt,"'I'loaae yo my I.ord, I camo rudely,' replicd the man, 'because thy servant obliged mo to j praycr ln n glrla' achool; nnd few of ua can forcc my way, but I camo not unbiddon. Waa . jiavo been preaent nt any celcbration in any "
6,1860-03-30-seq-1.txt,"affcctation, that sho waa but a mean body, jrnor servant girl, nnd could not posaib think of looking so high ! "
7,1857-07-03-seq-1.txt,boiling. Ono sido of tho kitchcn was occupi od with bcds for tho servants. Tho ncxt lit tlo log-bouso scomcd to bo for kccping pro 
8,1857-07-03-seq-1.txt,"ono hospitnble looking door, I rnppotl witli my knucklos nnd n servant girl opeucd. Sho understood me and summoncd tho master. "
10,1857-07-03-seq-1.txt,"except in burvosting, whcn thoy might bo sixty-thrco cents. A servant maid had six teen dollars a yoar, double thc wagos of a fcw "
11,1853-12-01-seq-2.txt,"inittee ntood pn cuely as do the committee-i of ' either House, or the' committee or servant ofa ,, , .i.e . i .i "
12,1853-12-01-seq-2.txt,"I creature, the servant or agent of the probate court, standing in pluco of tho court itself.- "
13,1850-02-14-seq-2.txt,"Clay' right hand, sit be.ide him, still, silent and observant! General Ciss listened at first quieily and ralher drowsily, but the orator wakej "
14,1850-01-17-seq-2.txt,"lature, and which ought not to be continued. We know the pay of public servants is poor: let it be raised in the regular and legal way "
16,1864-12-02-seq-4.txt,"Very repectfully( Your obedlcnt servant, h. A QttANT, "
17,1854-08-11-seq-3.txt,"ringing the bells in the hall near his upart ment, and calling loudly for the servants, greatly to the annoyaiK-o of soma of tho "
18,1854-08-11-seq-3.txt,"asked him to desist making so much noise, saying that tho servants wero in bed and that ho could not find any at that hour. Tho "
21,1854-08-11-seq-3.txt,"would go to the office and seo whether he could find n servant. Mrs. taring then jumpjd out of bed and begged ""ier husband "
22,1854-03-31-seq-1.txt,"ner, l ea wns served in exceedingly small cups, which servants were al ways on hand to till; lucre was uei "
24,1851-11-20-seq-3.txt,"Which is respectfully submitted, Your obedient servants. (Sijrneu.) WAI.AMOIIY "
26,1860-07-27-seq-1.txt,"seeing him. n sho thoU(;lit, aslcep, called his anJ sealing at once, but a provious beating servant to sep if his h ad was not too on.ltl'ro""'J,i profcrable. Tho man aaid, ""No, he is sleoping comfort-1 3J- Ca' must be takcn to cntitoly oxcludo "
27,1860-07-27-seq-1.txt,"open. Ihe other half closed, but his color aa make M ''Bnt witl cement that air cannot usual This servant, ns well as another, ' enter- A pin bolo lcft will as certainly spoil thought that he still slopt, b it her Indysbip tu9 fruit a though tbo cork. wcro not inscrt "
28,1852-09-02-seq-1.txt,"a enemy camo in stealthily and sowed tares. His servants were gnved at seeing these vilo plants growing among tho wheat, as our friends "
29,1852-09-02-seq-1.txt,owner of tho field la question had some good mid faithful servants as our Free Soil friends ro good and faithful citizens; but they were a 
30,1852-09-02-seq-1.txt,"as well. Pray what is the use of having servants, if they are not to wait upon us 1"" The servant was sent to open the gate. "
33,1852-09-02-seq-1.txt,"tho obstacle. .V. .'. fanner. "" I wish you would send a servant to nnA il.n ,.ne for ine."" said a well grown "
34,1852-09-02-seq-1.txt,"but it's heavy, and I don'l like the truu- ble. The servant can open u ior mo ju as well. Pray what is the use of having "
