,token,cosine
0,I,0.7799185514450073
1,j,0.7616153359413147
2,lie,0.7520512938499451
3,it,0.7006068229675293
4,tho,0.700387179851532
5,in,0.6953348517417908
6,n,0.685432493686676
7,the,0.6846541166305542
8,he,0.6777488589286804
9,order,0.6704824566841125
10,child,0.6700473427772522
11,house,0.659842848777771
12,one,0.6492777466773987
13,obedient,0.644146203994751
14,ho,0.628106415271759
15,door,0.6238150596618652
16,wife,0.6173347234725952
17,my,0.6083012223243713
18,1,0.6028696298599243
19,girl,0.5990630984306335
20,tlio,0.59776371717453
21,nnd,0.597760021686554
22,be,0.5946758985519409
23,a,0.5888063311576843
24,never,0.5793030858039856
25,supply,0.5777490735054016
26,m,0.576276957988739
27,tin,0.5693694949150085
28,man,0.5675150156021118
29,day,0.5631533265113831
30,time,0.5606285333633423
31,respectfully,0.5465465784072876
32,she,0.5390422344207764
33,not,0.5350650548934937
34,v,0.5349230170249939
35,good,0.5325511693954468
36,negro,0.5243201851844788
37,they,0.5238320827484131
38,go,0.5208204984664917
39,f,0.5169724225997925
40,open,0.512741208076477
41,friend,0.5104045867919922
42,ami,0.5100824236869812
43,ii,0.5031407475471497
44,could,0.49835026264190674
45,public,0.4982529878616333
46,bo,0.49469977617263794
47,woman,0.49270275235176086
48,hi,0.49267470836639404
49,for,0.49157553911209106
50,much,0.4857884645462036
51,your,0.4820220470428467
52,lady,0.48042240738868713
53,use,0.4798543155193329
54,flannel,0.47712242603302
55,if,0.4765455424785614
56,home,0.47490108013153076
57,respect,0.4729365408420563
58,i,0.4683357775211334
59,pay,0.46785157918930054
60,even,0.46298280358314514
61,soon,0.46038010716438293
62,all,0.456788033246994
63,whole,0.45453327894210815
64,came,0.4512447416782379
65,master,0.4501056671142578
66,well,0.44849416613578796
67,take,0.4477342665195465
68,t,0.44703927636146545
69,honor,0.44257205724716187
70,we,0.440717875957489
71,gentleman,0.44015586376190186
72,heavy,0.43816760182380676
73,word,0.43515369296073914
74,ol,0.4314885437488556
75,say,0.4310937523841858
76,ill,0.43064385652542114
77,intelligence,0.430453896522522
78,year,0.42989668250083923
79,cor,0.4266074001789093
80,c,0.4233056604862213
81,il,0.41995248198509216
82,d,0.41558918356895447
83,11,0.41531988978385925
84,fully,0.4125041961669922
85,bring,0.411385178565979
86,charge,0.4098055064678192
87,hire,0.4093352258205414
88,you,0.40734338760375977
89,state,0.40320512652397156
90,two,0.4008483290672302
91,hand,0.3999490439891815
92,may,0.39815711975097656
93,half,0.3936266303062439
94,arc,0.3932565450668335
95,obtain,0.39299142360687256
96,yet,0.3906189203262329
97,first,0.39029163122177124
98,would,0.39012792706489563
99,contract,0.38722285628318787
100,s,0.3816543519496918
101,oil,0.3790193498134613
102,give,0.37678736448287964
103,g,0.3767448961734772
104,send,0.3758046627044678
105,see,0.36813151836395264
106,poor,0.3680567145347595
107,red,0.3645555078983307
108,li,0.3643874228000641
109,set,0.3642745316028595
110,treat,0.36417943239212036
111,look,0.3620189130306244
112,ticket,0.36081811785697937
113,111,0.36028993129730225
114,room,0.3597734272480011
115,people,0.35823580622673035
116,direct,0.3548082411289215
117,old,0.3544429838657379
118,number,0.3538631498813629
119,city,0.3538249731063843
120,god,0.3532165586948395
121,call,0.35075312852859497
122,faithful,0.350042462348938
123,al,0.34864285588264465
124,long,0.3476393222808838
125,observant,0.34671804308891296
126,part,0.345612108707428
127,know,0.3454083502292633
128,company,0.3453788459300995
129,pass,0.3451072573661804
130,place,0.3439653217792511
131,person,0.3420182466506958
132,woolen,0.33522263169288635
133,jl,0.3327412009239197
134,eve,0.3318462371826172
135,somethincr,0.3311181962490082
136,large,0.33028605580329895
137,price,0.3282162547111511
138,at,0.3279203772544861
139,invention,0.3255600035190582
140,pig,0.32454490661621094
141,u,0.32162266969680786
142,mo,0.32028642296791077
143,ie,0.319489061832428
144,w,0.3173341453075409
145,mjiio,0.31454095244407654
146,wait,0.31446725130081177
147,court,0.3143412470817566
148,his,0.31199339032173157
149,pace,0.311832457780838
150,many,0.31021538376808167
151,teetli,0.30899563431739807
152,every,0.30804142355918884
153,k,0.3074560761451721
154,liis,0.30613473057746887
155,fire,0.304523766040802
156,whicl,0.30215513706207275
157,mr,0.30073562264442444
158,l,0.29956069588661194
159,pic,0.2988128066062927
160,there,0.2968140244483948
161,nud,0.2959195077419281
162,new,0.29517942667007446
163,seat,0.29399874806404114
164,tlie,0.29125091433525085
165,so,0.29105010628700256
166,e,0.2899642884731293
167,calledno,0.28847798705101013
168,oimi,0.2877313196659088
169,accurately,0.2871886193752289
170,find,0.28532183170318604
171,marital,0.284993976354599
172,fireplace,0.2846078872680664
173,humble,0.2843109369277954
174,ride,0.28237420320510864
175,kind,0.2816591262817383
176,exhibition,0.28144973516464233
177,afterward,0.281078040599823
178,o,0.2803511917591095
179,largo,0.28005409240722656
180,pound,0.27897554636001587
181,witi,0.2778618335723877
182,garden,0.2775800824165344
183,now,0.2772015631198883
184,officer,0.27706894278526306
185,judgment,0.2766488492488861
186,tl,0.2765876352787018
187,akdemok,0.27569419145584106
188,matter,0.2745206952095032
189,rather,0.2741534411907196
190,refer,0.2741410434246063
191,venus,0.27281737327575684
192,wish,0.272438645362854
193,ovon,0.2721245288848877
194,ik,0.2711392641067505
195,sea,0.2704446017742157
196,right,0.2694665193557739
197,imniuititie,0.2693837583065033
198,abolitionist,0.26924607157707214
199,very,0.2683151662349701
200,llo,0.2682082951068878
201,high,0.26802754402160645
202,moment,0.2677842676639557
203,of,0.26757436990737915
204,bed,0.26730239391326904
205,speak,0.26700106263160706
206,color,0.26592209935188293
207,instructilit,0.2650744915008545
208,also,0.26488152146339417
209,eye,0.26466619968414307
210,another,0.2636902928352356
211,equine,0.26354753971099854
212,whoso,0.2631206810474396
213,bright,0.2628171741962433
214,bi,0.2612276077270508
215,mistress,0.26054099202156067
216,date,0.2598873972892761
217,instrmiiin,0.25962603092193604
218,knelt,0.25930342078208923
219,leeirct,0.25834372639656067
220,almost,0.25819486379623413
221,baby,0.25771528482437134
222,states,0.2573496103286743
223,irl,0.25710466504096985
224,unfairness,0.25690290331840515
225,uoedient,0.25622013211250305
226,aire,0.25590676069259644
227,water,0.2548660337924957
228,nevertheless,0.2545761466026306
229,fadiionablo,0.2540817856788635
230,domestic,0.2536565065383911
231,follow,0.25322431325912476
232,fee,0.25259068608283997
233,foreigner,0.2518978416919708
234,full,0.2506825029850006
235,monev,0.25045934319496155
236,strike,0.2501104474067688
237,ttvatm,0.24889837205410004
238,care,0.2485451102256775
239,tiling,0.24799615144729614
240,yourself,0.24791567027568817
241,ln,0.24767588078975677
242,fill,0.2469407021999359
243,aq,0.24665045738220215
244,vant,0.2465389519929886
245,family,0.2463567852973938
246,serviee,0.24625535309314728
247,though,0.24622556567192078
248,quarter,0.24620527029037476
249,fuly,0.24539947509765625
250,rhine,0.24538710713386536
251,tha,0.24477727711200714
252,body,0.24453651905059814
253,sau,0.24443550407886505
254,excellent,0.24436846375465393
255,service,0.2443474382162094
256,as,0.24408450722694397
257,un3er,0.2439853549003601
258,proper,0.24375833570957184
259,x,0.24366198480129242
260,co,0.24362622201442719
261,bill,0.24361185729503632
262,single,0.24360136687755585
263,blow,0.24203500151634216
264,aeffy,0.24171078205108643
265,lever,0.24157606065273285
266,obedi,0.24045267701148987
267,eighteen,0.2397250235080719
268,publication,0.239213228225708
269,herself,0.23899072408676147
270,comfort,0.23890063166618347
271,rate,0.23824794590473175
272,stock,0.2378048598766327
273,sir,0.2377769500017166
274,superior,0.23755380511283875
275,thu,0.23718678951263428
276,thov,0.2371809333562851
277,law,0.2360425442457199
278,attentive,0.23591244220733643
279,abbeville,0.23570938408374786
280,opeu,0.23443323373794556
281,br,0.2343388795852661
282,bud,0.23371748626232147
283,life,0.23312664031982422
284,gov,0.23261407017707825
285,uo,0.23160044848918915
286,lodge,0.23142468929290771
287,jr,0.23136699199676514
288,6,0.23104774951934814
289,wouldhavediad,0.23057833313941956
290,philosopher,0.23037633299827576
291,way,0.23028555512428284
292,sort,0.23002901673316956
293,accompany,0.22932399809360504
294,oblige,0.2292214035987854
295,absence,0.22918033599853516
296,slave,0.22855383157730103
297,stiver,0.22834354639053345
298,discharge,0.22818619012832642
299,cruvelli,0.22774571180343628
300,doubt,0.22740711271762848
301,yon,0.22739799320697784
302,example,0.22737890481948853
303,sneak,0.22696585953235626
304,oro,0.22690242528915405
305,ntlppiap,0.2267133742570877
306,permit,0.2260243445634842
307,jsfc,0.22600243985652924
308,exceed,0.2260015457868576
309,iustruclitir,0.2259218394756317
310,iruerav,0.22575873136520386
311,washington,0.22572870552539825
312,case,0.22548907995224
313,course,0.22536933422088623
314,1857,0.22503286600112915
315,eat,0.22494319081306458
