,token,cosine
0,I,0.9999314546585083
1,lie,0.9999217987060547
2,1,0.9999212026596069
3,j,0.999916136264801
4,would,0.9999128580093384
5,slavery,0.9999108910560608
6,tin,0.9999086856842041
7,in,0.9999069571495056
8,slaveholder,0.9999045133590698
9,make,0.9999042749404907
10,ami,0.9999040365219116
11,the,0.9999028444290161
12,f,0.9999024271965027
13,tho,0.9999004006385803
14,n,0.9998940825462341
15,a,0.9998915791511536
16,ill,0.9998874068260193
17,it,0.9998873472213745
18,south,0.9998868703842163
19,one,0.9998834133148193
20,african,0.9998815059661865
21,say,0.9998789429664612
22,we,0.9998763799667358
23,owner,0.9998698830604553
24,upon,0.999869167804718
25,state,0.9998670220375061
26,antislavery,0.9998660087585449
27,man,0.9998647570610046
28,negro,0.9998643398284912
29,be,0.9998641610145569
30,trade,0.9998640418052673
31,lo,0.9998617768287659
32,will,0.9998570084571838
33,ii,0.9998553991317749
34,may,0.9998533725738525
35,and,0.9998529553413391
36,if,0.999851405620575
37,t,0.999849259853363
38,v,0.999848484992981
39,great,0.9998472332954407
40,he,0.9998453855514526
41,r,0.9998447299003601
42,free,0.9998418092727661
43,southern,0.9998400807380676
44,country,0.999838650226593
45,iu,0.999835729598999
46,master,0.9998353123664856
47,they,0.9998348951339722
48,u,0.9998307824134827
49,property,0.999828040599823
50,every,0.9998278617858887
51,slaver,0.9998260736465454
52,right,0.999825656414032
53,law,0.999825119972229
54,labor,0.9998223185539246
55,two,0.9998205900192261
56,fugitive,0.9998201727867126
57,tlio,0.9998178482055664
58,to,0.9998177886009216
59,tlie,0.9998117685317993
60,north,0.9998095035552979
61,mr,0.9998025298118591
62,arc,0.9998013973236084
63,power,0.9998002052307129
64,time,0.9997988939285278
65,year,0.9997972249984741
66,union,0.9997961521148682
67,slate,0.9997953772544861
68,w,0.9997950792312622
69,number,0.9997947812080383
70,territory,0.9997857809066772
71,this,0.9997846484184265
72,11,0.9997770190238953
73,th,0.9997768402099609
74,question,0.999768078327179
75,take,0.9997663497924805
76,kansas,0.9997653365135193
77,i,0.9997628927230835
78,well,0.999762237071991
79,that,0.9997619390487671
80,present,0.9997563362121582
81,party,0.9997552037239075
82,new,0.9997551441192627
83,abolition,0.9997546672821045
84,sell,0.9997521638870239
85,must,0.9997521042823792
86,l,0.9997462034225464
87,shall,0.999737560749054
88,give,0.9997366666793823
89,constitution,0.9997334480285645
90,hut,0.9997265934944153
91,o,0.999725341796875
92,bo,0.9997090697288513
93,white,0.9997062683105469
94,hold,0.9997051954269409
95,hundred,0.9997031688690186
96,find,0.9996979832649231
97,place,0.9996938109397888
98,proslavery,0.999692440032959
99,institution,0.9996885657310486
100,know,0.9996877908706665
101,person,0.9996875524520874
102,carry,0.9996862411499023
103,subject,0.9996849298477173
104,good,0.9996846914291382
105,c,0.9996809959411621
106,people,0.9996799230575562
107,northern,0.9996783137321472
108,follow,0.9996747970581055
109,send,0.9996730089187622
110,thai,0.9996730089187622
111,e,0.9996713399887085
112,congress,0.9996646046638489
113,but,0.9996626973152161
114,of,0.9996612071990967
115,without,0.9996548295021057
116,thus,0.9996545314788818
117,could,0.9996541738510132
118,government,0.9996516108512878
119,slaveholde,0.9996479153633118
120,thousand,0.9996416568756104
121,become,0.999638557434082
122,il,0.9996384978294373
123,hy,0.9996380805969238
124,day,0.9996342658996582
125,interest,0.9996340870857239
126,million,0.9996311068534851
127,duty,0.9996245503425598
128,not,0.9996208548545837
129,africa,0.9996191263198853
130,even,0.9996182322502136
131,population,0.9996176958084106
132,last,0.9996113181114197
133,s,0.9996066689491272
134,exist,0.9996001124382019
135,fact,0.9995970726013184
136,bring,0.9995959401130676
137,many,0.9995949268341064
138,light,0.9995945692062378
139,so,0.9995860457420349
140,all,0.999585747718811
141,10,0.9995855689048767
142,there,0.9995817542076111
143,states,0.999578595161438
144,li,0.999578058719635
145,way,0.9995755553245544
146,admit,0.9995701909065247
147,ho,0.9995666146278381
148,never,0.9995652437210083
149,h,0.9995620250701904
150,first,0.999558687210083
151,ly,0.9995567798614502
152,much,0.9995535612106323
153,long,0.9995482563972473
154,ol,0.9995449781417847
155,yet,0.9995401501655579
156,color,0.999537467956543
157,enough,0.9995366930961609
158,war,0.9995317459106445
159,cotton,0.9995315074920654
160,old,0.9995265603065491
161,act,0.9995248317718506
162,vessel,0.9995238780975342
163,use,0.9995222091674805
164,abolish,0.9995217323303223
165,leave,0.999517023563385
166,within,0.9995014071464539
167,high,0.9995004534721375
168,relation,0.9995000958442688
169,do,0.9994980692863464
170,condition,0.9994934797286987
171,evil,0.9994913935661316
172,enslave,0.9994869232177734
173,ihe,0.9994862079620361
174,hi,0.9994819164276123
175,m,0.9994813203811646
176,protect,0.9994733929634094
177,also,0.9994718432426453
178,bad,0.9994685649871826
179,lia,0.999459981918335
180,for,0.9994508624076843
181,system,0.9994465708732605
182,virginia,0.999426007270813
183,general,0.9994240403175354
184,see,0.999419093132019
185,might,0.9994185566902161
186,prohibit,0.9994179010391235
187,far,0.9994165301322937
188,tbe,0.9994103312492371
189,united,0.9994071125984192
190,purpose,0.9994015693664551
191,end,0.999397337436676
192,ti,0.9993970394134521
193,ot,0.9993919134140015
194,re,0.9993855953216553
195,at,0.9993845224380493
196,policy,0.9993786811828613
197,slavish,0.9993740916252136
198,ever,0.9993630647659302
199,american,0.9993617534637451
200,go,0.999354898929596
201,call,0.9993489980697632
202,per,0.9993367195129395
203,whole,0.9993361830711365
