,token,cosine
0,tho,0.9998528361320496
1,the,0.9997854232788086
2,I,0.9997701048851013
3,nnd,0.999749481678009
4,tbe,0.9997486472129822
5,house,0.9997189044952393
6,a,0.9996845722198486
7,w,0.9996756315231323
8,be,0.9996600151062012
9,mr,0.999638020992279
10,say,0.9996301531791687
11,not,0.9996116161346436
12,n,0.9996010065078735
13,it,0.9995943307876587
14,j,0.9995920658111572
15,we,0.9995885491371155
16,slave,0.9995861053466797
17,and,0.9995840191841125
18,one,0.9995638728141785
19,would,0.9995591640472412
20,bis,0.9995521306991577
21,man,0.9995503425598145
22,ho,0.9995251297950745
23,1,0.9995214343070984
24,make,0.9995195865631104
25,bo,0.9994720220565796
26,master,0.9994522333145142
27,girl,0.9994486570358276
28,good,0.9994415640830994
29,well,0.999435544013977
30,he,0.9994162321090698
31,ot,0.9994155168533325
32,take,0.9993939399719238
33,old,0.9993900060653687
34,law,0.9993749856948853
35,may,0.9993715286254883
36,will,0.9993637204170227
37,lie,0.9993594288825989
38,in,0.9993540644645691
39,year,0.9993462562561035
40,ol,0.9993457794189453
41,see,0.9992910623550415
42,give,0.9992854595184326
43,day,0.9992514848709106
44,upon,0.9992491602897644
45,every,0.999228298664093
46,shall,0.9991822242736816
47,faithful,0.9991269111633301
48,they,0.9991251826286316
49,go,0.9991111755371094
50,know,0.999096691608429
51,find,0.9990361332893372
52,she,0.9990310072898865
53,family,0.9990280270576477
54,ing,0.9990243911743164
55,mid,0.9990240931510925
56,two,0.9990226626396179
57,ono,0.9990147948265076
58,if,0.9989390969276428
59,bring,0.9989371299743652
60,free,0.998935341835022
61,lo,0.9989348649978638
62,do,0.9989125728607178
63,place,0.9988999962806702
64,gentleman,0.9988773465156555
65,hi,0.99878990650177
66,people,0.9987714290618896
67,time,0.9987706542015076
68,young,0.9987493753433228
69,obedient,0.9987436532974243
70,iu,0.9987302422523499
71,party,0.9987168908119202
72,that,0.9986814856529236
73,lord,0.9986488819122314
74,god,0.9986438155174255
75,this,0.9986433386802673
76,bad,0.9986218214035034
77,word,0.9986199140548706
78,u,0.9986190795898438
79,und,0.9986047744750977
80,state,0.998593807220459
81,negro,0.9985859990119934
82,mo,0.9985328912734985
83,woman,0.9985246658325195
84,ii,0.9984663724899292
85,hold,0.9984626173973083
86,relation,0.9984256029129028
87,your,0.9984225630760193
88,tlio,0.9983996748924255
89,come,0.9983987808227539
90,thou,0.9983565807342529
91,aro,0.9983281493186951
92,ber,0.9983189702033997
93,child,0.9983034133911133
94,person,0.9982661008834839
95,to,0.9982637763023376
96,south,0.9982414841651917
97,way,0.99821937084198
98,leave,0.9982101917266846
99,thing,0.9982035756111145
100,high,0.998185932636261
101,call,0.9981517195701599
102,fur,0.9981464743614197
103,tell,0.998119056224823
104,humble,0.9981176853179932
105,name,0.9980753660202026
106,also,0.9980677962303162
107,sir,0.9980390071868896
108,like,0.9980071187019348
109,body,0.997974157333374
110,thy,0.9979259967803955
111,hand,0.9978667497634888
112,poor,0.9978053569793701
113,on,0.997800350189209
114,last,0.997794508934021
115,r,0.997788667678833
116,thnt,0.9977651834487915
117,could,0.9977595806121826
118,truly,0.997748851776123
119,live,0.997718334197998
120,must,0.9976859092712402
121,right,0.997653603553772
122,three,0.9976530075073242
123,f,0.9976209402084351
124,hire,0.9976056218147278
125,public,0.9975494146347046
126,paper,0.9974909424781799
127,pass,0.9974757432937622
128,but,0.9974216222763062
129,little,0.9974152445793152
130,fact,0.9974130988121033
131,of,0.997404932975769
132,ami,0.9973794221878052
133,even,0.9973517060279846
134,8,0.9972879886627197
135,eye,0.9972301721572876
136,v,0.9972093105316162
137,except,0.997194766998291
138,wife,0.9971901178359985
139,honor,0.9971811771392822
140,you,0.9971322417259216
141,aud,0.9971022009849548
142,light,0.9970448017120361
143,all,0.9970440864562988
144,unto,0.9969808459281921
145,father,0.9969683289527893
146,speak,0.9969581961631775
147,slavery,0.996947169303894
148,follow,0.996932864189148
149,friend,0.9969066381454468
150,de,0.9968352317810059
151,first,0.9968236088752747
152,brother,0.9968215823173523
153,character,0.9967990517616272
154,travel,0.996776282787323
155,who,0.9967243075370789
156,work,0.9967105984687805
157,nf,0.9966930747032166
158,let,0.9966844320297241
159,become,0.9966790080070496
160,whose,0.9966740012168884
161,run,0.9966235756874084
162,fugitive,0.9966148734092712
163,m,0.9966045022010803
164,truth,0.9965885281562805
165,life,0.996549665927887
166,since,0.9965488314628601
167,age,0.99654620885849
168,muster,0.9965453147888184
169,question,0.9965320825576782
170,thut,0.9964770078659058
171,ed,0.9964128732681274
172,washington,0.9964102506637573
173,never,0.9963757395744324
174,ly,0.9963643550872803
175,l,0.9963526725769043
176,boy,0.9963214993476868
177,bondservant,0.9962983131408691
178,sell,0.9962852001190186
179,king,0.9962743520736694
180,might,0.9962719678878784
181,wero,0.9962637424468994
182,obey,0.9962582588195801
183,black,0.9962233304977417
184,home,0.9961203336715698
185,freedom,0.9960954189300537
186,look,0.996065616607666
187,nn,0.9960225224494934
188,without,0.996017575263977
189,great,0.9959397315979004
190,oi,0.9959338307380676
191,lor,0.9959149956703186
192,thus,0.9959061741828918
193,southern,0.995894730091095
194,county,0.9958785176277161
195,among,0.9958467483520508
196,t,0.9957966804504395
197,labor,0.9957796931266785
198,maid,0.9957742691040039
199,c,0.9957365393638611
200,d,0.9957287907600403
201,no,0.9957245588302612
202,death,0.9957160353660583
203,long,0.9956780672073364
204,keep,0.9956321120262146
205,much,0.995631992816925
206,many,0.9956101179122925
207,get,0.9955878257751465
208,ihe,0.9955703616142273
209,perhaps,0.9955065846443176
210,receive,0.995492160320282
211,meet,0.995471715927124
212,white,0.9954692721366882
213,tion,0.9954501390457153
214,away,0.9954342246055603
215,reply,0.9953979253768921
216,claim,0.9953475594520569
217,regard,0.9953225255012512
218,christ,0.995319664478302
219,bear,0.9953066110610962
220,service,0.9953011274337769
221,part,0.9952841997146606
222,die,0.995252251625061
223,son,0.9951667785644531
224,yet,0.9951596260070801
225,h,0.9951268434524536
226,so,0.9951146245002747
227,my,0.9950740933418274
228,thee,0.9946735501289368
229,gen,0.9946658611297607
230,nre,0.9946589469909668
231,stand,0.9946469068527222
232,think,0.9946348071098328
233,another,0.994612991809845
234,nil,0.9946088194847107
235,per,0.9945860505104065
236,our,0.9945476055145264
237,agent,0.9945278167724609
238,john,0.9945123195648193
239,seventh,0.9944971203804016
240,ever,0.9944369792938232
241,till,0.9944297671318054
242,io,0.9944296479225159
243,matter,0.9944165945053101
244,back,0.9943665266036987
245,power,0.9943417310714722
246,return,0.9942838549613953
247,b,0.9942775368690491
248,church,0.9942746758460999
249,want,0.9942685961723328
250,carriage,0.9942215085029602
251,mean,0.9942070245742798
252,wait,0.994204044342041
253,color,0.9941732287406921
254,escape,0.99415522813797
255,uf,0.9941274523735046
256,week,0.994121253490448
257,ten,0.9940668344497681
258,hear,0.9940605163574219
259,there,0.994050920009613
260,cause,0.994029700756073
261,room,0.9940208196640015
262,command,0.9940129518508911
263,when,0.9939613938331604
264,tin,0.9938817024230957
265,land,0.9938627481460571
266,quite,0.9938404560089111
267,observant,0.9938298463821411
268,fall,0.9938098788261414
269,deliver,0.9938039779663086
270,th,0.993757426738739
271,north,0.993727445602417
272,then,0.9937214255332947
273,field,0.9937201738357544
274,true,0.9935781955718994
275,union,0.9934931993484497
276,always,0.9934900403022766
277,cook,0.9934802651405334
278,end,0.9934597015380859
279,s,0.9934296607971191
280,tie,0.9934247732162476
281,steal,0.9933863878250122
282,respect,0.9932698607444763
283,bind,0.9932352900505066
284,wish,0.9932218790054321
285,indeed,0.9931442737579346
286,government,0.993039071559906
287,order,0.9930062294006348
288,book,0.9929938912391663
289,holt,0.9929816722869873
290,nml,0.9929711222648621
291,ac,0.9929686784744263
292,buy,0.9929674863815308
293,act,0.9929095506668091
294,treat,0.9928606152534485
295,render,0.9928242564201355
296,case,0.9927977323532104
297,how,0.9927889108657837
298,his,0.9927861094474792
299,tu,0.9927356839179993
300,send,0.992618978023529
301,e,0.9926117658615112
302,put,0.9925662875175476
303,soon,0.9925031065940857
304,show,0.9924876689910889
305,ns,0.9924654960632324
306,month,0.9923799633979797
307,whether,0.9923456311225891
308,er,0.9922793507575989
309,wns,0.9921689033508301
310,with,0.9921468496322632
311,ter,0.9921175837516785
312,her,0.9920836091041565
313,choose,0.9920827150344849
314,somo,0.9920806884765625
315,door,0.9920797348022461
316,though,0.9920563697814941
317,appear,0.9920215010643005
318,money,0.9919986128807068
319,at,0.991995096206665
320,nud,0.9919533729553223
321,other,0.9919357299804688
322,side,0.991886556148529
323,desire,0.9915963411331177
324,night,0.9914816617965698
325,mistress,0.9914779663085938
326,country,0.9914588928222656
327,morning,0.9914587736129761
328,hud,0.9914249777793884
329,allow,0.9912474155426025
330,whole,0.9912340044975281
331,wa,0.9912254810333252
332,con,0.9912076592445374
333,paul,0.9911950826644897
334,therefore,0.9911290407180786
335,mrs,0.991114616394043
336,faith,0.9910580515861511
337,nro,0.9910528659820557
338,host,0.9910353422164917
339,dwell,0.9909706711769104
340,liberty,0.9909420013427734
341,attempt,0.9908738136291504
342,tn,0.9907399415969849
343,care,0.9907110333442688
344,hundred,0.9907006025314331
345,value,0.9906756281852722
346,25,0.990671694278717
347,respectfully,0.9906229376792908
348,world,0.9905986785888672
349,pay,0.9905630946159363
350,soil,0.9905489683151245
351,aged,0.9905346632003784
352,o,0.9905087947845459
353,du,0.9904387593269348
354,what,0.9904294610023499
355,duty,0.9904201030731201
356,mother,0.9903245568275452
357,attend,0.9903100728988647
358,havo,0.9901992678642273
359,publio,0.9901652932167053
360,employ,0.9901618361473083
361,arc,0.9900883436203003
362,bell,0.9900815486907959
363,tor,0.9900516271591187
364,ill,0.9900206327438354
365,authority,0.9900122880935669
366,ut,0.9899460673332214
367,i,0.9899396300315857
368,hard,0.9899166226387024
369,carry,0.9899019598960876
370,read,0.9898667335510254
371,here,0.9898446202278137
372,form,0.9897946119308472
373,bond,0.9896835088729858
374,turn,0.989639401435852
375,raise,0.9896156191825867
376,fine,0.9896003007888794
377,member,0.9895909428596497
378,remain,0.9895663261413574
379,general,0.9895575642585754
380,new,0.9895337820053101
381,tbo,0.9894697070121765
382,enter,0.9894281625747681
383,pro,0.9893928170204163
384,un,0.9893693923950195
385,co,0.9893087148666382
386,owner,0.9893059730529785
387,ith,0.9893028736114502
388,price,0.9892376661300659
389,subject,0.9891396760940552
390,yes,0.9890859127044678
391,rule,0.9889500141143799
392,believe,0.9888636469841003
393,thousand,0.9888415932655334
394,tha,0.9887087345123291
395,secure,0.9886839389801025
396,former,0.9885994791984558
397,states,0.988460898399353
398,judge,0.9884580373764038
399,city,0.988449215888977
400,sho,0.9884373545646667
401,ti,0.9884273409843445
402,sale,0.9884116053581238
403,excellent,0.9883684515953064
404,hor,0.9883679747581482
405,col,0.9883309006690979
406,can,0.9881129264831543
407,thu,0.9880731701850891
408,100,0.9880332946777344
409,or,0.9879307150840759
410,valuable,0.9878979325294495
411,love,0.9878387451171875
412,st,0.9877955317497253
413,mind,0.9877423048019409
414,as,0.9876385927200317
415,wage,0.9875818490982056
416,scripture,0.9874607920646667
417,household,0.9873450994491577
418,peace,0.9872804880142212
419,visit,0.98726487159729
420,human,0.9872456192970276
421,te,0.9871651530265808
422,capacity,0.9870504140853882
423,american,0.9870271682739258
424,now,0.9869990348815918
425,ye,0.9869706630706787
426,set,0.9866827726364136
427,request,0.9866496324539185
428,bid,0.9866488575935364
429,statute,0.9866201877593994
430,northern,0.9865580201148987
431,epistle,0.9865197539329529
432,again,0.9864909052848816
433,slaveholder,0.9864623546600342
434,these,0.9864614605903625
435,publish,0.9864425659179688
436,hit,0.9864096641540527
437,thoy,0.9863985776901245
438,tbat,0.9862920641899109
439,moro,0.9862700700759888
440,wear,0.9861534237861633
441,hut,0.9860942363739014
442,rest,0.9860647320747375
443,need,0.9859888553619385
444,en,0.9859669804573059
445,hero,0.9859069585800171
446,tne,0.9859026670455933
447,favor,0.9858887791633606
448,tear,0.9858402609825134
449,phrase,0.9858387112617493
450,daughter,0.9857997298240662
451,teach,0.985713005065918
452,10,0.9856570959091187
453,self,0.9855766892433167
454,hebrew,0.9855523109436035
455,for,0.9855252504348755
456,fully,0.9854645133018494
457,january,0.985446572303772
458,ton,0.9853950142860413
459,heaven,0.9853855967521667
460,virtue,0.9853736758232117
461,save,0.9853201508522034
462,ond,0.9853097200393677
463,honest,0.9852973222732544
464,term,0.9852813482284546
465,bouse,0.985149085521698
466,dog,0.9851206541061401
467,ty,0.9851173162460327
468,shalt,0.9850151538848877
469,any,0.9849639534950256
470,property,0.9848641157150269
471,choice,0.9848463535308838
472,mas,0.9848334789276123
473,disguise,0.984798789024353
474,political,0.9847975969314575
475,sum,0.9847607016563416
476,bat,0.9847576022148132
477,offer,0.9847553968429565
478,bus,0.9846513271331787
479,oblige,0.9846298098564148
480,holy,0.9843343496322632
481,by,0.98419189453125
482,spirit,0.9841523766517639
483,number,0.9840899705886841
484,least,0.9840616583824158
485,ha,0.9840227961540222
486,occur,0.9839559197425842
487,result,0.9838442802429199
488,bow,0.9837537407875061
489,kind,0.9836263656616211
490,use,0.9836241006851196
491,their,0.9836096167564392
492,accord,0.9835484027862549
493,favorite,0.9834814071655273
494,trunk,0.9834524393081665
495,account,0.9834505319595337
496,mil,0.9832826256752014
497,obtain,0.9832331538200378
498,sit,0.9831199645996094
499,grow,0.9830488562583923
500,ask,0.9830242991447449
501,neither,0.982951283454895
502,often,0.9829346537590027
503,wn,0.9829282164573669
504,full,0.9828534722328186
505,ball,0.9828446507453918
506,ble,0.9827758073806763
507,fear,0.9827288389205933
508,irish,0.9827226400375366
509,united,0.9826676845550537
510,have,0.982656717300415
511,william,0.9826350808143616
512,wit,0.9825447201728821
