,token,cosine
0,servaut,0.7771850228309631
1,aervant,0.7719368934631348
2,mailboro,0.7570550441741943
3,yoaaglikely,0.7541987895965576
4,clifton,0.7537972927093506
5,servantall,0.750601053237915
6,uiubla,0.7503936886787415
7,nervant,0.7486423850059509
8,leiir,0.7476701140403748
9,whocau,0.7461259961128235
10,isrvant,0.7458047270774841
11,seamtrea,0.7413461208343506
12,ifo,0.7387195229530334
13,tooutatn,0.738243043422699
14,bane,0.7380674481391907
15,carisg,0.7372612953186035
16,aoath,0.7363438606262207
17,ingro,0.7333756685256958
18,loweothal,0.7328801155090332
19,purcnasia,0.7305759787559509
20,regirl,0.7261737585067749
21,tonr,0.7255383729934692
22,ervant,0.7239629030227661
23,cabbage,0.7238103151321411
24,liawr,0.7230257391929626
25,inadequate,0.7228477597236633
26,oruta,0.7227372527122498
27,ruitable,0.7219345569610596
28,aver,0.7218654155731201
29,piain,0.7217518091201782
30,atso,0.7216343879699707
31,lervant,0.7211453914642334
32,adis,0.7207612991333008
33,garment,0.7186581492424011
34,giris,0.7176285982131958
35,ash,0.7154152989387512
36,servanta,0.7150819897651672
37,keeping,0.7142288684844971
38,ok,0.714076817035675
39,ckrk,0.713644802570343
40,plenty,0.712887167930603
41,aua,0.71197509765625
42,hoy,0.7116454839706421
43,I,0.7113505601882935
44,uith,0.7111916542053223
45,oneasdning,0.7106247544288635
46,irt,0.7101830244064331
47,sot,0.7094296216964722
48,wuslcrwoman,0.7087542414665222
49,aopronhe,0.7083366513252258
50,wbh,0.70820552110672
51,preseat,0.7079725861549377
52,mbte,0.7076409459114075
53,eervant,0.7072463631629944
54,ienie,0.7072160243988037
55,gineham,0.707131028175354
56,servantone,0.706831693649292
57,wonen,0.7063177824020386
58,petera,0.7060756087303162
59,rtalika,0.7060061097145081
60,nun,0.7059219479560852
61,mirictbree,0.7057861089706421
62,yciri,0.7055267095565796
63,cwriter,0.7055070996284485
64,aed,0.7053805589675903
65,disi,0.7052541375160217
66,wltbt,0.705024242401123
67,siity,0.7047865986824036
68,mostly,0.704535186290741
69,uaaer,0.704460620880127
70,smokebjbv,0.7044537663459778
71,woik,0.7043007016181946
72,tervant,0.7038941383361816
73,2867,0.7037639617919922
74,pervant,0.7036477327346802
75,waahwoman,0.7034370303153992
76,mintillas,0.7032005190849304
77,unhappy,0.7030722498893738
78,kld,0.7030271887779236
79,ttaaa,0.7027915716171265
80,rervant,0.7023955583572388
81,wans,0.7022404670715332
82,rood,0.7019850015640259
83,bo,0.701970100402832
84,jiily,0.7018916606903076
85,axeileal,0.7018764019012451
86,01,0.701760470867157
87,cooka,0.7016199231147766
88,servants,0.7015935778617859
89,whieh,0.7011030912399292
90,arront,0.70064777135849
91,jhhi,0.7006425857543945
92,ision,0.7005020976066589
93,parmera,0.7004265785217285
94,seventyfive,0.6998370885848999
95,stsil,0.6994361877441406
96,jirl,0.6993728280067444
97,waiting,0.6992204785346985
98,ilone,0.6990422606468201
99,dinir,0.6988517642021179
100,fond,0.6988219022750854
101,tnald4,0.6987823843955994
102,aiaid,0.6987556219100952
103,wblte,0.6987547874450684
104,uainev,0.6987149715423584
105,nldaccus,0.6985307931900024
106,accommnttalioiip,0.6982426047325134
107,foar,0.6981810331344604
108,arply,0.6981428265571594
109,jaokets,0.6977657079696655
110,irunr,0.6976733803749084
111,mem,0.6968801617622375
112,alio,0.696631669998169
113,iysand,0.6966103315353394
114,perior,0.6961299180984497
115,ook,0.6959517002105713
116,i7u_salb,0.6958842277526855
117,tobaccootat,0.6956744194030762
118,aud,0.6956480145454407
119,roici,0.6954339146614075
120,rimita,0.6952902674674988
121,tegelar,0.6952582001686096
122,ysi,0.6951485276222229
123,anlj,0.6947162747383118
124,jca,0.6945499777793884
125,bur,0.6945488452911377
126,njeitv,0.6943891048431396
127,hantis,0.6943312883377075
128,ilmot,0.6940813064575195
129,outhocsea,0.693843424320221
130,atronsr,0.6936021447181702
131,aaethar,0.6935550570487976
132,ooe,0.6934991478919983
133,bervant,0.6934688687324524
134,vtfk,0.6931467652320862
135,diainat,0.6928930282592773
136,hikeone,0.6927711367607117
137,haraoter,0.6925584673881531
138,paiti,0.6924530863761902
139,pino,0.6924524307250977
140,gn,0.6924335360527039
141,eg,0.6923275589942932
142,youii,0.6922340989112854
143,vulgar,0.6918872594833374
144,ren,0.6918063163757324
145,souud,0.6917747855186462
146,carpeuter,0.6914323568344116
147,ara,0.6914070248603821
