,token,cosine
0,fontoin,0.840750515460968
1,alave,0.8116872310638428
2,brad,0.8061124682426453
3,stowe,0.7899560332298279
4,hetb,0.7850333452224731
5,ferro,0.7817714214324951
6,tustice,0.7762042880058289
7,bankea,0.7740604877471924
8,luu,0.7740562558174133
9,guide,0.7715057730674744
10,whg,0.7707250118255615
11,adelphia,0.7686272859573364
12,emerson,0.767194390296936
13,talia,0.7661256790161133
14,odonohue,0.7631871104240417
15,vuna,0.7614573240280151
16,tko,0.7612072229385376
17,hurley,0.7599817514419556
18,capturedhenry,0.7583867311477661
19,stealingedward,0.757792055606842
20,mev,0.7574201226234436
21,valu,0.756602942943573
22,kubsti,0.7563846707344055
23,taid,0.7540561556816101
24,101863,0.7536980509757996
25,slaves,0.7530032396316528
26,tried,0.7511147260665894
27,ecae,0.7509650588035583
28,saye,0.7469823956489563
29,weber,0.7459067106246948
30,fiiruiih,0.7458983063697815
31,grav,0.7448137998580933
32,corvette,0.7447826862335205
33,lre,0.741765558719635
34,homer,0.7417606115341187
35,lent,0.7416069507598877
36,tlay,0.7414721250534058
37,joms,0.7411023378372192
38,merriam,0.7399390339851379
39,tvay,0.7398362755775452
40,moneya,0.7391424775123596
41,nkoeoa,0.739130973815918
42,butier,0.7388354539871216
43,sandusky,0.7377135157585144
44,nephew,0.7376277446746826
45,lingness,0.736173689365387
46,hannah,0.7360685467720032
47,apprise,0.7358834743499756
48,burrande,0.7351173162460327
49,rurdell,0.7345443367958069
50,alaves,0.734186589717865
51,jeffers,0.7337915301322937
52,jot,0.733668327331543
53,ridin,0.7334506511688232
54,dornan,0.732504665851593
55,boen,0.7318735718727112
56,ihor,0.731805145740509
57,alexandria,0.730666995048523
58,beale,0.730339765548706
59,sbobarn,0.7299991846084595
60,kafcins,0.7298169732093811
61,ulavo,0.728832483291626
62,pid,0.7283868789672852
63,rircu,0.7283459901809692
64,ceine,0.7282673120498657
65,notwith,0.7278871536254883
66,dougherty,0.7277619242668152
67,dtntlc,0.7276750802993774
68,seville,0.7275599837303162
69,6lave,0.7269810438156128
70,beethoven,0.7267809510231018
71,ronawav,0.7262427806854248
72,respectively,0.726061999797821
73,instie,0.7259398698806763
74,ena,0.7255619764328003
75,ona,0.7254834175109863
76,juina,0.724545419216156
77,raine,0.7237739562988281
78,botetourt,0.7237626910209656
79,meldensohn,0.723035991191864
80,oplaion,0.7225194573402405
81,gunpowder,0.7225005030632019
82,otock,0.7224815487861633
83,logan,0.7224053144454956
84,mcdonough,0.7223410606384277
85,gxasdmothrasamo,0.7221460938453674
86,williamson,0.7220168709754944
87,memoirs,0.7219067215919495
88,rzl,0.7215957045555115
89,wwv,0.7213038802146912
90,wilitms,0.7212777733802795
91,remainwilliam,0.7206631302833557
92,bbbie,0.7199811339378357
93,haaover,0.719866931438446
94,beloning,0.7193741202354431
95,reilutton,0.7193248271942139
96,tiiii,0.718866229057312
97,retake,0.7186691164970398
98,a_t_uft,0.7186193466186523
99,wlthmjig,0.7185596823692322
100,ipiiil,0.7180348038673401
101,whie,0.7180181741714478
102,egyptians,0.7176023125648499
103,oonsti,0.7173324227333069
104,pennsylva,0.7170467972755432
105,standing,0.7165374755859375
106,fugitivkthe,0.7164831757545471
107,mtote,0.7160311937332153
108,ejpoßßc,0.7159984111785889
109,sav,0.7159711718559265
110,clave,0.7158560752868652
111,kindred,0.715194582939148
112,wue,0.7150306105613708
113,ored,0.7147248983383179
114,bibl,0.7145843505859375
115,inited,0.7145744562149048
116,evangelical,0.7144628763198853
117,jfallsam,0.7143186926841736
118,writs,0.7141937613487244
119,kidd,0.7140632271766663
120,ksse,0.7140172123908997
121,bell,0.7139288783073425
122,merly,0.7136444449424744
123,mariner,0.7127847075462341
124,holstead,0.7125536203384399
125,uns,0.7123321294784546
126,beaten,0.7122504711151123
127,admire,0.7122268676757812
128,shoro,0.7121905088424683
129,obtaining,0.7119526863098145
130,glavona,0.7114924192428589
131,steward,0.7109736204147339
132,pruhib,0.71089768409729
133,tuscan,0.7102228999137878
134,ckartos,0.7097517848014832
135,anthony,0.7096560597419739
136,wltbontasblng,0.7096077799797058
137,slavo,0.7093687653541565
138,og,0.7090759873390198
139,ghamelesslj,0.7089622020721436
140,tlnafey,0.7089171409606934
141,lmdnda,0.7088603973388672
142,slavea,0.7087978720664978
143,tjcerj,0.7087361216545105
144,tition,0.7084957361221313
145,ais,0.7082255482673645
146,lossse,0.7080944180488586
147,auburna,0.7080152630805969
148,odor,0.7079864144325256
149,sjtijjle,0.7079195976257324
150,whale,0.7077449560165405
151,bein,0.7074804902076721
152,showed,0.7073134183883667
153,wingfield,0.7069567441940308
154,dtr,0.7067435383796692
155,melton,0.7066366076469421
156,enslav,0.7066330313682556
157,triad,0.7065961360931396
158,ander,0.7064046263694763
159,rememberett,0.7059768438339233
160,theirslave,0.7058613896369934
161,hoursdanrittt,0.7053242325782776
162,prehension,0.7049941420555115
163,uicluirdatil,0.7045009136199951
164,tevereign,0.7044346928596497
165,silkcash,0.7042118906974792
166,frotn,0.7041254639625549
167,wilhume,0.7040744423866272
168,wi11i,0.7039826512336731
169,citiseus,0.7039620876312256
170,oilecte,0.7036992311477661
171,briety,0.7036157250404358
172,boaid,0.7031769156455994
173,slavoa,0.7031621336936951
174,eitate,0.7029004096984863
175,fraxer,0.7027353644371033
176,roeenkeim,0.7026811838150024
177,accidentthe,0.7026265263557434
178,tucumbia,0.7025496959686279
179,decis,0.7025455832481384
180,wssisft,0.7025274038314819
181,lockett,0.7024727463722229
182,aid,0.7023974657058716
183,capturednine,0.7022980451583862
184,livesand,0.7021833658218384
185,alnria,0.7021554112434387
186,shadd,0.7019292116165161
187,75,0.7019056081771851
188,biil,0.701799213886261
189,martlet,0.7015049457550049
190,returatng,0.7012775540351868
191,niedt,0.7012757658958435
192,dodson,0.7011346817016602
193,apprenticeship,0.7010651230812073
194,sball,0.701056718826294
195,hooper,0.7010425329208374
196,counsels,0.7009925842285156
197,disappearance,0.700934886932373
198,lindsay,0.7008892297744751
199,shelton,0.7007002234458923
200,4vai,0.7006791234016418
201,livingston,0.7006334066390991
202,lavid,0.7005936503410339
203,allison,0.7005221247673035
204,suawlll,0.7004841566085815
205,embolden,0.7004691362380981
206,frmtrreiohaneero,0.7003048062324524
207,eldrige,0.6997738480567932
208,kentin,0.6996355056762695
209,blackwell,0.6994532942771912
210,craddock,0.69940584897995
211,orslave,0.6993929743766785
212,columbus,0.699337899684906
213,accoea,0.6993257403373718
214,maty,0.6992810964584351
215,vival,0.6992414593696594
216,cubaae,0.6990712881088257
217,inttury,0.6990115642547607
218,borders,0.6989169120788574
219,oobb,0.6988010406494141
220,circassian,0.6986801028251648
221,upand,0.6985158920288086
222,caee,0.6985071897506714
223,stkalisgjame,0.6982341408729553
224,cdliei,0.6980477571487427
225,tlieni,0.6979357600212097
226,llieir,0.6978648900985718
227,negroe3,0.697817325592041
228,theowuerof,0.6977328658103943
229,georgeslave,0.6975467205047607
230,vverth,0.6975271701812744
231,pretntoea,0.6974551677703857
232,geor,0.6972967982292175
233,vonresa,0.697248101234436
234,harborerof,0.6972055435180664
235,ptontevs,0.6969948410987854
236,cunlitfe,0.6969857215881348
237,beaul,0.6968289017677307
238,duggan,0.6965489387512207
239,chaege,0.6965433955192566
240,burns,0.6965113282203674
241,brrrf,0.6964765191078186
242,pursuit,0.6964316964149475
243,60,0.6961888074874878
244,woolfolk,0.696186900138855
245,disposiug,0.6959847211837769
246,bidb,0.6958640813827515
247,vanny,0.6958277225494385
248,ilickman,0.6957780122756958
249,weymouth,0.6957376003265381
250,company,0.6957218647003174
251,rhoda,0.6957186460494995
252,keesee,0.6956241726875305
253,tharn,0.6952119469642639
254,reee,0.6951719522476196
255,luavy,0.6948752403259277
256,hizabetb,0.6945345401763916
257,auctionlt,0.6944301128387451
258,dlp,0.6944255828857422
259,krayser,0.6942725777626038
260,glenmorgan,0.6940863728523254
261,ftw,0.6940373182296753
262,uailo,0.6940326690673828
263,henrv,0.6939910650253296
264,280000,0.6939441561698914
265,ftt,0.6938842535018921
266,skddon,0.6938432455062866
