,token,cosine
0,I,0.9988900423049927
1,the,0.9988386034965515
2,a,0.9985958337783813
3,house,0.9985393285751343
4,it,0.9985355734825134
5,tho,0.9983330965042114
6,girl,0.9981948733329773
7,say,0.9981858730316162
8,one,0.9980708956718445
9,good,0.9979720115661621
10,man,0.997948944568634
11,well,0.997940182685852
12,he,0.9978824853897095
13,in,0.9978384971618652
14,faithful,0.9978123903274536
15,e,0.9978116750717163
16,and,0.9976523518562317
17,master,0.9976450800895691
18,we,0.997569739818573
19,shall,0.997309684753418
20,negro,0.9972329139709473
21,old,0.997126579284668
22,public,0.9970912933349609
23,see,0.997020959854126
24,j,0.9969948530197144
25,they,0.9969442486763
26,lie,0.9969105124473572
27,take,0.9967598915100098
28,be,0.99663907289505
29,year,0.9966217875480652
30,also,0.9965553879737854
31,know,0.9964881539344788
32,make,0.9962847232818604
33,upon,0.9962738752365112
34,r,0.9962518215179443
35,mr,0.9961080551147461
36,go,0.9959366321563721
37,observant,0.9958087205886841
38,every,0.9955787062644958
39,respectfully,0.9955150485038757
40,come,0.9954854249954224
41,t,0.9953437447547913
42,s,0.9953362941741943
43,n,0.9952537417411804
44,obedient,0.9950584769248962
45,would,0.9948428273200989
46,1,0.9948172569274902
47,leave,0.9948171973228455
48,th,0.9944841861724854
49,your,0.994473934173584
50,people,0.994398295879364
51,may,0.9942861199378967
52,order,0.9941628575325012
53,call,0.9941449165344238
54,w,0.9939872026443481
55,for,0.9939128160476685
56,horse,0.9938936829566956
57,c,0.993882954120636
58,age,0.9938230514526367
59,friend,0.9937822818756104
60,child,0.9937208890914917
61,humble,0.9937036633491516
62,h,0.9936988353729248
63,of,0.9935580492019653
64,large,0.9933369159698486
65,two,0.9932687878608704
66,mrs,0.9931620359420776
67,family,0.9931148290634155
68,p,0.9928373694419861
69,wife,0.9928295016288757
70,high,0.9928228259086609
71,give,0.9928070306777954
72,hand,0.9926972985267639
73,service,0.9926934242248535
74,very,0.9924125671386719
75,do,0.9923831224441528
76,body,0.9921172857284546
77,young,0.9920586943626404
78,first,0.9920240640640259
79,f,0.99185711145401
80,want,0.9917947053909302
81,all,0.9915559887886047
82,bring,0.9915395379066467
83,door,0.9914297461509705
84,day,0.9913884997367859
85,not,0.9910687804222107
86,thme,0.9906526207923889
87,use,0.9906349182128906
88,send,0.9902260899543762
89,return,0.9899572730064392
90,d,0.9895848035812378
91,abundance,0.9894989132881165
92,contract,0.9893245697021484
93,valuable,0.9893007874488831
94,heavy,0.9891613721847534
95,b,0.9889509677886963
96,low,0.9888190627098083
97,as,0.9887903332710266
98,keep,0.988540530204773
99,work,0.988092303276062
100,new,0.9877016544342041
101,nd,0.9877009391784668
102,l,0.9876014590263367
103,respect,0.9875401258468628
104,thy,0.9873965978622437
105,gentleman,0.9871141910552979
106,place,0.9870604872703552
107,she,0.9868598580360413
108,open,0.98675137758255
109,lady,0.9863825440406799
110,cotton,0.9863033890724182
111,labor,0.9862936735153198
112,stock,0.9862591624259949
113,tax,0.9857380986213684
114,find,0.9855378866195679
115,tell,0.9853448867797852
116,room,0.9852558374404907
117,much,0.985241174697876
118,per,0.9849725961685181
119,duty,0.9849584698677063
120,with,0.9848565459251404
121,white,0.9846001863479614
122,on,0.9844279289245605
123,kind,0.9843491911888123
124,always,0.9839122295379639
125,this,0.9837890267372131
126,enter,0.9837350249290466
127,great,0.9836040735244751
128,note,0.9834521412849426
129,follow,0.9830892086029053
130,speak,0.9830729365348816
131,farm,0.9829071760177612
132,little,0.9829047322273254
133,thing,0.9824889302253723
134,last,0.9824745059013367
135,several,0.9824567437171936
136,supply,0.9821497201919556
137,polite,0.9819492101669312
138,run,0.9818238019943237
139,taste,0.9817155599594116
140,three,0.9815582036972046
141,soon,0.9809309840202332
142,blue,0.9808899164199829
143,raise,0.9805396199226379
144,boy,0.9803161025047302
145,if,0.9801579713821411
146,en,0.9801154732704163
147,m,0.9800792336463928
148,price,0.9796496629714966
149,there,0.9791956543922424
150,honor,0.9791520237922668
151,time,0.9789607524871826
152,epicurean,0.9782578349113464
153,servants,0.9782131910324097
154,month,0.9781426787376404
155,cook,0.9781426191329956
156,con,0.9779966473579407
157,ask,0.9778735637664795
158,bad,0.9778128266334534
159,long,0.9778013825416565
160,desire,0.977702796459198
161,12,0.9776700139045715
162,when,0.9775570631027222
163,must,0.9775460958480835
164,you,0.9774653911590576
165,my,0.9767541885375977
166,home,0.9766162037849426
167,g,0.9764847755432129
168,likely,0.9763333201408386
169,flannel,0.9763327240943909
170,will,0.9763084650039673
171,yet,0.9762271642684937
172,female,0.9761279821395874
173,many,0.9757828116416931
174,ad,0.9752368927001953
175,to,0.9750995635986328
176,without,0.9748713970184326
177,le,0.9746605753898621
178,sir,0.9744144082069397
179,ho,0.9742951393127441
180,less,0.9741377830505371
181,bed,0.9741372466087341
182,hear,0.9739980697631836
183,hour,0.9736096262931824
184,week,0.9735713601112366
185,half,0.9730209708213806
186,could,0.9728394150733948
187,plaid,0.9727129340171814
188,right,0.9724020957946777
189,death,0.9723406434059143
190,attendance,0.9723368883132935
191,thc,0.9719951152801514
192,state,0.9719406366348267
193,morning,0.9718601703643799
194,head,0.9716095328330994
195,life,0.9713983535766602
196,field,0.9709429740905762
197,fine,0.9708407521247864
198,quick,0.9704679250717163
199,gratify,0.9700515866279602
200,whole,0.9699572324752808
201,wool,0.9699350595474243
202,moment,0.9698693752288818
203,wait,0.9697465896606445
204,bo,0.9695286750793457
205,remain,0.9694803357124329
206,bis,0.969398558139801
207,engage,0.9693811535835266
208,hat,0.9692715406417847
209,ter,0.9691581726074219
210,oblige,0.9686450362205505
211,at,0.9683501124382019
212,free,0.9681345224380493
213,another,0.9681271910667419
214,slave,0.9681081771850586
215,let,0.9679169654846191
216,employ,0.9676640629768372
217,word,0.9675697088241577
218,col,0.9675366878509521
219,0,0.967290461063385
220,guest,0.9671372771263123
221,ot,0.9670872092247009
222,table,0.9670193195343018
223,god,0.9670108556747437
224,now,0.9667260646820068
225,son,0.9665506482124329
226,ti,0.966481626033783
227,obey,0.9663592576980591
228,u,0.9662050008773804
229,way,0.9655827283859253
230,face,0.9655790328979492
231,his,0.9655150175094604
232,attend,0.9647465348243713
233,john,0.9646431803703308
234,person,0.9646162390708923
235,side,0.9644588828086853
236,like,0.9644388556480408
237,an,0.9643479585647583
238,fair,0.964257001876831
239,hold,0.9641848802566528
240,oh,0.964082658290863
241,assortment,0.963971734046936
242,ed,0.9638539552688599
243,superior,0.9637093544006348
244,household,0.9634686708450317
245,carpenter,0.9633899927139282
246,male,0.9633417129516602
247,ing,0.9629268050193787
248,attention,0.962394654750824
249,by,0.9618539810180664
250,our,0.961245596408844
251,i,0.9610500335693359
252,read,0.9606709480285645
253,cry,0.9603071808815002
254,ever,0.9597910642623901
255,city,0.9596123099327087
256,but,0.9595855474472046
257,here,0.9595167636871338
258,back,0.9594200849533081
259,father,0.9593199491500854
260,night,0.9585501551628113
261,whose,0.9585309624671936
262,never,0.9584943056106567
263,set,0.9580767154693604
264,dr,0.957899272441864
265,11,0.9576491713523865
266,meet,0.9575269222259521
267,country,0.9573535919189453
268,husband,0.9572149515151978
269,er,0.9571799635887146
270,watch,0.9568473100662231
271,present,0.9565688967704773
272,no,0.9559247493743896
273,carolina,0.9557781219482422
274,teach,0.9553958773612976
275,dress,0.9553948640823364
276,maid,0.9553217887878418
277,allow,0.9549202919006348
278,poor,0.9548308849334717
279,die,0.954651951789856
280,can,0.9546167850494385
281,oclock,0.9545772671699524
282,instruct,0.9544416069984436
283,miss,0.9543840885162354
284,ful,0.9536972641944885
285,live,0.9536586999893188
286,red,0.9535351991653442
287,hotel,0.9533954858779907
288,get,0.9533562064170837
289,small,0.9533546566963196
290,bc,0.9533538818359375
291,aged,0.9532797336578369
292,strange,0.9532201290130615
293,al,0.9518721103668213
294,think,0.951846718788147
295,woman,0.9510765075683594
296,fully,0.9505282044410706
297,express,0.9503453969955444
298,what,0.9496047496795654
299,124,0.9495466947555542
300,even,0.949465811252594
301,mark,0.9490894675254822
302,answer,0.9489504098892212
303,bell,0.9489076733589172
304,up,0.948837399482727
305,fail,0.9486225843429565
306,charge,0.9486039280891418
307,christ,0.948497474193573
308,fur,0.948459804058075
309,ill,0.9481837153434753
310,estimate,0.9481468796730042
311,ob,0.9475674629211426
312,mother,0.9473116993904114
313,waiter,0.9473093748092651
314,part,0.9472979307174683
315,eye,0.9472079873085022
316,full,0.9469245672225952
317,style,0.9467374086380005
318,learn,0.9465823173522949
319,ago,0.9461484551429749
320,who,0.9459268450737
321,ii,0.9457620978355408
322,plain,0.9456400871276855
323,liable,0.9455296397209167
324,dear,0.9451330304145813
325,dient,0.9441037178039551
326,reply,0.9440622329711914
327,seem,0.9439053535461426
328,matter,0.9433165788650513
329,other,0.9432843923568726
330,cure,0.9432041049003601
331,de,0.942608118057251
332,walk,0.941916823387146
333,together,0.9417060017585754
334,summer,0.9416112303733826
335,still,0.9415286779403687
336,wil,0.94126957654953
337,force,0.9410504698753357
338,fl,0.9405949115753174
339,observe,0.9402100443840027
340,tern,0.9401645064353943
341,lord,0.9399881362915039
342,invention,0.9396059513092041
343,relation,0.9393340945243835
344,domestic,0.9393046498298645
345,buy,0.9391573667526245
346,dinner,0.9389162659645081
347,though,0.938866138458252
348,quality,0.938610851764679
349,rolina,0.9368444681167603
350,woolen,0.9367775917053223
351,fo,0.9366657137870789
352,sign,0.935944139957428
353,instead,0.9350976347923279
354,carriage,0.9347626566886902
355,pat,0.9342471957206726
356,br,0.9340381026268005
357,arid,0.9332615733146667
358,cent,0.9331908822059631
359,consideration,0.9331626296043396
360,diningroom,0.9330831170082092
361,among,0.9327107667922974
362,floor,0.9322940111160278
363,housewife,0.9316686987876892
364,wound,0.9316682815551758
365,agriculture,0.931145966053009
366,ly,0.9310550689697266
367,account,0.9308367371559143
368,four,0.9307411313056946
369,sell,0.9305670857429504
370,rest,0.9302576184272766
371,pay,0.9298482537269592
372,discharge,0.9295436143875122
373,aid,0.9290828108787537
374,la,0.9290252327919006
375,ent,0.9284572601318359
376,sound,0.9283377528190613
377,inl,0.9283206462860107
378,cheap,0.927606463432312
379,comfortable,0.9273372888565063
380,south,0.9271565675735474
381,might,0.9264876246452332
382,thle,0.9262018799781799
383,or,0.926200807094574
384,ali,0.9261508584022522
385,aud,0.9258384704589844
386,especially,0.9257417321205139
387,how,0.9255456924438477
388,receive,0.9252159595489502
389,subject,0.9251405596733093
390,requisite,0.9245050549507141
391,stand,0.9244731068611145
392,devoted,0.9242992997169495
393,world,0.9233477711677551
394,too,0.9232737421989441
395,within,0.9231778383255005
396,nnd,0.9228766560554504
397,tb,0.9225848317146301
398,fellow,0.9218254685401917
399,kill,0.9216004610061646
400,advocate,0.9215096831321716
401,class,0.9205001592636108
402,eat,0.9204906821250916
403,ne,0.9203370213508606
404,church,0.9199866056442261
405,hi,0.9195490479469299
406,care,0.9194754362106323
407,entirely,0.9193933606147766
408,officer,0.9192204475402832
409,17,0.9185002446174622
410,tour,0.9181101322174072
411,show,0.9178488254547119
412,hall,0.9176084995269775
413,inform,0.917587399482727
414,religious,0.9174390435218811
415,seek,0.9169600605964661
416,plate,0.9163205623626709
417,mu,0.9161143898963928
418,english,0.9159798622131348
419,try,0.9152886867523193
420,evening,0.9151486158370972
421,often,0.9150328040122986
422,six,0.9148872494697571
423,forservant,0.9147483110427856
424,summon,0.9139661192893982
425,mas,0.9138165712356567
426,super,0.9134998321533203
427,3d,0.9121100306510925
428,hie,0.9120293855667114
429,ta,0.911973774433136
430,o,0.9119292497634888
431,favorite,0.9109617471694946
432,wearhandsome,0.910857617855072
433,laborer,0.910402774810791
434,mean,0.9090434908866882
435,need,0.9087005257606506
436,term,0.9082875847816467
437,effect,0.9076114296913147
438,iu,0.9065783619880676
439,self,0.9065330028533936
440,fall,0.9063504934310913
441,tear,0.9061761498451233
442,gen,0.9061232805252075
443,tie,0.9060887694358826
444,capt,0.9060350656509399
445,remark,0.9058994650840759
446,wish,0.9054613709449768
447,10,0.9051157236099243
448,butler,0.9046116471290588
449,love,0.904539167881012
450,so,0.9045016169548035
451,exclaim,0.9042708873748779
452,orleansbetween,0.9041064977645874
453,captain,0.9039340019226074
454,ol,0.9036835432052612
455,parent,0.9036816358566284
456,bim,0.9034055471420288
457,boot,0.9030112624168396
458,purpose,0.9027833938598633
459,office,0.9025344848632812
460,american,0.9022122025489807
461,charleston,0.9021041989326477
462,gold,0.9017617702484131
463,round,0.9014363288879395
464,henry,0.9011372327804565
465,these,0.900957465171814
466,ble,0.9007349014282227
467,tolerably,0.9004228115081787
468,apply,0.9000746607780457
469,servantt,0.8997518420219421
470,light,0.8986353278160095
471,put,0.898356556892395
472,willing,0.8979310393333435
473,hire,0.8962015509605408
474,tha,0.8961164355278015
475,from,0.8960690498352051
476,none,0.8954836130142212
477,king,0.895099937915802
478,depart,0.8950055241584778
479,nurse,0.8946450352668762
480,sit,0.8940577507019043
481,those,0.8940413594245911
482,ur,0.8939998149871826
483,wear,0.8934629559516907
484,ani,0.892795741558075
485,lead,0.8926215171813965
486,district,0.8925639986991882
487,act,0.8923587203025818
488,then,0.8918357491493225
489,where,0.8912106156349182
490,bid,0.8911404609680176
491,relia,0.891005277633667
492,attentive,0.8906075954437256
493,mule,0.8896161317825317
494,name,0.8891568183898926
495,business,0.8890671730041504
496,jackson,0.8887320160865784
497,handicraft,0.8878153562545776
498,french,0.8868976831436157
499,each,0.8867219686508179
500,become,0.88666170835495
501,bear,0.8865911364555359
502,ostler,0.8863807320594788
503,v,0.885921061038971
504,dog,0.8857751488685608
505,came,0.8857632875442505
506,sion,0.8857259154319763
507,md,0.8856692314147949
508,almost,0.8854597210884094
509,tile,0.8852459192276001
510,anid,0.8845285773277283
511,article,0.8840337991714478
512,more,0.883737325668335
513,tender,0.8832978010177612
514,cloth,0.8831703066825867
515,early,0.8828977346420288
516,ha,0.8826556205749512
517,team,0.8823380470275879
518,infant,0.882077693939209
519,servaut,0.8818182945251465
520,plenty,0.8817811608314514
521,nothing,0.8816369771957397
522,whilst,0.8813002109527588
523,any,0.8811734318733215
524,operation,0.8808714151382446
525,recently,0.8802235126495361
526,case,0.8800092935562134
527,write,0.8797455430030823
528,that,0.8795716762542725
529,paper,0.8793634176254272
530,tion,0.879315197467804
531,thre,0.8792447447776794
532,prepare,0.8791503310203552
533,5,0.879034161567688
534,meal,0.8788830041885376
535,jones,0.8786990642547607
536,unless,0.8780807852745056
537,atlanta,0.8780525922775269
538,obtain,0.8776248693466187
539,soap,0.8774590492248535
540,have,0.8773707747459412
541,however,0.8772870898246765
542,joke,0.8769426941871643
543,wise,0.8768418431282043
544,true,0.8765612244606018
545,their,0.875601053237915
546,water,0.8754945993423462
547,pierce,0.8754547834396362
