,token,cosine
0,piracy,0.9873721599578857
1,cheap,0.9850546717643738
2,suppression,0.9845157861709595
3,african,0.9833637475967407
4,white,0.9831762313842773
5,free,0.9829521179199219
6,profitable,0.9820261001586914
7,competition,0.9814550876617432
8,traffic,0.9802019596099854
9,prosper,0.9801536202430725
10,1808,0.9800490736961365
11,legalize,0.9799563884735107
12,legally,0.9798319935798645
13,monopoly,0.9798314571380615
14,annex,0.9798025488853455
15,opening,0.9795701503753662
16,immigration,0.9795402884483337
17,surrender,0.9794237613677979
18,inferior,0.9792192578315735
19,culture,0.9791581034660339
20,slavery,0.9790757894515991
21,convert,0.9790215492248535
22,cotton,0.9789658188819885
23,negro,0.978965699672699
24,closing,0.9787226319313049
25,price,0.9787055850028992
26,doubtful,0.9786586761474609
27,labor,0.9785743951797485
28,laughter,0.9780052900314331
29,shore,0.9779481291770935
30,understand,0.9777818918228149
31,legitimate,0.9776369333267212
32,adapt,0.977384090423584
33,right,0.9772272706031799
34,dignify,0.9770401120185852
35,cuba,0.9769023656845093
36,consume,0.9768337607383728
37,destruction,0.9768286943435669
38,slavi,0.9767565727233887
39,climate,0.976751446723938
40,attain,0.976742148399353
41,if,0.9766560196876526
42,maintain,0.9766199588775635
43,principally,0.9765356183052063
44,despite,0.9765353798866272
45,glut,0.9762717485427856
46,exist,0.9760863780975342
47,diminish,0.976071298122406
48,southern,0.9759539365768433
49,punish,0.9758877754211426
50,vision,0.9758151173591614
51,union,0.9757866859436035
52,advantage,0.975785493850708
53,greatly,0.9756792783737183
54,would,0.9755969643592834
55,migration,0.9755164980888367
56,fault,0.9754624366760254
57,africa,0.9752447605133057
58,man,0.9752426743507385
59,perty,0.9749907851219177
60,exclude,0.9749811291694641
61,interested,0.974888026714325
62,followve,0.9746198654174805
63,import,0.9745746850967407
64,slope,0.9745616912841797
65,cease,0.9744958281517029
66,applicable,0.9744613766670227
67,legislate,0.9744550585746765
68,revive,0.9744346141815186
69,rebel,0.9744243025779724
70,steadily,0.9741927981376648
71,confiscate,0.9741305708885193
72,hire,0.9740996360778809
73,protect,0.9739966988563538
74,rely,0.973955512046814
75,beside,0.9739174246788025
76,insti,0.9738137125968933
77,dictate,0.9737571477890015
78,territory,0.9736360311508179
79,exclusion,0.9735419154167175
80,withdraw,0.9735017418861389
81,affirm,0.9734435677528381
82,brand,0.9733777642250061
83,elry,0.9733776450157166
84,ishe,0.9733404517173767
85,plant,0.9733362793922424
86,level,0.9732327461242676
87,1815,0.9731826782226562
88,hostile,0.9730188846588135
89,supply,0.9729196429252625
90,potent,0.972900927066803
91,conclude,0.9728946089744568
92,problem,0.9727334380149841
93,rear,0.9727065563201904
94,depreciate,0.9726998805999756
95,never,0.972653865814209
96,pocket,0.9726406335830688
97,surplus,0.9725480079650879
98,worthless,0.9724123477935791
99,chinese,0.9723661541938782
100,prohibit,0.9723406434059143
101,foreign,0.9723084568977356
102,tide,0.9722723960876465
103,doctrine,0.9722002148628235
104,every,0.97211754322052
105,indirectly,0.9719865918159485
106,waste,0.9719542264938354
107,hatred,0.9718495011329651
108,infraction,0.9718474745750427
109,suppress,0.9718102812767029
110,assumption,0.9717932939529419
111,institution,0.9716988205909729
112,emigration,0.9715949892997742
113,ome,0.9715491533279419
114,expansion,0.9714632630348206
115,custody,0.9714120030403137
116,extension,0.9713999032974243
117,mulatto,0.9713840484619141
118,equality,0.9713745713233948
119,confederacy,0.9713081121444702
120,nonintervention,0.9712861776351929
121,von,0.9712644219398499
122,lien,0.9712563157081604
123,dependent,0.9711955189704895
124,lower,0.9711810946464539
125,recovery,0.9710322618484497
126,possession,0.9710311889648438
127,consult,0.9710103869438171
128,revival,0.9709818959236145
129,admit,0.9709582328796387
130,explicit,0.9709312319755554
131,pop,0.970924973487854
132,duce,0.9708965420722961
133,voluntarily,0.970767617225647
134,description,0.9705866575241089
135,ry,0.9705404043197632
136,country,0.9704539179801941
137,destroy,0.9704407453536987
138,abolish,0.9703664779663086
139,forfeit,0.9703354835510254
140,prefer,0.9703113436698914
141,determined,0.970285952091217
142,vary,0.9701763391494751
