,token,cosine
0,I,0.9994871616363525
1,tho,0.9994335770606995
2,observance,0.9994303584098816
3,the,0.9992986917495728
4,he,0.9991457462310791
5,one,0.9991291165351868
6,a,0.9990904331207275
7,would,0.9990073442459106
8,say,0.9989662766456604
9,we,0.998921275138855
10,in,0.9988723397254944
11,1,0.998853862285614
12,take,0.9988348484039307
13,j,0.9988130331039429
14,man,0.9988071918487549
15,it,0.9987850189208984
16,make,0.9987142086029053
17,day,0.9987121820449829
18,may,0.998694896697998
19,law,0.9986834526062012
20,upon,0.9986436367034912
21,shall,0.9986307621002197
22,ho,0.9986124038696289
23,master,0.9985902309417725
24,they,0.9985848665237427
25,slave,0.9985408782958984
26,and,0.9985338449478149
27,house,0.9984535574913025
28,see,0.9984534978866577
29,well,0.9983960390090942
30,mr,0.9983382225036621
31,give,0.998258650302887
32,good,0.9982345104217529
33,find,0.9982331395149231
34,time,0.998215913772583
35,know,0.9981337785720825
36,not,0.9981307983398438
37,public,0.9981242418289185
38,go,0.9981237053871155
39,ol,0.9980884790420532
40,obedient,0.9979877471923828
41,girl,0.9979841709136963
42,be,0.9979619979858398
43,old,0.9978939890861511
44,come,0.9976332783699036
45,two,0.9976118803024292
46,ot,0.9974448084831238
47,family,0.9974334239959717
48,c,0.9974242448806763
49,she,0.9974018931388855
50,order,0.997395932674408
51,lie,0.9973464608192444
52,people,0.997334897518158
53,n,0.997321367263794
54,your,0.9972630739212036
55,child,0.997170627117157
56,faithful,0.9971163272857666
57,hand,0.9970753788948059
58,u,0.9970636963844299
59,room,0.9968719482421875
60,his,0.9968594908714294
61,live,0.9968000054359436
62,observant,0.996724545955658
63,und,0.9966816902160645
64,state,0.9966484904289246
65,this,0.9965009689331055
66,could,0.9964916110038757
67,leave,0.9963350892066956
68,respect,0.9963182806968689
69,much,0.9963086843490601
70,door,0.9962112903594971
71,keep,0.9962095618247986
72,god,0.996152400970459
73,send,0.9961227178573608
74,do,0.9960923194885254
75,think,0.9960237741470337
76,if,0.9959868788719177
77,e,0.9959334135055542
78,thy,0.9959207773208618
79,bo,0.9958879947662354
80,soon,0.9958617091178894
81,bring,0.9957934021949768
82,general,0.9957152605056763
83,s,0.9956438541412354
84,without,0.9956284165382385
85,call,0.9954716563224792
86,ask,0.9954606294631958
87,lor,0.9954182505607605
88,lady,0.9953427314758301
89,name,0.995329737663269
90,every,0.9952908158302307
91,hear,0.9951751828193665
92,very,0.9951691627502441
