,token,cosine
0,recovery,0.9151060581207275
1,delivery,0.9086480140686035
2,recapturo,0.8988268971443176
3,detention,0.8939069509506226
4,law,0.8938252925872803
5,bill,0.8935979008674622
6,secrete,0.8925677537918091
7,reclaim,0.8875480890274048
8,extradition,0.8851499557495117
9,sheriff,0.8838450312614441
10,attorney,0.8833299875259399
11,arrest,0.8825028538703918
12,deen,0.8824143409729004
13,obstruct,0.8821563720703125
14,bystem,0.8818618655204773
15,slavo,0.8784003853797913
16,reclamation,0.8778547048568726
17,851508,0.8768976330757141
18,regulation,0.8764699697494507
19,riviaie,0.8742925524711609
20,repeal,0.8742802143096924
21,act,0.8740525841712952
22,opposeu,0.8728142380714417
23,ality,0.8726018071174622
24,trial,0.8719457387924194
25,wmcn,0.8715587258338928
26,recapture,0.8714483976364136
27,ecial,0.8713923096656799
28,interfeie,0.8713456392288208
29,hamlet,0.8709428906440735
30,rigidly,0.8700370788574219
31,provide,0.8700054287910461
32,mous,0.8699671626091003
33,service,0.8699586987495422
34,urjder,0.8696026802062988
35,indict,0.869594156742096
36,execution,0.8693965673446655
37,1850,0.8693016767501831
38,refusal,0.8688392639160156
39,clause,0.8688107132911682
40,supreme,0.8687741756439209
41,court,0.8686022162437439
42,braska,0.868486762046814
43,penal,0.8684815764427185
44,passage,0.8673574328422546
45,jury,0.8672353625297546
46,enforcement,0.8670439124107361
47,racapture,0.8669235110282898
48,suppression,0.8664570450782776
49,cnion,0.8655334115028381
50,custody,0.8654524683952332
51,kt,0.8654462695121765
52,deliver,0.8654004335403442
53,holden,0.8646235466003418
54,pass,0.8645206689834595
55,confide,0.8644524216651917
56,tugi,0.86412113904953
57,regula,0.8638685941696167
58,toration,0.8635200262069702
59,violate,0.863194465637207
60,repugnant,0.8630645871162415
61,execute,0.8628724217414856
62,ifornia,0.8626652359962463
63,enforce,0.8625023365020752
64,vestcil,0.8624563217163086
65,islave,0.8623074293136597
66,rendition,0.8618187308311462
67,legislative,0.8615800142288208
68,archy,0.8615424633026123
69,convenience,0.8613550662994385
70,recover,0.8612349033355713
71,subsequent,0.8612087965011597
72,claim,0.8610245585441589
73,aforesaid,0.8608627319335938
74,forbid,0.8608449101448059
75,person,0.8597726225852966
76,antishivery,0.859635055065155
77,bonlon,0.8595719337463379
78,anv,0.8594038486480713
79,coastwise,0.8592740297317505
80,alteration,0.8590009808540344
81,bia,0.8589082956314087
82,infa,0.8582109808921814
83,secondly,0.8582085967063904
84,instant,0.8581423759460449
85,whom,0.8581228256225586
86,supremo,0.8580509424209595
87,peacham,0.8579640984535217
88,tiperation,0.8575310707092285
89,khaorach,0.8573393225669861
90,tip,0.8569290637969971
91,fifthly,0.8568530678749084
92,balance,0.8566464781761169
93,nebras,0.8565589785575867
94,oftransporting,0.8565314412117004
95,nichola,0.8565219044685364
96,indirect,0.8563433885574341
97,protect,0.8562855124473572
98,bilil,0.8562173247337341
99,thirdly,0.856111466884613
100,cept,0.8560402989387512
101,psesident,0.856030285358429
102,annex,0.8551294803619385
103,alavef,0.8548987507820129
104,tlnow,0.8547810912132263
105,discus,0.854779839515686
106,grievance,0.8547459244728088
107,opruto,0.854430079460144
108,thro,0.8543477058410645
109,clauso,0.854208767414093
110,lieedum,0.8540186285972595
111,apmcuiy,0.8537334203720093
112,especialy,0.8536937832832336
113,err,0.8536898493766785
114,return,0.8536050319671631
115,sslave,0.8535922765731812
116,mouey,0.8535186052322388
117,african,0.8533564805984497
118,ownership,0.8533409833908081
119,notimasuie,0.8532929420471191
120,seventeen,0.8532148003578186
121,hungary,0.8526524305343628
122,hvv,0.852598249912262
123,require,0.8523024916648865
124,recosory,0.8522677421569824
125,capture,0.8522455096244812
126,mexican,0.8521228432655334
127,defendant,0.8520843386650085
128,confiscate,0.8519755601882935
129,octjtietle,0.851901113986969
130,sur,0.8518340587615967
131,audeason,0.8518203496932983
132,provision,0.8516080975532532
133,process,0.851468563079834
134,alleged,0.8513268828392029
135,rent,0.8512722253799438
136,unsuited,0.8511611223220825
137,expressly,0.8511213064193726
138,cntchijig,0.8509528040885925
139,abscond,0.8509253263473511
140,accordance,0.8506823778152466
141,protection,0.8506187796592712
142,authority,0.8505658507347107
143,tive,0.8505455255508423
144,uw,0.8505195379257202
145,viola,0.8504629731178284
146,oftho,0.8504254221916199
147,magistrate,0.8503051400184631
148,atubov1,0.8502746224403381
149,virginnia,0.850208044052124
150,moses,0.8501694202423096
151,ser,0.8500358462333679
152,nullify,0.8499509692192078
153,fulfil,0.8496952652931213
154,span,0.8496660590171814
155,forfeit,0.8495506048202515
156,revive,0.8493963479995728
157,unconstitutional,0.8492253422737122
158,right,0.8492089509963989
159,escaped,0.8492020964622498
160,bervice,0.8491765260696411
161,nude,0.8491171598434448
162,ternlnrinl,0.8488585352897644
163,influ,0.8488379120826721
164,joint,0.8488245606422424
165,1808,0.8485804796218872
166,newyork,0.8485442399978638
167,iaw,0.8483957648277283
168,fugi,0.8483653664588928
169,bal,0.8480125665664673
170,shal,0.8479868769645691
171,siivi,0.8478603959083557
172,ihro,0.8478278517723083
173,kindre,0.8478263020515442
174,sec,0.84781813621521
175,flagrant,0.8477272987365723
176,fion,0.8476493954658508
177,inequality,0.8476029634475708
178,reiioel,0.8475543856620789
179,delate,0.8474344611167908
180,treatymaking,0.8474066257476807
181,assise,0.8473203778266907
182,fifth,0.8473188281059265
183,gitive,0.8472117185592651
184,assail,0.8471927046775818
185,icrnniuate,0.8471820950508118
186,whence,0.847172737121582
187,600000,0.8471225500106812
188,stitutional,0.8468456864356995
189,unese,0.846814751625061
190,vest,0.8467980027198792
191,sep,0.846678614616394
192,tennessee,0.8466575145721436
193,horno,0.8465312123298645
194,equivalent,0.8464770913124084
195,prevent,0.8463377356529236
196,beaver,0.846269428730011
197,satis,0.8459959626197815
198,obedience,0.8457514047622681
199,imprison,0.8455554246902466
200,bil,0.8454387784004211
201,complaint,0.845161497592926
202,inhuman,0.8451182246208191
203,whitewash,0.8450971245765686
204,yond,0.8450806140899658
205,vested,0.845041036605835
206,mist,0.8447447419166565
207,unlimited,0.8446967005729675
208,enact,0.8446456789970398
209,publicly,0.844512939453125
210,blave,0.8444989323616028
211,rcopen,0.8444979786872864
212,positive,0.8443074226379395
213,wcro,0.8442893028259277
214,ritory,0.8442386984825134
215,reopen,0.8441722393035889
216,wrongfully,0.8441095948219299
217,fourth,0.8441001772880554
218,gard,0.8440732955932617
219,texan,0.8440698385238647
220,thereof,0.8440659046173096
221,sol,0.8439056873321533
222,cull,0.843868613243103
223,fu,0.8438666462898254
224,recollect,0.8438614010810852
225,louisiana,0.8438496589660645
226,35000,0.8438253998756409
227,unequalle,0.8436102271080017
228,seise,0.8435730934143066
229,freo,0.8435140252113342
230,taw,0.8434668183326721
231,jree,0.8434340357780457
232,having,0.8433202505111694
233,observe,0.8432424664497375
234,due,0.8430228233337402
235,fault,0.842954695224762
236,annual,0.842944324016571
237,chaplin,0.8428524136543274
238,relate,0.8428313732147217
239,3d,0.8427367806434631
240,escape,0.8427104353904724
241,phoenix,0.8426703214645386
242,contravene,0.842650830745697
243,justifie,0.8424874544143677
244,tenance,0.8424450159072876
245,nonintervention,0.8424438238143921
246,aiigr,0.842400848865509
247,preponderance,0.8422800302505493
248,alledge,0.8421201109886169
249,remissness,0.8420389890670776
250,by,0.8419861197471619
251,owner,0.8419699668884277
252,duo,0.8419317007064819
253,condemnation,0.8419119715690613
254,sharps,0.8416828513145447
255,acquiesced,0.8416600227355957
256,th6,0.8416136503219604
257,gress,0.8416095972061157
258,stretch,0.8415055274963379
259,executo,0.8413967490196228
260,sre,0.8413639664649963
261,bloodhounk,0.8413309454917908
262,slavea,0.841294527053833
263,canadian,0.8412368893623352
264,piotccte,0.8411921262741089
265,odious,0.8411491513252258
266,exclusively,0.8411294221878052
267,reverse,0.8410519361495972
268,prison,0.8408620357513428
269,legislate,0.8408504128456116
270,mclean,0.8408093452453613
271,violation,0.8407174944877625
272,recruit,0.8407080769538879
273,tq,0.84062260389328
274,ett,0.8406191468238831
275,district,0.8405988812446594
276,conscientiously,0.8405923247337341
277,municipal,0.8404338359832764
278,hurt,0.8404154181480408
279,oour80,0.8403762578964233
280,precisely,0.8403412103652954
281,monstrous,0.8403316140174866
282,loan,0.8403093814849854
283,citizen,0.8403032422065735
284,congress,0.840248167514801
285,1793,0.8402161002159119
286,quire,0.8401479721069336
287,iberty,0.8401186466217041
288,adoption,0.8401079177856445
289,it1,0.8401015996932983
290,sla,0.8400799036026001
291,emi,0.8400567770004272
292,asylum,0.8400394320487976
293,leiiii,0.8400029540061951
294,requisite,0.8399709463119507
295,treaty,0.8399642705917358
296,case,0.8397920727729797
297,sively,0.8397086262702942
298,slightly,0.8396999835968018
299,rcad,0.8396443128585815
300,revival,0.8396312594413757
301,andihat,0.8395957946777344
302,dansel,0.8395938277244568
303,table,0.8394850492477417
304,transport,0.8394529819488525
305,suvwy,0.8394206166267395
306,erly,0.8393826484680176
307,boston,0.8393071293830872
308,fealty,0.83927321434021
309,propose,0.8392343521118164
310,apprentice,0.8392298817634583
311,llio,0.839214026927948
312,missouri,0.8391056656837463
313,faint,0.8390361666679382
314,operation,0.8389434218406677
315,tionary,0.8386686444282532
316,texas,0.8386683464050293
317,incompatible,0.8385801315307617
318,whs,0.8385159373283386
319,hinder,0.8384983539581299
320,despotic,0.8384387493133545
321,habeas,0.838421106338501
322,fere,0.8383128046989441
323,temporary,0.8382493257522583
324,wrongly,0.8381750583648682
325,judiciary,0.8381398320198059
326,tenure,0.8380661010742188
327,1800,0.8380626440048218
328,taney,0.8380582928657532
329,juitico,0.8378918766975403
330,thence,0.8378575444221497
331,within,0.8377761840820312
332,intontion,0.8377141356468201
333,decision,0.8376720547676086
334,cognition,0.8376209735870361
335,hern,0.8375121355056763
336,immunity,0.8374823927879333
337,persona,0.8374732732772827
338,fao,0.837346076965332
339,cede,0.8373070359230042
340,statute,0.8372997045516968
341,prose,0.8372965455055237
342,capital,0.8372419476509094
343,arrival,0.8372026085853577
344,commoniy,0.8371050953865051
345,backing,0.8370087742805481
346,bondage,0.8369399309158325
347,ka,0.8369385004043579
348,originally,0.8369040489196777
349,shelter,0.836893618106842
350,emancipa,0.8368239402770996
351,slavos,0.8367288112640381
352,jw,0.8366909027099609
353,thrill,0.8366405367851257
354,carry,0.8365672826766968
355,ofcatroeity,0.8365577459335327
356,authorize,0.8365362286567688
357,whuro,0.8364666700363159
358,clare,0.8363922834396362
359,crea,0.8363758325576782
360,reject,0.8363589644432068
361,annexation,0.8363142609596252
362,renditioa,0.8362972736358643
363,aragua,0.8362768888473511
364,stability,0.836245059967041
365,objectionable,0.8360941410064697
366,restore,0.8360863924026489
367,license,0.8360208868980408
368,residence,0.8359936475753784
369,wrio,0.8359456658363342
370,sd,0.8357827067375183
371,afflict,0.8357238173484802
372,knpiisiiin,0.835629940032959
373,prospective,0.8355952501296997
374,eicept,0.8355586528778076
375,phy,0.835548460483551
376,stnte,0.8355422019958496
377,virtue,0.8355231881141663
378,pereoi,0.8353751301765442
379,outside,0.8351707458496094
380,constitutional,0.8351463675498962
381,impair,0.8351238965988159
382,document,0.8351233601570129
383,lahar,0.8351117968559265
384,hindrance,0.8350852727890015
385,chafe,0.8350781798362732
386,habitually,0.8350618481636047
387,thus,0.8350315093994141
388,compromise,0.8350096344947815
389,ge,0.8349702954292297
390,register,0.8348960280418396
391,civiil,0.8348756432533264
392,virtually,0.8348376750946045
393,thorn,0.8348249197006226
394,regulate,0.8347340822219849
395,cover,0.8346823453903198
396,urainanee,0.8346268534660339
397,itu,0.83458411693573
398,felon,0.8345212340354919
399,tiresent,0.8344820737838745
400,pennsylvania,0.8344451785087585
401,nexe,0.8342906832695007
402,free,0.8342722654342651
403,aw,0.8342465162277222
404,sale,0.8342006206512451
405,iww,0.8341885805130005
406,slavee,0.834177553653717
407,author,0.8341032862663269
408,mayor,0.8340235352516174
409,rteivo,0.833989679813385
410,lecompton,0.8339794874191284
411,cision,0.8339638710021973
412,ted,0.8339493870735168
413,ostensibly,0.8338764309883118
414,border,0.8338233828544617
415,facilitate,0.8338160514831543
416,returuiug,0.8338082432746887
417,relative,0.8338037133216858
418,lugi,0.8337492942810059
419,stern,0.8337110280990601
420,range,0.8337105512619019
421,intolerant,0.8336957693099976
422,tugitive,0.833620548248291
423,absolute,0.833592414855957
424,atlantic,0.833531379699707
425,isuch,0.8334733843803406
426,brute,0.8334550261497498
427,overpow,0.833454430103302
428,apply,0.8334212303161621
429,booth,0.833380937576294
430,reciprocal,0.8333528637886047
431,behilf,0.8332867622375488
432,nrnnnfrarwiiam,0.8332743048667908
433,2d,0.8332388997077942
434,siureniler,0.8332194089889526
435,uodor,0.8331547379493713
436,sudremo,0.8331284523010254
437,legitimately,0.8330842852592468
438,minion,0.832999050617218
439,souali,0.8329848051071167
440,doubly,0.832982063293457
441,nex,0.8329311609268188
442,sovereign,0.8329054713249207
443,mason,0.8327851295471191
444,heel,0.8327763080596924
445,reserve,0.8327048420906067
446,runa,0.8326885104179382
447,lux,0.8326347470283508
448,compen,0.8325332403182983
449,exchange,0.8325240612030029
450,reclnmation,0.8325038552284241
451,unknown,0.8324878811836243
452,occupation,0.8324864506721497
453,fnr,0.8324146866798401
454,signer,0.8322986364364624
455,rightfully,0.8322946429252625
456,preservation,0.8322914838790894
457,ayes,0.8322800993919373
458,oath,0.8322702646255493
459,take,0.8322574496269226
460,1836,0.8322170376777649
461,lilterty,0.8320168852806091
462,creation,0.8320127725601196
463,semblance,0.8319963216781616
464,werk,0.8318684101104736
465,vitude,0.8318478465080261
466,interference,0.8318241834640503
467,payment,0.8317261934280396
468,claimant,0.831689178943634
469,wiok,0.8315944671630859
470,emanci,0.8315892219543457
471,jurisdiction,0.8315607905387878
472,penalty,0.8314993977546692
473,mony,0.8314909934997559
474,search,0.8314736485481262
475,suppress,0.8314646482467651
476,8lm000,0.8314394354820251
477,dre,0.8313621282577515
478,omit,0.831275999546051
479,suitable,0.8312714099884033
480,bolder,0.8312689065933228
481,application,0.831243097782135
482,sion,0.831206202507019
483,manumit,0.831190288066864
484,instruction,0.8311588764190674
485,inhabitant,0.8311558365821838
486,confer,0.8311370611190796
487,blackman,0.83113694190979
488,officer,0.8311251997947693
489,resentative,0.8310975432395935
490,13,0.8310823440551758
491,seize,0.8310142159461975
492,fieu,0.830992579460144
493,alleg,0.8309734463691711
494,thoso,0.8309597969055176
495,alfred,0.8309571146965027
496,recognize,0.8309096097946167
497,villainy,0.8309010863304138
498,imme,0.8308948278427124
499,unequal,0.830893337726593
500,inte,0.8308537602424622
501,irosn,0.8308514952659607
502,contain,0.8308150172233582
503,directand,0.8308117389678955
504,giloiore,0.8307884335517883
505,justness,0.8307775855064392
506,escort,0.8307396769523621
507,reside,0.8307222127914429
508,sufficiently,0.8307193517684937
509,applicable,0.8306953310966492
510,consent,0.8306347727775574
511,namo,0.8306316137313843
512,wednesday,0.8306043148040771
513,slierman,0.8305701613426208
514,prosecute,0.8305243253707886
515,universe,0.8305163383483887
516,spanish,0.8304654359817505
517,organic,0.8304579854011536
518,avail,0.8304465413093567
519,foreign,0.8302810788154602
520,noninterference,0.8302726149559021
521,living,0.8302686810493469
522,measure,0.830228865146637
523,potinil,0.8302149176597595
524,closely,0.8301882743835449
525,hns,0.830175518989563
526,equilib,0.8301562070846558
527,egyptians,0.8301039338111877
528,sim,0.8300884366035461
529,increase,0.8300880193710327
530,decreed,0.8300813436508179
531,pensylvania,0.8300658464431763
532,ample,0.8300386071205139
533,deficiency,0.8300363421440125
534,force,0.8300154805183411
535,clly,0.8300135135650635
536,corpus,0.8299964666366577
537,titte,0.8299134969711304
538,shall,0.8298911452293396
539,logical,0.8298608064651489
540,coneludo,0.8298467993736267
541,lish,0.8298231363296509
542,unfairly,0.8298185467720032
543,use,0.8297581672668457
544,tember,0.8297356963157654
545,uni,0.8297098875045776
546,rescue,0.8297012448310852
547,circuit,0.8296958804130554
548,suhjct,0.8296883702278137
549,comity,0.8296730518341064
550,aoouringr,0.8296488523483276
551,whe,0.8296239376068115
552,bank,0.8295994400978088
553,proviso,0.8295472264289856
554,ish,0.8295443654060364
555,deprive,0.8295408487319946
556,newt,0.829516589641571
557,tbut,0.8295095562934875
558,unequivocally,0.8294737935066223
559,importation,0.8294708132743835
560,legislation,0.8294380307197571
561,sloop,0.8293746113777161
562,conciliation,0.8293200731277466
563,dil,0.8292769193649292
564,allege,0.8292559385299683
565,mover,0.829228937625885
566,canada,0.8291411995887756
567,insecurity,0.8291195631027222
568,slavesthat,0.8291051983833313
569,uny,0.8290737867355347
570,surrender,0.8290395736694336
571,admis,0.829038679599762
572,competition,0.8288999199867249
573,characteristic,0.8288146257400513
574,stride,0.8288106918334961
575,news,0.8287972211837769
576,suspend,0.8287758231163025
577,valid,0.828721821308136
578,squatter,0.828673243522644
579,imposition,0.8285491466522217
580,maxim,0.8285477757453918
581,fiuitive,0.8284733891487122
582,savannah,0.8284540772438049
583,buffalo,0.8283830285072327
584,naked,0.8283798098564148
585,pariicipate,0.8283640146255493
586,insecure,0.8282876014709473
587,illinois,0.8282768130302429
588,rock,0.828262448310852
589,epecte,0.8282431364059448
590,local,0.8280994296073914
591,whih,0.8280889391899109
592,enjoyment,0.828059732913971
593,grown,0.8279778957366943
594,taine,0.8279520869255066
595,whereas,0.8279302716255188
596,building,0.827908456325531
597,master,0.8278948068618774
598,souioday,0.8278756737709045
599,cqiu,0.827845573425293
600,commence,0.8278225660324097
601,broken,0.827661395072937
602,rol,0.8275837898254395
603,identification,0.8275825381278992
604,presence,0.8275753259658813
605,liiiw,0.8275639414787292
606,exclusive,0.8275496959686279
607,acnuicsce,0.827541172504425
608,imprisonment,0.8275146484375
609,confiscation,0.8275082111358643
610,islature,0.8274998664855957
611,romiory,0.8274831771850586
612,fiigiti,0.8274345397949219
613,import,0.8273782134056091
614,diabolical,0.8273693919181824
615,constitu,0.8273404836654663
616,emigration,0.8272994160652161
617,ss,0.8272703886032104
618,restoration,0.8272621631622314
619,insert,0.8272129893302917
620,aright,0.8271955847740173
621,item,0.8271880149841309
622,usage,0.8271743059158325
623,mande,0.8271580934524536
624,doth,0.8271476030349731
625,several,0.8271344900131226
626,slavs,0.8271293640136719
627,saturnalia,0.8270847797393799
628,ritorie,0.8270804286003113
629,deeisiuii,0.8270379304885864
630,redfield,0.8270063400268555
631,without,0.8269798755645752
632,larjre,0.8269729614257812
633,interstate,0.8269517421722412
634,citizens,0.8269389271736145
635,nuke,0.8269332647323608
636,certificates,0.8268545866012573
637,tliu,0.8268251419067383
638,oul,0.8268154859542847
639,newly,0.8267724514007568
640,twelve,0.8267627954483032
641,slam,0.8267392516136169
642,iniquitous,0.8267370462417603
643,mako,0.8267353773117065
644,trtttoe,0.826725959777832
645,catcher,0.8266424536705017
646,resistance,0.8266247510910034
647,representa,0.8266239762306213
648,abrogate,0.826586902141571
649,1804,0.8265542387962341
650,tlie,0.8265464901924133
651,ssc,0.8265358209609985
652,modification,0.8265020251274109
653,prohibit,0.8264977335929871
654,entitle,0.8264219164848328
655,servant,0.82640540599823
656,acquire,0.8263527750968933
657,pursue,0.8263019919395447
658,make,0.8262822031974792
659,fugitivo,0.8262467384338379
660,felony,0.8262103199958801
661,cendency,0.8261696100234985
662,indiana,0.8261367082595825
663,piratical,0.8261249661445618
664,under,0.8261231780052185
665,safeguard,0.8261217474937439
666,creat,0.826080322265625
667,slavoholde,0.8260529637336731
668,forbearance,0.8260310888290405
669,roaster,0.8259884715080261
670,har,0.825931191444397
671,holloo,0.8258794546127319
672,labor,0.825867235660553
673,conceal,0.8258222341537476
674,induectly,0.8258050680160522
675,afford,0.825745165348053
676,space,0.8257295489311218
677,irrepressible,0.8256440758705139
678,histo,0.825637698173523
679,nine,0.8255976438522339
