,token,cosine
0,hold,0.9710935950279236
1,and,0.9708835482597351
2,nod,0.9661192893981934
3,sc,0.9656781554222107
4,glng,0.9648556113243103
5,field,0.9646549224853516
6,dee,0.961229145526886
7,lloue,0.9604220986366272
8,wilh,0.9593637585639954
9,aate,0.9581249952316284
10,largo,0.9580914378166199
11,abe,0.9577591419219971
12,talk,0.9574338793754578
13,acd,0.9572762846946716
14,elect,0.9570720791816711
15,ladie,0.9562675952911377
16,attentive,0.9553442001342773
17,4i,0.9552111625671387
18,make,0.9551324844360352
19,van,0.9545193314552307
20,mod,0.9544936418533325
21,servanti,0.9544463753700256
22,gooa,0.9544162154197693
23,roco,0.9541365504264832
24,general,0.9536819458007812
25,invalid,0.9536190032958984
26,en,0.9533948302268982
27,nd,0.9533612132072449
28,do,0.953179657459259
29,houso,0.9530482292175293
30,suit,0.953040599822998
31,aad,0.9526026844978333
32,keep,0.9525843262672424
33,announce,0.9524567127227783
34,qualification,0.9520792961120605
35,ur,0.9518686532974243
36,car,0.9517791271209717
37,cue,0.951723039150238
38,rn,0.9514731168746948
39,educate,0.9510663151741028
40,loo,0.9509220123291016
41,vary,0.9509180188179016
42,aie,0.9507390856742859
43,nad,0.9505797624588013
44,mad,0.9505741596221924
45,ache,0.9503705501556396
46,tooth,0.9502728581428528
47,ereat,0.950199544429779
48,ge,0.9498807191848755
49,geed,0.9498401284217834
50,irreat,0.9498360753059387
51,lane,0.9498305320739746
52,wtth,0.9496818780899048
53,servants,0.9496750831604004
54,work,0.9494768381118774
55,file,0.9494548439979553
56,snd,0.9492053389549255
57,ds,0.9489945769309998
58,gocd,0.9488743543624878
59,avy,0.9487631320953369
60,uouse,0.9485775232315063
61,rooma,0.9485135078430176
62,dav,0.9484096765518188
63,kiichen,0.9483727216720581
64,home,0.9483433961868286
65,about,0.9483360648155212
66,wear,0.948113203048706
67,greatly,0.9480749368667603
68,vc,0.9478411674499512
69,lare,0.9476732015609741
70,houe,0.9476681351661682
71,strip,0.9474643468856812
72,roods,0.9473881125450134
73,houre,0.9471573829650879
74,fair,0.947023332118988
75,mens,0.9468306303024292
76,und,0.9468106031417847
77,hore,0.9465494751930237
78,ami,0.9464566707611084
79,treat,0.9461635947227478
80,young,0.9459946155548096
81,ben,0.9458585977554321
82,grove,0.9458149075508118
83,ta,0.9457719326019287
84,goad,0.9457523226737976
85,rood,0.9456004500389099
86,seamstresse,0.9455900192260742
87,application,0.9455516934394836
88,rervant,0.9455209970474243
89,end,0.945404052734375
90,seal,0.9453756809234619
91,fer,0.9453034400939941
92,ya,0.9452040791511536
93,premise,0.9450511932373047
94,nice,0.9450139403343201
95,rat,0.9449430704116821
96,ic,0.9449330568313599
97,utr,0.9446940422058105
98,far,0.9446486234664917
99,rery,0.9445893168449402
100,sal,0.9445316791534424
101,nil,0.944487452507019
102,houw,0.9444409012794495
103,whi,0.9444291591644287
104,livery,0.9443944096565247
105,stripes,0.944359540939331
106,carpet,0.9443174004554749
107,uaii,0.9440773129463196
108,cookv,0.9440199732780457
109,fight,0.9438638091087341
110,enquire,0.9438409209251404
111,also,0.9437260627746582
112,cotton,0.9437118172645569
113,awl,0.9436773061752319
114,pro,0.9436542391777039
115,rm,0.9436112642288208
116,service,0.9436083436012268
117,omen,0.9436026811599731
118,engage,0.9435713291168213
119,benefit,0.9435709714889526
120,teach,0.9435629844665527
121,hun,0.9433732032775879
122,always,0.9433425068855286
123,goods,0.9433304667472839
124,arid,0.9433267116546631
125,hj,0.943325936794281
126,ana,0.9432861804962158
127,witi,0.9432832598686218
128,seld,0.9432609677314758
129,una,0.9432216286659241
130,hind,0.9432185292243958
131,aod,0.9431983828544617
132,ol,0.9431778788566589
133,x,0.943154513835907
134,d,0.9430901408195496
135,asd,0.9429752826690674
136,eileit,0.9429287314414978
137,cell,0.9429014921188354
138,flood,0.9428971409797668
139,goou,0.942823052406311
140,ussier,0.9427270889282227
141,hoaie,0.9426628947257996
142,houie,0.9426020979881287
143,ful,0.9425184726715088
144,first,0.9424939751625061
145,kliws,0.9424333572387695
146,111,0.942312479019165
147,confidential,0.9421777129173279
148,neavy,0.9421605467796326
149,lea,0.9421477317810059
150,nnd,0.9421446323394775
151,aid,0.941933274269104
152,plaids,0.9418360590934753
153,lino,0.9417466521263123
154,stoes,0.9416967034339905
155,bouie,0.9416773915290833
156,ao,0.9416176676750183
157,u,0.9415408968925476
158,net,0.9413992762565613
159,prtau,0.9413536787033081
160,cooks,0.941322922706604
161,tx,0.9413098692893982
162,bare,0.9412961006164551
163,willi,0.9412877559661865
164,guarantee,0.9412194490432739
165,provision,0.9411974549293518
166,agod,0.9411534667015076
167,brown,0.9409756064414978
168,alee,0.9409735202789307
169,pond,0.940940260887146
170,coitonade,0.9409390091896057
171,trr,0.9408676028251648
172,brow,0.9408639669418335
173,sen,0.9407845735549927
174,separate,0.9407542943954468
175,hu,0.9407042264938354
176,colored,0.9406925439834595
177,alto,0.9405210614204407
178,hoase,0.9405181407928467
179,exceuent,0.9404842853546143
180,rant,0.9403946399688721
181,ef,0.940363347530365
182,another,0.9403250217437744
183,creat,0.9402697682380676
184,codtalnlrji,0.9402235150337219
185,bd,0.9402101635932922
186,ce,0.9402086734771729
187,smart,0.9401561617851257
188,collarssleeve,0.9401538372039795
189,peach,0.94005286693573
190,tie,0.9399608373641968
191,blripe,0.9399541616439819
192,art,0.9399272799491882
193,beautiful,0.9399238228797913
194,rough,0.9398564696311951
195,servanu,0.9397976994514465
196,staole,0.9397781491279602
197,sic,0.939773678779602
198,healthy,0.93972247838974
199,smiley,0.9397222995758057
200,merely,0.9397184252738953
201,sufficiency,0.9396992921829224
202,oh,0.939660370349884
203,ti,0.9396488070487976
204,disposition,0.9396377801895142
205,nave,0.9395871758460999
206,mom,0.9395776987075806
207,ajtjflr,0.9395740032196045
208,faithful,0.9395450353622437
209,rr,0.9394834041595459
210,tervanta,0.9394471049308777
211,atjlei,0.9393234848976135
212,adctct,0.9393100738525391
213,musician,0.9392985105514526
214,bnoe,0.9392586946487427
215,head,0.9392101168632507
216,ble,0.9391467571258545
217,pastry,0.9391199350357056
218,wool,0.9390246868133545
219,wh,0.938967227935791
220,ail,0.9389559626579285
221,i,0.9389489889144897
222,forest,0.9389040470123291
223,ha,0.9389008283615112
224,capacity,0.938896119594574
225,forservant,0.938875675201416
226,ics,0.9388344883918762
227,ilaid,0.9388335347175598
228,aio,0.9387545585632324
229,mnslin,0.9387244582176208
230,sheet,0.9387196898460388
231,larye,0.9386961460113525
232,sod,0.9386841654777527
233,maid,0.9386724233627319
234,roun,0.9386720061302185
235,stack,0.9386663436889648
236,flag,0.9386243224143982
237,hi3,0.9385709762573242
238,heavv,0.9385300278663635
239,calculate,0.9385135173797607
240,targe,0.9384924173355103
241,inconvenience,0.9384747743606567
242,wn,0.9384641647338867
243,nim,0.9384336471557617
244,urge,0.938348114490509
245,borne,0.9382627010345459
246,sua,0.938240647315979
247,thestate,0.9382289052009583
248,ew,0.938196063041687
249,vi,0.9381958842277527
250,scream,0.9381713271141052
251,reed,0.938162088394165
252,tlald,0.9381361603736877
253,article,0.938083827495575
254,roma,0.9380661249160767
255,lundscmely,0.9380184412002563
256,ra,0.9379472732543945
257,uii,0.937935471534729
258,closet,0.9379134774208069
259,brewa,0.9378713965415955
260,bind,0.9377927780151367
261,honse,0.9377478957176208
262,alw,0.9376462697982788
263,ft,0.9376251101493835
264,steak,0.9373949766159058
265,rior,0.93738853931427
266,ditch,0.9373429417610168
267,nurse,0.9373162388801575
268,coed,0.9372763633728027
269,exceilent,0.9372076988220215
270,twn,0.9371848106384277
271,necestary,0.9371647834777832
272,court,0.9371216893196106
273,kietmii1,0.9371200799942017
274,freneli,0.9370936751365662
275,oa,0.9370858669281006
276,baa,0.937083899974823
277,hundred,0.9370660185813904
278,three,0.9370602965354919
279,this,0.9370266795158386
280,anpiy,0.9370189905166626
281,ore,0.9370116591453552
282,mount,0.9368829131126404
283,show,0.936877429485321
284,hen,0.9368634223937988
285,rune,0.9368480443954468
286,five,0.9368184208869934
287,passage,0.9367969632148743
288,stripd,0.9367936253547668
289,tiio,0.9367526769638062
290,re,0.9366939663887024
291,bio,0.9366888403892517
292,god,0.9366658926010132
293,mam,0.9366291165351868
294,oe,0.9365375638008118
295,attemunce,0.936518132686615
296,eaal,0.9364542365074158
297,afjhwbg,0.9363511800765991
298,weald,0.9363453984260559
299,o,0.9363425374031067
300,tw,0.9363282918930054
301,tae,0.9362738728523254
302,my,0.9362466335296631
303,rear,0.9362114667892456
304,at,0.9361522197723389
305,suitable,0.936090350151062
306,laree,0.936060905456543
307,brew,0.9360499978065491
308,fire,0.936048686504364
309,ih,0.9360362887382507
310,aim,0.9360342621803284
311,tervant,0.9360226392745972
312,gds,0.9359579086303711
313,forsale,0.9359246492385864
314,oolnrod,0.9359214305877686
315,md,0.935917854309082
316,hurt,0.9358794093132019
317,consumer,0.9358715415000916
318,area,0.9358646273612976
319,ad,0.9358561038970947
320,hath,0.9358352422714233
321,axiuc,0.935829222202301
322,seivant,0.9357917904853821
323,scnfnli,0.9357790946960449
324,pa,0.9357318878173828
325,jl,0.9357051253318787
326,ttt,0.9357042908668518
327,saddlehouse,0.935701310634613
328,sf,0.935620903968811
329,owtmn,0.9356182813644409
330,cow,0.9356067180633545
331,ether,0.9356019496917725
332,exact,0.9355790615081787
333,set,0.9355463981628418
334,vaiietvi,0.9355365037918091
335,dealer,0.9355241060256958
336,water,0.9354989528656006
337,ell,0.9354802370071411
338,in,0.9354541301727295
339,brlek,0.9353936910629272
340,ly,0.9353870153427124
341,rank,0.9353730082511902
342,thu,0.9353570938110352
343,famili,0.9353163242340088
344,gret,0.9353135228157043
345,plalhyhd,0.9352941513061523
346,gine,0.9352744817733765
347,hat,0.9352540373802185
348,tht,0.9352441430091858
349,great,0.9351942539215088
350,ss,0.9351335167884827
351,unh,0.9350937008857727
352,lia,0.9350667595863342
353,jeervants,0.9350643157958984
354,uau,0.9350406527519226
355,dimng,0.9349799752235413
356,plad,0.9349720478057861
357,con,0.9349300861358643
358,cnild,0.934928834438324
359,vrev,0.9348555207252502
360,blow,0.9347845911979675
361,osnabnrgs,0.9346862435340881
362,cnlld,0.9346852898597717
363,million,0.9346562027931213
364,anil,0.9346238374710083
365,sad,0.9345651268959045
