,token,cosine
0,slavo,0.8431159853935242
1,theslave,0.8230316042900085
2,twelvemonth,0.8091233372688293
3,deficient,0.8090358972549438
4,nquired,0.8087203502655029
5,escaalr,0.8083911538124084
6,inasmuch,0.8063398003578186
7,ivere,0.8062561750411987
8,requisite,0.8061689138412476
9,insecure,0.8023329377174377
10,cibly,0.7999083995819092
11,augment,0.7975983619689941
12,navigation,0.7959386110305786
13,person,0.7950844764709473
14,debarred,0.7949886918067932
15,service,0.7935695648193359
16,lazy,0.7933974266052246
17,roprty,0.792080819606781
18,groes,0.7911673784255981
19,certificate,0.7904894948005676
20,ecution,0.7896271347999573
21,thasuppression,0.7854446768760681
22,thatjitis,0.7846683859825134
23,destioy,0.7829727530479431
24,thirtyone,0.7827476859092712
25,endow,0.7810580730438232
26,statcef,0.7794916033744812
27,rtcuro,0.7788971066474915
28,tolerato,0.7781422734260559
29,whomsoever,0.7764466404914856
30,fugitivesfrom,0.7758040428161621
31,considerd,0.7749238610267639
32,milita,0.7739442586898804
33,slavp,0.7735658884048462
34,slave3,0.7730551362037659
35,penal,0.7726837992668152
36,liim,0.7725431323051453
37,sixe,0.772538959980011
38,beaprofitto,0.7724140882492065
39,pu,0.7719243764877319
40,maij,0.7713220119476318
41,hsd,0.7707532644271851
42,beei,0.7706570625305176
43,forcible,0.7700120806694031
44,4tli,0.7697697281837463
45,specie,0.7688815593719482
46,recap,0.7680932879447937
47,chaser,0.7675613760948181
48,slavts,0.7674565315246582
49,umtpf,0.7670871019363403
50,return,0.7664675116539001
51,shad,0.7659648060798645
52,takng,0.7656987905502319
53,thieve,0.7650617957115173
54,prson,0.7650274634361267
55,umieu,0.7649574279785156
56,reewve,0.7644074559211731
57,meter,0.7637358903884888
58,clandestine,0.7634886503219604
59,effeot,0.7629113793373108
60,tereral,0.7628206014633179
61,confede,0.7608476281166077
62,assessor,0.7607051134109497
63,lreo,0.7606551647186279
64,wiilingip,0.7599202990531921
65,interstato,0.7598119378089905
66,sojourn,0.7597393989562988
67,cretly,0.7590650320053101
68,insistthat,0.7580826282501221
69,nse,0.7579700350761414
70,burthen,0.7579505443572998
71,citizen,0.7577309608459473
72,refuge,0.7576912641525269
73,denun,0.757128894329071
74,deaye,0.7568960785865784
75,lnhabltiet,0.756842315196991
76,footing,0.7559332251548767
77,1g000000,0.7558876276016235
78,quate,0.7552063465118408
79,roanu,0.7547621726989746
80,regardless,0.7546499967575073
81,sesse,0.7541956305503845
82,indemnify,0.7536810636520386
83,ffiwv,0.753524661064148
84,conditional,0.7533372640609741
85,orlla,0.7532013654708862
86,blockade,0.7527879476547241
87,adequate,0.7527747750282288
88,stito,0.7527709007263184
89,tlave,0.7525200247764587
90,summarily,0.7524382472038269
91,kw,0.7521747946739197
92,revise,0.7520850300788879
93,aroyal,0.7519691586494446
94,rxu,0.751916766166687
95,seas,0.7517667412757874
96,supnre,0.7513317465782166
97,imubixluila,0.7513250708580017
98,slaveholjer,0.7505455613136292
99,cessity,0.7498469352722168
100,maitcr,0.7497685551643372
101,feloniesof,0.7495666742324829
102,uuited,0.748974084854126
103,ph,0.7488636374473572
104,aaahmlv,0.7488223910331726
105,rormedthe,0.7482838034629822
106,haltbreed,0.7480638027191162
107,ench,0.7480235695838928
108,agaic,0.747571587562561
109,escape,0.7472379207611084
110,conrt,0.7469086050987244
111,assistance,0.7466977834701538
112,brazilian,0.746583878993988
113,requirement,0.7462578415870667
114,confiscation,0.746207594871521
115,eute,0.746091365814209
116,ties,0.7459949851036072
117,stave,0.7457808256149292
118,cult,0.7455856800079346
119,siibhirc,0.7454040050506592
120,elave,0.7451152205467224
121,cntuo,0.7446426153182983
122,impris,0.7443588972091675
123,slavolding,0.7443040609359741
124,surreptitious,0.7441412210464478
125,vide,0.7438334822654724
126,rthe,0.7437727451324463
127,rccurity,0.7436650395393372
128,engsgd,0.7436124086380005
129,irrepre,0.7432689070701599
130,ieztu,0.7425094842910767
131,transport,0.742216944694519
132,keferre,0.7421953082084656
133,humanely,0.7420275807380676
134,senile,0.7414426803588867
135,statps,0.7407720685005188
136,votera,0.7407715320587158
137,tenth,0.7407605648040771
138,adequately,0.7404201030731201
139,sheriff,0.7400728464126587
140,profitably,0.7399932146072388
141,jfce,0.7399434447288513
142,degrading,0.7398409843444824
143,icnncssee,0.7396571636199951
144,finesa,0.7394333481788635
145,purpart,0.7389256954193115
146,acquistion,0.7387304902076721
147,dl,0.7387164831161499
148,canada,0.7385849356651306
149,loneer,0.7383744120597839
150,punishable,0.7379063367843628
151,severest,0.7378846406936646
152,cecertain,0.7378705143928528
153,slaye,0.7377646565437317
154,teasel,0.7377012372016907
155,vesela,0.7376725077629089
156,declar,0.737600564956665
157,piracy,0.7373564839363098
158,wipriaonuieut,0.7373075485229492
159,petersburg,0.7371072173118591
160,lert,0.7370453476905823
161,earning,0.7368482947349548
162,oaue,0.7365884184837341
163,hercest,0.7365443110466003
164,jscyipr,0.7362253665924072
165,franitite,0.7362089157104492
166,cunning,0.7359342575073242
167,solemnly,0.7358898520469666
168,regardtomnawayslaverfin,0.735866129398346
169,mak,0.7358307838439941
170,fthc,0.7356677651405334
171,auctioneer,0.7356109619140625
172,500,0.7354389429092407
173,bave,0.7353343367576599
174,evry,0.7353060245513916
175,longesublishe,0.73521888256073
176,jho,0.7351101040840149
177,opeq,0.7349726557731628
178,lesi,0.7349480390548706
179,ownership,0.7347402572631836
180,ablest,0.7346572279930115
181,suspicione,0.734505832195282
182,entitle,0.7341908812522888
183,sug,0.734123170375824
184,betook,0.7340580224990845
185,eiave,0.7339977622032166
186,claimant,0.7332833409309387
187,full,0.7332824468612671
188,beinjr,0.7332237362861633
189,stavehoidiwj,0.7331968545913696
190,slavi,0.732847273349762
191,tervene,0.7327399849891663
192,secure,0.7326728701591492
193,seaf,0.7326400279998779
194,itteotce,0.7326255440711975
195,siate,0.7326008081436157
196,slonlederate,0.7323592305183411
197,onetenth,0.7323179841041565
198,confiscate,0.7318971157073975
199,ays,0.7316612005233765
200,compensation,0.7316197156906128
201,tellow,0.7314698100090027
202,consultation,0.7314552068710327
203,iiereatter,0.7311098575592041
204,lawfully,0.730941891670227
205,unjer,0.7308953404426575
206,coollo,0.7308416962623596
207,1826,0.7308273911476135
208,thcjafrican,0.7307739853858948
209,serviceand,0.7304495573043823
210,ierriiory,0.7304139733314514
211,unequal,0.7304093241691589
212,abscond,0.7303358912467957
213,marvel,0.7301385402679443
214,jirofecf,0.7299067378044128
215,rtal,0.7295829653739929
216,resident,0.7291548252105713
217,encumber,0.7291029691696167
218,unlawfully,0.7289026975631714
219,pee,0.7288376688957214
220,exit,0.7285299301147461
221,security,0.7284076809883118
222,hcrtlave,0.7282192707061768
223,imprisione,0.7282099723815918
224,suusianiiany,0.7280662655830383
225,meanor,0.7277116179466248
226,also,0.7274547815322876
227,casctheamountreqnire,0.7274481654167175
228,whie,0.7273613214492798
229,jury,0.727196455001831
230,deliver,0.7271702289581299
231,infringe,0.7269123792648315
232,readie,0.7268859148025513
233,onehalf,0.7267788052558899
234,imprison,0.7267550826072693
235,rttii,0.7267512679100037
236,freo,0.7267281413078308
237,amount,0.7267202734947205
238,shewed,0.7265764474868774
239,ninth,0.7262334823608398
240,vaiuanie,0.7262214422225952
241,instead,0.7260751724243164
242,cordon,0.7259809970855713
243,othr,0.7259072661399841
244,gyit,0.7258002758026123
245,toseleot,0.7257914543151855
246,reality,0.7255488634109497
247,revol,0.7254577279090881
248,specially,0.7249919176101685
249,blave,0.7248233556747437
250,barre,0.7246978878974915
251,enroniery,0.7246966361999512
252,legisiatrbri,0.7244645357131958
253,inthe,0.7243862152099609
254,penalty,0.7243372201919556
255,vrac,0.7243300676345825
256,claim,0.7240651845932007
257,suall,0.7240025997161865
258,engage,0.7239770293235779
259,jorityin,0.7237871289253235
260,belptinkle,0.7237814664840698
261,avednesday,0.7236239314079285
262,ductosuro,0.7235971689224243
263,viction,0.7235885858535767
264,nullify,0.723353922367096
265,inesterorownr,0.7232757806777954
266,tour,0.7231817841529846
267,fepjm,0.7231552600860596
268,beentitle,0.7228911519050598
269,prvllege,0.7228254675865173
270,iit,0.7227420806884766
271,labar,0.7227194905281067
272,wsi,0.7226845622062683
273,187,0.7226637005805969
274,hallelujah,0.7225564122200012
275,aiise,0.7225397229194641
276,consent,0.7221031785011292
277,tlwt,0.7219304442405701
278,battery,0.721825361251831
279,tweive,0.721791684627533
280,tiort,0.7216281890869141
281,betteraay,0.7215019464492798
282,sicn,0.7213742733001709
283,exts,0.7213608622550964
284,ibl,0.7213215231895447
285,le33,0.7212672233581543
286,contempt,0.7208390831947327
287,shoit,0.7207390666007996
288,slavfvjor,0.7206355929374695
289,woiaon,0.7205933928489685
290,seyeral,0.7205867767333984
291,16i,0.720528781414032
292,hospitality,0.7205212116241455
293,transitu,0.7204914093017578
294,witbeut,0.7204816937446594
295,repudiale3ilhe,0.720460057258606
296,isla,0.7203186750411987
297,benefitof,0.7202354669570923
298,agiiost,0.7201186418533325
299,unpleasant,0.7201176881790161
300,respectively,0.7199447154998779
301,discliarge,0.7199362516403198
302,ttp,0.7197668552398682
303,inlertw,0.7197584509849548
304,valley,0.7195883989334106
305,enjoyment,0.7195554375648499
306,missioner,0.7192620038986206
307,procure,0.7192322015762329
308,fmritive,0.7192128896713257
309,inhabitant,0.7188945412635803
310,equal,0.7188825607299805
311,lating,0.7188363671302795
312,murgcnt,0.7188034653663635
313,inveigle,0.7186940908432007
314,mister,0.7185596227645874
315,ich,0.7185354828834534
316,olnoetaeat,0.7185152769088745
317,annul,0.7183927893638611
318,umbey,0.7183798551559448
319,prison,0.7182482481002808
320,salutary,0.7181398272514343
321,uubibwiii,0.7181274890899658
322,obli,0.7180607318878174
323,sopalle,0.7180045247077942
324,niteen,0.717951774597168
325,detention,0.7179416418075562
326,quadruple,0.7178546786308289
327,count,0.7176867127418518
328,questionjwas,0.7176635265350342
329,proscute,0.7175865769386292
330,sem,0.7173094153404236
331,hostila,0.7173070311546326
332,emigrate,0.7173052430152893
333,icie,0.7172380685806274
334,eleet,0.7171810865402222
335,sissippi,0.7171492576599121
336,taney,0.7170025110244751
337,fret,0.7169269919395447
338,lookiog,0.7168353199958801
339,evary,0.716835081577301
340,wiitc,0.7166902422904968
341,removal,0.7165155410766602
342,representa,0.716425359249115
343,impossible,0.7164052128791809
344,denonnce,0.7163693308830261
345,confederate,0.7162952423095703
346,asylum,0.7162894606590271
347,mect,0.716262936592102
348,valueless,0.7161102890968323
349,pensation,0.7160841226577759
350,rendition,0.716072142124176
351,slavelaw,0.7158774137496948
352,anoj,0.7157420516014099
353,birth,0.7155798673629761
354,description,0.7154237627983093
355,blowwbich,0.7153432965278625
356,slavepopulation,0.7152498364448547
357,6lave,0.7150482535362244
358,uaicm,0.7149264812469482
359,hirer,0.714674711227417
360,prohibitory,0.7146230340003967
361,famoaa,0.7145587205886841
362,spiritous,0.7144936323165894
363,3172cgt,0.7144599556922913
364,tribute,0.7144047617912292
365,jioney,0.7141481637954712
366,frachbe,0.7141397595405579
367,hicrat,0.7140580415725708
368,caittehiesaend,0.7139304280281067
369,formally,0.7138603329658508
370,cottoh,0.7138227820396423
371,scwtijic,0.7137816548347473
372,wilke,0.7137446999549866
373,jafr,0.7136878967285156
374,dtiienisfro,0.7136545181274414
375,violation,0.71360844373703
376,absolute,0.7135893106460571
377,sre,0.7135181427001953
378,ctner,0.7135100960731506
379,slaveholdicg,0.7134957313537598
380,donbt,0.7134525179862976
381,gia,0.7133738994598389
382,escaping,0.713276207447052
383,contract,0.7132100462913513
384,itstlave,0.7131883502006531
385,kindre,0.7129703164100647
386,securely,0.7127955555915833
387,amelio,0.7127461433410645
388,rlave,0.7127238512039185
389,8th,0.712713360786438
390,increase,0.7126674056053162
391,flee,0.71258145570755
392,sncu,0.7125498652458191
393,abet,0.712520956993103
394,claimcd,0.7125094532966614
395,oneddnthe,0.7123996615409851
396,individual,0.7123813629150391
397,goon,0.7122672200202942
398,pirson,0.7122008204460144
399,mead,0.7121680974960327
400,fpeciis,0.7120885252952576
401,rfatfeeete,0.7120391130447388
402,diminish,0.712017297744751
403,atatlmwit,0.711976170539856
404,pense,0.7118831872940063
405,slavcholding,0.71183842420578
406,conttitauau,0.711827278137207
407,thcslave,0.7116496562957764
408,yankee,0.7116027474403381
409,burden,0.7115989327430725
410,arrest,0.7115868330001831
411,iilave,0.7115440964698792
412,gation,0.711516261100769
413,wasio,0.7114762663841248
414,iaye,0.7114671468734741
415,welfire,0.7113969326019287
416,piitctrand,0.7112270593643188
417,80n3,0.7109856009483337
418,mgatvo,0.7109341025352478
419,thelaw,0.7109334468841553
420,bgt,0.7109171748161316
421,misde,0.7108838558197021
422,owner,0.7107965350151062
423,sixth,0.7103738784790039
