,token,cosine
0,1,0.9999191164970398
1,I,0.999912440776825
2,j,0.9999029636383057
3,the,0.9998977184295654
4,they,0.9998963475227356
5,law,0.9998906254768372
6,it,0.9998902678489685
7,mr,0.9998892545700073
8,house,0.9998868107795715
9,and,0.999886155128479
10,he,0.9998844265937805
11,one,0.9998823404312134
12,tho,0.9998806118965149
13,man,0.9998802542686462
14,a,0.9998781681060791
15,in,0.9998762011528015
16,f,0.9998754262924194
17,slave,0.9998695254325867
18,say,0.9998672604560852
19,we,0.9998657703399658
20,n,0.9998653531074524
21,master,0.9998647570610046
22,take,0.9998569488525391
23,time,0.9998562335968018
24,h,0.9998539686203003
25,make,0.9998459219932556
26,would,0.9998418688774109
27,people,0.9998407959938049
28,find,0.9998382925987244
29,r,0.9998382329940796
30,year,0.999837338924408
31,old,0.999832808971405
32,public,0.9998325705528259
33,observant,0.9998263120651245
34,come,0.9998147487640381
35,go,0.9998142123222351
36,e,0.999813973903656
37,may,0.9998072385787964
38,u,0.9998012781143188
39,shall,0.9997979402542114
40,v,0.9997955560684204
41,not,0.9997950792312622
42,upon,0.9997938871383667
43,bring,0.9997805953025818
44,but,0.9997591376304626
45,give,0.9997550845146179
46,girl,0.9997428059577942
47,room,0.9997401833534241
48,she,0.9997388124465942
49,another,0.9997363090515137
50,see,0.9997341632843018
51,faithful,0.9997339248657227
52,day,0.9997312426567078
53,brother,0.999731183052063
54,good,0.9997288584709167
55,hut,0.999724268913269
56,well,0.9997174143791199
57,ho,0.9997162222862244
58,way,0.9997147917747498
59,p,0.9997142553329468
60,two,0.9997124075889587
61,call,0.9997112154960632
62,to,0.9997090101242065
63,must,0.9997053146362305
64,could,0.9997050762176514
65,know,0.9997022747993469
66,this,0.9996983408927917
67,s,0.9996961951255798
68,w,0.9996909499168396
69,service,0.9996889233589172
70,that,0.9996878504753113
71,on,0.9996827244758606
72,b,0.9996826648712158
73,without,0.9996820688247681
74,every,0.9996778964996338
75,horse,0.9996777772903442
76,family,0.9996761083602905
77,child,0.99967360496521
78,for,0.9996713399887085
79,ami,0.999661386013031
80,lie,0.999660849571228
81,hand,0.9996578693389893
82,t,0.9996546506881714
83,you,0.9996444582939148
84,life,0.9996431469917297
85,place,0.9996430277824402
86,become,0.9996395707130432
87,like,0.9996359348297119
88,get,0.9996349811553955
89,m,0.9996333718299866
90,free,0.9996322989463806
91,let,0.9996264576911926
92,friend,0.9996258020401001
93,little,0.9996193647384644
94,send,0.9996138215065002
95,your,0.9996082186698914
96,receive,0.999605655670166
97,many,0.9996052980422974
98,might,0.999604344367981
99,th,0.9996035695075989
100,treat,0.9996032118797302
101,be,0.9996023774147034
102,run,0.9996019601821899
103,great,0.9996001720428467
104,l,0.9995993971824646
105,hire,0.9995976090431213
106,whether,0.9995973110198975
107,among,0.9995973110198975
108,leave,0.9995949268341064
109,c,0.9995943903923035
110,if,0.9995943903923035
111,woman,0.9995937943458557
112,sell,0.9995860457420349
113,thou,0.9995832443237305
114,keep,0.9995802640914917
115,look,0.9995802640914917
116,word,0.999579668045044
117,i,0.9995722770690918
118,hi,0.9995657205581665
119,pay,0.9995584487915039
120,seem,0.9995572566986084
121,tell,0.9995481967926025
122,maid,0.9995457530021667
123,white,0.9995448589324951
124,much,0.9995407462120056
125,three,0.9995335936546326
126,speak,0.9995326399803162
127,young,0.9995282888412476
128,lord,0.999527633190155
129,think,0.9995251893997192
130,state,0.9995185732841492
131,country,0.9995164275169373
132,right,0.9995131492614746
133,even,0.9995071291923523
134,slavery,0.999502956867218
135,hebrew,0.9995018839836121
136,hold,0.999500036239624
137,kind,0.9994903206825256
138,door,0.9994865655899048
139,mrs,0.999485969543457
140,fugitive,0.9994853138923645
141,use,0.9994817972183228
142,there,0.9994779825210571
143,do,0.999474048614502
144,order,0.9994704127311707
145,general,0.9994686841964722
146,bis,0.9994681477546692
147,will,0.9994559288024902
148,ot,0.9994390606880188
149,high,0.9994348883628845
150,person,0.9994310140609741
151,bear,0.9994276762008667
152,relation,0.9994199275970459
153,escape,0.9994194507598877
154,miss,0.9994152188301086
155,father,0.9994150400161743
156,care,0.9994099736213684
157,thus,0.9993995428085327
158,d,0.9993994235992432
159,still,0.9993978142738342
160,as,0.9993924498558044
161,so,0.9993918538093567
162,hear,0.9993859529495239
163,act,0.9993802309036255
164,first,0.9993797540664673
165,negro,0.9993751645088196
166,all,0.9993733167648315
167,whole,0.9993706345558167
168,god,0.9993572235107422
169,subject,0.999352216720581
170,st,0.9993510246276855
171,though,0.9993433356285095
172,put,0.9993401765823364
173,who,0.9993281960487366
174,wait,0.9993273615837097
175,hy,0.9993079900741577
176,work,0.999306321144104
177,humble,0.9993026852607727
178,several,0.999298095703125
179,now,0.9992914795875549
180,k,0.9992896318435669
181,wife,0.9992665648460388
182,household,0.9992661476135254
183,long,0.9992650747299194
184,remain,0.9992641806602478
185,aud,0.9992614388465881
186,enter,0.9992581009864807
187,never,0.999251127243042
188,buy,0.999250054359436
189,character,0.9992489218711853
190,unto,0.9992383718490601
191,last,0.999234676361084
192,term,0.9992313981056213
193,part,0.9992197155952454
194,of,0.9992160797119141
195,true,0.9992108941078186
196,when,0.9992018938064575
197,city,0.9991884231567383
198,thing,0.999186098575592
199,attend,0.999186098575592
200,age,0.9991844296455383
201,wan,0.9991830587387085
202,new,0.9991734027862549
203,serve,0.9991671442985535
204,have,0.9991649985313416
205,bo,0.9991648197174072
206,domestic,0.9991596341133118
207,land,0.9991564154624939
208,no,0.9991544485092163
209,power,0.9991377592086792
210,live,0.9991353154182434
211,rule,0.9991310834884644
212,servants,0.9991204142570496
213,his,0.9991186261177063
214,mean,0.9991178512573242
215,other,0.9991176128387451
216,ask,0.9991118311882019
217,away,0.9991058707237244
218,deliver,0.9991027116775513
219,hie,0.9990967512130737
220,11,0.9990950226783752
