,token,cosine
0,slavo,0.7542943954467773
1,inly,0.7354750037193298
2,ilave,0.7318007349967957
3,moveable,0.7181422114372253
4,nonslaveholdioor,0.7130172252655029
5,anf,0.7068883776664734
6,froe,0.7067440152168274
7,bpro,0.698738694190979
8,blave,0.6938408613204956
9,stite,0.691842257976532
10,dexterity,0.691178023815155
11,compulsory,0.6900018453598022
12,letween,0.6893160343170166
13,coum,0.688103437423706
14,transitu,0.6875792741775513
15,4,0.6874791383743286
16,eek,0.6872393488883972
17,othi,0.6850622296333313
18,tliii,0.6826659440994263
19,tkeir,0.6815652251243591
20,cherefore,0.6799712181091309
21,wouh,0.6773127317428589
22,geally,0.6766444444656372
23,alave,0.6725248098373413
24,alwuh,0.6706228852272034
25,ipso,0.6702305674552917
26,0itxi,0.6698635816574097
27,reenslavement,0.6697515249252319
28,celestial,0.669112503528595
29,iueidious,0.669007420539856
30,willingly,0.6678062677383423
31,kuglish,0.6673870086669922
32,elave,0.6663591861724854
33,jacd,0.6654027104377747
34,pannage,0.6650439500808716
35,slavti,0.6643781065940857
36,produoo,0.6629670262336731
37,supersede,0.6619643568992615
38,clave,0.6609835624694824
39,kasteru,0.6607751846313477
40,teem,0.6602099537849426
41,convenience,0.6595826148986816
42,client,0.6589719653129578
43,slav,0.6587113738059998
44,rogarde,0.6579530239105225
45,7128135,0.6563778519630432
46,elate,0.6555069088935852
47,slavesall,0.6550499796867371
48,vastly,0.6536229848861694
49,acilitie,0.6511966586112976
50,eign,0.6511691212654114
51,whence,0.6503767371177673
52,otii,0.65021151304245
53,slaverysustaining,0.6494735479354858
54,pennsyivania,0.6493227481842041
55,jrought,0.6488326191902161
56,monopolizing,0.6480867266654968
57,rcopene,0.647338330745697
58,irishman,0.6471540927886963
59,ingle,0.6464558243751526
60,slavee,0.6456142067909241
61,undeniably,0.645351767539978
62,elavehildirg,0.6434938907623291
63,baby,0.6426328420639038
64,slavahoide,0.6425384879112244
65,lave,0.6422522664070129
66,knowingly,0.6418536305427551
67,transferable,0.6414000391960144
68,othe,0.641303300857544
69,sanm,0.6412513852119446
70,spear,0.641022264957428
71,prii,0.6409940123558044
72,settleroeut,0.6407792568206787
73,hould,0.6407763957977295
74,espef,0.6406130194664001
75,aluc,0.6405884623527527
76,otmtaol,0.6402493119239807
77,stringently,0.6400641798973083
78,itinere,0.6400039792060852
79,lerchaudise,0.6395033001899719
80,rotecte,0.6394551396369934
81,coolie,0.6394088864326477
82,conventicu,0.6390203833580017
83,ihip,0.6389545202255249
84,species,0.6387830376625061
85,productio,0.63871830701828
86,thereoffiand,0.6381168365478516
87,alt,0.6380789875984192
88,ngress,0.6378964781761169
89,excessive,0.6373546719551086
90,earner,0.6365174651145935
91,dentol,0.6362634897232056
92,same,0.6359903216362
93,protecion,0.6359050273895264
94,slavce,0.6356523036956787
95,seiie,0.6354479193687439
96,attire,0.6352747082710266
97,enslavement,0.6344665288925171
98,oommunitie,0.6338886022567749
99,cx,0.6337976455688477
100,employedthe,0.6330733299255371
101,slaves,0.6325961351394653
102,slaveowner,0.6322399973869324
103,slavw,0.6313995718955994
104,jneaumjitwii,0.6311004161834717
105,nuth,0.630096971988678
106,movable,0.6300822496414185
107,ipo,0.6297864317893982
108,inadequate,0.6297123432159424
109,ath,0.629473865032196
110,nve,0.6292648315429688
111,immigration,0.6290273070335388
112,tendinglo,0.6283701062202454
113,profitably,0.6280168294906616
114,ije,0.6274371147155762
115,exe,0.6274269223213196
116,scape,0.6266836524009705
117,othor,0.6264241337776184
118,peoph,0.6259316802024841
119,compel,0.6256968379020691
120,liablo,0.625673234462738
121,wavea,0.6255113482475281
122,utice,0.6252773404121399
123,cob,0.6249270439147949
124,0l,0.6246862411499023
125,bozlcs,0.6246577501296997
126,6ale,0.6244910955429077
127,ual,0.6234856247901917
128,brir,0.6233327984809875
129,assessed,0.6230905652046204
130,ricam,0.6230606436729431
131,voluntarily,0.6230264902114868
132,indictmentsummon,0.6228824853897095
133,questionable,0.6219965219497681
134,3lave,0.6214940547943115
135,disposalhis,0.6211202144622803
136,tiitc,0.6209841370582581
137,uneducated,0.6209486722946167
138,uever,0.6209050416946411
139,freeborn,0.6204391121864319
140,oonsent,0.6198153495788574
141,home,0.6196357011795044
142,tame,0.6195601224899292
143,lawful,0.6194367408752441
144,lit1,0.6194175481796265
145,respondent,0.6189367175102234
146,oxen,0.6185731887817383
147,scoun3,0.6185500025749207
148,tpr,0.6182819604873657
149,make9,0.618150532245636
150,danish,0.6180233359336853
151,srho,0.6178480386734009
152,hern,0.6177389025688171
153,slaveseem,0.6174148917198181
154,mulattoe,0.6172053813934326
155,thonght,0.6168596744537354
156,transler,0.6166608929634094
157,practicable,0.6166147589683533
158,purchase,0.6161079406738281
159,apprentice,0.6159144639968872
160,establishnent,0.6153748631477356
161,nonslaveolde,0.6149329543113708
162,valueless,0.6147914528846741
163,eraonalitioh,0.6147496104240417
164,imount,0.6146442294120789
165,bhall,0.6145394444465637
166,628700,0.6141893863677979
167,factj,0.6140058040618896
168,nited,0.6139484643936157
169,sustr,0.6138653755187988
170,thv,0.6134495735168457
171,34000,0.6134322285652161
172,guise,0.613402247428894
173,civilizationthe,0.6131450533866882
174,noninterference,0.6131215691566467
175,back,0.6126738786697388
176,doite,0.612513542175293
177,enhance,0.6121959090232849
178,tiu,0.6120826005935669
179,ematicipition,0.6118941307067871
180,teiso,0.6118906140327454
181,facto,0.6117557287216187
182,frecmnn,0.6115025281906128
183,nanvlo,0.6114280819892883
184,1250,0.6112895607948303
185,adequate,0.6109448075294495
186,sasure,0.6108437180519104
187,service,0.6106802821159363
188,inoperative,0.6106460094451904
189,fukber,0.6104742884635925
190,aubjeote,0.6104376912117004
191,voluble,0.6102680563926697
192,mayuolde,0.610123872756958
193,coercion,0.6099076867103577
194,nonslavedding,0.6097206473350525
195,profit,0.6095921397209167
196,relative,0.609452486038208
197,any,0.6090275645256042
198,opposes,0.6088195443153381
199,hss,0.6088062524795532
200,inducement,0.6086524128913879
201,tax,0.608445942401886
202,uniou,0.6084191203117371
203,womad,0.6083325147628784
204,appear,0.6081477999687195
205,purchoso,0.6076107621192932
206,fewyear,0.6075722575187683
207,176,0.6072717308998108
208,immigrant,0.606903612613678
209,theu,0.6067635416984558
210,nonslaveholdtiig,0.6066668033599854
211,applicable,0.606582522392273
212,deficiency,0.6065585017204285
213,soonbe,0.6064441204071045
214,bodycorporate,0.6064234972000122
215,proslaec,0.6064134836196899
216,kausas,0.6061831116676331
217,analogythat,0.6061045527458191
218,subsistence,0.6059486269950867
219,ilege,0.6056757569313049
220,adfertisement,0.605656623840332
221,devolve,0.6056559085845947
222,sompufsion,0.6056337356567383
223,lufore,0.6055728793144226
224,iwa,0.6055710315704346
225,slavei,0.6055136919021606
226,might,0.6050538420677185
227,cipate,0.6050081849098206
228,selfdefence,0.6048495769500732
229,presaly,0.6045722961425781
230,99118,0.6045580506324768
231,jlave,0.6044914126396179
232,nvert,0.6044209003448486
233,extensively,0.6043415069580078
234,ilavee,0.6041603088378906
235,frefc,0.6039761900901794
236,44026,0.6038577556610107
237,slavt,0.6037700176239014
238,employ,0.6037566065788269
239,tboy,0.6033930778503418
240,euslav,0.603325366973877
241,where,0.6033226251602173
242,nigger,0.6032671928405762
243,iabor,0.6029338240623474
244,transfer,0.602911651134491
245,benefit,0.6028668284416199
246,ave,0.6026061773300171
247,upoc,0.6025421023368835
248,africans,0.6025162935256958
249,educated,0.6024324297904968
250,prevrve,0.6020306944847107
251,bsllle,0.6019132733345032
252,naster,0.6018490791320801
253,car,0.601580023765564
254,sume,0.6014728546142578
255,canada,0.6014692187309265
256,piracyshould,0.6014502048492432
257,insecure,0.6013790965080261
258,throwopen,0.6013482213020325
259,lagos,0.6013473272323608
260,1s10,0.6012325882911682
261,slie,0.6011754274368286
262,memler,0.6011082530021667
263,auioiican,0.6009928584098816
264,onea,0.6009646058082581
265,rangement,0.6009315252304077
266,farthe,0.6008666157722473
267,probabilitj,0.600745677947998
268,ircm,0.6006041169166565
269,ycu,0.6004714965820312
270,jierson,0.6001074910163879
271,inviolable,0.6000163555145264
272,recapture,0.599765419960022
273,hence,0.5997008085250854
274,shf,0.5996207594871521
275,slaveif,0.5995967984199524
276,corporeally,0.5995857119560242
277,1798,0.5995388627052307
278,negro,0.5994333624839783
279,kanas,0.5993126034736633
280,partially,0.5990776419639587
281,unmove,0.5990616679191589
282,lla,0.599035918712616
283,suar,0.5985690951347351
284,thenlore,0.5981196761131287
285,statt,0.5980018973350525
286,confirma,0.597898542881012
287,lto,0.5976138114929199
288,thereof,0.5975784063339233
289,locus,0.5975235104560852
290,historians,0.5974903106689453
291,fleet,0.5974726676940918
292,ritori,0.5973649024963379
293,trovixle,0.597358763217926
294,1796,0.597220778465271
295,eonaniraev,0.5971987247467041
296,injure,0.5971235632896423
297,successfully,0.596890926361084
298,1488192,0.5968278050422668
299,pensl,0.5966363549232483
300,thepre,0.5965789556503296
301,cially,0.596488893032074
302,sjicak,0.5963861346244812
303,tato,0.5963793992996216
304,description,0.5962728261947632
305,qualified,0.5960336327552795
306,accord,0.5958999395370483
307,formod,0.5958223938941956
308,senile,0.5956267714500427
309,negroe,0.5954270958900452
310,require,0.5954231023788452
311,slavos,0.5954176783561707
312,ara,0.5952959060668945
313,anyone,0.5949530005455017
314,slaveexporte,0.5949385166168213
315,diversify,0.5948665142059326
316,i033,0.5948435068130493
317,regulating,0.5947589874267578
318,employment,0.5947202444076538
319,nhabitant,0.5945690870285034
320,nghi,0.5945343971252441
321,noney,0.5944710373878479
322,citizena,0.594433069229126
323,double,0.5942378044128418
324,courser,0.5941829681396484
325,keu,0.5941617488861084
326,mulatto,0.5939697027206421
327,tilavei,0.5939388275146484
328,inafure,0.5939306616783142
329,consequence,0.5937891006469727
330,tunately,0.5935984253883362
331,wuid,0.5935316681861877
332,hrn,0.5934517979621887
333,arrye,0.5934406518936157
334,slavot,0.5931615829467773
335,1s07,0.5931482315063477
336,ofm,0.5930400490760803
337,taie,0.5928667783737183
338,slavi,0.5928375124931335
339,llrsolre,0.5928125977516174
340,woold,0.5927475094795227
341,mori,0.5925953388214111
342,pay,0.592360258102417
343,kindhearte,0.5922491550445557
344,disuption,0.5922110080718994
345,unprofitable,0.5919557213783264
346,native,0.5918724536895752
347,louisianafor,0.5918274521827698
348,goiag,0.5917525291442871
349,thau,0.5915980339050293
350,joit,0.5914961099624634
351,mnjorhy,0.5914626121520996
352,citicen,0.5913989543914795
353,constit,0.591314971446991
354,freeuom,0.5910663604736328
355,cheap,0.5908648371696472
356,curii,0.5908429622650146
357,bona,0.5908049941062927
358,referfn,0.5907865762710571
359,slaveswould,0.5907483696937561
360,loss,0.5906931161880493
361,pcrseveringly,0.5906062722206116
362,shun,0.5905322432518005
363,disfranchise,0.590421199798584
364,enormous,0.5901762247085571
