,token,cosine
0,observant,0.9995335340499878
1,servantsr,0.9992722868919373
2,manservant,0.9992581605911255
3,servanti,0.9992547035217285
4,unobservant,0.9991698861122131
5,servantgive,0.9990336298942566
6,obedientservant,0.998927116394043
7,servantgirl,0.9989179968833923
8,servantsgive,0.9989156126976013
9,mlowservant,0.9988775253295898
10,servantwoman,0.9986931681632996
11,faithfulservant,0.9986514449119568
12,vant,0.997550368309021
13,serve,0.9966639876365662
14,ser,0.9961738586425781
15,respectfully,0.9959357976913452
16,service,0.9949042201042175
17,serviee,0.9948863387107849
18,respect,0.9942653775215149
19,station,0.9941156506538391
20,master,0.9938068985939026
21,nation,0.9937513470649719
22,rant,0.9935137629508972
23,constant,0.9931371212005615
24,the,0.9931073188781738
25,obedient,0.9928619861602783
26,dient,0.9926105737686157
27,want,0.9925884008407593
28,formation,0.9925559759140015
29,information,0.9923968315124512
30,enter,0.9921988844871521
31,consideration,0.9921042919158936
32,other,0.9918861985206604
33,preserve,0.991790771484375
34,relation,0.9916489124298096
35,operation,0.9916362166404724
36,man,0.9916322827339172
37,present,0.9915481805801392
38,invention,0.9914854764938354
39,bent,0.9911431074142456
40,another,0.9911199808120728
41,attention,0.9910330176353455
42,moment,0.9910097718238831
43,send,0.9908597469329834
44,respec,0.9906008839607239
45,publication,0.990471601486206
46,geration,0.9902291297912598
47,president,0.9902269840240479
48,rather,0.9901867508888245
49,fully,0.9900696873664856
50,there,0.9900349974632263
51,weather,0.9899417161941528
52,house,0.9898983836174011
53,cent,0.9898923635482788
54,water,0.9898359179496765
55,cover,0.9897964596748352
56,whether,0.9897644519805908
57,either,0.989655613899231
58,int,0.9894954562187195
59,mother,0.9894423484802246
60,liter,0.9893766045570374
61,center,0.9893115758895874
62,dependant,0.9891778230667114
63,action,0.9891296029090881
64,conversation,0.9891080260276794
65,printer,0.9887860417366028
66,ever,0.9887520670890808
67,airent,0.988688588142395
68,constitution,0.9886794090270996
69,never,0.9886218905448914
70,gentleman,0.9886216521263123
71,matter,0.9886184334754944
72,winter,0.9885472059249878
73,diameter,0.9884841442108154
74,order,0.9883810877799988
75,stiver,0.9880925416946411
76,excellent,0.9880391955375671
77,parent,0.9878695011138916
78,register,0.9878159761428833
79,vacant,0.9878098368644714
80,woman,0.9877986907958984
81,manner,0.9877833127975464
82,waiter,0.9876888990402222
83,consistent,0.9876186847686768
84,superstition,0.9873932600021362
85,reception,0.987342894077301
86,resolution,0.9872689247131348
87,communication,0.9871537089347839
88,different,0.9871393442153931
89,ver,0.987056314945221
90,father,0.9869617223739624
91,lever,0.9869297742843628
92,dresser,0.9868471622467041
93,mansion,0.986794650554657
94,enchant,0.9867727160453796
95,scent,0.9867570996284485
96,motion,0.9865338206291199
97,indifferent,0.9865144491195679
98,cor,0.9865067005157471
99,vacation,0.9864974617958069
100,mccant,0.9864838123321533
101,intercourse,0.9864667057991028
102,mantel,0.9863976836204529
103,thousand,0.98639315366745
104,ner,0.9863006472587585
105,re,0.9862397313117981
106,consider,0.986239492893219
107,truant,0.9862387180328369
108,entertainment,0.9862024784088135
109,together,0.9861322641372681
110,gather,0.986132025718689
111,receive,0.9860334396362305
112,eligant,0.9860154986381531
113,thein,0.9859665036201477
114,uoedient,0.9858091473579407
115,companion,0.9857606887817383
116,after,0.9856995940208435
117,wer,0.9856939315795898
118,miter,0.9855342507362366
119,hotter,0.98545241355896
120,instantly,0.9854039549827576
121,ungallant,0.9853243231773376
122,call,0.9853028059005737
123,administer,0.985294759273529
124,in,0.9852837324142456
125,sell,0.9852539896965027
126,patient,0.985253095626831
127,iser,0.9851532578468323
128,gently,0.9851223826408386
129,rest,0.9851115942001343
130,live,0.9850733876228333
131,er,0.9849537014961243
132,gentle,0.984947144985199
133,maisant,0.9849328994750977
134,supply,0.9848602414131165
135,they,0.9847956299781799
136,oyster,0.9847238659858704
137,whenever,0.9845578670501709
138,niaster,0.9843955636024475
139,fint,0.9843848943710327
140,intelligence,0.9843639135360718
141,steamer,0.984305739402771
142,however,0.9842756986618042
143,attentive,0.9842311143875122
144,many,0.9841988682746887
145,supper,0.9841314554214478
146,youchidient,0.9841129183769226
147,silent,0.9841078519821167
148,1resident,0.9840444326400757
149,for,0.9838553071022034
150,proper,0.9836131930351257
151,nhediant,0.9834200143814087
152,atraction,0.9834190607070923
153,deficient,0.9833215475082397
154,question,0.9831627011299133
155,repectlully,0.9831626415252686
156,therefore,0.9830219149589539
157,indulgent,0.9830067157745361
158,household,0.982960045337677
159,whatever,0.9829437732696533
160,course,0.9828152656555176
161,hire,0.9827457666397095
162,incessantly,0.9827107191085815
163,sensible,0.9826159477233887
164,dinner,0.982559084892273
165,livery,0.9824775457382202
166,lie,0.9824173450469971
167,themor,0.9824095964431763
168,strive,0.9823141098022461
169,manage,0.9822872877120972
170,recently,0.982265055179596
171,satisfaction,0.9822571277618408
172,eve,0.9821202158927917
173,fireman,0.9820797443389893
174,intrusion,0.9820155501365662
175,native,0.9818151593208313
176,interest,0.9817230105400085
177,dutifully,0.9816746115684509
178,refreshment,0.9816071391105652
179,ifwter,0.9814698696136475
180,then,0.9814075231552124
181,masterno,0.9813842177391052
182,squatter,0.9813046455383301
183,thej,0.981184720993042
184,could,0.9810670018196106
185,child,0.981034517288208
186,fiend,0.98080974817276
187,manning,0.9806877374649048
188,discover,0.9806158542633057
189,contract,0.9805370569229126
190,andwent,0.9803920984268188
191,give,0.9803658723831177
192,their,0.9802982807159424
193,movement,0.9802641868591309
194,ispect,0.9802605509757996
195,door,0.980242133140564
196,relative,0.9802145957946777
197,daughter,0.9802131652832031
198,all,0.980170726776123
199,exhibition,0.9801027774810791
200,department,0.9800707101821899
201,even,0.9800494909286499
202,population,0.9800168871879578
203,plnnter,0.9800110459327698
204,hanover,0.9799982905387878
205,perceive,0.979979932308197
206,nevertheless,0.9799109101295471
207,secession,0.9798716902732849
208,porter,0.9798694849014282
209,affectionate,0.9798161387443542
210,company,0.9797863364219666
211,operative,0.9797508120536804
212,establishment,0.9797459244728088
213,conceive,0.9794989824295044
214,person,0.9793400168418884
215,antly,0.9793388247489929
216,instructing,0.9793181419372559
217,usher,0.9792529940605164
218,rospeolfully,0.9792240262031555
219,motherland,0.9791899919509888
220,indirect,0.9790935516357422
221,little,0.9789876341819763
222,pally,0.9789835810661316
223,well,0.9786961674690247
224,account,0.9786475300788879
225,come,0.9786025285720825
226,fire,0.9785307049751282
227,rend,0.9785035848617554
