,token,cosine
0,slave1,0.9999895691871643
1,slave3,0.9999877214431763
2,slave4,0.9999873042106628
3,slavey,0.9999864101409912
4,slaveh,0.9999862909317017
5,slaveto,0.9999851584434509
6,slaveiv,0.9999847412109375
7,slavesa,0.9999846816062927
8,slaves,0.9999846816062927
9,slaveiy,0.9999833106994629
10,slavehohh,0.9999812245368958
11,slavu,0.9999796748161316
12,slaverv,0.9999783635139465
13,slavehodti,0.9999783039093018
14,slav,0.9999778270721436
15,ofslave,0.9999773502349854
16,slavn,0.9999770522117615
17,slaveowne,0.9999763369560242
18,slaverys,0.999975860118866
19,slavehol,0.9999752640724182
20,slavejuffdti,0.9999749064445496
21,slaverylie,0.99997478723526
22,slavehojdiog,0.9999746680259705
23,slavety,0.9999743700027466
24,slaveryby,0.999974250793457
25,slavesaro,0.9999740719795227
26,slaveliomvr,0.9999738931655884
27,slavo3,0.9999733567237854
28,slavt,0.9999729990959167
29,slaverym,0.9999728202819824
30,slaveiybut,0.9999727606773376
31,slaveryj,0.9999718070030212
32,slaveryit,0.9999717473983765
33,slavery1,0.9999715089797974
34,slaveryin,0.9999714493751526
35,slaveryof,0.9999712705612183
36,slavesin,0.9999711513519287
37,slaver,0.9999710917472839
38,slaveryan,0.9999708533287048
39,slavws,0.9999698996543884
40,slaveluildiug,0.9999697208404541
41,slavrv,0.9999690055847168
42,slavvs,0.9999687075614929
43,slaveryor,0.9999687075614929
44,slaveholdn,0.9999686479568481
45,thtslave,0.9999685287475586
46,slaveliol,0.9999679923057556
47,slavo,0.9999677538871765
48,slavi,0.9999676942825317
49,slavehoidinj,0.999967634677887
50,slaverytho,0.9999673962593079
51,slavery,0.999967098236084
52,slaveholdiug,0.9999666213989258
53,slavft,0.9999662041664124
54,lroslave,0.999966025352478
55,slavegrown,0.9999657869338989
56,slavnv,0.9999657273292542
57,slavehokle,0.9999656677246094
58,slavurv,0.999965488910675
59,slavetrad,0.9999648332595825
60,slaverywhen,0.9999642372131348
61,slaveryfor,0.99996417760849
62,slaverythat,0.9999639987945557
63,slavetrado,0.9999638199806213
64,slaveholdiog,0.999963641166687
65,slavqf,0.9999635219573975
66,letslave,0.999962329864502
67,slaviv,0.9999617338180542
68,nijrjjersslave,0.9999617338180542
69,slavciy,0.9999615550041199
70,slavelioldiug,0.9999614953994751
71,slavebolde,0.9999613761901855
72,slavwy,0.9999604821205139
73,slavorv,0.9999603629112244
74,slaveholdin,0.9999603033065796
75,slaveholditig,0.9999598860740662
76,slaveholdeis,0.9999595880508423
77,slavoiy,0.9999595284461975
78,nonslave,0.9999595284461975
79,sla,0.9999589920043945
80,slaveholde,0.9999587535858154
81,slavesfor,0.9999585747718811
82,slavcryij,0.9999579787254333
83,slaveliohliui,0.9999578595161438
84,slavedeale,0.9999575018882751
85,mixedslave,0.9999574422836304
86,slavchowr,0.9999561905860901
87,slaveudder,0.9999561309814453
88,slavclrado,0.9999557137489319
89,slavih,0.9999555349349976
90,enslave,0.9999548196792603
91,11slaves,0.9999547004699707
92,tinslave,0.9999542832374573
93,slaveholiliug,0.9999537467956543
94,slaveliolde,0.9999527335166931
95,slaveholders,0.9999527335166931
96,slavesthat,0.9999521374702454
97,slaveholdiiiff,0.9999507665634155
98,slavedriver,0.9999504089355469
99,slaveryshall,0.9999502301216125
100,jcnslavem,0.9999498128890991
101,slavecatcher,0.9999495148658752
102,slaveswhile,0.9999492168426514
103,slaveiabortor,0.9999489784240723
104,slavcholdiug,0.9999489188194275
105,toslavea,0.9999488592147827
106,slavohad,0.9999479651451111
107,slavehoming,0.9999479055404663
108,inslave,0.9999473094940186
109,theslave,0.9999467134475708
110,slavelabor,0.9999465942382812
111,nioroslave,0.9999454617500305
112,slaveholder,0.9999449849128723
113,dayslavery,0.999944806098938
114,antlslavery,0.9999445676803589
115,slaveholding,0.9999445080757141
116,slavetrade,0.9999444484710693
117,ojslavery,0.9999443292617798
118,slavehohling,0.9999434351921082
119,lave,0.9999417662620544
120,slavchnlde,0.999940812587738
121,slavotidnbts,0.9999397397041321
122,slavotrado,0.9999394416809082
123,nonslavery,0.9999392032623291
124,slavotradr,0.9999387860298157
125,slavcholde,0.9999385476112366
126,nroslaverv,0.9999356269836426
127,slaveryenumerate,0.9999353885650635
128,ptoslavery,0.99993497133255
129,thatslaverv,0.9999346733093262
130,slavory,0.9999343156814575
131,slaveliolding,0.9999343156814575
132,basisslavery,0.9999337792396545
133,anlislavery,0.9999334216117859
134,fwmjiinijjuffoivslavery,0.9999334216117859
135,thatslavery,0.9999333620071411
136,slavclolders,0.9999330043792725
137,whichslavery,0.9999326467514038
138,amislavery,0.9999324083328247
139,nonslavehoweffc,0.9999324083328247
