,token,cosine
0,slavesslave,0.9693871736526489
1,sflave,0.9627665281295776
2,5lave,0.9622983336448669
3,6lave,0.9622763395309448
4,xlave,0.9616347551345825
5,dlave,0.9607442617416382
6,vlave,0.9601160883903503
7,alave,0.9593666791915894
8,klave,0.9592342972755432
9,slavee,0.9584834575653076
10,flave,0.957521378993988
11,jlave,0.9571344256401062
12,tlave,0.9558187127113342
13,slavo,0.9554359316825867
14,elave,0.9548627734184265
15,lave,0.9548190236091614
16,blave,0.9546362161636353
17,slaveex,0.9545736312866211
18,slavesk,0.9539043307304382
19,ulave,0.9536049365997314
20,slavea,0.9535839557647705
21,slavos,0.9530277848243713
22,slaveaj,0.9529288411140442
23,slaveas0,0.9528080821037292
24,rlave,0.9527032375335693
25,slavej,0.9523361921310425
26,slavesjsafe,0.952315628528595
27,olave,0.9521841406822205
28,slavoahlp,0.9517090320587158
29,slavoj,0.9513868093490601
30,eaelave,0.9510412216186523
31,slaveswho,0.9508582949638367
32,slaveaot,0.9507883787155151
33,slavoa,0.9505263566970825
34,slavoe,0.9504997134208679
35,eualave,0.950137197971344
36,slavesy,0.9500673413276672
37,slavovv,0.9495854377746582
38,slaveso,0.9494710564613342
39,cmclave,0.9494621157646179
40,cdnclave,0.9489372372627258
41,slave9,0.948849618434906
42,enblave,0.9486892223358154
43,slavefj,0.9485847353935242
44,slaveky,0.9484924077987671
45,slaveg,0.9484891295433044
46,slavekt,0.9483901262283325
47,erlave,0.9483287930488586
48,slavesuch,0.9482355117797852
49,slavlsw,0.9481630325317383
50,clave,0.9479256272315979
51,eimlave,0.947899341583252
52,slavt,0.9474369287490845
53,slavekv,0.9473612308502197
54,slavet,0.9471200704574585
55,slavon,0.9470319151878357
56,slave1,0.9469233751296997
57,slava,0.9466816186904907
58,slavj,0.9464731812477112
59,slav6,0.946439802646637
60,slavf,0.9464030861854553
61,ftlave,0.9463629126548767
62,slaveyy,0.9463202357292175
63,hlave,0.9463175535202026
64,ilave,0.9462952017784119
65,slavoow,0.9462464451789856
66,slavecab,0.9462214112281799
67,slavd,0.9455569386482239
68,slavb,0.9455317258834839
69,slavoof,0.9454889297485352
70,slavest,0.9454045295715332
71,euelave,0.9453904032707214
72,slav,0.9453728795051575
73,nlave,0.9453045129776001
74,slavoi,0.9451289176940918
75,slavq,0.9450673460960388
76,slavp,0.9447260499000549
77,slavxs,0.9447075724601746
78,slavecy,0.9446824193000793
79,slavs,0.9446700811386108
80,slav0,0.9446029663085938
81,slavot,0.9444481134414673
82,slavta,0.9443836212158203
83,slavev,0.9443237781524658
84,plave,0.9442994594573975
85,slavfs,0.9441520571708679
86,slavesto,0.9440972805023193
87,slavesare,0.9440121054649353
88,slaveo,0.9439958930015564
89,slavel,0.9438440203666687
90,slavesof,0.943789541721344
91,slavss,0.9437727332115173
92,slavvrt,0.943541944026947
93,slavr,0.9435160756111145
94,felave,0.9435074329376221
95,slavesthc,0.9434092044830322
96,slavh,0.943352997303009
97,emulave,0.9433003067970276
98,slavfkv,0.943191647529602
99,slavogirl,0.9429949522018433
100,slavu,0.9429879188537598
101,slavn,0.9429177641868591
102,slavtt,0.9429038166999817
103,slaveoc,0.9426286220550537
104,aslave,0.942599356174469
105,glave,0.9425626397132874
106,slavecabbe,0.9425531029701233
107,slavenjt,0.9422282576560974
108,slavts,0.9421935677528381
109,slavegirl,0.9419107437133789
110,slaveslhey,0.9418235421180725
111,slavtsny,0.9414941668510437
112,slavrn,0.9414495825767517
113,slaveic0,0.9414445757865906
114,slavelu,0.9413101077079773
115,slavsfy,0.9412252306938171
116,slaveuy,0.9411088824272156
117,ofslave,0.9410723447799683
118,slavesit,0.9408240914344788
119,slavns,0.9407750964164734
120,nfslave,0.9406407475471497
121,tnxslave,0.9405949115753174
122,slavey,0.9405283331871033
123,slavolaws,0.9403778314590454
124,slavelaw,0.9403277039527893
125,slavonoiv,0.9396906495094299
126,slavelaws,0.9393646121025085
127,slavewdiog,0.9392384886741638
128,slavas,0.9391101598739624
129,slavir,0.9390926361083984
130,slavopnwor,0.9390050768852234
131,slavi,0.9389950633049011
132,slaveut,0.9389697313308716
133,slaveludd,0.9389191269874573
134,enalave,0.9388314485549927
135,slaveciom,0.9384522438049316
136,slavebt,0.9383200407028198
137,slavofowcr,0.9383153915405273
138,slaven,0.9382740259170532
139,vcsslave,0.9382423758506775
140,slavobrldois,0.938239574432373
141,slavemart,0.938174307346344
142,slavikt,0.9381453990936279
143,slavesjauic,0.9379164576530457
144,slavotrsdc,0.937909722328186
145,slavett,0.9376002550125122
146,slaveaowin,0.9375932216644287
147,slaves,0.9374727010726929
148,slavoiy,0.9373961091041565
149,slavewhcro,0.9371155500411987
150,slaveb,0.9369912147521973
151,slavtr,0.9369000196456909
152,bisslave,0.9368218779563904
153,slavott,0.9367863535881042
154,slaveswhich,0.9367539882659912
155,slavodiive,0.936587929725647
156,slavtrya,0.9363071322441101
157,slaveststo,0.9363047480583191
158,slavoowrirr,0.936225175857544
159,slavestute,0.9360210299491882
160,enlave,0.9359555244445801
161,slaviys,0.9358927607536316
162,slaveyard,0.9358164072036743
163,slavebv,0.9356761574745178
164,slaveiv,0.9356544613838196
165,tilave,0.9355937838554382
166,slavecutchrrw,0.9354742169380188
167,slavim,0.9352860450744629
168,tslave,0.9350838661193848
169,euslave,0.9348649978637695
170,slavryfivo,0.9348605871200562
171,slavia,0.934766411781311
172,slavecase,0.9347640872001648
173,slavebun,0.9347606897354126
174,slavecat,0.9346581697463989
175,slavobrccde,0.9346122741699219
176,slavelnld,0.9344794750213623
177,slavepen,0.9344533085823059
178,slavodom,0.9342318773269653
179,slavebuye,0.934138834476471
180,slavis,0.9340642690658569
181,lavo,0.9340559244155884
182,eiulave,0.933918833732605
183,isaslave,0.933771550655365
184,slavelsbor,0.9337306618690491
185,slaveman,0.9336557984352112
186,slavelow,0.9336336851119995
187,slavettt,0.9334918260574341
188,slavesulib,0.933397650718689
189,slavopen,0.933266818523407
190,slaveewner,0.9331914186477661
191,slavemarls,0.9329186677932739
192,milave,0.9328287839889526
193,slavei,0.9326831102371216
194,slavkuoidfrh,0.9325729012489319
195,slavoownrr,0.9324762225151062
196,vlavo,0.9321804642677307
197,slavewhin,0.9321168661117554
198,slavrs,0.9320815205574036
199,slavolrndo,0.9320192933082581
200,slavedri,0.9319765567779541
201,slavecntoh,0.9318740963935852
202,weelave,0.9318618774414062
203,alavo,0.9316851496696472
204,slaveiyio,0.9316238760948181
205,slavnlahor,0.9315185546875
206,slaveuunte,0.9311200976371765
207,slavebre,0.9310588836669922
208,elavo,0.9307795763015747
209,slavegrowe,0.930746853351593
210,loeuslave,0.9306350350379944
211,aslavo,0.9306145310401917
212,tbolave,0.9302464723587036
213,slavelid,0.9301967024803162
214,slaveetealor,0.9300796985626221
215,slavelndlimr,0.9299222230911255
216,slavoowncr,0.9299187660217285
217,slaveclaim1,0.9298377633094788
218,iheslave,0.9298255443572998
219,delave,0.9295451641082764
220,cnslavo,0.9295004606246948
221,alavee,0.9292811751365662
222,slavurv,0.9292626976966858
223,theblave,0.9292570352554321
224,slavpiy,0.9292399883270264
225,slavidi,0.9292287230491638
226,slavecatcbe,0.9290724396705627
227,reenvlave,0.9290369749069214
228,slavethe,0.9290304780006409
229,slavebunte,0.929011881351471
230,slavfcalrhe,0.9288870692253113
231,slavoluhor,0.9287083148956299
232,slavrv,0.9286788702011108
233,slavoaoldor,0.9286332130432129
234,slavohunte,0.9284768104553223
235,misbelave,0.9283506870269775
236,cotclave,0.9283447861671448
237,slavecalehe,0.9282404184341431
238,ulavo,0.9281464219093323
239,slaveships,0.9280440807342529
240,slavesscrvant,0.9279048442840576
241,slavprv,0.9277843832969666
242,slavelmldcr,0.9276756644248962
243,slavesagsinst,0.9275538921356201
244,slavowhip,0.9275375008583069
245,slavesnlde,0.9275158643722534
246,slavenjiam,0.9273512363433838
247,inslave,0.9273253679275513
248,slavebiatu,0.9270790219306946
249,slavecode,0.9269140958786011
250,slaveloldag,0.9268849492073059
251,slavechase,0.9268211126327515
252,slavefamily,0.9267163276672363
253,slavencn,0.9266945123672485
254,tlavo,0.9263847470283508
255,blavo,0.926254153251648
256,slavebujde,0.9261186718940735
257,slaviy,0.9261144399642944
258,slaveludde,0.9261122941970825
259,slavomolhcr,0.9261103272438049
260,slavish,0.9258595108985901
261,slavirt,0.9257628917694092
262,slaveiohlor,0.9257616400718689
263,slavebrig,0.9257385730743408
264,slavechain,0.9257206916809082
265,slavenen,0.9257068634033203
266,oonolave,0.9257035255432129
267,hlavo,0.9256107807159424
268,ilhrlave,0.9254934787750244
269,euslavo,0.9253561496734619
270,slavebante,0.925163745880127
271,slavetyrant,0.9250808358192444
272,reenalave,0.9249609112739563
273,slavesand,0.9248537421226501
274,slavriy,0.9248483777046204
275,slavecaleln,0.9248151183128357
276,slavewhip,0.9247157573699951
277,slavelrailo,0.9246571660041809
278,slaveculchor,0.92457515001297
279,slavegrown,0.9245172739028931
280,olavo,0.9244814515113831
281,slavepollute,0.9244000315666199
282,alavefy,0.9243844151496887
283,slavotrnlo,0.9243218898773193
284,slavodealar,0.9241596460342407
285,enclave,0.9240841865539551
286,slavck,0.9240756630897522
287,slavedrive,0.9239670634269714
288,rccnslavo,0.9239316582679749
289,rlavo,0.9238860011100769
290,slavopowcr,0.9238413572311401
291,onceslave,0.9236663579940796
292,slaveborn,0.9236017465591431
293,slavesthat,0.9235371351242065
294,ingaslavo,0.92336106300354
295,elave9,0.9233241081237793
296,sluve,0.9233137965202332
297,alavea,0.9232998490333557
298,onslave,0.9232531189918518
299,slavewhippe,0.9232447147369385
300,tleslavo,0.9231901168823242
301,slavewith,0.9231480360031128
302,elavea,0.9230239987373352
303,slavebohe,0.9229182004928589
304,elavee,0.9228582978248596
305,lilave,0.9226348400115967
306,lavee,0.9225984811782837
307,slavuiy,0.9225619435310364
308,slavjry,0.9224960803985596
309,llave,0.9224145412445068
310,slavecry,0.9223793148994446
311,elaveg,0.9223747849464417
312,slavrry,0.9223693013191223
313,alav,0.9221317172050476
314,slavoerat,0.9221032857894897
315,slavedungeon,0.9218065142631531
316,slavety,0.9216685891151428
317,slavepuruhaser,0.9216248989105225
318,slaveown,0.9215288162231445
319,slavoty,0.9215277433395386
320,ouslavo,0.9213347434997559
321,goooolave,0.9213250875473022
322,slavepowor,0.9213189482688904
323,slaveunder,0.9212530851364136
324,slavebuyer,0.9209880828857422
325,slaveni,0.92093825340271
326,slavvry,0.920868456363678
327,slavaocruuv,0.9207664728164673
328,slavcjail,0.9207286238670349
329,slavecati,0.9206961989402771
330,flavee,0.9206640720367432
331,slaveoollim,0.920623242855072
332,slaveclaime,0.9206188321113586
333,slavedrivi,0.9205695390701294
334,slavca,0.9204151034355164
335,slavenwer,0.9203813672065735
336,slavodeuler,0.9203259944915771
337,slaveclaimant,0.9202735424041748
338,slaveselle,0.9200410842895508
339,slavebroedcr,0.919927179813385
340,slavfry,0.9198151230812073
341,iiblave,0.9197897911071777
342,slavebomeis,0.9197055101394653
343,onslavo,0.9196327328681946
344,theelave,0.9196090698242188
345,anhslave,0.9194843769073486
346,slaveuolpino,0.9193894863128662
347,slavemarket,0.9191602468490601
348,slavdii,0.9190516471862793
349,slavenornoy,0.9187972545623779
350,blavee,0.9187895059585571
351,alaveo,0.9186638593673706
352,slaveuoldbos,0.9186418056488037
353,slavebohjer,0.9186131358146667
354,slavetold,0.9185956120491028
355,slavebrocdere,0.9185544848442078
356,slavedeale,0.9185484051704407
357,slaveludder,0.9182837605476379
358,slavekoidine,0.9181659817695618
359,slavetrnde,0.918141782283783
360,slavewliuig,0.9181292057037354
361,slavelradcrs,0.918109118938446
362,slaveuoldk11s,0.9180805683135986
363,alavet,0.9180665016174316
364,slavemuster,0.9180085062980652
365,cooolave,0.9179806113243103
366,slavobrcede,0.9178216457366943
367,fclavo,0.9176924824714661
