,token,cosine
0,2ervant,0.9923940896987915
1,tservant,0.9921951293945312
2,xervant,0.9918478727340698
3,pnyservant,0.9918126463890076
4,servant1,0.9917912483215332
5,servantx,0.991500973701477
6,servantggf,0.9913474917411804
7,2aervant,0.9912211894989014
8,servantwmwm,0.9910860061645508
9,servantwb,0.9910815358161926
10,w_ekservant,0.99095618724823
11,5ervant,0.9908694624900818
12,sjervant,0.990833044052124
13,ekaervant,0.9907323718070984
14,myservant,0.9906623959541321
15,servantj,0.9905808568000793
16,servantwr,0.990446925163269
17,servantm,0.9903990626335144
18,servantdo,0.9901284575462341
19,ervant,0.9901248216629028
20,servantf,0.9899091124534607
21,servantk,0.9898845553398132
22,jnservant,0.9898787140846252
23,fbrservant,0.9897467494010925
24,anjservant,0.9897398352622986
25,servantd,0.9897026419639587
26,qervant,0.9896290302276611
27,servantc,0.9893942475318909
28,ofservant,0.9893457889556885
29,servantfc,0.9892736077308655
30,servantn,0.9889079928398132
31,toyservant,0.9887263178825378
32,tjervant,0.9886675477027893
33,dfervant,0.9885019063949585
34,aadservant,0.988346517086029
35,lmdrrservant,0.9882946610450745
36,uervant,0.9881631731987
37,servanto,0.9881433248519897
38,bcervant,0.9881107807159424
39,oervant,0.9880054593086243
40,servantb,0.9878290891647339
41,servantbut,0.9876442551612854
42,servantnamcd,0.987592875957489
43,gervant,0.9874964952468872
44,servantwhiv,0.9874851703643799
45,oservant,0.9874341487884521
46,iservant,0.9870818853378296
47,aservant,0.9869068264961243
48,itservant,0.9868699312210083
49,iervant,0.9867675304412842
50,servantgar,0.9865838885307312
51,lervant,0.9861502051353455
52,aervant,0.9860919713973999
53,eervant,0.9860753417015076
54,gnervant,0.9859944581985474
55,totservant,0.9857533574104309
56,hervant,0.9856811165809631
57,kbtsservant,0.9856403470039368
58,servan4oy,0.9856305718421936
59,jervant,0.9855687022209167
60,fofcaervant,0.9855038523674011
61,servantof,0.9854333996772766
62,servanh,0.9853618144989014
63,aaervant,0.9852729439735413
64,ffervant,0.9847642183303833
65,servantnamrd,0.9846722483634949
