,token,cosine
0,slavesv,0.978026270866394
1,slavesj,0.9769544005393982
2,slaves,0.9751806855201721
3,slavesr,0.9730913639068604
4,slavesl,0.9730321168899536
5,slavesfjr,0.9727771878242493
6,slaveswho,0.9725711345672607
7,6lave,0.97150057554245
8,9lave,0.97130286693573
9,slaveswe,0.9713023900985718
10,slavesif,0.9702411890029907
11,ajslave,0.9697047472000122
12,slavesi,0.9688987731933594
13,slavesynt,0.968299388885498
14,io26slave,0.9679803848266602
15,slaveslt,0.9669967889785767
16,slaveshe,0.9668411016464233
17,lave,0.9666134715080261
18,slavesa,0.9665516018867493
19,slavesnay,0.9664931893348694
20,rslave,0.965161144733429
21,tslave,0.964958131313324
22,rvlave,0.9649534821510315
23,slavesfet,0.9649145603179932
24,jlave,0.964569628238678
25,jjlave,0.9645431637763977
26,7clave,0.964520275592804
27,slaveß,0.9641091823577881
28,slavek,0.9635658264160156
29,slaveslre,0.9634349346160889
30,slavesof,0.9634000062942505
31,ofslave,0.9633515477180481
32,slavef,0.9633262157440186
33,hlave,0.9631471037864685
34,slaveg,0.9630705118179321
35,slavesor,0.9629374146461487
36,slavesan,0.9628235101699829
37,slavej,0.9627755880355835
38,vlave,0.962734580039978
39,slavesgive,0.9624478220939636
40,slavesbut,0.962157130241394
41,slavex,0.9617841839790344
42,slaveo,0.9617360234260559
43,ijlave,0.9617021083831787
44,slaveset,0.9616022109985352
45,slavec,0.9608445763587952
46,alave,0.9607357382774353
47,jblave,0.9606635570526123
48,slavesol,0.9605656862258911
49,slavescask,0.9603580236434937
50,slavey,0.960220992565155
51,slaveky,0.9601196646690369
52,slaveafwds,0.9599650502204895
53,ißeslave,0.9599437117576599
54,sixjslave,0.959662139415741
55,emiyslave,0.9594554901123047
56,euslave,0.9593462347984314
57,slaveshnry,0.9586057066917419
58,slavestwo,0.958568274974823
59,clave,0.958407998085022
60,slavesfrom,0.9583945870399475
61,slavesin,0.9580236077308655
62,slaveu,0.957807183265686
63,uclave,0.9577692747116089
64,slavepop,0.9576610326766968
65,slavea,0.9575392603874207
66,bclave,0.9575289487838745
67,slavesfor,0.9571927189826965
68,slavesat,0.9571135640144348
69,slavesou,0.957097589969635
70,uruigslave,0.9569858908653259
71,slavewas,0.9569838643074036
72,aslave,0.9568042159080505
73,orslave,0.9567790031433105
74,slavejoha,0.9567294120788574
75,slaveshsnry,0.9566386342048645
76,juryslave,0.956577718257904
77,slavegivwu,0.9563860893249512
78,slavesaad,0.9563734531402588
79,bnllslave,0.9563339948654175
80,slavp,0.9563136696815491
81,slaveolbenj,0.9562579393386841
82,slavß,0.9561807513237
83,slavetbi,0.9560529589653015
84,slavw,0.956043541431427
85,arslave,0.9559678435325623
86,nslave,0.9559364318847656
87,grlave,0.9558187127113342
88,slaveor,0.9555727243423462
89,slavj,0.9555018544197083
90,slavg,0.9553927183151245
91,slavx,0.9553152322769165
92,witpslave,0.95531165599823
93,slaveof,0.955299437046051
94,jtlave,0.955085039138794
95,slavm,0.9549965858459473
96,slavel,0.9549927711486816
97,slavetdtma,0.9548478126525879
98,slavesone,0.9546461701393127
99,slavesfour,0.9540172815322876
100,slaveefrum,0.9540115594863892
101,slavee,0.953914999961853
102,ihnrslave,0.9538899064064026
103,slavk,0.9537460207939148
104,mtlave,0.9537295699119568
105,elave,0.9537156224250793
106,slaveot,0.9536669254302979
107,beuslave,0.9536040425300598
108,slavu,0.9535524845123291
109,ulave,0.9535207152366638
110,slaveto,0.9535114169120789
111,slavh,0.9534531235694885
112,slavf,0.9534081220626831
113,slavv,0.953356146812439
114,slavjjy,0.9532774090766907
115,rlave,0.953117311000824
116,slavn,0.9530720710754395
117,thslave,0.9527664184570312
118,toslave,0.9526752829551697
119,slaveiv,0.952617883682251
120,ihlsslave,0.9525192379951477
121,slaven,0.9523601531982422
122,slavb,0.9522426128387451
123,hllave,0.9520755410194397
124,lucyslave,0.9520421624183655
125,slavescord,0.9519689083099365
126,itrslave,0.9516885280609131
127,slavfa,0.9516592025756836
128,slaveby,0.9515950679779053
129,slavd,0.9514942169189453
130,slavet,0.9514537453651428
131,iwisslave,0.951334536075592
132,heslave,0.950918436050415
133,slavkr,0.950918436050415
134,slavescash,0.9508634805679321
135,cnalave,0.9505075216293335
136,slavestkey,0.9505012035369873
137,slaveswood,0.9503692388534546
138,slavenr,0.9502930641174316
139,slavs,0.9502929449081421
140,slavessix,0.9500991106033325
141,52slaves,0.9500577449798584
142,slav,0.9500514268875122
143,mclave,0.9500206708908081
144,slaveson,0.9495177865028381
145,slavesuch,0.9494989514350891
146,cosbyslave,0.9494805932044983
147,ahßktaslave,0.9494567513465881
148,autcycslave,0.9492999315261841
149,slaveis,0.9491039514541626
150,slavt,0.9490660429000854
151,fclave,0.9490296244621277
152,sclave,0.9488934874534607
153,bafoaslave,0.9488878846168518
154,slaveowuer,0.9487942457199097
155,plave,0.9485474228858948
156,slavebe,0.9485040903091431
157,slavo,0.9484598636627197
158,trlave,0.9484193325042725
159,tiuslave,0.9483729600906372
160,ecalave,0.9483650326728821
161,slavesnamed,0.94808429479599
162,slavr,0.9480144381523132
163,slavei,0.9480111598968506
164,slaveswere,0.9479561448097229
165,gailyslave,0.9478315711021423
166,tlave,0.9478264451026917
167,slavcc,0.947621762752533
168,dlaplave,0.9475874900817871
169,slaveowaer,0.9475494623184204
170,v_uabjeslave,0.9475436806678772
171,tushlave,0.9475159645080566
172,outslave,0.9474154114723206
173,frjalave,0.9473132491111755
174,29slaves,0.9472901821136475
175,andslave,0.9471472501754761
176,vageslave,0.9471280574798584
177,beslave,0.9471189975738525
178,16slaves,0.9471123814582825
179,slaveown,0.9469964504241943
180,slaveflask,0.9465569257736206
181,slavy,0.9464316368103027
182,slavesand,0.9464271068572998
183,slavgh,0.9464159607887268
184,slavksy,0.9461471438407898
185,betsyslave,0.9460516571998596
186,rnalave,0.9459699988365173
187,slavesold,0.9457737803459167
188,blave,0.9456352591514587
189,slavrf,0.9455994367599487
190,lacifveslave,0.9454262852668762
191,slaveshere,0.945376992225647
192,slavein,0.9452425241470337
193,slavsl,0.94511878490448
194,slavbuy,0.9451073408126831
195,slavbs,0.9450719952583313
196,aaheslave,0.9450493454933167
197,slavenedtg,0.9450461268424988
198,ialave,0.9448820352554321
199,uneuslave,0.9448448419570923
200,slaveßolaer,0.9447582364082336
201,slavss,0.9447563290596008
202,slavmy,0.9447386264801025
203,awealave,0.9445671439170837
204,slaveli,0.9441736340522766
205,slavca,0.9441554546356201
206,dsupplvofalave,0.944076418876648
207,calave,0.9440722465515137
208,slavelsaac,0.9438573122024536
209,slava,0.9438466429710388
210,felave,0.9437922239303589
211,slavoofmc,0.9437376856803894
212,aelave,0.9435610771179199
213,slavety,0.9434230327606201
214,welave,0.9433007836341858
215,slaveabove,0.9430532455444336
216,noalave,0.9430232644081116
217,slavrv,0.9429956674575806
218,srottslave,0.9427860975265503
219,slavtfl,0.9424938559532166
220,sotlslave,0.9424706697463989
221,onslave,0.9424468278884888
222,bondslave,0.9422914981842041
223,slaveaecuskmtd,0.9421518445014954
224,slavrr,0.9421122670173645
225,slavdij,0.9420031309127808
226,tinslave,0.9419190883636475
227,tivealave,0.9418932795524597
228,slavewith,0.9418777823448181
229,slavewere,0.9418457746505737
230,coaclave,0.9417883157730103
231,ailave,0.9416998028755188
232,slavxstwo,0.9414684176445007
233,slavtrv,0.9413871765136719
234,slaveowne,0.9412617087364197
235,slaveburne,0.9410911202430725
236,slaveattm,0.9410833716392517
237,coclave,0.9410319328308105
238,slavos,0.9407113790512085
239,cubaslave,0.9406222701072693
240,hickslave,0.9406123757362366
241,eialave,0.9402560591697693
242,slaveorraey,0.9402074813842773
243,slaveand,0.9401938319206238
244,alaves,0.9401483535766602
245,slavsa,0.9400678873062134
246,enalave,0.9400668740272522
247,slavi,0.9397816061973572
248,slavecode,0.9396876692771912
249,aalave,0.9395902752876282
250,euelave,0.9395211935043335
251,slaveiynd,0.9394938945770264
252,bstlave,0.9394617676734924
253,bhgbamalave,0.9393431544303894
254,bcvwellslave,0.9393327236175537
255,slavediivug,0.9391746520996094
256,youslave,0.9391196966171265
257,slavrs,0.9391058683395386
258,vonclave,0.9390310645103455
259,slavrm,0.9390100240707397
260,slavessome,0.9386619925498962
261,slavsho,0.9386393427848816
262,brachslave,0.9386388063430786
263,hidlaplave,0.9386212825775146
264,rilave,0.9385792016983032
265,aonslave,0.93854820728302
266,slavename,0.9385261535644531
267,slavesmight,0.9382125735282898
268,tbeslave,0.9381687045097351
269,slavesthe,0.9378107786178589
270,selave,0.9377999901771545
271,slavettiiave,0.9376264810562134
272,dieplave,0.9374797940254211
273,slavts,0.9374383091926575
274,slavfiy,0.9374265670776367
275,slavebut,0.9374075531959534
276,slavrn,0.9373756647109985
277,slaveaeapoaer,0.9370668530464172
278,filave,0.9370580911636353
279,slavecatche,0.9369442462921143
280,slavedealer,0.9368515610694885
281,mobonslave,0.9368321299552917
282,slavoalh,0.9365936517715454
283,slavessilas,0.9365721940994263
284,slavtt,0.9364798069000244
285,ilave,0.9363365173339844
286,slaveiy,0.9362111687660217
287,micajahslave,0.9360372424125671
288,slavesbeside,0.9359834790229797
289,slavwiy,0.9359163641929626
290,anuelave,0.9357370734214783
291,tbilave,0.9353378415107727
292,beelave,0.9352737665176392
293,islave,0.9352213144302368
294,slavegrown,0.935206413269043
295,ortlave,0.9350839853286743
296,slaveewboare,0.9350690245628357
297,slavri,0.9349637627601624
298,atkiesooslave,0.9348009824752808
299,slavebit,0.9347332715988159
300,slavesthree,0.93472820520401
301,analave,0.9346620440483093
302,slavtvof,0.9346282482147217
303,slavre,0.9346058368682861
304,juliaslave,0.9345876574516296
305,oatlave,0.9345203042030334
306,slaves2oooooooand,0.9342175722122192
307,slavedstste,0.9342085719108582
308,slav_rynd,0.9341987371444702
309,eaalave,0.9340301752090454
310,slavas,0.9339616894721985
311,slavesthat,0.9339295029640198
312,slaveeand,0.9339182376861572
313,delave,0.9336943626403809
314,withslave,0.9336713552474976
315,slavedmade,0.9336538910865784
316,thoeslave,0.9336234331130981
317,groslave,0.9332465529441833
318,groalave,0.9330967664718628
319,tilave,0.933035135269165
320,fngitlveslave,0.933000385761261
321,davidslave,0.9325839877128601
322,inaslave,0.932510256767273
323,slavestear,0.9324899315834045
324,slavessuch,0.9324712157249451
325,vmuvilloslave,0.9324139952659607
326,alavesafjrc,0.9323312044143677
327,slavutcapt,0.9320455193519592
328,zuuave,0.9320380091667175
329,slavshedlßg,0.9319363832473755
330,vanclave,0.9318759441375732
331,ofcblneseslave,0.9318671226501465
332,inslave,0.9318111538887024
333,slaveswould,0.9317414164543152
334,entlave,0.9315775632858276
335,slavedout,0.9315145611763
336,slavecatcher,0.931449294090271
337,slavethe,0.9311245083808899
338,slavessimon,0.9311134219169617
339,slavris,0.9310123324394226
340,nslaves33lml,0.9310114979743958
341,alisslave,0.9309090375900269
342,itelave,0.9308741688728333
343,fogluveelave,0.9307466149330139
344,alavescoaveysd,0.9307279586791992
345,slavar,0.9306278824806213
346,slaveliode,0.930595874786377
347,slavedriver,0.9305787682533264
348,beilave,0.9304735064506531
349,lilave,0.9303844571113586
350,slavewhilst,0.9300077557563782
351,jdave,0.9299147725105286
352,walave,0.9298052787780762
353,slavestotal,0.9295653700828552
354,valnaweslave,0.9295437335968018
355,wereslave,0.9295001029968262
356,10slavesan,0.9294986128807068
357,slavam,0.9294896721839905
358,slavebelonge,0.9294046759605408
359,slavegrow,0.9293702244758606
360,slavtmde,0.9293684363365173
361,pinrmislave,0.9293035864830017
362,slaviah,0.9292398691177368
363,slavaa,0.9291349053382874
364,aailave,0.9290763735771179
365,slaveowner,0.9283376932144165
366,orenslave,0.928234338760376
367,slavoa,0.9281762838363647
368,enclave,0.9281573295593262
369,slavic,0.9280338883399963
370,slaviss,0.9279444217681885
371,diaplave,0.9278658032417297
372,slaveshenry,0.9278578162193298
373,slaveowning,0.927812933921814
374,slavelike,0.92755526304245
375,slavou,0.9275027513504028
376,slavct,0.9274815320968628
377,slavis,0.9274448752403259
378,johnslave,0.9273711442947388
379,toilave,0.9273102283477783
380,recentslave,0.9270087480545044
381,slavebome,0.9270085096359253
382,slaveh,0.926978588104248
383,slavestwelve,0.9269229769706726
384,groilave,0.9266889095306396
385,slaveseleven,0.9266195297241211
386,theslave,0.9265871644020081
387,slaveaolde,0.9264445304870605
388,slavesaccorde,0.926164448261261
389,slaverhave,0.9260023832321167
390,antaslave,0.9259431958198547
391,slaveboljer,0.9258041977882385
392,aegroslave,0.92579185962677
393,slavksone,0.9257476329803467
394,slaveathe,0.925693929195404
395,slavesliclounink,0.9256367683410645
396,lreeandslave,0.9255133867263794
397,ave,0.9254363775253296
398,frteofclave,0.9254220128059387
399,btrjeiheislave,0.9254117012023926
400,sjave,0.9253718256950378
401,slaveuolde,0.9253484010696411
402,slavry,0.9253467321395874
403,bandplave,0.9253029823303223
404,uegroslave,0.9250696301460266
405,nelsonslave,0.9250500798225403
406,slavrry,0.9250275492668152
407,slavai,0.9249898195266724
408,uave,0.924606204032898
409,slaveehenry,0.9243605136871338
410,millerslave,0.9242989420890808
411,slavenoldiuk,0.9241420030593872
412,slavebower,0.9241006970405579
413,slavdiolt,0.9239183068275452
414,frivenaslave,0.9237944483757019
415,oliverslave,0.9237569570541382
416,slaveltiehard,0.923596203327179
417,tdave,0.9230955243110657
418,slavebout,0.9229652285575867
419,alaveewbo,0.9227312803268433
420,slavesholder,0.9227223992347717
421,slavewhich,0.9227036237716675
422,slavethat,0.9226889610290527
423,slavoon,0.9222304821014404
424,thealave,0.9220231175422668
425,areenslave,0.9219313263893127
426,slaviis,0.9218776226043701
427,henryslave,0.9216310977935791
428,iave,0.9215598106384277
429,nonslave,0.9214656949043274
430,oeorgetslave,0.9214621782302856
431,teurilave,0.9214007258415222
432,alaveofdr,0.9213552474975586
433,kave,0.9213163256645203
434,theirslave,0.9209307432174683
435,slayk,0.9207281470298767
436,salkilave,0.9205619096755981
437,jiave,0.9205597043037415
438,slavesthere,0.9203592538833618
439,slavii,0.9203035831451416
440,proslave,0.9201130270957947
441,slavenoldinf,0.920106828212738
442,6lavea,0.9200406670570374
443,nonalave,0.919773519039154
444,fellowslave,0.9196621179580688
445,slavetsolde,0.919643759727478
446,enslave,0.9195607900619507
447,edwardslave,0.9194989204406738
448,otherslave,0.9193686246871948
449,slavsryaad,0.9191770553588867
450,slap,0.9191156625747681
451,cave,0.9188970923423767
452,alavea,0.9188746809959412
453,slaveiiloera,0.9188256859779358
454,randolphslave,0.9187901020050049
455,slavehrdde,0.9187859892845154
456,alaveto,0.9186169505119324
457,alaveor,0.9186047315597534
458,alavebmdo,0.9185843467712402
459,siave,0.9185728430747986
460,itlaves,0.918556272983551
461,msjave,0.9182806015014648
462,slab,0.9181016683578491
463,slavaie,0.9179956316947937
464,16itichirdslave,0.9178709387779236
465,claveulh,0.9177817702293396
466,slavehflriing,0.9176236987113953
467,slavshomtas,0.9175474047660828
468,slaving,0.9175090789794922
469,kiave,0.9174451231956482
470,gave,0.9174381494522095
471,slavsry,0.917408287525177
472,mave,0.9170836210250854
473,aave,0.9167327880859375
474,runningoffslave,0.9166685342788696
475,nave,0.9166478514671326
476,pave,0.9165630340576172
477,slavenolder,0.9165433645248413
478,slavsand,0.9164361953735352
479,garlandslave,0.9161561131477356
480,slavebreedißg,0.916145920753479
481,slaveownera,0.9159722924232483
482,slaveswhether,0.9158656597137451
483,slavehnhle,0.9158418774604797
484,bmughtouiasslave,0.9156469702720642
485,iortlaves,0.915602445602417
486,slaveboidiag,0.9154452085494995
487,slavetioldlu,0.9153730869293213
488,ceriainslave,0.9153522849082947
489,slavesconsiste,0.9152768850326538
490,whiteslave,0.9152611494064331
491,slaveaccustome,0.9151836037635803
492,alavet,0.9151528477668762
493,notlonslave,0.9151108860969543
494,alavety,0.9150777459144592
