,token,cosine
0,slave1,0.9948973059654236
1,slavezy,0.9945569634437561
2,slaveu,0.9935784339904785
3,slavecs,0.9926506280899048
4,slavepy,0.9925409555435181
5,slaverj,0.9918763041496277
6,slaveo,0.9913466572761536
7,slavec,0.9907658100128174
8,slaveryn,0.9906743168830872
9,slavefi,0.9904353022575378
10,slavem,0.9901058673858643
11,slaverybu,0.9900397658348083
12,slavea,0.9898571968078613
13,slaveryi,0.9895640015602112
14,slaveryv,0.9894906878471375
15,slaverf,0.9892961382865906
16,slaves5,0.9892922043800354
17,slaveiy,0.9891456961631775
18,slavei,0.9890990853309631
19,slaveryiu,0.9890907406806946
20,slavesj,0.9890364408493042
21,slavey,0.9885717034339905
22,slaverys,0.9884898662567139
23,slaverv,0.9884594082832336
24,slaveryif,0.9883934855461121
25,slav3,0.9879680275917053
26,slaverysa,0.9879484176635742
27,slav5e,0.9877368807792664
28,slavee,0.9875224828720093
29,slavery,0.9872434139251709
30,slavesr,0.9872342348098755
31,slaveryby,0.9870828986167908
32,slavg,0.9870275855064392
33,dslave,0.9870007634162903
34,tpslave,0.986863911151886
35,slavf,0.9865182042121887
36,slaveno,0.9864130020141602
37,slavetoa,0.9860873818397522
38,slaverysay,0.9860774874687195
39,slavgs,0.9856693744659424
40,slaveh,0.9855393171310425
41,slavn,0.9855196475982666
42,slaveryto,0.9854731559753418
43,slaverynut,0.985285758972168
44,slav,0.9852419495582581
45,slavesviz,0.9848765730857849
46,slaveryisam,0.9847888350486755
47,tslave,0.9847514033317566
48,slavt,0.9847485423088074
49,slaver,0.9845974445343018
50,yaslave,0.9841053485870361
51,slaverybut,0.9840074777603149
52,slaverynew,0.9839457273483276
53,slaveryyes,0.9839280247688293
54,rslave,0.9838285446166992
55,slavrv,0.9838083386421204
56,slaveryan,0.9834809899330139
57,slava,0.9832171201705933
58,slavet,0.9831833839416504
59,slaveyet,0.983024001121521
60,slavnc,0.982992947101593
61,slaveryit,0.9829166531562805
62,oslave,0.9826760292053223
63,slavvs,0.9826419353485107
64,slavfe,0.9824931621551514
65,slaverytbat,0.9817905426025391
66,slavel,0.981739342212677
67,slaveri,0.9816390872001648
68,slaveto,0.981573760509491
69,slavy,0.9814912676811218
70,slavesa,0.9811059236526489
71,slavesrevo,0.9808534383773804
72,slavs,0.9807097911834717
73,slavesi,0.9806823134422302
74,slavesaye,0.9804778099060059
75,slaveis,0.9803372621536255
76,slavehdig,0.9802141785621643
77,slavft,0.9799885153770447
78,slavi,0.9798911809921265
79,slaveta,0.9796791672706604
80,slavesslave,0.9795677661895752
81,slavcrv,0.9791144132614136
82,slaven,0.9786700010299683
83,slaves,0.9782551527023315
84,slavebhlde,0.9782259464263916
85,slavsa,0.9781360030174255
86,slaveho,0.9778572916984558
87,slavesbut,0.9777563214302063
88,slavein,0.9775571227073669
89,slavca,0.9774896502494812
90,sl,0.9774819612503052
91,slaveownerq,0.9774760007858276
92,slaverywasth,0.9770715236663818
93,slavcs,0.9770406484603882
94,slaveboldiog,0.9767565131187439
95,slavestb,0.9765845537185669
96,slavety,0.9764406085014343
97,slaverycould,0.9763133525848389
98,slaveryand,0.9762442111968994
99,slaveinvol,0.9760317206382751
100,slavesyin,0.975985050201416
101,slaverythat,0.9757454991340637
102,aslave,0.9750285744667053
103,slavercapt,0.9750238060951233
104,slavelota,0.9745990633964539
105,slavcryl,0.9742889404296875
106,slaveshad,0.9741297960281372
107,slavelabotr,0.9740845561027527
108,ofrslave,0.9738242626190186
109,slavebold,0.9737229943275452
110,slavewich,0.9736644625663757
111,slavess4,0.9734491109848022
112,slaverymake,0.9733508825302124
113,slavesof,0.973331868648529
114,ofslave,0.9732711315155029
115,etnslave,0.9731152057647705
116,slavecode,0.9731078743934631
117,vlave,0.9729090929031372
118,slaveowne,0.9728944897651672
119,jslavery,0.9727382063865662
120,hslavery,0.972626268863678
121,heslave,0.9724848866462708
122,slavehohltrs,0.972247838973999
123,slaveand,0.972117006778717
124,slaveh6lde,0.9716610908508301
125,slaveryshall,0.9715979695320129
126,slavellol,0.971570611000061
127,slavo,0.9714575409889221
128,slaveliol,0.9710736274719238
129,slavefor,0.970913827419281
130,slavesil,0.9709030389785767
131,slavoswo,0.9709004759788513
132,slaveholh,0.9706025719642639
133,slavesat,0.9705939292907715
134,slavos,0.9705077409744263
135,slaveryleavimig,0.9701554775238037
136,slaveryrise,0.9701086282730103
137,oslavery,0.9694469571113586
138,usslavery,0.9694070816040039
139,slavesman,0.9691305756568909
140,slavesdevotec,0.9690716862678528
141,slavehol,0.9690155386924744
142,slavoe,0.9689366221427917
143,olslavery,0.968803346157074
144,slavesball,0.9687658548355103
145,slavestoo,0.9685013890266418
146,slavehunt,0.9683805108070374
147,slaveaidit,0.9682088494300842
148,slavesall,0.9681198596954346
149,everyslave,0.9678117632865906
150,slavry,0.9677386283874512
151,slavesin,0.9676087498664856
152,slavus,0.967436671257019
153,slavasa,0.9672372937202454
154,slavebolde,0.9671996831893921
155,slaverywhile,0.9671530723571777
156,slaveryulready,0.9669907689094543
157,slaverythe,0.9668285250663757
158,slavehtold,0.9667325615882874
159,mlave,0.96633380651474
160,slavwery,0.9662287831306458
161,slavehild,0.9660109281539917
162,slaverperty,0.9657676815986633
163,aslavery,0.9656263589859009
164,slavelolde,0.9654635787010193
165,slavegrown,0.9654019474983215
166,sla,0.9653714895248413
167,slavehlder,0.9651537537574768
168,slaverescuerf,0.9650935530662537
169,slaveoltders,0.9647838473320007
170,islave,0.9646493792533875
171,ofslavery,0.9644555449485779
172,slavelabor,0.9644188284873962
173,pioslavery,0.9643407464027405
174,slavehuoldinug,0.9642974138259888
175,dlave,0.9642617702484131
176,slavehlolde,0.96419358253479
177,slaveholdg,0.9637824892997742
178,poorslave,0.9637583494186401
179,ofuslavery,0.9635308980941772
180,slavehilde,0.9635036587715149
181,slavevile,0.9634711742401123
182,hlave,0.9634606242179871
183,slavesto,0.9632585048675537
184,slavury,0.9630904197692871
185,allslave,0.96294766664505
186,butslavery,0.9629188776016235
187,slaveholdttmg,0.9627991318702698
188,prslavery,0.9627367258071899
189,slaveocracy,0.9625939130783081
190,prgslavery,0.9625822305679321
191,prsslavery,0.9624671936035156
192,slavehulder,0.9620615839958191
193,slavewhich,0.9620351195335388
194,slavecacher,0.9620110392570496
195,slaw,0.9618092775344849
196,ptroslavery,0.9617749452590942
197,slaveswhose,0.9617048501968384
198,slavie,0.9616605639457703
199,slaveownler,0.9613908529281616
200,toslavery,0.9609802961349487
201,slavetrade,0.9608896970748901
202,mlavery,0.9607878923416138
203,slavoryi,0.9607310891151428
204,zilave,0.9606978297233582
205,slaveaholder,0.9606804251670837
206,slavehtolde,0.9606760740280151
207,slavcry,0.9606625437736511
208,roslavery,0.960595428943634
209,slavesand,0.960533618927002
210,slavesfafler,0.9605312347412109
211,inslave,0.9604601263999939
212,slavehiole,0.9603487849235535
213,slavedriver,0.9603331089019775
214,slaveholde3r5,0.960154116153717
215,slaveliabre,0.9600881338119507
216,slavce,0.9600480794906616
217,enslave,0.9597203135490417
218,slavelolder,0.9597103595733643
219,dlavery,0.9597041606903076
220,slaveholdipg,0.9594696760177612
221,arogslavery,0.9593183994293213
222,slavehoide,0.9591978788375854
223,pruslavery,0.9590277075767517
224,slavcsor,0.9589988589286804
225,slavehloldin,0.9589822888374329
226,slaveowner,0.9589407444000244
227,toofslavery,0.9589255452156067
228,slavehsoldiuig,0.958774745464325
229,ntonslave,0.9584908485412598
230,islavery,0.9583449363708496
231,slavtry,0.9582700729370117
232,slavehiolde,0.9582684636116028
233,slaveiiolder,0.9580629467964172
234,slavelnliler,0.9580617547035217
235,s5ilavery,0.9578552842140198
236,slaveryathough,0.9577648043632507
237,slavehnider,0.9576804041862488
238,slavesthey,0.9575219750404358
239,slavehilder,0.9574450254440308
240,slavelholder,0.9573780298233032
241,slaveholdng,0.9571748971939087
242,llave,0.9571240544319153
243,asslave,0.9570811986923218
244,slaveliofder,0.9569938778877258
245,slavehole,0.9569926261901855
246,slaviry,0.9569160342216492
247,nonslave,0.956866979598999
248,antslavery,0.9568461179733276
249,hisslave,0.9566627740859985
250,slaveholdiug,0.9563542604446411
251,slavesthat,0.9562250971794128
252,slaveseach,0.956210732460022
253,slavehtolder,0.9560762643814087
254,lavery,0.9560124278068542
255,slavehold,0.9559035301208496
256,lave,0.955858051776886
257,eflave,0.9557731747627258
258,vriestslave,0.9554760456085205
259,slavis,0.9554517269134521
260,slaveholdor,0.9552721381187439
261,ulave,0.954843282699585
262,slavesraise,0.9548060297966003
263,tislavery,0.9544671177864075
264,slavethle,0.9544585347175598
265,niggerslave,0.9542586207389832
266,slaveswhich,0.9542139172554016
267,slaveholer,0.9541763067245483
268,theslave,0.9540098905563354
269,slavoryti,0.9539305567741394
270,slaveholdiig,0.9538791179656982
271,peoaerslave,0.9535799026489258
272,slaveholici,0.9531282782554626
273,utislavery,0.9530154466629028
274,ilavery,0.9530075192451477
275,blavery,0.9527577757835388
276,lishslavery,0.9522866606712341
277,flavery,0.9520092606544495
278,ofslaver,0.9518295526504517
279,aotislavery,0.9518163800239563
280,slaveholden,0.9514775276184082
281,slayepy,0.9514272809028625
282,slaveholdinmg,0.9514248371124268
283,proslave,0.951420783996582
284,slaveholditag,0.9511880874633789
285,slaveryiigitator,0.9510670304298401
286,slaveholde,0.9510539174079895
287,slavessome,0.9510362148284912
288,slaveliolder,0.9510310888290405
289,ilave,0.9509490728378296
290,anlislavery,0.9508870244026184
291,forslave,0.9505640864372253
292,anltislavery,0.9505437016487122
293,slai,0.9505293965339661
294,flave,0.9504485726356506
295,mntislavery,0.9504484534263611
296,entslave,0.9504144787788391
297,elavery,0.9503945112228394
298,slavelaboris,0.9502391815185547
299,blave,0.9499057531356812
300,slavesincltsdid,0.9497461318969727
301,slavesthone,0.9494867920875549
302,proslavery,0.9493807554244995
303,slavoown,0.9492420554161072
304,noslavee,0.94892418384552
305,slavory,0.9487566351890564
306,slaveholder,0.9483859539031982
307,slaveholders,0.948381245136261
308,slaveholdilig,0.9482332468032837
309,slaveholdin,0.9481852054595947
310,svrieetecslave,0.9480425715446472
311,negroslavery,0.9480047821998596
312,slaveholdler,0.9479724764823914
313,whtiteslavery,0.9479405879974365
314,oslaves,0.947479784488678
315,elave,0.947467029094696
316,slavesthe,0.9474611282348633
317,slaveholdera,0.946936309337616
318,welave,0.9468306303024292
319,slalvery,0.9467735886573792
320,slaveholditng,0.9467406868934631
321,negroslave,0.9467295408248901
322,alhesslave,0.9466404914855957
323,slaye,0.9464802742004395
324,slavish,0.9464468359947205
325,prcslaveryand,0.9463862180709839
326,alavery,0.9463557600975037
327,iedslavesi,0.9463136196136475
328,slaveholdintg,0.9460089206695557
329,dayslaveryand,0.9456456303596497
330,uolslaveiiolctug,0.9456129670143127
331,theirslave,0.945493221282959
332,slavestotal,0.9453157186508179
333,slaveproperty,0.9452160000801086
334,nowslavea,0.9449611306190491
335,slavlealde,0.944869339466095
336,slaveholdersof,0.9448658227920532
337,slay,0.9448080062866211
338,antislave,0.9447470307350159
339,slavestheir,0.9446749687194824
340,antislavery,0.9444853663444519
341,slavehelelin,0.9443141222000122
342,slavethonia,0.944258987903595
343,tulave,0.9436361789703369
344,ofantislavery,0.9435231685638428
345,autislavery,0.9432515501976013
346,aitislavery,0.9431875348091125
347,slavisfcon,0.9427424669265747
348,theproslavery,0.9426314234733582
349,atislavery,0.942448079586029
350,anttislavery,0.9424201250076294
351,avery,0.9420852661132812
352,slaveholdinag,0.9419121146202087
353,proslaverv,0.9417381882667542
354,borderslave,0.9414417743682861
355,aiitislavery,0.9412909746170044
356,atinslavery,0.9412351250648499
357,slaveterritoy,0.941061794757843
358,intislavery,0.9410598278045654
359,antiislavery,0.9408655166625977
360,exceptslave,0.940754234790802
361,slaveatate,0.9405074715614319
362,proslaverypat,0.9402895569801331
363,slaveholinig,0.940040647983551
364,slavehioiding,0.9398999214172363
365,slamcry,0.9398914575576782
366,slatvery,0.9397132396697998
367,betweenslavery,0.9395087957382202
368,slaviholer,0.9393795132637024
369,slaveholdinig,0.9391654133796692
370,nonslaveh,0.9387964606285095
371,slaveholdingll,0.9385893940925598
372,slavterimeo,0.9377064108848572
373,aturslave,0.9376120567321777
374,slaveholdiner,0.9375197887420654
375,slaveculture,0.9369311332702637
376,slavitrade,0.9368942379951477
377,davery,0.9363422393798828
378,slavehiolding,0.935714602470398
379,enslavedl,0.9355037212371826
380,8lavet,0.93545001745224
381,slatve,0.9352814555168152
382,slaveholdion,0.9351631999015808
383,365000slaves,0.9350563883781433
384,awayslaverywill,0.9344273209571838
385,slaveholding,0.9342103600502014
386,slaving,0.9339694380760193
387,1ave,0.9338298439979553
388,slixhokr,0.9336836338043213
389,slo,0.9335886240005493
390,thousaslave,0.9330235719680786
391,delave,0.9329339861869812
392,oslaveholdetoi,0.9325113296508789
393,antislaveryand,0.932475209236145
394,slaveholderswithin,0.9323854446411133
395,ofavery,0.9322420954704285
396,slavlilitng,0.9321472644805908
397,wdjneslav,0.931813657283783
398,slate3,0.9316197037696838
399,rovwelave,0.9312906265258789
400,slavoholdin,0.9312822818756104
401,slayes,0.9311363101005554
402,slaie,0.9310033917427063
403,slaivery,0.9309627413749695
404,antislaver,0.9309317469596863
405,slavishly,0.9305845499038696
406,slang,0.9301679730415344
407,emigrantsproslavery,0.9300423264503479
408,slavestealing,0.9299842715263367
409,deelave,0.929917573928833
410,liisslavesjf,0.9297675490379333
411,nonslavehodng,0.9295427799224854
412,bedelave,0.9294242262840271
413,mnslaveholde,0.9286673665046692
414,slavrholier,0.9285284876823425
415,tiavery,0.9284548163414001
416,slavestate,0.9283654689788818
417,savery,0.9283502101898193
418,ulationslave,0.9283177256584167
419,ave,0.928295373916626
420,sltve,0.9282441139221191
421,hsave,0.9277356266975403
422,ofslavi,0.9270755052566528
423,prslaveite,0.9269869923591614
424,slaveterritory,0.9269329309463501
